chain_id,chain_length,canonical_name,should_apply,reason,name_diversity,all_names
chain_00556,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Seneca
chain_00000,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Lachenaie
chain_00001,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:NO DATA
chain_00002,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Dummer
chain_00003,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:St. Lazare
chain_00004,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Beverley
chain_00005,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Grantham
chain_00006,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Arran
chain_00007,2,N/A,False,insufficient_data,0,"1851:[Start of chain] | 1861:Dorchester, North"
chain_00008,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Nissouri
chain_00009,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Bastard
chain_00010,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Orillia and Matchedash
chain_00011,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Packenham
chain_00540,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:St. Henri
chain_00539,2,N/A,False,insufficient_data,0,"1851:[Start of chain] | 1861:Amherstburgh, Town of"
chain_00538,2,N/A,False,insufficient_data,0,"1851:[Start of chain] | 1861:St. Eustache, Village"
chain_00537,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:NO DATA
chain_00536,2,N/A,False,insufficient_data,0,"1851:[Start of chain] | 1861:Gower, North"
chain_00535,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Hibbert
chain_00534,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:St. Flavien
chain_00533,2,N/A,False,insufficient_data,0,"1851:[Start of chain] | 1861:Peterborough, Town of"
chain_00532,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:St. Fidèle
chain_00531,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Grondines
chain_00530,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Eldon
chain_00529,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:St. Denis
chain_00528,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Kilkenny
chain_00527,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Stanley and Bayfield
chain_00526,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:St. Célestin
chain_00525,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Georgina
chain_00044,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Kitley
chain_00043,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Sheen
chain_00042,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Usborne
chain_00041,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Stukeley
chain_00040,2,N/A,False,insufficient_data,0,"1851:[Start of chain] | 1861:Galt, Town of"
chain_00039,2,N/A,False,insufficient_data,0,"1851:[Start of chain] | 1861:Tilbury,West"
chain_00038,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Frederichsburgh
chain_00037,2,N/A,False,insufficient_data,0,"1851:[Start of chain] | 1861:Guelph, Town of"
chain_00036,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Hillier
chain_00035,2,N/A,False,insufficient_data,0,"1851:[Start of chain] | 1861:Plantagenet, North"
chain_00034,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Rigaud
chain_00033,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Potton
chain_00032,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Erin
chain_00031,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Lambton
chain_00030,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Woolwich
chain_00029,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Marlhorough
chain_00060,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Grantham
chain_00059,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Ste. Croix and Convent
chain_00058,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Wolfe Island
chain_00057,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Amherst Island
chain_00056,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Brant
chain_00055,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Malden
chain_00054,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:MacNider
chain_00053,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:L’Islet
chain_00052,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Innisfil
chain_00051,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Stanstead Plains
chain_00050,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Ste. Anne
chain_00049,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Lanoraie
chain_00048,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:St. Sylvestre
chain_00047,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Eaton
chain_00046,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Milton
chain_00045,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:St. Dunstan
chain_00076,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Loughborough
chain_00075,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Walpole
chain_00074,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Grattan
chain_00073,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Lancaster
chain_00072,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:St. Eloi
chain_00071,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:St. Urbain
chain_00070,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:St. Martin
chain_00069,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:General Hospital
chain_00068,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Brantford
chain_00067,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:St. Raymond
chain_00066,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Sunnidale
chain_00065,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Grenville
chain_00064,2,N/A,False,insufficient_data,0,"1851:[Start of chain] | 1861:Matane, Township"
chain_00063,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Sutton
chain_00062,2,N/A,False,insufficient_data,0,"1851:[Start of chain] | 1861:Aylmer, Village"
chain_00061,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Edwardsburg
chain_00092,2,N/A,False,insufficient_data,0,"1851:[Start of chain] | 1861:Barrie, Town of"
chain_00091,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Stephen
chain_00090,2,N/A,False,insufficient_data,0,"1851:[Start of chain] | 1861:Preston, Village"
chain_00089,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Puslinch
chain_00088,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Gainsborough
chain_00087,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Ely
chain_00086,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:NO DATA
chain_00085,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:St. Norbert
chain_00084,2,N/A,False,insufficient_data,0,"1851:[Start of chain] | 1861:Oxford, West"
chain_00083,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Clarendon
chain_00082,2,N/A,False,insufficient_data,0,"1851:[Start of chain] | 1861:Monaghan, North"
chain_00081,2,N/A,False,insufficient_data,0,"1851:[Start of chain] | 1861:Present, town of"
chain_00080,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:St. Thomas
chain_00079,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Lavant
chain_00078,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Brooke
chain_00077,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Ste. Anne
chain_00108,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Gore
chain_00107,2,N/A,False,insufficient_data,0,"1851:[Start of chain] | 1861:Perth, Town of"
chain_00106,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Onondag
chain_00105,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:St. Simon
chain_00104,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Maidstone
chain_00103,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Howick
chain_00102,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Haldimand
chain_00101,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Hallowell
chain_00100,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Elizabethtown
chain_00099,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Stanbridge
chain_00098,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Daniel (Port)
chain_00097,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Beckwith
chain_00096,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Newton
chain_00095,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Hay
chain_00094,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Barnston
chain_00093,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Shefford
chain_00124,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Warwick
chain_00123,2,N/A,False,insufficient_data,0,"1851:[Start of chain] | 1861:Dumfries, North"
chain_00122,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Essa
chain_00121,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Escott
chain_00120,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:King
chain_00119,2,N/A,False,insufficient_data,0,"1851:[Start of chain] | 1861:Dumfries, South"
chain_00118,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Holland
chain_00117,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:St. Constant
chain_00116,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:St. Barthélemi
chain_00115,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Dunn
chain_00114,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Darling
chain_00113,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Mersea
chain_00112,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Cap Rosier
chain_00111,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:St. Urbain Premier
chain_00110,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Matapedia
chain_00109,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Ernestown
chain_00140,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:St. Cuthbert
chain_00139,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Vespra
chain_00138,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:NO DATA
chain_00137,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Grimsby
chain_00136,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:St. François
chain_00135,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Mountain
chain_00134,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Portland
chain_00133,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Amaranth
chain_00132,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Ste. Rosalie
chain_00131,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Ashfield
chain_00130,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:St. Hermas
chain_00129,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Binbrook
chain_00128,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Baie St. Paul
chain_00127,2,N/A,False,insufficient_data,0,"1851:[Start of chain] | 1861:Thorald, Village"
chain_00126,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Townsend
chain_00125,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Louth
chain_00156,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Anderdon
chain_00155,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Brock
chain_00154,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Murray
chain_00153,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Laval
chain_00152,2,N/A,False,insufficient_data,0,1851:[Start of chain] | 1861:Yarmouth
