tcpuid,year,original_name,canonical_name,should_apply,consensus_count,total_years,avg_similarity,min_similarity,reason,all_names,cd_name,province
BC002002,1891,"New Westminster, City—Cité","New Westminster, City—Cité",False,1,2,12.9,12.9,name_change,"Delta | New Westminster, City—Cité",New Westminster,BC
BC002002,1901,Delta,Delta,False,1,2,12.9,12.9,name_change,"Delta | New Westminster, City—Cité",New Westminster,BC
BC004001,1891,"Victoria, James’ Bay, Ward—Quartier","Victoria, James’ Bay, Ward—Quartier",False,1,2,27.5,27.5,name_change,"Esquimalt (part) | Victoria, James’ Bay, Ward—Quartier",Victoria,BC
BC004001,1901,Esquimalt (part),Esquimalt (part),False,1,2,27.5,27.5,name_change,"Esquimalt (part) | Victoria, James’ Bay, Ward—Quartier",Victoria,BC
BC004002,1891,"Victoria, Johnson Street, Ward—Quartier","Victoria, Johnson Street, Ward—Quartier",False,1,2,20.8,20.8,name_change,"Metchosin | Victoria, Johnson Street, Ward—Quartier",Victoria,BC
BC004002,1901,Metchosin,Metchosin,False,1,2,20.8,20.8,name_change,"Metchosin | Victoria, Johnson Street, Ward—Quartier",Victoria,BC
BC004003,1891,"Victoria, Yates Street, Ward—Quartier","Victoria, Yates Street, Ward—Quartier",False,1,2,35.6,35.6,name_change,"Victoria | Victoria, Yates Street, Ward—Quartier",Victoria,BC
BC004003,1901,Victoria,Victoria,False,1,2,35.6,35.6,name_change,"Victoria | Victoria, Yates Street, Ward—Quartier",Victoria,BC
BC004004,1891,Esquimalt,Esquimalt,False,1,2,21.4,21.4,name_change,"Esquimalt | Victoria, City—Cité",Victoria,BC
BC004004,1901,"Victoria, City—Cité","Victoria, City—Cité",False,1,2,21.4,21.4,name_change,"Esquimalt | Victoria, City—Cité",Victoria ,BC
MB006016,1891,St. Paul,St. Paul,False,1,2,23.5,23.5,name_change,St. Paul | Whitehead,Lisgar,MB
MB006016,1901,Whitehead,Whitehead,False,1,2,23.5,23.5,name_change,St. Paul | Whitehead,Brandon,MB
MB007010,1891,"Gladstone, Town—Ville","Gladstone, Town—Ville",False,1,2,55.6,55.6,name_change,"Gladstone, Town—Ville | Gretna, Village",Marquette,MB
MB007010,1901,"Gretna, Village","Gretna, Village",False,1,2,55.6,55.6,name_change,"Gladstone, Town—Ville | Gretna, Village",Lisgar,MB
MB009019,1891,"Morden, Town—Ville","Morden, Town—Ville",False,1,2,25.0,25.0,name_change,"Morden, Town—Ville | Odanah",Selkirk,MB
