cd_from,cd_to,relationship,iou,from_fraction,to_fraction,overlap_sqm
CD_BC_Burrard,CD_BC_New_Westminster,OVERLAPS,0.0,0.0,0.0,2743.77
CD_BC_Burrard,CD_BC_Yale_&_Cariboo,OVERLAPS,0.1298,0.2234,0.2366,102600747399.19
CD_BC_Burrard,CD_BC_Comox-Atlin,OVERLAPS,0.7272,0.7729,0.9248,355036129299.93
CD_BC_Burrard,CD_YT_Yukon,OVERLAPS,0.0,0.0,0.0,12999435.45
CD_BC_New_Westminster,CD_BC_Vancouver_City,OVERLAPS,0.006,0.0068,0.0483,86639464.77
CD_BC_New_Westminster,CD_BC_Yale_&_Cariboo,OVERLAPS,0.0,0.0002,0.0,1966570.91
CD_BC_Vancouver,CD_BC_Comox-Atlin,OVERLAPS,0.0678,0.7971,0.069,26479434183.1
CD_BC_Yale_&_Cariboo,CD_AB_Macleod,OVERLAPS,0.0019,0.002,0.0332,811881048.58
CD_BC_Yale_&_Cariboo,CD_AB_Calgary,OVERLAPS,0.0008,0.0009,0.0244,354594908.69
CD_BC_Yale_&_Cariboo,CD_BC_New_Westminster,OVERLAPS,0.0082,0.0084,0.2163,3500876105.12
CD_BC_Yale_&_Cariboo,CD_AB_Red_Deer,OVERLAPS,0.0002,0.0002,0.0017,89440628.88
CD_BC_Yale_&_Cariboo,CD_BC_Yale_&_Cariboo,OVERLAPS,0.6391,0.7975,0.7629,330806188440.79
CD_BC_Yale_&_Cariboo,CD_AB_Edmonton,OVERLAPS,0.0063,0.0109,0.0147,4524870938.09
CD_BC_Yale_&_Cariboo,CD_BC_Comox-Atlin,OVERLAPS,0.003,0.0058,0.0062,2385901879.78
CD_BC_Yale_&_Cariboo,CD_NT_Northwest_Territories,OVERLAPS,0.0,0.0,0.0,3150606.37
CD_BC_Yale_&_Cariboo,CD_YT_Yukon,OVERLAPS,0.0,0.0,0.0,362547.15
CD_MB_Brandon,CD_MB_Souris,OVERLAPS,0.365,0.4598,0.6392,6397381033.84
CD_MB_Lisgar,CD_MB_Souris,OVERLAPS,0.2024,0.3155,0.3608,3610873777.05
CD_MB_Lisgar,CD_MB_Macdonald,OVERLAPS,0.1836,0.2962,0.3256,3389941489.87
CD_MB_Macdonald,CD_MB_Macdonald,OVERLAPS,0.0873,0.1173,0.2543,2647002902.79
CD_MB_Macdonald,CD_MB_Dauphin,OVERLAPS,0.1602,0.55,0.1844,12408530462.08
CD_MB_Marquette,CD_MB_Dauphin,OVERLAPS,0.3156,0.6551,0.3786,25476273667.34
CD_MB_Marquette,CD_SK_Mackenzie,OVERLAPS,0.0,0.0,0.0,10925.88
CD_MB_Provencher,CD_MB_Macdonald,OVERLAPS,0.0006,0.0011,0.0015,15786172.35
CD_MB_Provencher,CD_MB_Selkirk,OVERLAPS,0.0004,0.0017,0.0005,24895915.36
CD_MB_Selkirk,CD_MB_Provencher,OVERLAPS,0.0004,0.0005,0.0028,41681201.77
CD_MB_Selkirk,CD_ON_Thunder_Bay_&_Rainy_River,OVERLAPS,0.0,0.0,0.0,2041.87
CD_MB_Selkirk,CD_MB_Winnipeg_City,OVERLAPS,0.0,0.0,0.0007,14931.94
CD_MB_Selkirk,CD_MB_Macdonald,OVERLAPS,0.0465,0.0498,0.4152,4321939555.44
CD_MB_Selkirk,CD_MB_Dauphin,OVERLAPS,0.2358,0.3387,0.437,29412040623.41
"CD_MB_Winnipeg,_City—Cité",CD_MB_Macdonald,OVERLAPS,0.0034,0.6309,0.0034,35472873.29
CD_NB_Restigouche,CD_NB_Gloucester,OVERLAPS,0.0144,0.0219,0.04,193790193.35
CD_NS_Cape_Breton,CD_NS_Cape_Breton_N._&_Victoria,OVERLAPS,0.1234,0.2593,0.1906,709635771.64
CD_NS_Kings,CD_NS_Annapolis,OVERLAPS,0.0,0.0,0.0,4392.94
CD_NT_Alberta,CD_AB_Medicine_Hat,OVERLAPS,0.1304,0.1445,0.5718,37671273359.59
CD_NT_Alberta,CD_BC_Kootenay,OVERLAPS,0.0055,0.007,0.0247,1829153631.15
CD_NT_Alberta,CD_AB_Red_Deer,OVERLAPS,0.1659,0.1719,0.8268,44816500134.35
CD_NT_Alberta,CD_AB_Strathcona,OVERLAPS,0.0714,0.0735,0.7216,19151697027.06
CD_NT_Alberta,CD_AB_Victoria,OVERLAPS,0.0522,0.0776,0.1376,20239642956.57
CD_NT_Alberta,CD_BC_Yale_&_Cariboo,OVERLAPS,0.0003,0.0009,0.0005,233237923.39
CD_NT_Alberta,CD_AB_Edmonton,OVERLAPS,0.2109,0.3794,0.322,98906401165.89
"CD_NT_Assiniboia,_East—Est",CD_MB_Souris,OVERLAPS,0.0,0.0,0.0,1377.58
"CD_NT_Assiniboia,_East—Est",CD_SK_Regina,OVERLAPS,0.0131,0.0173,0.0512,1042337942.96
"CD_NT_Assiniboia,_East—Est",CD_SK_Qu'Appelle,OVERLAPS,0.2121,0.2149,0.9416,12939668016.51
"CD_NT_Assiniboia,_East—Est",CD_MB_Marquette,OVERLAPS,0.0,0.0,0.0,2174.69
"CD_NT_Assiniboia,_East—Est",CD_SK_Mackenzie,OVERLAPS,0.1708,0.1975,0.5581,11891930736.56
"CD_NT_Assiniboia,_East—Est",CD_SK_Humboldt,OVERLAPS,0.0537,0.0766,0.1521,4611636558.98
"CD_NT_Assiniboia,_West—Ouest",CD_SK_Regina,OVERLAPS,0.1133,0.114,0.9488,19303539130.48
"CD_NT_Assiniboia,_West—Ouest",CD_SK_Qu'Appelle,OVERLAPS,0.0044,0.0047,0.0584,802211581.66
"CD_NT_Assiniboia,_West—Ouest",CD_SK_Saltcoats,OVERLAPS,0.0018,0.002,0.0307,330423000.16
"CD_NT_Assiniboia,_West—Ouest",CD_AB_Medicine_Hat,OVERLAPS,0.1363,0.1666,0.4282,28207119990.58
"CD_NT_Assiniboia,_West—Ouest",CD_SK_Humboldt,OVERLAPS,0.0665,0.0735,0.4105,12448128318.17
"CD_NT_Assiniboia,_West—Ouest",CD_SK_Saskatoon,OVERLAPS,0.0467,0.049,0.4954,8299276497.49
"CD_NT_Assiniboia,_West—Ouest",CD_AB_Red_Deer,OVERLAPS,0.0169,0.022,0.0687,3722054637.18
"CD_NT_Assiniboia,_West—Ouest",CD_SK_Battleford,OVERLAPS,0.0283,0.0501,0.0612,8479599017.78
CD_NT_Saskatchewan,CD_MB_Dauphin,OVERLAPS,0.0,0.0,0.0,105721.36
CD_NT_Saskatchewan,CD_SK_Mackenzie,OVERLAPS,0.0332,0.0346,0.4419,9414369919.28
CD_NT_Saskatchewan,CD_SK_Humboldt,OVERLAPS,0.0459,0.0488,0.4374,13265339160.22
CD_NT_Saskatchewan,CD_SK_Saskatoon,OVERLAPS,0.0302,0.0311,0.5046,8453437446.31
CD_NT_Saskatchewan,CD_AB_Red_Deer,OVERLAPS,0.0174,0.0205,0.1029,5577705809.7
CD_NT_Saskatchewan,CD_AB_Strathcona,OVERLAPS,0.0254,0.0272,0.2784,7387740812.23
CD_NT_Saskatchewan,CD_SK_Battleford,OVERLAPS,0.1606,0.209,0.4099,56830205544.67
CD_NT_Saskatchewan,CD_SK_Prince_Albert,OVERLAPS,0.2193,0.3607,0.3589,98072842516.66
CD_NT_Saskatchewan,CD_AB_Victoria,OVERLAPS,0.0506,0.0743,0.1373,20192676751.72
CD_NT_Saskatchewan,CD_NT_Northwest_Territories,OVERLAPS,0.0103,0.1939,0.0108,52734948146.36
CD_NT_Unorganized_Territories,CD_ON_Thunder_Bay_&_Rainy_River,OVERLAPS,0.0,0.0,0.0009,154381812.66
CD_NT_Unorganized_Territories,CD_SK_Battleford,OVERLAPS,0.0145,0.0146,0.529,73345748647.96
CD_NT_Unorganized_Territories,CD_SK_Prince_Albert,OVERLAPS,0.0343,0.035,0.6411,175191609025.41
CD_NT_Unorganized_Territories,CD_AB_Victoria,OVERLAPS,0.0211,0.0213,0.7251,106630211221.45
CD_NT_Unorganized_Territories,CD_AB_Edmonton,OVERLAPS,0.0399,0.0407,0.6633,203738486087.26
CD_NT_Unorganized_Territories,CD_BC_Comox-Atlin,OVERLAPS,0.0,0.0,0.0,14187.0
CD_NT_Unorganized_Territories,CD_NT_Northwest_Territories,OVERLAPS,0.6774,0.7974,0.8182,3993020494010.02
CD_ON_Addington,CD_ON_Lennox_&_Addington,OVERLAPS,0.3426,0.397,0.7146,2246974559.46
CD_ON_Addington,CD_ON_Frontenac,OVERLAPS,0.5153,0.603,0.7799,3413606752.56
CD_ON_Algoma,CD_ON_Algoma_W-O,OVERLAPS,0.1437,0.1468,0.8706,41225696106.78
CD_ON_Algoma,CD_ON_Algoma_E,OVERLAPS,0.1471,0.213,0.3221,59787358500.28
CD_ON_Algoma,CD_MB_Provencher,OVERLAPS,0.0,0.0,0.0,83047.55
CD_ON_Algoma,CD_MB_Selkirk,OVERLAPS,0.0,0.0,0.0,6194.46
CD_ON_Algoma,CD_NT_Northwest_Territories,OVERLAPS,0.0,0.0001,0.0,25256145.65
CD_ON_Bothwell,CD_ON_Kent_E,OVERLAPS,0.3555,0.4753,0.5853,715960438.94
CD_ON_Bothwell,CD_ON_Lambton_W-O,OVERLAPS,0.3324,0.5247,0.4755,790524907.13
"CD_ON_Brant,_South—Sud",CD_ON_Brantford,OVERLAPS,0.3583,0.3953,0.7928,185352671.63
"CD_ON_Brant,_South—Sud",CD_ON_Brant,OVERLAPS,0.2535,0.6047,0.3039,283540407.18
CD_ON_Brockville,CD_ON_Leeds,OVERLAPS,0.1144,0.3909,0.1392,238170918.2
CD_ON_Brockville,CD_ON_Brockville,OVERLAPS,0.3662,0.6091,0.4786,371180442.62
"CD_ON_Bruce,_North—Nord",CD_ON_Bruce_S,OVERLAPS,0.0673,0.1194,0.1337,242203670.25
"CD_ON_Bruce,_North—Nord",CD_ON_Bruce_N,OVERLAPS,0.6437,0.8806,0.7053,1785496583.94
"CD_ON_Bruce,_West—Ouest",CD_ON_Bruce_S,OVERLAPS,0.1808,0.3827,0.2553,462593414.52
"CD_ON_Bruce,_West—Ouest",CD_ON_Bruce_N,OVERLAPS,0.2492,0.6173,0.2947,746092270.57
CD_ON_Cardwell,CD_ON_Peel,OVERLAPS,0.3085,0.5257,0.4276,551539755.45
CD_ON_Cardwell,CD_ON_Dufferin,OVERLAPS,0.1297,0.2859,0.192,299921014.98
CD_ON_Cardwell,CD_ON_Simcoe_S,OVERLAPS,0.0807,0.1885,0.1236,197749462.18
"CD_ON_Elgin,_East—Est",CD_ON_Elgin_W-O,OVERLAPS,0.0014,0.003,0.0026,2597961.25
"CD_ON_Elgin,_West—Ouest",CD_ON_Kent_E,OVERLAPS,0.2296,0.3397,0.4147,507314465.57
"CD_ON_Essex,_North—Nord",CD_ON_Essex_S,OVERLAPS,0.1118,0.2485,0.1688,222889262.15
CD_ON_Frontenac,CD_ON_Kingston,OVERLAPS,0.0019,0.002,0.1943,1890944.62
"CD_ON_Grey,_East—Est",CD_ON_Dufferin,OVERLAPS,0.1064,0.175,0.2135,333545013.46
"CD_ON_Grey,_East—Est",CD_ON_Grey_E,OVERLAPS,0.5108,0.6735,0.6789,1283942745.81
"CD_ON_Grey,_East—Est",CD_ON_Grey_N,OVERLAPS,0.0998,0.1515,0.2261,288855350.32
"CD_ON_Grey,_North—Nord",CD_ON_Grey_S,OVERLAPS,0.1121,0.199,0.2042,321225034.28
"CD_ON_Grey,_North—Nord",CD_ON_Grey_E,OVERLAPS,0.095,0.1883,0.1608,304040662.75
"CD_ON_Grey,_North—Nord",CD_ON_Grey_N,OVERLAPS,0.5197,0.6127,0.7739,988972812.36
"CD_ON_Grey,_South—Sud",CD_ON_Grey_S,OVERLAPS,0.6672,0.805,0.7958,1251819887.94
"CD_ON_Grey,_South—Sud",CD_ON_Grey_E,OVERLAPS,0.0965,0.195,0.1603,303256833.81
CD_ON_Haldimand_&_Monok,CD_ON_Haldimand,OVERLAPS,0.6614,0.8183,0.7752,1044172259.85
CD_ON_Haldimand_&_Monok,CD_ON_Welland,OVERLAPS,0.109,0.1817,0.2143,231855996.88
"CD_ON_Hamilton,_City—Cité",CD_ON_Hamilton_E,OVERLAPS,0.3817,0.453,0.708,7914333.67
"CD_ON_Hastings,_North—Nord",CD_ON_Hastings_E,OVERLAPS,0.406,0.4956,0.6917,2456271792.91
"CD_ON_Hastings,_North—Nord",CD_ON_Hastings_W-O,OVERLAPS,0.4721,0.5044,0.8807,2499396769.78
"CD_ON_Huron,_South—Sud",CD_ON_Huron_S,OVERLAPS,0.5553,0.783,0.6563,859767994.12
"CD_ON_Huron,_South—Sud",CD_ON_Huron_W-O,OVERLAPS,0.1206,0.217,0.2136,238271623.29
"CD_ON_Huron,_West—Ouest",CD_ON_Huron_W-O,OVERLAPS,0.6749,0.8263,0.7864,877256485.19
"CD_ON_Huron,_West—Ouest",CD_ON_Huron_E,OVERLAPS,0.0898,0.1737,0.1569,184356492.55
"CD_ON_Lambton,_West—Ouest",CD_ON_Lambton_East,OVERLAPS,0.0011,0.003,0.0017,2597992.94
"CD_ON_Lanark,_North—Nord",CD_ON_Carleton,OVERLAPS,0.1557,0.2426,0.3029,539454458.15
"CD_ON_Lanark,_South—Sud",CD_ON_Lanark_N,OVERLAPS,0.002,0.0041,0.0039,6634662.0
"CD_ON_Leeds_&_Grenville,_North—Nord",CD_ON_Leeds,OVERLAPS,0.0545,0.1718,0.074,126575499.65
"CD_ON_Leeds_&_Grenville,_North—Nord",CD_ON_Lanark_S,OVERLAPS,0.0004,0.0012,0.0005,873090.64
"CD_ON_Leeds_&_Grenville,_North—Nord",CD_ON_Grenville,OVERLAPS,0.4369,0.827,0.4808,609345927.34
