cd_from,cd_to,relationship,iou,from_fraction,to_fraction,overlap_sqm
CD_BC_Cariboo,CD_BC_Yale_&_Cariboo,WITHIN,0.688,1.0,0.688,285407533998.34
CD_BC_New_Westminster,CD_BC_Burrard,WITHIN,0.9768,0.9768,1.0,459356310798.07
CD_BC_Vancouver,CD_BC_Vancouver,SAME_AS,1.0,1.0,1.0,33219432807.75
CD_BC_Victoria,CD_BC_Victoria_,CONTAINS,0.1061,0.1061,1.0,19779944.49
CD_BC_Victoria,CD_BC_Victoria,CONTAINS,0.8939,0.8939,1.0,166589390.19
CD_BC_Yale,CD_BC_Yale_&_Cariboo,WITHIN,0.31,0.9844,0.3115,129212169509.6
CD_MB_Lisgar,CD_MB_Selkirk,WITHIN,0.9295,0.9851,0.9427,81872042124.29
CD_MB_Marquette,CD_MB_Macdonald,CONTAINS,0.3264,0.3294,0.9725,21940730156.83
CD_MB_Marquette,CD_MB_Marquette,CONTAINS,0.5839,0.5839,1.0,38889692918.25
CD_MB_Provencher,CD_MB_Provencher,WITHIN,0.3848,1.0,0.3848,5648483647.2
CD_MB_Provencher_,CD_MB_Provencher,WITHIN,0.6121,0.9958,0.6137,9009889736.18
CD_MB_Selkirk,CD_MB_Brandon,CONTAINS,0.5816,0.5816,1.0,13914076243.23
"CD_MB_Winnipeg,_City—Cité","CD_MB_Winnipeg,_City—Cité",WITHIN,0.979,0.979,1.0,56228617.37
CD_NB_Albert,CD_NB_Albert,SAME_AS,1.0,1.0,1.0,1875784373.85
CD_NB_Carleton,CD_NB_Carleton,SAME_AS,1.0,1.0,1.0,3427847680.77
CD_NB_Charlotte,CD_NB_Charlotte,SAME_AS,1.0,1.0,1.0,3676128982.83
CD_NB_Gloucester,CD_NB_Gloucester,SAME_AS,1.0,1.0,1.0,4649288068.04
CD_NB_Kent,CD_NB_Kent,SAME_AS,1.0,1.0,1.0,4720822750.22
CD_NB_King’s,CD_NB_Kings,SAME_AS,1.0,1.0,1.0,3618141557.22
CD_NB_Northumberland,CD_NB_Northumberland,SAME_AS,1.0,1.0,1.0,12450091202.59
