var_code,year,presence_count
VAR_ADVENTISTS,1911,373
VAR_ADVENTISTS,1921,901
VAR_AGE_01to02F_N,1851,866
VAR_AGE_01to02F_N,1861,1023
VAR_AGE_01to02M_N,1851,867
VAR_AGE_01to02M_N,1861,1027
VAR_AGE_02to03F_N,1851,861
VAR_AGE_02to03F_N,1861,1033
VAR_AGE_02to03M_N,1851,864
VAR_AGE_02to03M_N,1861,1035
VAR_AGE_03to04F_N,1851,861
VAR_AGE_03to04F_N,1861,1033
VAR_AGE_03to04M_N,1851,864
VAR_AGE_03to04M_N,1861,1038
VAR_AGE_04to05F_N,1851,857
VAR_AGE_04to05F_N,1861,1029
VAR_AGE_04to05M_N,1851,863
VAR_AGE_04to05M_N,1861,1034
VAR_AGE_05to10F_N,1851,876
VAR_AGE_05to10F_N,1861,1045
VAR_AGE_05to10M_N,1851,877
VAR_AGE_05to10M_N,1861,1048
VAR_AGE_05to16F_N,1871,71
VAR_AGE_05to16M_N,1871,71
VAR_AGE_0to01F_N,1851,863
VAR_AGE_0to01M_N,1851,863
VAR_AGE_0to05F_N,1871,71
VAR_AGE_0to05M_N,1871,71
VAR_AGE_0to17FS_N,1871,1698
VAR_AGE_0to17FS_N,1881,2135
VAR_AGE_0to17FS_N,1891,2474
VAR_AGE_0to17MS_N,1871,1702
VAR_AGE_0to17MS_N,1881,2135
VAR_AGE_0to17MS_N,1891,2474
VAR_AGE_0to17XS_N,1871,1702
VAR_AGE_0to17XS_N,1881,2135
VAR_AGE_0to17XS_N,1891,2474
VAR_AGE_10to15FM_N,1851,15
VAR_AGE_10to15FM_N,1861,29
VAR_AGE_10to15FS_N,1851,875
VAR_AGE_10to15FS_N,1861,1045
VAR_AGE_10to15MM_N,1861,11
VAR_AGE_10to15MS_N,1851,883
VAR_AGE_10to15MS_N,1861,1048
VAR_AGE_15to20FM_N,1851,825
VAR_AGE_15to20FM_N,1861,912
VAR_AGE_15to20FS_N,1851,880
VAR_AGE_15to20FS_N,1861,1047
VAR_AGE_15to20MM_N,1851,492
VAR_AGE_15to20MM_N,1861,496
VAR_AGE_15to20MS_N,1851,882
VAR_AGE_15to20MS_N,1861,1050
VAR_AGE_16to21F_N,1871,71
VAR_AGE_16to21M_N,1871,71
VAR_AGE_20to30FM_N,1851,875
VAR_AGE_20to30FM_N,1861,1041
VAR_AGE_20to30FS_N,1851,869
VAR_AGE_20to30FS_N,1861,1040
VAR_AGE_20to30FW_N,1851,553
VAR_AGE_20to30FW_N,1861,674
VAR_AGE_20to30MM_N,1851,876
VAR_AGE_20to30MM_N,1861,1039
VAR_AGE_20to30MS_N,1851,882
VAR_AGE_20to30MS_N,1861,1050
VAR_AGE_20to30MW_N,1851,443
VAR_AGE_20to30MW_N,1861,534
VAR_AGE_21to45F_N,1871,71
VAR_AGE_21to45M_N,1871,71
VAR_AGE_30to40FM_N,1851,877
VAR_AGE_30to40FM_N,1861,1039
VAR_AGE_30to40FS_N,1851,776
VAR_AGE_30to40FS_N,1861,1004
VAR_AGE_30to40FW_N,1851,693
VAR_AGE_30to40FW_N,1861,869
VAR_AGE_30to40MM_N,1851,879
VAR_AGE_30to40MM_N,1861,1042
VAR_AGE_30to40MS_N,1851,839
VAR_AGE_30to40MS_N,1861,1029
VAR_AGE_30to40MW_N,1851,626
VAR_AGE_30to40MW_N,1861,815
VAR_AGE_40to50FM_N,1851,865
VAR_AGE_40to50FM_N,1861,1034
VAR_AGE_40to50FS_N,1851,703
VAR_AGE_40to50FS_N,1861,926
VAR_AGE_40to50FW_N,1851,749
VAR_AGE_40to50FW_N,1861,932
VAR_AGE_40to50MM_N,1851,870
VAR_AGE_40to50MM_N,1861,1037
VAR_AGE_40to50MS_N,1851,788
VAR_AGE_40to50MS_N,1861,976
VAR_AGE_40to50MW_N,1851,710
VAR_AGE_40to50MW_N,1861,881
VAR_AGE_45to60F_N,1871,71
VAR_AGE_45to60M_N,1871,71
VAR_AGE_50to60FM_N,1851,850
VAR_AGE_50to60FM_N,1861,1031
VAR_AGE_50to60FS_N,1851,628
VAR_AGE_50to60FS_N,1861,866
VAR_AGE_50to60FW_N,1851,772
VAR_AGE_50to60FW_N,1861,963
VAR_AGE_50to60MM_N,1851,868
VAR_AGE_50to60MM_N,1861,1037
VAR_AGE_50to60MS_N,1851,705
VAR_AGE_50to60MS_N,1861,915
VAR_AGE_50to60MW_N,1851,746
VAR_AGE_50to60MW_N,1861,919
VAR_AGE_60to70FM_N,1851,818
VAR_AGE_60to70FM_N,1861,1017
VAR_AGE_60to70FS_N,1851,481
VAR_AGE_60to70FS_N,1861,736
VAR_AGE_60to70FW_N,1851,757
VAR_AGE_60to70FW_N,1861,972
VAR_AGE_60to70MM_N,1851,844
VAR_AGE_60to70MM_N,1861,1029
VAR_AGE_60to70MS_N,1851,577
VAR_AGE_60to70MS_N,1861,805
VAR_AGE_60to70MW_N,1851,731
VAR_AGE_60to70MW_N,1861,941
VAR_AGE_70to80FM_N,1851,658
VAR_AGE_70to80FM_N,1861,888
VAR_AGE_70to80FS_N,1851,352
VAR_AGE_70to80FS_N,1861,571
VAR_AGE_70to80FW_N,1851,694
VAR_AGE_70to80FW_N,1861,926
VAR_AGE_70to80MM_N,1851,768
VAR_AGE_70to80MM_N,1861,937
VAR_AGE_70to80MS_N,1851,349
VAR_AGE_70to80MS_N,1861,566
VAR_AGE_70to80MW_N,1851,652
VAR_AGE_70to80MW_N,1861,866
VAR_AGE_80to90FM_N,1851,258
VAR_AGE_80to90FM_N,1861,448
VAR_AGE_80to90FS_N,1851,136
VAR_AGE_80to90FS_N,1861,270
VAR_AGE_80to90FW_N,1851,481
VAR_AGE_80to90FW_N,1861,705
VAR_AGE_80to90MM_N,1851,498
VAR_AGE_80to90MM_N,1861,713
VAR_AGE_80to90MS_N,1851,153
VAR_AGE_80to90MS_N,1861,286
VAR_AGE_80to90MW_N,1851,470
VAR_AGE_80to90MW_N,1861,674
VAR_AGE_90to100FM_N,1851,41
VAR_AGE_90to100FM_N,1861,77
VAR_AGE_90to100FS_N,1851,38
VAR_AGE_90to100FS_N,1861,55
VAR_AGE_90to100FW_N,1851,181
VAR_AGE_90to100FW_N,1861,239
VAR_AGE_90to100MM_N,1851,107
VAR_AGE_90to100MM_N,1861,170
VAR_AGE_90to100MS_N,1851,38
VAR_AGE_90to100MS_N,1861,60
VAR_AGE_90to100MW_N,1851,147
VAR_AGE_90to100MW_N,1861,201
VAR_AGE_NF_N,1851,248
VAR_AGE_NF_N,1861,410
VAR_AGE_NM_N,1851,320
VAR_AGE_NM_N,1861,490
VAR_AGE_ov100FM_N,1851,2
VAR_AGE_ov100FM_N,1861,5
VAR_AGE_ov100FS_N,1851,2
VAR_AGE_ov100FS_N,1861,8
VAR_AGE_ov100FW_N,1851,22
VAR_AGE_ov100FW_N,1861,27
VAR_AGE_ov100MM_N,1851,7
VAR_AGE_ov100MM_N,1861,22
VAR_AGE_ov100MS_N,1851,7
VAR_AGE_ov100MS_N,1861,3
VAR_AGE_ov100MW_N,1851,15
VAR_AGE_ov100MW_N,1861,33
VAR_AGE_ov60F_N,1871,71
VAR_AGE_ov60M_N,1871,71
VAR_ANGLICANS,1911,2173
VAR_ANGLICANS,1921,3891
VAR_AREA_ACRES,1911,2292
VAR_AREA_SQ_MI,1911,2291
VAR_ARE_XX_A,1871,1656
VAR_ARE_XX_A,1901,2542
VAR_ASIA_CHINESE_AND_JAPANESE,1921,1226
VAR_ASIA_OTHER,1921,165
VAR_ASIA_SYRIAN,1921,504
VAR_AUSTRO_HUNGARIAN,1911,440
VAR_BAPTISTS,1911,1758
VAR_BAPTISTS,1921,3183
VAR_BAR_XX_A,1851,751
VAR_BAR_XX_A,1861,963
VAR_BAR_XX_A,1891,2249
VAR_BAR_XX_B,1851,757
VAR_BAR_XX_B,1861,968
VAR_BAR_XX_B,1871,71
VAR_BAR_XX_B,1881,1966
VAR_BAR_XX_B,1891,2274
VAR_BEAN_XX_B,1851,563
VAR_BEAN_XX_B,1861,667
VAR_BEAN_XX_B,1871,54
VAR_BEAN_XX_B,1891,2071
VAR_BEEF_XX_BL,1851,706
VAR_BEEF_XX_BL,1861,912
VAR_BELGIAN,1911,327
VAR_BIRTH_FX_N,1851,848
VAR_BIRTH_FX_N,1861,1029
VAR_BIRTH_LY_N,1871,71
VAR_BIRTH_MX_N,1851,850
VAR_BIRTH_MX_N,1861,1029
VAR_BLD_CX_N,1871,64
VAR_BLD_SX_N,1871,69
VAR_BRCK_PX_N,1871,13
VAR_BRCK_XX_N,1871,14
VAR_BRDI_XX_N,1871,10
VAR_BRETHREN,1911,411
VAR_BRETHREN,1921,664
VAR_BREW_EX_N,1851,102
VAR_BREW_NR_N,1851,107
VAR_BREW_PX_G,1851,107
VAR_BREW_XC_N,1851,104
VAR_BREW_XR_N,1851,112
VAR_BREW_XX_N,1851,176
VAR_BRIT_BORN_F,1921,3899
VAR_BRIT_BORN_M,1921,4057
VAR_BRIT_ENG,1921,4245
VAR_BRIT_ENGLISH,1911,2438
VAR_BRIT_IRISH,1911,2319
VAR_BRIT_IRISH,1921,4092
VAR_BRIT_OTHER,1911,1040
VAR_BRIT_OTHER,1921,2062
VAR_BRIT_SCOTCH,1911,2244
VAR_BRIT_SCOTCH,1921,3940
VAR_BULGARIAN_AND_RUMANIAN,1911,135
VAR_BUT_XX_LB,1851,787
VAR_BUT_XX_LB,1861,981
VAR_BUT_XX_LB,1871,70
VAR_BUT_XX_LB,1891,2420
VAR_BWT_XX_A,1851,671
VAR_BWT_XX_A,1861,823
VAR_BWT_XX_B,1851,676
VAR_BWT_XX_B,1861,831
VAR_BWT_XX_B,1871,70
VAR_BWT_XX_B,1881,1780
VAR_BWT_XX_B,1891,1956
VAR_CAN_BORN_F,1921,5134
VAR_CAN_BORN_M,1921,5285
VAR_CAR_MISC_N,1871,68
VAR_CAR_SM_N,1871,34
VAR_CAR_XH_N,1861,392
VAR_CAR_XH_V,1861,373
VAR_CAR_XP_N,1861,972
VAR_CAR_XP_V,1861,974
VAR_CFM_EX_N,1851,443
VAR_CFM_NR_N,1851,350
VAR_CFM_PCF_YD,1851,758
VAR_CFM_PCF_YD,1861,904
VAR_CFM_PCF_YD,1871,70
VAR_CFM_PCNF_YD,1871,71
VAR_CFM_PC_YD,1851,426
VAR_CFM_PW_LB,1851,482
VAR_CFM_XC_N,1851,532
VAR_CFM_XR_N,1851,545
