dcb_personId,dcb_name,dcb_birthYear,dcb_deathYear,dcb_url_en,wikidataQid,census_unique_identifier,census_namlast,census_namfrst,census_age,census_sex,census_birthplace_label,persistent_place_id,tcpuid_csd_1881,person_uri,leaf_url,match_method,confidence
lincs:06iOWVxM3Ng,Charles Horatio Waterous,1814,1892,http://www.biographi.ca/en/bio/waterous_charles_horatio_12E.html,,1030606113,waterous,charlys,65,Male,United States,PLACE_ON056001,ON160001,https://jimclifford.ca/hgiscanada/places/on/brantford-e-on160001-1881/residents/a/w/#p-1030606113,/hgiscanada/places/on/brantford-e-on160001-1881/residents/a/w/,name_age_only,medium_no_birthplace
lincs:0BgFKbRYjBn,Thomas Wilder Daniel,1818,1892,http://www.biographi.ca/en/bio/daniel_thomas_wilder_12E.html,,180403313,daniel,thomas,63,Male,England,PLACE_NB032015,NB025007,https://jimclifford.ca/hgiscanada/places/nb/st-john-city-stanley-ward-quartier-nb025007-1881/residents/#p-180403313,/hgiscanada/places/nb/st-john-city-stanley-ward-quartier-nb025007-1881/residents/,name_age_only,medium_no_birthplace
lincs:0Kwz5b8m9eE,Alexander Parker Willis,1845,1934,http://www.biographi.ca/en/bio/willis_alexander_parker_16E.html,,591506604,willis,alexander,35,Male,Nova Scotia,PLACE_QC182001,QC090009,https://jimclifford.ca/hgiscanada/places/qc/montr-al-st-laurent-ward-quartier-qc090009-1881/residents/i/w/#p-591506604,/hgiscanada/places/qc/montr-al-st-laurent-ward-quartier-qc090009-1881/residents/i/w/,name_age_birthplace_strict,high
lincs:1EyQnSNdbx2,John Northway,1848,1926,http://www.biographi.ca/en/bio/northway_john_15E.html,,1052501502,northway,john,33,Male,England,PLACE_ON165002,ON165002,https://jimclifford.ca/hgiscanada/places/on/tilsonburgh-on165002-1881/residents/b/n/#p-1052501502,/hgiscanada/places/on/tilsonburgh-on165002-1881/residents/b/n/,name_age_birthplace_strict,high
lincs:1VYZnhefI1g,Hugh McKinnon,1843,1903,http://www.biographi.ca/en/bio/mckinnon_hugh_13E.html,,841800725,mckinnon,hugh,40,Male,Ontario,PLACE_ON133016,ON133011,https://jimclifford.ca/hgiscanada/places/on/cannington-village-on133011-1881/residents/#p-841800725,/hgiscanada/places/on/cannington-village-on133011-1881/residents/,name_age_birthplace_strict,high
lincs:1r7XrIHiStr,John Naylor,1847,1906,http://www.biographi.ca/en/bio/naylor_john_13E.html,,70307315,naylor,john,36,Male,England,PLACE_NS045043,NS009001,https://jimclifford.ca/hgiscanada/places/ns/halifax-ward-quartier-no-1-ns009001-1881/residents/a/n/#p-70307315,/hgiscanada/places/ns/halifax-ward-quartier-no-1-ns009001-1881/residents/a/n/,name_age_only,medium_no_birthplace
lincs:20kCLLVSAqW,James Harvie Crocket,1859,1930,http://www.biographi.ca/en/bio/crocket_james_harvie_15E.html,,202201619,crocket,james,22,Male,New Brunswick,PLACE_NB025007,NB030004,https://jimclifford.ca/hgiscanada/places/nb/fredericton-queen-s-ward-quartier-nb030004-1881/residents/d/c/#p-202201619,/hgiscanada/places/nb/fredericton-queen-s-ward-quartier-nb030004-1881/residents/d/c/,name_age_birthplace_strict,high
lincs:2m99wj3CASU,Thomas Connon,1832,1899,http://www.biographi.ca/en/bio/connon_thomas_12E.html,,980403714,connon,thomas,48,Male,Scotland,PLACE_ON152020,ON152003,https://jimclifford.ca/hgiscanada/places/on/elora-village-on152003-1881/residents/c/c/#p-980403714,/hgiscanada/places/on/elora-village-on152003-1881/residents/c/c/,name_age_birthplace_strict,high
lincs:36uZMHRYDAE,James Croil,1821,1916,http://www.biographi.ca/en/bio/croil_james_14E.html,,581503621,croil,james,60,Male,Scotland,PLACE_QC180001,QC090008,https://jimclifford.ca/hgiscanada/places/qc/montr-al-st-antoine-ward-quartier-qc090008-1881/residents/h/c-2/#p-581503621,/hgiscanada/places/qc/montr-al-st-antoine-ward-quartier-qc090008-1881/residents/h/c-2/,name_age_only,medium_no_birthplace
lincs:39vzwCrG6N6,John Lynch,1798,1884,http://www.biographi.ca/en/bio/lynch_john_11E.html,,911503424,lynch,john,82,Male,Nova Scotia,PLACE_ON136006,ON140003,https://jimclifford.ca/hgiscanada/places/on/brampton-town-ville-on140003-1881/residents/c/l/#p-911503424,/hgiscanada/places/on/brampton-town-ville-on140003-1881/residents/c/l/,name_age_only,medium_no_birthplace
