person_id,person_name,person_qid,dcb_url,event_type,event_year,place_qid,place_id,place_label,match_strategy,confidence
viaf:100244476,Anna Harriette Edwards,Q234244,http://www.biographi.ca/en/bio/edwards_anna_harriette_14E.html,death,1915,Q340,PLACE_QC076013_1921,Montreal,wd,high
viaf:100384042,William Wilfred Campbell,Q8020362,http://www.biographi.ca/en/bio/campbell_william_wilfred_14E.html,birth,1860,Q52999,PLACE_ON154015,Newmarket,wd,high
viaf:100384042,William Wilfred Campbell,Q8020362,http://www.biographi.ca/en/bio/campbell_william_wilfred_14E.html,death,1918,Q1930,PLACE_ON105011_1921,Ottawa,wd,high
viaf:100669876,Conrad Kain,Q89114,http://www.biographi.ca/en/bio/kain_conrad_16E.html,death,1934,Q1138837,PLACE_BC210002,Cranbrook,wd,high
viaf:10208420,Robert Christie,Q3434800,http://www.biographi.ca/en/bio/christie_robert_8E.html,birth,1787,Q1973829,PLACE_NS012019,Windsor,wd,high
viaf:10208420,Robert Christie,Q3434800,http://www.biographi.ca/en/bio/christie_robert_8E.html,death,1856,Q2145,PLACE_QC081017,Quebec City,wd,high
viaf:10208449,Sir Joseph Pope,Q6286313,http://www.biographi.ca/en/bio/pope_joseph_15E.html,birth,1854,Q2127,PLACE_PE003025,Charlottetown,wd,high
viaf:10208449,Sir Joseph Pope,Q6286313,http://www.biographi.ca/en/bio/pope_joseph_15E.html,death,1926,Q1930,PLACE_ON105011_1921,Ottawa,wd,high
viaf:10211704,William Fraser Tolmie,Q8009366,http://www.biographi.ca/en/bio/tolmie_william_fraser_11E.html,death,1886,Q2132,PLACE_BC217001,Victoria,wd,high
viaf:10215591,John Willison,Q6259026,http://www.biographi.ca/en/bio/willison_john_stephen_15E.html,death,1927,Q172,PLACE_ON154011,Toronto,wd,high
viaf:102159397308219301012,Thomas-Joseph Dowling,Q7791396,http://www.biographi.ca/en/bio/dowling_thomas_joseph_15E.html,death,1924,Q133116,PLACE_ON153009_1921,Hamilton,wd,high
viaf:103214894,Frédéric Janssoone,Q1816380,http://www.biographi.ca/en/bio/janssoone_frederic_14E.html,death,1916,Q340,PLACE_QC076013_1921,Montreal,wd,high
viaf:103609592,Edward Mortimer Archibald,Q5344529,http://www.biographi.ca/en/bio/archibald_edward_mortimer_11E.html,birth,1810,Q283064,PLACE_NS007026,Truro,wd,high
viaf:103693053,James Douglas,Q358904,http://www.biographi.ca/en/bio/douglas_james_10E.html,death,1877,Q2132,PLACE_BC217001,Victoria,wd,high
viaf:103945313,Alexis Mailloux,Q2834578,http://www.biographi.ca/en/bio/mailloux_alexis_10E.html,death,1877,Q3462390,PLACE_QC066017,Saint-Henri,wd,high
