PR,name_cd,name_csd,tcpuid_csd,csd_presence,chain_id,resolution,valid_csd,valid_chain,year
ON,"Bytown, Town",East Ward,ON046001,ON046001_1851,"CD_ON_Bytown,_Town",unmatched,True,False,1851
ON,"Bytown, Town",West Ward,ON046002,ON046002_1851,"CD_ON_Bytown,_Town",unmatched,True,False,1851
ON,"Bytown, Town",Centre Ward,ON046003,ON046003_1851,"CD_ON_Bytown,_Town",unmatched,True,False,1851
ON,"London, Town",St. George’s Ward,ON047001,ON047001_1851,"CD_ON_London,_Town",unmatched,True,False,1851
ON,"London, Town",St. Patrick’s Ward,ON047002,ON047002_1851,"CD_ON_London,_Town",unmatched,True,False,1851
ON,"London, Town",St. Andrew’s Ward,ON047003,ON047003_1851,"CD_ON_London,_Town",unmatched,True,False,1851
ON,"London, Town",St. David’s Ward,ON047004,ON047004_1851,"CD_ON_London,_Town",unmatched,True,False,1851
QC,Ottawa,"Aylmer, Town",QC067001,QC067001_1851,CD_QC_Ottawa,unmatched,True,False,1851
QC,Ottawa,Allumettes,QC067002,QC067002_1851,CD_QC_Ottawa,unmatched,True,False,1851
QC,Ottawa,Bristol,QC067003,QC067003_1851,CD_QC_Ottawa,unmatched,True,False,1851
QC,Ottawa,Buckingham ,QC067004,QC067004_1851,CD_QC_Ottawa,unmatched,True,False,1851
QC,Ottawa,Calumet,QC067005,QC067005_1851,CD_QC_Ottawa,unmatched,True,False,1851
QC,Ottawa,Chichester,QC067006,QC067006_1851,CD_QC_Ottawa,unmatched,True,False,1851
QC,Ottawa,Clarendon,QC067007,QC067007_1851,CD_QC_Ottawa,unmatched,True,False,1851
QC,Ottawa,Derry,QC067008,QC067008_1851,CD_QC_Ottawa,unmatched,True,False,1851
QC,Ottawa,Eardley,QC067009,QC067009_1851,CD_QC_Ottawa,unmatched,True,False,1851
QC,Ottawa,Hull,QC067010,QC067010_1851,CD_QC_Ottawa,unmatched,True,False,1851
QC,Ottawa,Litchfield,QC067011,QC067011_1851,CD_QC_Ottawa,unmatched,True,False,1851
QC,Ottawa,Lochaber ,QC067012,QC067012_1851,CD_QC_Ottawa,unmatched,True,False,1851
QC,Ottawa,"Lochaber, Gore",QC067013,QC067013_1851,CD_QC_Ottawa,unmatched,True,False,1851
QC,Ottawa,Mansfield,QC067014,QC067014_1851,CD_QC_Ottawa,unmatched,True,False,1851
QC,Ottawa,Masham,QC067015,QC067015_1851,CD_QC_Ottawa,unmatched,True,False,1851
QC,Ottawa,Onslow,QC067016,QC067016_1851,CD_QC_Ottawa,unmatched,True,False,1851
QC,Ottawa,Oldfield,QC067017,QC067017_1851,CD_QC_Ottawa,unmatched,True,False,1851
QC,Ottawa,Petite Nation,QC067018,QC067018_1851,CD_QC_Ottawa,unmatched,True,False,1851
