appellation_id:ID,:LABEL,name,type,tcpuid,notes,year
APP_NB015002_CANONICAL,E41_Appellation,Carleton,canonical,NB015002,Canonical name for NB015002 (OCR corrected),
APP_NB015002_1901_VARIANT,E41_Appellation,Clarendon,variant,NB015002,"OCR variant of ""Carleton""",1901.0
APP_NB022005_CANONICAL,E41_Appellation,Maugerville,canonical,NB022005,Canonical name for NB022005 (OCR corrected),
APP_NB022007_CANONICAL,E41_Appellation,Sheffield,canonical,NB022007,Canonical name for NB022007 (OCR corrected),
APP_NB023011_CANONICAL,E41_Appellation,St. Hilaire,canonical,NB023011,Canonical name for NB023011 (OCR corrected),
APP_NB023012_CANONICAL,E41_Appellation,St. Jacques,canonical,NB023012,Canonical name for NB023012 (OCR corrected),
APP_NB023013_CANONICAL,E41_Appellation,St. Leonard's,canonical,NB023013,Canonical name for NB023013 (OCR corrected),
APP_NB023013_1901_VARIANT,E41_Appellation,St. Léonard,variant,NB023013,"OCR variant of ""St. Leonard's""",1901.0
APP_NB028999_CANONICAL,E41_Appellation,NO DATA,canonical,NB028999,Canonical name for NB028999 (OCR corrected),
APP_NB032003_CANONICAL,E41_Appellation,St. Martins,canonical,NB032003,Canonical name for NB032003 (OCR corrected),
APP_NB032004_CANONICAL,E41_Appellation,Simonds,canonical,NB032004,Canonical name for NB032004 (OCR corrected),
APP_NB036008_CANONICAL,E41_Appellation,New Maryland,canonical,NB036008,Canonical name for NB036008 (OCR corrected),
APP_NB036009_CANONICAL,E41_Appellation,North Lake,canonical,NB036009,Canonical name for NB036009 (OCR corrected),
APP_NB036010_CANONICAL,E41_Appellation,Prince William,canonical,NB036010,Canonical name for NB036010 (OCR corrected),
APP_NB036011_CANONICAL,E41_Appellation,Queensbury,canonical,NB036011,Canonical name for NB036011 (OCR corrected),
APP_NB036013_CANONICAL,E41_Appellation,Southampton,canonical,NB036013,Canonical name for NB036013 (OCR corrected),
APP_NB036014_CANONICAL,E41_Appellation,Stanley,canonical,NB036014,Canonical name for NB036014 (OCR corrected),
APP_NB995999_CANONICAL,E41_Appellation,NO DATA,canonical,NB995999,Canonical name for NB995999 (OCR corrected),
APP_NL998999_CANONICAL,E41_Appellation,NO DATA,canonical,NL998999,Canonical name for NL998999 (OCR corrected),
APP_NL999999_CANONICAL,E41_Appellation,NO DATA,canonical,NL999999,Canonical name for NL999999 (OCR corrected),
APP_NS004999_CANONICAL,E41_Appellation,NO DATA,canonical,NS004999,Canonical name for NS004999 (OCR corrected),
APP_NS010999_CANONICAL,E41_Appellation,NO DATA,canonical,NS010999,Canonical name for NS010999 (OCR corrected),
APP_NS013999_CANONICAL,E41_Appellation,NO DATA,canonical,NS013999,Canonical name for NS013999 (OCR corrected),
APP_NS016999_CANONICAL,E41_Appellation,NO DATA,canonical,NS016999,Canonical name for NS016999 (OCR corrected),
APP_NS020013_CANONICAL,E41_Appellation,Middle River,canonical,NS020013,Canonical name for NS020013 (OCR corrected),
APP_NS020999_CANONICAL,E41_Appellation,NO DATA,canonical,NS020999,Canonical name for NS020999 (OCR corrected),
APP_NS026001_CANONICAL,E41_Appellation,Annapolis Royal,canonical,NS026001,Canonical name for NS026001 (OCR corrected),
APP_NS026002_CANONICAL,E41_Appellation,Bear River,canonical,NS026002,Canonical name for NS026002 (OCR corrected),
APP_NS026003_CANONICAL,E41_Appellation,Belleisle,canonical,NS026003,Canonical name for NS026003 (OCR corrected),
APP_NS026004_CANONICAL,E41_Appellation,Bridgetown,canonical,NS026004,Canonical name for NS026004 (OCR corrected),
APP_NS026005_CANONICAL,E41_Appellation,Carleton's Corner,canonical,NS026005,Canonical name for NS026005 (OCR corrected),
APP_NS026005_1901_VARIANT,E41_Appellation,Carleton Corner,variant,NS026005,"OCR variant of ""Carleton's Corner""",1901.0
APP_NS026006_CANONICAL,E41_Appellation,Clarence,canonical,NS026006,Canonical name for NS026006 (OCR corrected),
APP_NS026007_CANONICAL,E41_Appellation,Clements,canonical,NS026007,Canonical name for NS026007 (OCR corrected),
APP_NS026007_1901_VARIANT,E41_Appellation,Clementsport,variant,NS026007,"OCR variant of ""Clements""",1901.0
APP_NS026008_CANONICAL,E41_Appellation,Clementsvale,canonical,NS026008,Canonical name for NS026008 (OCR corrected),
APP_NS026010_CANONICAL,E41_Appellation,Dalhousie,canonical,NS026010,Canonical name for NS026010 (OCR corrected),
APP_NS026011_CANONICAL,E41_Appellation,Granville Ferry,canonical,NS026011,Canonical name for NS026011 (OCR corrected),
APP_NS026012_CANONICAL,E41_Appellation,"Granville, Lower",canonical,NS026012,Canonical name for NS026012 (OCR corrected),
APP_NS026013_CANONICAL,E41_Appellation,Hampton,canonical,NS026013,Canonical name for NS026013 (OCR corrected),
APP_NS026014_CANONICAL,E41_Appellation,Lawrencetown Lane,canonical,NS026014,Canonical name for NS026014 (OCR corrected),
APP_NS026015_CANONICAL,E41_Appellation,Lequille,canonical,NS026015,Canonical name for NS026015 (OCR corrected),
APP_NS026016_CANONICAL,E41_Appellation,Maitland,canonical,NS026016,Canonical name for NS026016 (OCR corrected),
APP_NS026017_CANONICAL,E41_Appellation,Margaretsville,canonical,NS026017,Canonical name for NS026017 (OCR corrected),
APP_NS026018_CANONICAL,E41_Appellation,Meadowvale,canonical,NS026018,Canonical name for NS026018 (OCR corrected),
APP_NS026019_CANONICAL,E41_Appellation,Malvern,canonical,NS026019,Canonical name for NS026019 (OCR corrected),
APP_NS026019_1901_VARIANT,E41_Appellation,Melvern,variant,NS026019,"OCR variant of ""Malvern""",1901.0
APP_NS026020_CANONICAL,E41_Appellation,Middleton,canonical,NS026020,Canonical name for NS026020 (OCR corrected),
APP_NS026021_CANONICAL,E41_Appellation,Milford,canonical,NS026021,Canonical name for NS026021 (OCR corrected),
APP_NS026022_CANONICAL,E41_Appellation,New Albany,canonical,NS026022,Canonical name for NS026022 (OCR corrected),
APP_NS026023_CANONICAL,E41_Appellation,Nictaux,canonical,NS026023,Canonical name for NS026023 (OCR corrected),
APP_NS026023_1901_VARIANT,E41_Appellation,Nictau,variant,NS026023,"OCR variant of ""Nictaux""",1901.0
APP_NS026024_CANONICAL,E41_Appellation,Parker’s Cove,canonical,NS026024,Canonical name for NS026024 (OCR corrected),
APP_NS026024_1901_VARIANT,E41_Appellation,Parker Cove,variant,NS026024,"OCR variant of ""Parker’s Cove""",1901.0
APP_NS026025_CANONICAL,E41_Appellation,Port George,canonical,NS026025,Canonical name for NS026025 (OCR corrected),
APP_NS026026_CANONICAL,E41_Appellation,Port Lorne,canonical,NS026026,Canonical name for NS026026 (OCR corrected),
APP_NS026028_CANONICAL,E41_Appellation,Springfield,canonical,NS026028,Canonical name for NS026028 (OCR corrected),
APP_NS029012_CANONICAL,E41_Appellation,Lower Londonderry,canonical,NS029012,Canonical name for NS029012 (OCR corrected),
APP_NS029012_1901_VARIANT,E41_Appellation,Middle Londonderry,variant,NS029012,"OCR variant of ""Lower Londonderry""",1901.0
APP_NS029018_CANONICAL,E41_Appellation,Tatamagouche E,canonical,NS029018,Canonical name for NS029018 (OCR corrected),
APP_NS029018_1901_VARIANT,E41_Appellation,"Tatamagouche, West—Ouest",variant,NS029018,"OCR variant of ""Tatamagouche E""",1901.0
APP_NS029021_CANONICAL,E41_Appellation,Upper Stewiacke W-O,canonical,NS029021,Canonical name for NS029021 (OCR corrected),
APP_NS029021_1901_VARIANT,E41_Appellation,"Upper Stewiacke, East—Est",variant,NS029021,"OCR variant of ""Upper Stewiacke W-O""",1901.0
APP_NS029022_CANONICAL,E41_Appellation,Upper Stewiacke E,canonical,NS029022,Canonical name for NS029022 (OCR corrected),
APP_NS029022_1901_VARIANT,E41_Appellation,"Upper Stewiacke, West—Ouest",variant,NS029022,"OCR variant of ""Upper Stewiacke E""",1901.0
APP_NS030001_CANONICAL,E41_Appellation,"Amherst, Town—Ville",canonical,NS030001,Canonical name for NS030001 (OCR corrected),
APP_NS032001_CANONICAL,E41_Appellation,Caledonia,canonical,NS032001,Canonical name for NS032001 (OCR corrected),
APP_NS032002_CANONICAL,E41_Appellation,Canso,canonical,NS032002,Canonical name for NS032002 (OCR corrected),
APP_NS032003_CANONICAL,E41_Appellation,Country Harbour,canonical,NS032003,Canonical name for NS032003 (OCR corrected),
APP_NS032004_CANONICAL,E41_Appellation,Crow Harbour,canonical,NS032004,Canonical name for NS032004 (OCR corrected),
APP_NS032010_CANONICAL,E41_Appellation,Isaac’s Harbour,canonical,NS032010,Canonical name for NS032010 (OCR corrected),
APP_NS032010_1901_VARIANT,E41_Appellation,Isaac Harbour,variant,NS032010,"OCR variant of ""Isaac’s Harbour""",1901.0
APP_NS032011_CANONICAL,E41_Appellation,Larry’s River,canonical,NS032011,Canonical name for NS032011 (OCR corrected),
APP_NS032011_1901_VARIANT,E41_Appellation,Larry River,variant,NS032011,"OCR variant of ""Larry’s River""",1901.0
APP_NS032012_CANONICAL,E41_Appellation,Liscombe,canonical,NS032012,Canonical name for NS032012 (OCR corrected),
APP_NS032012_1901_VARIANT,E41_Appellation,Liscomb,variant,NS032012,"OCR variant of ""Liscombe""",1901.0
APP_NS032013_CANONICAL,E41_Appellation,Manchester,canonical,NS032013,Canonical name for NS032013 (OCR corrected),
APP_NS032014_CANONICAL,E41_Appellation,Marie Joseph,canonical,NS032014,Canonical name for NS032014 (OCR corrected),
