observation_id:ID,:LABEL,variable_name,variable_category,value_numeric:float,value_string,unit,source_table,notes
ON001001_1871_ARE_XX_A,E13_Attribute_Assignment,ARE_XX_A,AGR,21770.0,,unknown,V1T1,
ON001001_1871_HOUSE_TS_N,E13_Attribute_Assignment,HOUSE_TS_N,BLD,1.0,,unknown,V1T1,
ON001001_1871_HOUSE_XI_N,E13_Attribute_Assignment,HOUSE_XI_N,BLD,280.0,,unknown,V1T1,
ON001001_1871_HOUSE_XU_N,E13_Attribute_Assignment,HOUSE_XU_N,BLD,7.0,,unknown,V1T1,
ON001001_1871_HOUSE_XC_N,E13_Attribute_Assignment,HOUSE_XC_N,BLD,6.0,,unknown,V1T1,
ON001001_1871_HOUSE_XO_N,E13_Attribute_Assignment,HOUSE_XO_N,BLD,281.0,,unknown,V1T1,
ON001001_1871_POP_XF_N,E13_Attribute_Assignment,POP_XF_N,POP,283.0,,persons,V1T1,
ON001001_1871_POP_XX_N,E13_Attribute_Assignment,POP_XX_N,POP,1566.0,,persons,V1T1,
ON001001_1871_POP_MX_N,E13_Attribute_Assignment,POP_MX_N,POP,812.0,,persons,V1T1,
ON001001_1871_POP_FX_N,E13_Attribute_Assignment,POP_FX_N,POP,754.0,,persons,V1T1,
ON001001_1871_POP_MM_N,E13_Attribute_Assignment,POP_MM_N,POP,253.0,,persons,V1T1,
ON001001_1871_POP_FM_N,E13_Attribute_Assignment,POP_FM_N,POP,251.0,,persons,V1T1,
ON001001_1871_POP_XM_N,E13_Attribute_Assignment,POP_XM_N,POP,504.0,,persons,V1T1,
ON001001_1871_POP_MW_N,E13_Attribute_Assignment,POP_MW_N,POP,10.0,,persons,V1T1,
ON001001_1871_POP_FW_N,E13_Attribute_Assignment,POP_FW_N,POP,19.0,,persons,V1T1,
ON001001_1871_POP_XW_N,E13_Attribute_Assignment,POP_XW_N,POP,29.0,,persons,V1T1,
ON001001_1871_AGE_0to17MS_N,E13_Attribute_Assignment,AGE_0to17MS_N,AGE,549.0,,persons,V1T1,
ON001001_1871_AGE_0to17FS_N,E13_Attribute_Assignment,AGE_0to17FS_N,AGE,484.0,,persons,V1T1,
ON001001_1871_AGE_0to17XS_N,E13_Attribute_Assignment,AGE_0to17XS_N,AGE,1033.0,,persons,V1T1,
ON001002_1871_ARE_XX_A,E13_Attribute_Assignment,ARE_XX_A,AGR,756.0,,unknown,V1T1,
ON001002_1871_HOUSE_XI_N,E13_Attribute_Assignment,HOUSE_XI_N,BLD,415.0,,unknown,V1T1,
ON001002_1871_HOUSE_XU_N,E13_Attribute_Assignment,HOUSE_XU_N,BLD,15.0,,unknown,V1T1,
ON001002_1871_HOUSE_XC_N,E13_Attribute_Assignment,HOUSE_XC_N,BLD,2.0,,unknown,V1T1,
ON001002_1871_HOUSE_XO_N,E13_Attribute_Assignment,HOUSE_XO_N,BLD,415.0,,unknown,V1T1,
ON001002_1871_POP_XF_N,E13_Attribute_Assignment,POP_XF_N,POP,415.0,,persons,V1T1,
ON001002_1871_POP_XX_N,E13_Attribute_Assignment,POP_XX_N,POP,1936.0,,persons,V1T1,
ON001002_1871_POP_MX_N,E13_Attribute_Assignment,POP_MX_N,POP,974.0,,persons,V1T1,
ON001002_1871_POP_FX_N,E13_Attribute_Assignment,POP_FX_N,POP,962.0,,persons,V1T1,
ON001002_1871_POP_MM_N,E13_Attribute_Assignment,POP_MM_N,POP,343.0,,persons,V1T1,
ON001002_1871_POP_FM_N,E13_Attribute_Assignment,POP_FM_N,POP,344.0,,persons,V1T1,
ON001002_1871_POP_XM_N,E13_Attribute_Assignment,POP_XM_N,POP,687.0,,persons,V1T1,
ON001002_1871_POP_MW_N,E13_Attribute_Assignment,POP_MW_N,POP,17.0,,persons,V1T1,
ON001002_1871_POP_FW_N,E13_Attribute_Assignment,POP_FW_N,POP,82.0,,persons,V1T1,
ON001002_1871_POP_XW_N,E13_Attribute_Assignment,POP_XW_N,POP,99.0,,persons,V1T1,
ON001002_1871_AGE_0to17MS_N,E13_Attribute_Assignment,AGE_0to17MS_N,AGE,614.0,,persons,V1T1,
ON001002_1871_AGE_0to17FS_N,E13_Attribute_Assignment,AGE_0to17FS_N,AGE,536.0,,persons,V1T1,
ON001002_1871_AGE_0to17XS_N,E13_Attribute_Assignment,AGE_0to17XS_N,AGE,1150.0,,persons,V1T1,
ON001003_1871_ARE_XX_A,E13_Attribute_Assignment,ARE_XX_A,AGR,23860.0,,unknown,V1T1,
ON001003_1871_HOUSE_XI_N,E13_Attribute_Assignment,HOUSE_XI_N,BLD,346.0,,unknown,V1T1,
ON001003_1871_HOUSE_XU_N,E13_Attribute_Assignment,HOUSE_XU_N,BLD,26.0,,unknown,V1T1,
ON001003_1871_HOUSE_XC_N,E13_Attribute_Assignment,HOUSE_XC_N,BLD,10.0,,unknown,V1T1,
ON001003_1871_HOUSE_XO_N,E13_Attribute_Assignment,HOUSE_XO_N,BLD,346.0,,unknown,V1T1,
ON001003_1871_POP_XF_N,E13_Attribute_Assignment,POP_XF_N,POP,346.0,,persons,V1T1,
ON001003_1871_POP_XX_N,E13_Attribute_Assignment,POP_XX_N,POP,1895.0,,persons,V1T1,
ON001003_1871_POP_MX_N,E13_Attribute_Assignment,POP_MX_N,POP,997.0,,persons,V1T1,
ON001003_1871_POP_FX_N,E13_Attribute_Assignment,POP_FX_N,POP,898.0,,persons,V1T1,
ON001003_1871_POP_MM_N,E13_Attribute_Assignment,POP_MM_N,POP,308.0,,persons,V1T1,
ON001003_1871_POP_FM_N,E13_Attribute_Assignment,POP_FM_N,POP,308.0,,persons,V1T1,
ON001003_1871_POP_XM_N,E13_Attribute_Assignment,POP_XM_N,POP,616.0,,persons,V1T1,
ON001003_1871_POP_MW_N,E13_Attribute_Assignment,POP_MW_N,POP,29.0,,persons,V1T1,
ON001003_1871_POP_FW_N,E13_Attribute_Assignment,POP_FW_N,POP,35.0,,persons,V1T1,
ON001003_1871_POP_XW_N,E13_Attribute_Assignment,POP_XW_N,POP,64.0,,persons,V1T1,
ON001003_1871_AGE_0to17MS_N,E13_Attribute_Assignment,AGE_0to17MS_N,AGE,660.0,,persons,V1T1,
ON001003_1871_AGE_0to17FS_N,E13_Attribute_Assignment,AGE_0to17FS_N,AGE,555.0,,persons,V1T1,
