type_id:ID,:LABEL,label,category,unit,variable_name
VAR_AGE_01to02F_N,E55_Type,Number of females aged 1 to 2,AGE,persons,AGE_01to02F_N
VAR_AGE_01to02M_N,E55_Type,Number of males aged 1 to 2,AGE,persons,AGE_01to02M_N
VAR_AGE_02to03F_N,E55_Type,Number of females aged 2 to 3,AGE,persons,AGE_02to03F_N
VAR_AGE_02to03M_N,E55_Type,Number of males aged 2 to 3,AGE,persons,AGE_02to03M_N
VAR_AGE_03to04F_N,E55_Type,Number of females age 3 to 4,AGE,persons,AGE_03to04F_N
VAR_AGE_03to04M_N,E55_Type,Number of males aged 3 to 4,AGE,persons,AGE_03to04M_N
VAR_AGE_04to05F_N,E55_Type,Number of females aged 4 to 5,AGE,persons,AGE_04to05F_N
VAR_AGE_04to05M_N,E55_Type,Number of males aged 4 to 5,AGE,persons,AGE_04to05M_N
VAR_AGE_05to10F_N,E55_Type,Number of females aged 5 to 10,AGE,persons,AGE_05to10F_N
VAR_AGE_05to10M_N,E55_Type,Number of males aged 5 to 10,AGE,persons,AGE_05to10M_N
VAR_AGE_05to16F_N,E55_Type,Number of females aged 5 to 16,AGE,persons,AGE_05to16F_N
VAR_AGE_05to16M_N,E55_Type,Number of males aged 5 to 16,AGE,persons,AGE_05to16M_N
VAR_AGE_0to01F_N,E55_Type,Number of females under age 1,AGE,persons,AGE_0to01F_N
VAR_AGE_0to01M_N,E55_Type,Number of males under age 1,AGE,persons,AGE_0to01M_N
VAR_AGE_0to05F_N,E55_Type,Number of females aged 0 to 5,AGE,persons,AGE_0to05F_N
VAR_AGE_0to05M_N,E55_Type,Number of males aged under 5,AGE,persons,AGE_0to05M_N
VAR_AGE_0to17FS_N,E55_Type,Number of single females under 18,AGE,persons,AGE_0to17FS_N
VAR_AGE_0to17MS_N,E55_Type,Number of single males under 18,AGE,persons,AGE_0to17MS_N
VAR_AGE_0to17XS_N,E55_Type,Number of single persons under 18,AGE,persons,AGE_0to17XS_N
VAR_AGE_10to15FM_N,E55_Type,Number of married females aged 10 to 15,AGE,persons,AGE_10to15FM_N
