:START_ID,:END_ID,:TYPE
ON001001_1871_ARE_XX_A,ON001001_1871,P140_assigned_attribute_to
ON001001_1871_HOUSE_TS_N,ON001001_1871,P140_assigned_attribute_to
ON001001_1871_HOUSE_XI_N,ON001001_1871,P140_assigned_attribute_to
ON001001_1871_HOUSE_XU_N,ON001001_1871,P140_assigned_attribute_to
ON001001_1871_HOUSE_XC_N,ON001001_1871,P140_assigned_attribute_to
ON001001_1871_HOUSE_XO_N,ON001001_1871,P140_assigned_attribute_to
ON001001_1871_POP_XF_N,ON001001_1871,P140_assigned_attribute_to
ON001001_1871_POP_XX_N,ON001001_1871,P140_assigned_attribute_to
ON001001_1871_POP_MX_N,ON001001_1871,P140_assigned_attribute_to
ON001001_1871_POP_FX_N,ON001001_1871,P140_assigned_attribute_to
ON001001_1871_POP_MM_N,ON001001_1871,P140_assigned_attribute_to
ON001001_1871_POP_FM_N,ON001001_1871,P140_assigned_attribute_to
ON001001_1871_POP_XM_N,ON001001_1871,P140_assigned_attribute_to
ON001001_1871_POP_MW_N,ON001001_1871,P140_assigned_attribute_to
ON001001_1871_POP_FW_N,ON001001_1871,P140_assigned_attribute_to
ON001001_1871_POP_XW_N,ON001001_1871,P140_assigned_attribute_to
ON001001_1871_AGE_0to17MS_N,ON001001_1871,P140_assigned_attribute_to
ON001001_1871_AGE_0to17FS_N,ON001001_1871,P140_assigned_attribute_to
ON001001_1871_AGE_0to17XS_N,ON001001_1871,P140_assigned_attribute_to
ON001002_1871_ARE_XX_A,ON001002_1871,P140_assigned_attribute_to
ON001002_1871_HOUSE_XI_N,ON001002_1871,P140_assigned_attribute_to
ON001002_1871_HOUSE_XU_N,ON001002_1871,P140_assigned_attribute_to
ON001002_1871_HOUSE_XC_N,ON001002_1871,P140_assigned_attribute_to
ON001002_1871_HOUSE_XO_N,ON001002_1871,P140_assigned_attribute_to
ON001002_1871_POP_XF_N,ON001002_1871,P140_assigned_attribute_to
ON001002_1871_POP_XX_N,ON001002_1871,P140_assigned_attribute_to
ON001002_1871_POP_MX_N,ON001002_1871,P140_assigned_attribute_to
ON001002_1871_POP_FX_N,ON001002_1871,P140_assigned_attribute_to
ON001002_1871_POP_MM_N,ON001002_1871,P140_assigned_attribute_to
ON001002_1871_POP_FM_N,ON001002_1871,P140_assigned_attribute_to
ON001002_1871_POP_XM_N,ON001002_1871,P140_assigned_attribute_to
ON001002_1871_POP_MW_N,ON001002_1871,P140_assigned_attribute_to
ON001002_1871_POP_FW_N,ON001002_1871,P140_assigned_attribute_to
ON001002_1871_POP_XW_N,ON001002_1871,P140_assigned_attribute_to
ON001002_1871_AGE_0to17MS_N,ON001002_1871,P140_assigned_attribute_to
ON001002_1871_AGE_0to17FS_N,ON001002_1871,P140_assigned_attribute_to
ON001002_1871_AGE_0to17XS_N,ON001002_1871,P140_assigned_attribute_to
ON001003_1871_ARE_XX_A,ON001003_1871,P140_assigned_attribute_to
ON001003_1871_HOUSE_XI_N,ON001003_1871,P140_assigned_attribute_to
ON001003_1871_HOUSE_XU_N,ON001003_1871,P140_assigned_attribute_to
ON001003_1871_HOUSE_XC_N,ON001003_1871,P140_assigned_attribute_to
ON001003_1871_HOUSE_XO_N,ON001003_1871,P140_assigned_attribute_to
ON001003_1871_POP_XF_N,ON001003_1871,P140_assigned_attribute_to
