:START_ID,:END_ID,:TYPE
ON001001_1871_ARE_XX_A,CENSUS_1871,P4_has_time_span
ON001001_1871_HOUSE_TS_N,CENSUS_1871,P4_has_time_span
ON001001_1871_HOUSE_XI_N,CENSUS_1871,P4_has_time_span
ON001001_1871_HOUSE_XU_N,CENSUS_1871,P4_has_time_span
ON001001_1871_HOUSE_XC_N,CENSUS_1871,P4_has_time_span
ON001001_1871_HOUSE_XO_N,CENSUS_1871,P4_has_time_span
ON001001_1871_POP_XF_N,CENSUS_1871,P4_has_time_span
ON001001_1871_POP_XX_N,CENSUS_1871,P4_has_time_span
ON001001_1871_POP_MX_N,CENSUS_1871,P4_has_time_span
ON001001_1871_POP_FX_N,CENSUS_1871,P4_has_time_span
ON001001_1871_POP_MM_N,CENSUS_1871,P4_has_time_span
ON001001_1871_POP_FM_N,CENSUS_1871,P4_has_time_span
ON001001_1871_POP_XM_N,CENSUS_1871,P4_has_time_span
ON001001_1871_POP_MW_N,CENSUS_1871,P4_has_time_span
ON001001_1871_POP_FW_N,CENSUS_1871,P4_has_time_span
ON001001_1871_POP_XW_N,CENSUS_1871,P4_has_time_span
ON001001_1871_AGE_0to17MS_N,CENSUS_1871,P4_has_time_span
ON001001_1871_AGE_0to17FS_N,CENSUS_1871,P4_has_time_span
ON001001_1871_AGE_0to17XS_N,CENSUS_1871,P4_has_time_span
ON001002_1871_ARE_XX_A,CENSUS_1871,P4_has_time_span
ON001002_1871_HOUSE_XI_N,CENSUS_1871,P4_has_time_span
ON001002_1871_HOUSE_XU_N,CENSUS_1871,P4_has_time_span
ON001002_1871_HOUSE_XC_N,CENSUS_1871,P4_has_time_span
ON001002_1871_HOUSE_XO_N,CENSUS_1871,P4_has_time_span
ON001002_1871_POP_XF_N,CENSUS_1871,P4_has_time_span
ON001002_1871_POP_XX_N,CENSUS_1871,P4_has_time_span
ON001002_1871_POP_MX_N,CENSUS_1871,P4_has_time_span
ON001002_1871_POP_FX_N,CENSUS_1871,P4_has_time_span
ON001002_1871_POP_MM_N,CENSUS_1871,P4_has_time_span
ON001002_1871_POP_FM_N,CENSUS_1871,P4_has_time_span
ON001002_1871_POP_XM_N,CENSUS_1871,P4_has_time_span
ON001002_1871_POP_MW_N,CENSUS_1871,P4_has_time_span
ON001002_1871_POP_FW_N,CENSUS_1871,P4_has_time_span
ON001002_1871_POP_XW_N,CENSUS_1871,P4_has_time_span
ON001002_1871_AGE_0to17MS_N,CENSUS_1871,P4_has_time_span
ON001002_1871_AGE_0to17FS_N,CENSUS_1871,P4_has_time_span
ON001002_1871_AGE_0to17XS_N,CENSUS_1871,P4_has_time_span
ON001003_1871_ARE_XX_A,CENSUS_1871,P4_has_time_span
ON001003_1871_HOUSE_XI_N,CENSUS_1871,P4_has_time_span
ON001003_1871_HOUSE_XU_N,CENSUS_1871,P4_has_time_span
ON001003_1871_HOUSE_XC_N,CENSUS_1871,P4_has_time_span
ON001003_1871_HOUSE_XO_N,CENSUS_1871,P4_has_time_span
