:START_ID,:END_ID,:TYPE
PE001001_1881_NUMBER_CD,CENSUS_1881,P4_has_time_span
PE001001_1881_WHT_XX_A,CENSUS_1881,P4_has_time_span
PE001001_1881_WHT_SX_B,CENSUS_1881,P4_has_time_span
PE001001_1881_BAR_XX_B,CENSUS_1881,P4_has_time_span
PE001001_1881_OAT_XX_B,CENSUS_1881,P4_has_time_span
PE001001_1881_PEA_BX_A,CENSUS_1881,P4_has_time_span
PE001001_1881_BWT_XX_B,CENSUS_1881,P4_has_time_span
PE001001_1881_CRN_XX_B,CENSUS_1881,P4_has_time_span
PE001001_1881_POT_XX_A,CENSUS_1881,P4_has_time_span
PE001001_1881_POT_XX_B,CENSUS_1881,P4_has_time_span
PE001001_1881_ROOT_TX_B,CENSUS_1881,P4_has_time_span
PE001001_1881_ROOT_OTH_B,CENSUS_1881,P4_has_time_span
PE001001_1881_HAY_XX_A,CENSUS_1881,P4_has_time_span
PE001001_1881_HAY_XX_T,CENSUS_1881,P4_has_time_span
PE001001_1881_GRA_XS_B,CENSUS_1881,P4_has_time_span
PE001002_1881_NUMBER_CD,CENSUS_1881,P4_has_time_span
PE001002_1881_WHT_XX_A,CENSUS_1881,P4_has_time_span
PE001002_1881_WHT_SX_B,CENSUS_1881,P4_has_time_span
PE001002_1881_BAR_XX_B,CENSUS_1881,P4_has_time_span
PE001002_1881_OAT_XX_B,CENSUS_1881,P4_has_time_span
PE001002_1881_PEA_BX_A,CENSUS_1881,P4_has_time_span
PE001002_1881_BWT_XX_B,CENSUS_1881,P4_has_time_span
PE001002_1881_CRN_XX_B,CENSUS_1881,P4_has_time_span
PE001002_1881_POT_XX_A,CENSUS_1881,P4_has_time_span
PE001002_1881_POT_XX_B,CENSUS_1881,P4_has_time_span
PE001002_1881_ROOT_TX_B,CENSUS_1881,P4_has_time_span
PE001002_1881_ROOT_OTH_B,CENSUS_1881,P4_has_time_span
PE001002_1881_HAY_XX_A,CENSUS_1881,P4_has_time_span
PE001002_1881_HAY_XX_T,CENSUS_1881,P4_has_time_span
PE001002_1881_GRA_XS_B,CENSUS_1881,P4_has_time_span
PE001003_1881_NUMBER_CD,CENSUS_1881,P4_has_time_span
PE001003_1881_WHT_XX_A,CENSUS_1881,P4_has_time_span
PE001003_1881_WHT_SX_B,CENSUS_1881,P4_has_time_span
PE001003_1881_BAR_XX_B,CENSUS_1881,P4_has_time_span
PE001003_1881_OAT_XX_B,CENSUS_1881,P4_has_time_span
PE001003_1881_PEA_BX_A,CENSUS_1881,P4_has_time_span
PE001003_1881_BWT_XX_B,CENSUS_1881,P4_has_time_span
PE001003_1881_CRN_XX_B,CENSUS_1881,P4_has_time_span
PE001003_1881_POT_XX_A,CENSUS_1881,P4_has_time_span
PE001003_1881_POT_XX_B,CENSUS_1881,P4_has_time_span
PE001003_1881_ROOT_TX_B,CENSUS_1881,P4_has_time_span
PE001003_1881_ROOT_OTH_B,CENSUS_1881,P4_has_time_span
PE001003_1881_HAY_XX_A,CENSUS_1881,P4_has_time_span
PE001003_1881_HAY_XX_T,CENSUS_1881,P4_has_time_span
PE001003_1881_GRA_XS_B,CENSUS_1881,P4_has_time_span
PE001004_1881_NUMBER_CD,CENSUS_1881,P4_has_time_span
PE001004_1881_WHT_XX_A,CENSUS_1881,P4_has_time_span
PE001004_1881_WHT_SX_B,CENSUS_1881,P4_has_time_span
PE001004_1881_BAR_XX_B,CENSUS_1881,P4_has_time_span
PE001004_1881_OAT_XX_B,CENSUS_1881,P4_has_time_span
PE001004_1881_PEA_BX_A,CENSUS_1881,P4_has_time_span
PE001004_1881_BWT_XX_B,CENSUS_1881,P4_has_time_span
PE001004_1881_CRN_XX_B,CENSUS_1881,P4_has_time_span
PE001004_1881_POT_XX_A,CENSUS_1881,P4_has_time_span
PE001004_1881_POT_XX_B,CENSUS_1881,P4_has_time_span
PE001004_1881_ROOT_TX_B,CENSUS_1881,P4_has_time_span
PE001004_1881_ROOT_OTH_B,CENSUS_1881,P4_has_time_span
PE001004_1881_HAY_XX_A,CENSUS_1881,P4_has_time_span
PE001004_1881_HAY_XX_T,CENSUS_1881,P4_has_time_span
PE001004_1881_GRA_XS_B,CENSUS_1881,P4_has_time_span
PE001005_1881_NUMBER_CD,CENSUS_1881,P4_has_time_span
PE001005_1881_WHT_XX_A,CENSUS_1881,P4_has_time_span
PE001005_1881_WHT_SX_B,CENSUS_1881,P4_has_time_span
PE001005_1881_BAR_XX_B,CENSUS_1881,P4_has_time_span
PE001005_1881_OAT_XX_B,CENSUS_1881,P4_has_time_span
PE001005_1881_PEA_BX_A,CENSUS_1881,P4_has_time_span
PE001005_1881_BWT_XX_B,CENSUS_1881,P4_has_time_span
PE001005_1881_CRN_XX_B,CENSUS_1881,P4_has_time_span
PE001005_1881_POT_XX_A,CENSUS_1881,P4_has_time_span
PE001005_1881_POT_XX_B,CENSUS_1881,P4_has_time_span
PE001005_1881_ROOT_TX_B,CENSUS_1881,P4_has_time_span
PE001005_1881_ROOT_OTH_B,CENSUS_1881,P4_has_time_span
PE001005_1881_HAY_XX_A,CENSUS_1881,P4_has_time_span
PE001005_1881_HAY_XX_T,CENSUS_1881,P4_has_time_span
PE001005_1881_GRA_XS_B,CENSUS_1881,P4_has_time_span
PE001006_1881_NUMBER_CD,CENSUS_1881,P4_has_time_span
PE001006_1881_WHT_XX_A,CENSUS_1881,P4_has_time_span
PE001006_1881_WHT_SX_B,CENSUS_1881,P4_has_time_span
PE001006_1881_BAR_XX_B,CENSUS_1881,P4_has_time_span
PE001006_1881_OAT_XX_B,CENSUS_1881,P4_has_time_span
PE001006_1881_PEA_BX_A,CENSUS_1881,P4_has_time_span
PE001006_1881_BWT_XX_B,CENSUS_1881,P4_has_time_span
PE001006_1881_CRN_XX_B,CENSUS_1881,P4_has_time_span
PE001006_1881_POT_XX_A,CENSUS_1881,P4_has_time_span
PE001006_1881_POT_XX_B,CENSUS_1881,P4_has_time_span
PE001006_1881_ROOT_TX_B,CENSUS_1881,P4_has_time_span
PE001006_1881_ROOT_OTH_B,CENSUS_1881,P4_has_time_span
PE001006_1881_HAY_XX_A,CENSUS_1881,P4_has_time_span
PE001006_1881_HAY_XX_T,CENSUS_1881,P4_has_time_span
PE001006_1881_GRA_XS_B,CENSUS_1881,P4_has_time_span
PE001007_1881_NUMBER_CD,CENSUS_1881,P4_has_time_span
PE001007_1881_WHT_XX_A,CENSUS_1881,P4_has_time_span
PE001007_1881_WHT_SX_B,CENSUS_1881,P4_has_time_span
PE001007_1881_BAR_XX_B,CENSUS_1881,P4_has_time_span
PE001007_1881_OAT_XX_B,CENSUS_1881,P4_has_time_span
PE001007_1881_PEA_BX_A,CENSUS_1881,P4_has_time_span
PE001007_1881_BWT_XX_B,CENSUS_1881,P4_has_time_span
PE001007_1881_CRN_XX_B,CENSUS_1881,P4_has_time_span
PE001007_1881_POT_XX_A,CENSUS_1881,P4_has_time_span
PE001007_1881_POT_XX_B,CENSUS_1881,P4_has_time_span
PE001007_1881_ROOT_TX_B,CENSUS_1881,P4_has_time_span
PE001007_1881_ROOT_OTH_B,CENSUS_1881,P4_has_time_span
PE001007_1881_HAY_XX_A,CENSUS_1881,P4_has_time_span
PE001007_1881_HAY_XX_T,CENSUS_1881,P4_has_time_span
PE001007_1881_GRA_XS_B,CENSUS_1881,P4_has_time_span
PE001008_1881_NUMBER_CD,CENSUS_1881,P4_has_time_span
PE001008_1881_WHT_XX_A,CENSUS_1881,P4_has_time_span
PE001008_1881_WHT_SX_B,CENSUS_1881,P4_has_time_span
PE001008_1881_BAR_XX_B,CENSUS_1881,P4_has_time_span
PE001008_1881_OAT_XX_B,CENSUS_1881,P4_has_time_span
PE001008_1881_RYE_XX_B,CENSUS_1881,P4_has_time_span
PE001008_1881_PEA_BX_A,CENSUS_1881,P4_has_time_span
PE001008_1881_BWT_XX_B,CENSUS_1881,P4_has_time_span
PE001008_1881_POT_XX_A,CENSUS_1881,P4_has_time_span
PE001008_1881_POT_XX_B,CENSUS_1881,P4_has_time_span
PE001008_1881_ROOT_TX_B,CENSUS_1881,P4_has_time_span
PE001008_1881_ROOT_OTH_B,CENSUS_1881,P4_has_time_span
PE001008_1881_HAY_XX_A,CENSUS_1881,P4_has_time_span
PE001008_1881_HAY_XX_T,CENSUS_1881,P4_has_time_span
PE001008_1881_GRA_XS_B,CENSUS_1881,P4_has_time_span
PE001009_1881_NUMBER_CD,CENSUS_1881,P4_has_time_span
PE001009_1881_WHT_XX_A,CENSUS_1881,P4_has_time_span
PE001009_1881_WHT_SX_B,CENSUS_1881,P4_has_time_span
PE001009_1881_BAR_XX_B,CENSUS_1881,P4_has_time_span
PE001009_1881_OAT_XX_B,CENSUS_1881,P4_has_time_span
PE001009_1881_PEA_BX_A,CENSUS_1881,P4_has_time_span
PE001009_1881_BWT_XX_B,CENSUS_1881,P4_has_time_span
PE001009_1881_CRN_XX_B,CENSUS_1881,P4_has_time_span
PE001009_1881_POT_XX_A,CENSUS_1881,P4_has_time_span
PE001009_1881_POT_XX_B,CENSUS_1881,P4_has_time_span
PE001009_1881_ROOT_TX_B,CENSUS_1881,P4_has_time_span
PE001009_1881_ROOT_OTH_B,CENSUS_1881,P4_has_time_span
PE001009_1881_HAY_XX_A,CENSUS_1881,P4_has_time_span
PE001009_1881_HAY_XX_T,CENSUS_1881,P4_has_time_span
PE001009_1881_GRA_XS_B,CENSUS_1881,P4_has_time_span
PE001010_1881_NUMBER_CD,CENSUS_1881,P4_has_time_span
PE001010_1881_WHT_XX_A,CENSUS_1881,P4_has_time_span
PE001010_1881_WHT_SX_B,CENSUS_1881,P4_has_time_span
PE001010_1881_BAR_XX_B,CENSUS_1881,P4_has_time_span
PE001010_1881_OAT_XX_B,CENSUS_1881,P4_has_time_span
PE001010_1881_PEA_BX_A,CENSUS_1881,P4_has_time_span
PE001010_1881_BWT_XX_B,CENSUS_1881,P4_has_time_span
PE001010_1881_CRN_XX_B,CENSUS_1881,P4_has_time_span
PE001010_1881_POT_XX_A,CENSUS_1881,P4_has_time_span
PE001010_1881_POT_XX_B,CENSUS_1881,P4_has_time_span
PE001010_1881_ROOT_TX_B,CENSUS_1881,P4_has_time_span
PE001010_1881_ROOT_OTH_B,CENSUS_1881,P4_has_time_span
PE001010_1881_HAY_XX_A,CENSUS_1881,P4_has_time_span
PE001010_1881_HAY_XX_T,CENSUS_1881,P4_has_time_span
PE001010_1881_GRA_XS_B,CENSUS_1881,P4_has_time_span
PE001011_1881_NUMBER_CD,CENSUS_1881,P4_has_time_span
PE001011_1881_WHT_XX_A,CENSUS_1881,P4_has_time_span
PE001011_1881_WHT_SX_B,CENSUS_1881,P4_has_time_span
PE001011_1881_BAR_XX_B,CENSUS_1881,P4_has_time_span
PE001011_1881_OAT_XX_B,CENSUS_1881,P4_has_time_span
PE001011_1881_PEA_BX_A,CENSUS_1881,P4_has_time_span
PE001011_1881_BWT_XX_B,CENSUS_1881,P4_has_time_span
PE001011_1881_CRN_XX_B,CENSUS_1881,P4_has_time_span
PE001011_1881_POT_XX_A,CENSUS_1881,P4_has_time_span
PE001011_1881_POT_XX_B,CENSUS_1881,P4_has_time_span
PE001011_1881_ROOT_TX_B,CENSUS_1881,P4_has_time_span
PE001011_1881_ROOT_OTH_B,CENSUS_1881,P4_has_time_span
PE001011_1881_HAY_XX_A,CENSUS_1881,P4_has_time_span
PE001011_1881_HAY_XX_T,CENSUS_1881,P4_has_time_span
PE001011_1881_GRA_XS_B,CENSUS_1881,P4_has_time_span
PE001012_1881_NUMBER_CD,CENSUS_1881,P4_has_time_span
PE001012_1881_WHT_XX_A,CENSUS_1881,P4_has_time_span
PE001012_1881_WHT_SX_B,CENSUS_1881,P4_has_time_span
PE001012_1881_BAR_XX_B,CENSUS_1881,P4_has_time_span
PE001012_1881_OAT_XX_B,CENSUS_1881,P4_has_time_span
PE001012_1881_RYE_XX_B,CENSUS_1881,P4_has_time_span
PE001012_1881_PEA_BX_A,CENSUS_1881,P4_has_time_span
PE001012_1881_BWT_XX_B,CENSUS_1881,P4_has_time_span
PE001012_1881_CRN_XX_B,CENSUS_1881,P4_has_time_span
PE001012_1881_POT_XX_A,CENSUS_1881,P4_has_time_span
PE001012_1881_POT_XX_B,CENSUS_1881,P4_has_time_span
PE001012_1881_ROOT_TX_B,CENSUS_1881,P4_has_time_span
PE001012_1881_ROOT_OTH_B,CENSUS_1881,P4_has_time_span
PE001012_1881_HAY_XX_A,CENSUS_1881,P4_has_time_span
PE001012_1881_HAY_XX_T,CENSUS_1881,P4_has_time_span
PE001012_1881_GRA_XS_B,CENSUS_1881,P4_has_time_span
PE001013_1881_NUMBER_CD,CENSUS_1881,P4_has_time_span
PE001013_1881_WHT_XX_A,CENSUS_1881,P4_has_time_span
PE001013_1881_WHT_SX_B,CENSUS_1881,P4_has_time_span
PE001013_1881_BAR_XX_B,CENSUS_1881,P4_has_time_span
PE001013_1881_OAT_XX_B,CENSUS_1881,P4_has_time_span
PE001013_1881_RYE_XX_B,CENSUS_1881,P4_has_time_span
PE001013_1881_PEA_BX_A,CENSUS_1881,P4_has_time_span
PE001013_1881_BWT_XX_B,CENSUS_1881,P4_has_time_span
PE001013_1881_CRN_XX_B,CENSUS_1881,P4_has_time_span
PE001013_1881_POT_XX_A,CENSUS_1881,P4_has_time_span
PE001013_1881_POT_XX_B,CENSUS_1881,P4_has_time_span
PE001013_1881_ROOT_TX_B,CENSUS_1881,P4_has_time_span
PE001013_1881_ROOT_OTH_B,CENSUS_1881,P4_has_time_span
PE001013_1881_HAY_XX_A,CENSUS_1881,P4_has_time_span
PE001013_1881_HAY_XX_T,CENSUS_1881,P4_has_time_span
PE001013_1881_GRA_XS_B,CENSUS_1881,P4_has_time_span
PE001014_1881_NUMBER_CD,CENSUS_1881,P4_has_time_span
PE001014_1881_WHT_XX_A,CENSUS_1881,P4_has_time_span
PE001014_1881_WHT_SX_B,CENSUS_1881,P4_has_time_span
PE001014_1881_BAR_XX_B,CENSUS_1881,P4_has_time_span
PE001014_1881_OAT_XX_B,CENSUS_1881,P4_has_time_span
PE001014_1881_PEA_BX_A,CENSUS_1881,P4_has_time_span
PE001014_1881_BWT_XX_B,CENSUS_1881,P4_has_time_span
PE001014_1881_CRN_XX_B,CENSUS_1881,P4_has_time_span
PE001014_1881_POT_XX_A,CENSUS_1881,P4_has_time_span
PE001014_1881_POT_XX_B,CENSUS_1881,P4_has_time_span
PE001014_1881_ROOT_TX_B,CENSUS_1881,P4_has_time_span
PE001014_1881_ROOT_OTH_B,CENSUS_1881,P4_has_time_span
PE001014_1881_HAY_XX_A,CENSUS_1881,P4_has_time_span
PE001014_1881_HAY_XX_T,CENSUS_1881,P4_has_time_span
PE001014_1881_GRA_XS_B,CENSUS_1881,P4_has_time_span
PE001015_1881_NUMBER_CD,CENSUS_1881,P4_has_time_span
PE001015_1881_WHT_XX_A,CENSUS_1881,P4_has_time_span
