measurement_id:ID,:LABEL,label,notes
MEAS_PE001001_1921_POP_TOT,E16_Measurement,POP_TOT for PE001001 in 1921,
MEAS_PE001001_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE001001 in 1921,
MEAS_PE001001_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE001001 in 1921,
MEAS_PE001001_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE001001 in 1921,
MEAS_PE001002_1921_POP_TOT,E16_Measurement,POP_TOT for PE001002 in 1921,
MEAS_PE001002_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE001002 in 1921,
MEAS_PE001002_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE001002 in 1921,
MEAS_PE001002_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE001002 in 1921,
MEAS_PE001002_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE001002 in 1921,
MEAS_PE001002_1921_EUR_DUTCH,E16_Measurement,EUR_DUTCH for PE001002 in 1921,
MEAS_PE001003_1921_POP_TOT,E16_Measurement,POP_TOT for PE001003 in 1921,
MEAS_PE001003_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE001003 in 1921,
MEAS_PE001003_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE001003 in 1921,
MEAS_PE001003_1921_BRIT_SCOTCH,E16_Measurement,BRIT_SCOTCH for PE001003 in 1921,
MEAS_PE001003_1921_EUR_FRENCH,E16_Measurement,EUR_FRENCH for PE001003 in 1921,
MEAS_PE001003_1921_EUR_DUTCH,E16_Measurement,EUR_DUTCH for PE001003 in 1921,
MEAS_PE001003_1921_EUR_GERMAN,E16_Measurement,EUR_GERMAN for PE001003 in 1921,
MEAS_PE001004_1921_POP_TOT,E16_Measurement,POP_TOT for PE001004 in 1921,
MEAS_PE001004_1921_BRIT_ENG,E16_Measurement,BRIT_ENG for PE001004 in 1921,
MEAS_PE001004_1921_BRIT_IRISH,E16_Measurement,BRIT_IRISH for PE001004 in 1921,
