dimension_id:ID,:LABEL,value:float,value_string
DIM_AB001001_1911_BRIT_ENGLISH,E54_Dimension,3512.0,
DIM_AB001001_1911_BRIT_IRISH,E54_Dimension,1005.0,
DIM_AB001001_1911_BRIT_SCOTCH,E54_Dimension,1450.0,
DIM_AB001001_1911_BRIT_OTHER,E54_Dimension,79.0,
DIM_AB001001_1911_FRENCH,E54_Dimension,207.0,
DIM_AB001001_1911_GERMAN,E54_Dimension,1190.0,
DIM_AB001001_1911_AUSTRO_HUNGARIAN,E54_Dimension,100.0,
DIM_AB001001_1911_BELGIAN,E54_Dimension,18.0,
DIM_AB001001_1911_BULGARIAN_AND_RUMANIAN,E54_Dimension,13.0,
DIM_AB001001_1911_CHINESE,E54_Dimension,21.0,
DIM_AB001001_1911_DUTCH,E54_Dimension,81.0,
DIM_AB001001_1911_GREEK,E54_Dimension,21.0,
DIM_AB001001_1911_INDIAN,E54_Dimension,8.0,
DIM_AB001001_1911_ITALIAN,E54_Dimension,14.0,
DIM_AB001001_1911_JAPANESE,E54_Dimension,10.0,
DIM_AB001001_1911_JEWISH,E54_Dimension,18.0,
DIM_AB001001_1911_NEGRO,E54_Dimension,25.0,
DIM_AB001001_1911_POLISH,E54_Dimension,45.0,
DIM_AB001001_1911_RUSSIAN,E54_Dimension,424.0,
DIM_AB001001_1911_SCANDINAVIAN,E54_Dimension,476.0,
DIM_AB001001_1911_SWISS,E54_Dimension,66.0,
DIM_AB001001_1911_UNSPECIFIED,E54_Dimension,2131.0,
DIM_AB001002_1911_CSD_TYPE,E54_Dimension,,R
DIM_AB001002_1911_BRIT_ENGLISH,E54_Dimension,11.0,
DIM_AB001002_1911_BRIT_IRISH,E54_Dimension,3.0,
DIM_AB001002_1911_BRIT_SCOTCH,E54_Dimension,5.0,
DIM_AB001002_1911_FRENCH,E54_Dimension,1.0,
DIM_AB001002_1911_INDIAN,E54_Dimension,190.0,
DIM_AB001003_1911_CSD_TYPE,E54_Dimension,,R
DIM_AB001003_1911_BRIT_ENGLISH,E54_Dimension,23.0,
DIM_AB001003_1911_BRIT_IRISH,E54_Dimension,4.0,
DIM_AB001003_1911_BRIT_SCOTCH,E54_Dimension,13.0,
DIM_AB001003_1911_BRIT_OTHER,E54_Dimension,2.0,
DIM_AB001003_1911_GERMAN,E54_Dimension,2.0,
DIM_AB001003_1911_AUSTRO_HUNGARIAN,E54_Dimension,15.0,
DIM_AB001003_1911_INDIAN,E54_Dimension,647.0,
DIM_AB001003_1911_RUSSIAN,E54_Dimension,9.0,
DIM_AB001003_1911_SCANDINAVIAN,E54_Dimension,12.0,
DIM_AB001003_1911_UNSPECIFIED,E54_Dimension,15.0,
DIM_AB001004_1911_BRIT_ENGLISH,E54_Dimension,28.0,
DIM_AB001004_1911_BRIT_OTHER,E54_Dimension,2.0,
DIM_AB001004_1911_FRENCH,E54_Dimension,2.0,
DIM_AB001005_1911_BRIT_ENGLISH,E54_Dimension,77.0,
DIM_AB001005_1911_BRIT_IRISH,E54_Dimension,26.0,
DIM_AB001005_1911_BRIT_SCOTCH,E54_Dimension,36.0,
DIM_AB001005_1911_BRIT_OTHER,E54_Dimension,4.0,
DIM_AB001005_1911_FRENCH,E54_Dimension,2.0,
DIM_AB001005_1911_GERMAN,E54_Dimension,8.0,
DIM_AB001005_1911_AUSTRO_HUNGARIAN,E54_Dimension,62.0,
DIM_AB001005_1911_BELGIAN,E54_Dimension,1.0,
DIM_AB001005_1911_CHINESE,E54_Dimension,20.0,
DIM_AB001005_1911_DUTCH,E54_Dimension,2.0,
DIM_AB001005_1911_ITALIAN,E54_Dimension,5.0,
DIM_AB001005_1911_JAPANESE,E54_Dimension,10.0,
DIM_AB001005_1911_RUSSIAN,E54_Dimension,7.0,
DIM_AB001005_1911_SCANDINAVIAN,E54_Dimension,9.0,
DIM_AB001005_1911_SWISS,E54_Dimension,2.0,
DIM_AB001005_1911_UNSPECIFIED,E54_Dimension,7.0,
DIM_AB001006_1911_CSD_TYPE,E54_Dimension,,C
DIM_AB001006_1911_BRIT_ENGLISH,E54_Dimension,16635.0,
DIM_AB001006_1911_BRIT_IRISH,E54_Dimension,4536.0,
DIM_AB001006_1911_BRIT_SCOTCH,E54_Dimension,9351.0,
DIM_AB001006_1911_BRIT_OTHER,E54_Dimension,362.0,
DIM_AB001006_1911_FRENCH,E54_Dimension,705.0,
DIM_AB001006_1911_GERMAN,E54_Dimension,2608.0,
DIM_AB001006_1911_AUSTRO_HUNGARIAN,E54_Dimension,969.0,
DIM_AB001006_1911_BELGIAN,E54_Dimension,22.0,
DIM_AB001006_1911_BULGARIAN_AND_RUMANIAN,E54_Dimension,30.0,
DIM_AB001006_1911_CHINESE,E54_Dimension,485.0,
DIM_AB001006_1911_DUTCH,E54_Dimension,213.0,
DIM_AB001006_1911_GREEK,E54_Dimension,21.0,
DIM_AB001006_1911_HINDU,E54_Dimension,3.0,
DIM_AB001006_1911_INDIAN,E54_Dimension,33.0,
DIM_AB001006_1911_ITALIAN,E54_Dimension,369.0,
DIM_AB001006_1911_JAPANESE,E54_Dimension,53.0,
DIM_AB001006_1911_JEWISH,E54_Dimension,604.0,
DIM_AB001006_1911_NEGRO,E54_Dimension,72.0,
DIM_AB001006_1911_POLISH,E54_Dimension,114.0,
