type_id:ID,:LABEL,label,category,unit,variable_name,source_tables,year_count,comparable_across_years,presence_count,quality
VAR_AGE_01to02F_N,E55_Type,Number of females aged 1 to 2,AGE,persons,AGE_01to02F_N,"1851:V1T3,1861:V1T5",2,true,1889,signal
VAR_AGE_01to02M_N,E55_Type,Number of males aged 1 to 2,AGE,persons,AGE_01to02M_N,"1851:V1T3,1861:V1T5",2,true,1894,signal
VAR_AGE_02to03F_N,E55_Type,Number of females aged 2 to 3,AGE,persons,AGE_02to03F_N,"1851:V1T3,1861:V1T5",2,true,1894,signal
VAR_AGE_02to03M_N,E55_Type,Number of males aged 2 to 3,AGE,persons,AGE_02to03M_N,"1851:V1T3,1861:V1T5",2,true,1899,signal
VAR_AGE_03to04F_N,E55_Type,Number of females age 3 to 4,AGE,persons,AGE_03to04F_N,"1851:V1T3,1861:V1T5",2,true,1894,signal
VAR_AGE_03to04M_N,E55_Type,Number of males aged 3 to 4,AGE,persons,AGE_03to04M_N,"1851:V1T3,1861:V1T5",2,true,1902,signal
VAR_AGE_04to05F_N,E55_Type,Number of females aged 4 to 5,AGE,persons,AGE_04to05F_N,"1851:V1T3,1861:V1T5",2,true,1886,signal
VAR_AGE_04to05M_N,E55_Type,Number of males aged 4 to 5,AGE,persons,AGE_04to05M_N,"1851:V1T3,1861:V1T5",2,true,1897,signal
VAR_AGE_05to10F_N,E55_Type,Number of females aged 5 to 10,AGE,persons,AGE_05to10F_N,"1851:V1T3,1861:V1T5",2,true,1921,signal
VAR_AGE_05to10M_N,E55_Type,Number of males aged 5 to 10,AGE,persons,AGE_05to10M_N,"1851:V1T3,1861:V1T5",2,true,1925,signal
VAR_AGE_05to16F_N,E55_Type,Number of females aged 5 to 16,AGE,persons,AGE_05to16F_N,1871:V1T1,1,false,71,sparse
VAR_AGE_05to16M_N,E55_Type,Number of males aged 5 to 16,AGE,persons,AGE_05to16M_N,1871:V1T1,1,false,71,sparse
VAR_AGE_0to01F_N,E55_Type,Number of females under age 1,AGE,persons,AGE_0to01F_N,1851:V1T3,1,false,863,signal
VAR_AGE_0to01M_N,E55_Type,Number of males under age 1,AGE,persons,AGE_0to01M_N,1851:V1T3,1,false,863,signal
VAR_AGE_0to05F_N,E55_Type,Number of females aged 0 to 5,AGE,persons,AGE_0to05F_N,1871:V1T1,1,false,71,sparse
VAR_AGE_0to05M_N,E55_Type,Number of males aged under 5,AGE,persons,AGE_0to05M_N,1871:V1T1,1,false,71,sparse
VAR_AGE_0to17FS_N,E55_Type,Number of single females under 18,AGE,persons,AGE_0to17FS_N,"1871:V1T1,1881:V1T1,1891:V1T3",3,true,6307,signal
VAR_AGE_0to17MS_N,E55_Type,Number of single males under 18,AGE,persons,AGE_0to17MS_N,"1871:V1T1,1881:V1T1,1891:V1T3",3,true,6311,signal
VAR_AGE_0to17XS_N,E55_Type,Number of single persons under 18,AGE,persons,AGE_0to17XS_N,"1871:V1T1,1881:V1T1,1891:V1T3",3,true,6311,signal
VAR_AGE_10to15FM_N,E55_Type,Number of married females aged 10 to 15,AGE,persons,AGE_10to15FM_N,"1851:V1T3,1861:V1T5",2,true,44,sparse
VAR_AGE_10to15FS_N,E55_Type,Number of single females aged 10 to 15,AGE,persons,AGE_10to15FS_N,"1851:V1T3,1861:V1T5",2,true,1920,signal
VAR_AGE_10to15MM_N,E55_Type,Number of married males aged 10 to 15,AGE,persons,AGE_10to15MM_N,1861:V1T5,1,false,11,sparse
VAR_AGE_10to15MS_N,E55_Type,Number of single males aged 10 to 15,AGE,persons,AGE_10to15MS_N,"1851:V1T3,1861:V1T5",2,true,1931,signal
VAR_AGE_15to20FM_N,E55_Type,Number of married females aged 15 to 20,AGE,persons,AGE_15to20FM_N,"1851:V1T3,1861:V1T5",2,true,1737,signal
VAR_AGE_15to20FS_N,E55_Type,Number of single females aged 15 to 20,AGE,persons,AGE_15to20FS_N,"1851:V1T3,1861:V1T5",2,true,1927,signal
VAR_AGE_15to20MM_N,E55_Type,Number of married males aged 15 to 20,AGE,persons,AGE_15to20MM_N,"1851:V1T3,1861:V1T5",2,true,988,signal
VAR_AGE_15to20MS_N,E55_Type,Number of single males aged 15 to 20,AGE,persons,AGE_15to20MS_N,"1851:V1T3,1861:V1T5",2,true,1932,signal
VAR_AGE_16to21F_N,E55_Type,Number of females aged 16 to 21,AGE,persons,AGE_16to21F_N,1871:V1T1,1,false,71,sparse
VAR_AGE_16to21M_N,E55_Type,Number of males aged 16 to 21,AGE,persons,AGE_16to21M_N,1871:V1T1,1,false,71,sparse
VAR_AGE_20to30FM_N,E55_Type,Number of married females aged 20 to 30,AGE,persons,AGE_20to30FM_N,"1851:V1T3,1861:V1T5",2,true,1916,signal
VAR_AGE_20to30FS_N,E55_Type,Number of single females aged 20 to 30,AGE,persons,AGE_20to30FS_N,"1851:V1T3,1861:V1T5",2,true,1909,signal
VAR_AGE_20to30FW_N,E55_Type,Number of widowed females aged 20 to 30,AGE,persons,AGE_20to30FW_N,"1851:V1T3,1861:V1T5",2,true,1227,signal
VAR_AGE_20to30MM_N,E55_Type,Number of married males aged 20 to 30,AGE,persons,AGE_20to30MM_N,"1851:V1T3,1861:V1T5",2,true,1915,signal
VAR_AGE_20to30MS_N,E55_Type,Number of single males aged 20 to 30,AGE,persons,AGE_20to30MS_N,"1851:V1T3,1861:V1T5",2,true,1932,signal
VAR_AGE_20to30MW_N,E55_Type,Number of widowed males aged 20 to 30,AGE,persons,AGE_20to30MW_N,"1851:V1T3,1861:V1T5",2,true,977,signal
VAR_AGE_21to45F_N,E55_Type,Number of females aged 21-45,AGE,persons,AGE_21to45F_N,1871:V1T1,1,false,71,sparse
VAR_AGE_21to45M_N,E55_Type,Number of males aged 21 to 45,AGE,persons,AGE_21to45M_N,1871:V1T1,1,false,71,sparse
VAR_AGE_30to40FM_N,E55_Type,Number of married females aged 30 to 40,AGE,persons,AGE_30to40FM_N,"1851:V1T3,1861:V1T5",2,true,1916,signal
VAR_AGE_30to40FS_N,E55_Type,Number of single females aged 30 to 40,AGE,persons,AGE_30to40FS_N,"1851:V1T3,1861:V1T5",2,true,1780,signal
VAR_AGE_30to40FW_N,E55_Type,Number of widowed females aged 30 to 40,AGE,persons,AGE_30to40FW_N,"1851:V1T3,1861:V1T5",2,true,1562,signal
VAR_AGE_30to40MM_N,E55_Type,Number of married males aged 30 to 40,AGE,persons,AGE_30to40MM_N,"1851:V1T3,1861:V1T5",2,true,1921,signal
VAR_AGE_30to40MS_N,E55_Type,Number of single males aged 30 to 40,AGE,persons,AGE_30to40MS_N,"1851:V1T3,1861:V1T5",2,true,1868,signal
VAR_AGE_30to40MW_N,E55_Type,Number of widowed males aged 30 to 40,AGE,persons,AGE_30to40MW_N,"1851:V1T3,1861:V1T5",2,true,1441,signal
VAR_AGE_40to50FM_N,E55_Type,Number of married females aged 40 to 50,AGE,persons,AGE_40to50FM_N,"1851:V1T3,1861:V1T5",2,true,1899,signal
VAR_AGE_40to50FS_N,E55_Type,Number of single females aged 40 to 50,AGE,persons,AGE_40to50FS_N,"1851:V1T3,1861:V1T5",2,true,1629,signal
VAR_AGE_40to50FW_N,E55_Type,Number of widowed females aged 40 to 50,AGE,persons,AGE_40to50FW_N,"1851:V1T3,1861:V1T5",2,true,1681,signal
VAR_AGE_40to50MM_N,E55_Type,Number of married males aged 40 to 50,AGE,persons,AGE_40to50MM_N,"1851:V1T3,1861:V1T5",2,true,1907,signal
VAR_AGE_40to50MS_N,E55_Type,Number of single males aged 40 to 50,AGE,persons,AGE_40to50MS_N,"1851:V1T3,1861:V1T5",2,true,1764,signal
VAR_AGE_40to50MW_N,E55_Type,Number of widowed males aged 40 to 50,AGE,persons,AGE_40to50MW_N,"1851:V1T3,1861:V1T5",2,true,1591,signal
VAR_AGE_45to60F_N,E55_Type,Number of females aged 45-60,AGE,persons,AGE_45to60F_N,1871:V1T1,1,false,71,sparse
VAR_AGE_45to60M_N,E55_Type,Number of males aged 45 to 60,AGE,persons,AGE_45to60M_N,1871:V1T1,1,false,71,sparse
VAR_AGE_50to60FM_N,E55_Type,Number of married females aged 50 to 60,AGE,persons,AGE_50to60FM_N,"1851:V1T3,1861:V1T5",2,true,1881,signal
VAR_AGE_50to60FS_N,E55_Type,Number of single females aged 50 to 60,AGE,persons,AGE_50to60FS_N,"1851:V1T3,1861:V1T5",2,true,1494,signal
VAR_AGE_50to60FW_N,E55_Type,Number of widowed females aged 50 to 60,AGE,persons,AGE_50to60FW_N,"1851:V1T3,1861:V1T5",2,true,1735,signal
VAR_AGE_50to60MM_N,E55_Type,Number of married males aged 50 to 60,AGE,persons,AGE_50to60MM_N,"1851:V1T3,1861:V1T5",2,true,1905,signal
VAR_AGE_50to60MS_N,E55_Type,Number of single males aged 50 to 60,AGE,persons,AGE_50to60MS_N,"1851:V1T3,1861:V1T5",2,true,1620,signal
VAR_AGE_50to60MW_N,E55_Type,Number of widowed males aged 50 to 60,AGE,persons,AGE_50to60MW_N,"1851:V1T3,1861:V1T5",2,true,1665,signal
VAR_AGE_60to70FM_N,E55_Type,Number of married females aged 60 to 70,AGE,persons,AGE_60to70FM_N,"1851:V1T3,1861:V1T5",2,true,1835,signal
VAR_AGE_60to70FS_N,E55_Type,Number of single females aged 60 to 70,AGE,persons,AGE_60to70FS_N,"1851:V1T3,1861:V1T5",2,true,1217,signal
VAR_AGE_60to70FW_N,E55_Type,Number of widowed females aged 60 to 70,AGE,persons,AGE_60to70FW_N,"1851:V1T3,1861:V1T5",2,true,1729,signal
VAR_AGE_60to70MM_N,E55_Type,Number of married males aged 60 to 70,AGE,persons,AGE_60to70MM_N,"1851:V1T3,1861:V1T5",2,true,1873,signal
VAR_AGE_60to70MS_N,E55_Type,Number of single males aged 60 to 70,AGE,persons,AGE_60to70MS_N,"1851:V1T3,1861:V1T5",2,true,1382,signal
VAR_AGE_60to70MW_N,E55_Type,Number of widowed males aged 60 to 70,AGE,persons,AGE_60to70MW_N,"1851:V1T3,1861:V1T5",2,true,1672,signal
VAR_AGE_70to80FM_N,E55_Type,Number of married females aged 70 to 80,AGE,persons,AGE_70to80FM_N,"1851:V1T3,1861:V1T5",2,true,1546,signal
VAR_AGE_70to80FS_N,E55_Type,Number of single females aged 70 to 80,AGE,persons,AGE_70to80FS_N,"1851:V1T3,1861:V1T5",2,true,923,signal
