:START_ID,:END_ID,:TYPE
MEAS_ON001001_1851_LINE_NO,VAR_LINE_NO,P2_has_type
MEAS_ON001001_1851_CD_NAME,VAR_CD_NAME,P2_has_type
MEAS_ON001001_1851_TOT_O,VAR_TOT_O,P2_has_type
MEAS_ON001001_1851_O_UNDR_10,VAR_O_UNDR_10,P2_has_type
MEAS_ON001001_1851_O_20_TO_50,VAR_O_20_TO_50,P2_has_type
MEAS_ON001001_1851_O_50_TO_100,VAR_O_50_TO_100,P2_has_type
MEAS_ON001001_1851_O_100_TO_200,VAR_O_100_TO_200,P2_has_type
MEAS_ON001001_1851_O_OVR_200,VAR_O_OVR_200,P2_has_type
MEAS_ON001001_1851_HELD,VAR_HELD,P2_has_type
MEAS_ON001001_1851_CULT,VAR_CULT,P2_has_type
MEAS_ON001001_1851_CROP,VAR_CROP,P2_has_type
MEAS_ON001001_1851_PASTURE,VAR_PASTURE,P2_has_type
MEAS_ON001001_1851_GARDEN,VAR_GARDEN,P2_has_type
MEAS_ON001001_1851_WOOD,VAR_WOOD,P2_has_type
MEAS_ON001001_1851_WHT_AC,VAR_WHT_AC,P2_has_type
MEAS_ON001001_1851_WHT_BU,VAR_WHT_BU,P2_has_type
MEAS_ON001001_1851_BAR_AC,VAR_BAR_AC,P2_has_type
MEAS_ON001001_1851_BAR_BU,VAR_BAR_BU,P2_has_type
MEAS_ON001001_1851_RYE_AC,VAR_RYE_AC,P2_has_type
MEAS_ON001001_1851_RYE_BU,VAR_RYE_BU,P2_has_type
MEAS_ON001001_1851_PEA_AC,VAR_PEA_AC,P2_has_type
MEAS_ON001001_1851_PEA_BU,VAR_PEA_BU,P2_has_type
MEAS_ON001001_1851_OAT_AC,VAR_OAT_AC,P2_has_type
MEAS_ON001001_1851_OAT_BU,VAR_OAT_BU,P2_has_type
MEAS_ON001001_1851_BWT_AC,VAR_BWT_AC,P2_has_type
MEAS_ON001001_1851_BWT_BU,VAR_BWT_BU,P2_has_type
MEAS_ON001001_1851_CRN_AC,VAR_CRN_AC,P2_has_type
MEAS_ON001001_1851_CRN_BU,VAR_CRN_BU,P2_has_type
MEAS_ON001001_1851_POT_AC,VAR_POT_AC,P2_has_type
MEAS_ON001001_1851_POT_BU,VAR_POT_BU,P2_has_type
MEAS_ON001001_1851_TUR_AC,VAR_TUR_AC,P2_has_type
MEAS_ON001001_1851_TUR_BU,VAR_TUR_BU,P2_has_type
MEAS_ON001001_1851_GRA_BU,VAR_GRA_BU,P2_has_type
MEAS_ON001001_1851_CAR_BU,VAR_CAR_BU,P2_has_type
MEAS_ON001001_1851_MW_BU,VAR_MW_BU,P2_has_type
MEAS_ON001001_1851_BEN_BU,VAR_BEN_BU,P2_has_type
MEAS_ON001001_1851_HAY_TONS,VAR_HAY_TONS,P2_has_type
MEAS_ON001001_1851_FLX_LBS,VAR_FLX_LBS,P2_has_type
MEAS_ON001001_1851_WOOL_LBS,VAR_WOOL_LBS,P2_has_type
MEAS_ON001001_1851_MPLS_LBS,VAR_MPLS_LBS,P2_has_type
MEAS_ON001001_1851_FC_YRDS,VAR_FC_YRDS,P2_has_type
MEAS_ON001001_1851_FLAN_YRDS,VAR_FLAN_YRDS,P2_has_type
MEAS_ON001001_1851_BOV,VAR_BOV,P2_has_type
MEAS_ON001001_1851_M_COWS,VAR_M_COWS,P2_has_type
MEAS_ON001001_1851_C_H,VAR_C_H,P2_has_type
MEAS_ON001001_1851_HORSE,VAR_HORSE,P2_has_type
MEAS_ON001001_1851_SHEEP,VAR_SHEEP,P2_has_type
MEAS_ON001001_1851_SWINE,VAR_SWINE,P2_has_type
MEAS_ON001001_1851_B_LBS,VAR_B_LBS,P2_has_type
MEAS_ON001001_1851_C_LBS,VAR_C_LBS,P2_has_type
MEAS_ON001001_1851_BEEF_BAR,VAR_BEEF_BAR,P2_has_type
MEAS_ON001001_1851_PORK_BAR,VAR_PORK_BAR,P2_has_type
MEAS_ON001001_1851_C_F_BAR,VAR_C_F_BAR,P2_has_type
MEAS_ON001002_1851_LINE_NO,VAR_LINE_NO,P2_has_type
MEAS_ON001002_1851_CD_NAME,VAR_CD_NAME,P2_has_type
MEAS_ON001002_1851_TOT_O,VAR_TOT_O,P2_has_type
MEAS_ON001002_1851_O_UNDR_10,VAR_O_UNDR_10,P2_has_type
MEAS_ON001002_1851_O_10_TO_20,VAR_O_10_TO_20,P2_has_type
MEAS_ON001002_1851_O_20_TO_50,VAR_O_20_TO_50,P2_has_type
MEAS_ON001002_1851_O_50_TO_100,VAR_O_50_TO_100,P2_has_type
MEAS_ON001002_1851_O_100_TO_200,VAR_O_100_TO_200,P2_has_type
MEAS_ON001002_1851_O_OVR_200,VAR_O_OVR_200,P2_has_type
MEAS_ON001002_1851_HELD,VAR_HELD,P2_has_type
MEAS_ON001002_1851_CULT,VAR_CULT,P2_has_type
MEAS_ON001002_1851_CROP,VAR_CROP,P2_has_type
MEAS_ON001002_1851_PASTURE,VAR_PASTURE,P2_has_type
MEAS_ON001002_1851_GARDEN,VAR_GARDEN,P2_has_type
MEAS_ON001002_1851_WOOD,VAR_WOOD,P2_has_type
MEAS_ON001002_1851_WHT_AC,VAR_WHT_AC,P2_has_type
MEAS_ON001002_1851_WHT_BU,VAR_WHT_BU,P2_has_type
MEAS_ON001002_1851_BAR_AC,VAR_BAR_AC,P2_has_type
MEAS_ON001002_1851_BAR_BU,VAR_BAR_BU,P2_has_type
MEAS_ON001002_1851_RYE_AC,VAR_RYE_AC,P2_has_type
MEAS_ON001002_1851_RYE_BU,VAR_RYE_BU,P2_has_type
MEAS_ON001002_1851_PEA_AC,VAR_PEA_AC,P2_has_type
MEAS_ON001002_1851_PEA_BU,VAR_PEA_BU,P2_has_type
MEAS_ON001002_1851_OAT_AC,VAR_OAT_AC,P2_has_type
MEAS_ON001002_1851_OAT_BU,VAR_OAT_BU,P2_has_type
MEAS_ON001002_1851_BWT_AC,VAR_BWT_AC,P2_has_type
MEAS_ON001002_1851_BWT_BU,VAR_BWT_BU,P2_has_type
MEAS_ON001002_1851_CRN_AC,VAR_CRN_AC,P2_has_type
MEAS_ON001002_1851_CRN_BU,VAR_CRN_BU,P2_has_type
MEAS_ON001002_1851_POT_AC,VAR_POT_AC,P2_has_type
MEAS_ON001002_1851_POT_BU,VAR_POT_BU,P2_has_type
MEAS_ON001002_1851_TUR_AC,VAR_TUR_AC,P2_has_type
MEAS_ON001002_1851_TUR_BU,VAR_TUR_BU,P2_has_type
MEAS_ON001002_1851_GRA_BU,VAR_GRA_BU,P2_has_type
MEAS_ON001002_1851_CAR_BU,VAR_CAR_BU,P2_has_type
MEAS_ON001002_1851_MW_BU,VAR_MW_BU,P2_has_type
MEAS_ON001002_1851_BEN_BU,VAR_BEN_BU,P2_has_type
MEAS_ON001002_1851_HOP_LBS,VAR_HOP_LBS,P2_has_type
MEAS_ON001002_1851_HAY_TONS,VAR_HAY_TONS,P2_has_type
MEAS_ON001002_1851_FLX_LBS,VAR_FLX_LBS,P2_has_type
MEAS_ON001002_1851_TOB_LBS,VAR_TOB_LBS,P2_has_type
MEAS_ON001002_1851_WOOL_LBS,VAR_WOOL_LBS,P2_has_type
MEAS_ON001002_1851_MPLS_LBS,VAR_MPLS_LBS,P2_has_type
MEAS_ON001002_1851_CID_GAL,VAR_CID_GAL,P2_has_type
MEAS_ON001002_1851_FC_YRDS,VAR_FC_YRDS,P2_has_type
MEAS_ON001002_1851_LIN_YRDS,VAR_LIN_YRDS,P2_has_type
