:START_ID,:END_ID,:TYPE
MEAS_BC001001_1901_HOUSES,BC001001_1901,P39_measured
MEAS_BC001001_1901_FAMILIES,BC001001_1901,P39_measured
MEAS_BC001001_1901_POP_TOT,BC001001_1901,P39_measured
MEAS_BC001001_1901_POP_M,BC001001_1901,P39_measured
MEAS_BC001001_1901_POP_F,BC001001_1901,P39_measured
MEAS_BC001001_1901_SINGLE_M,BC001001_1901,P39_measured
MEAS_BC001001_1901_SINGLE_F,BC001001_1901,P39_measured
MEAS_BC001001_1901_MARRIED_M,BC001001_1901,P39_measured
MEAS_BC001001_1901_MARRIED_F,BC001001_1901,P39_measured
MEAS_BC001001_1901_WIDOWED_M,BC001001_1901,P39_measured
MEAS_BC001001_1901_WIDOWED_F,BC001001_1901,P39_measured
MEAS_BC001002_1901_AREA_AC,BC001002_1901,P39_measured
MEAS_BC001002_1901_HOUSES,BC001002_1901,P39_measured
MEAS_BC001002_1901_FAMILIES,BC001002_1901,P39_measured
MEAS_BC001002_1901_POP_TOT,BC001002_1901,P39_measured
MEAS_BC001002_1901_POP_M,BC001002_1901,P39_measured
MEAS_BC001002_1901_POP_F,BC001002_1901,P39_measured
MEAS_BC001002_1901_SINGLE_M,BC001002_1901,P39_measured
MEAS_BC001002_1901_SINGLE_F,BC001002_1901,P39_measured
MEAS_BC001002_1901_MARRIED_M,BC001002_1901,P39_measured
MEAS_BC001002_1901_MARRIED_F,BC001002_1901,P39_measured
MEAS_BC001002_1901_WIDOWED_M,BC001002_1901,P39_measured
MEAS_BC001002_1901_WIDOWED_F,BC001002_1901,P39_measured
MEAS_BC001003_1901_HOUSES,BC001003_1901,P39_measured
MEAS_BC001003_1901_FAMILIES,BC001003_1901,P39_measured
MEAS_BC001003_1901_POP_TOT,BC001003_1901,P39_measured
MEAS_BC001003_1901_POP_M,BC001003_1901,P39_measured
MEAS_BC001003_1901_POP_F,BC001003_1901,P39_measured
MEAS_BC001003_1901_SINGLE_M,BC001003_1901,P39_measured
MEAS_BC001003_1901_SINGLE_F,BC001003_1901,P39_measured
MEAS_BC001003_1901_MARRIED_M,BC001003_1901,P39_measured
MEAS_BC001003_1901_MARRIED_F,BC001003_1901,P39_measured
MEAS_BC001003_1901_WIDOWED_M,BC001003_1901,P39_measured
MEAS_BC001003_1901_WIDOWED_F,BC001003_1901,P39_measured
MEAS_BC001003_1901_DIVORCED_M,BC001003_1901,P39_measured
MEAS_BC001003_1901_DIVORCED_F,BC001003_1901,P39_measured
MEAS_BC001004_1901_AREA_AC,BC001004_1901,P39_measured
MEAS_BC001004_1901_HOUSES,BC001004_1901,P39_measured
MEAS_BC001004_1901_FAMILIES,BC001004_1901,P39_measured
MEAS_BC001004_1901_POP_TOT,BC001004_1901,P39_measured
MEAS_BC001004_1901_POP_M,BC001004_1901,P39_measured
MEAS_BC001004_1901_POP_F,BC001004_1901,P39_measured
MEAS_BC001004_1901_SINGLE_M,BC001004_1901,P39_measured
MEAS_BC001004_1901_SINGLE_F,BC001004_1901,P39_measured
MEAS_BC001004_1901_MARRIED_M,BC001004_1901,P39_measured
MEAS_BC001004_1901_MARRIED_F,BC001004_1901,P39_measured
MEAS_BC001004_1901_WIDOWED_M,BC001004_1901,P39_measured
MEAS_BC001004_1901_WIDOWED_F,BC001004_1901,P39_measured
MEAS_BC002001_1901_AREA_AC,BC002001_1901,P39_measured
MEAS_BC002001_1901_HOUSES,BC002001_1901,P39_measured
MEAS_BC002001_1901_FAMILIES,BC002001_1901,P39_measured
MEAS_BC002001_1901_POP_TOT,BC002001_1901,P39_measured
MEAS_BC002001_1901_POP_M,BC002001_1901,P39_measured
MEAS_BC002001_1901_POP_F,BC002001_1901,P39_measured
MEAS_BC002001_1901_SINGLE_M,BC002001_1901,P39_measured
MEAS_BC002001_1901_SINGLE_F,BC002001_1901,P39_measured
MEAS_BC002001_1901_MARRIED_M,BC002001_1901,P39_measured
MEAS_BC002001_1901_MARRIED_F,BC002001_1901,P39_measured
MEAS_BC002001_1901_WIDOWED_M,BC002001_1901,P39_measured
MEAS_BC002001_1901_WIDOWED_F,BC002001_1901,P39_measured
MEAS_BC002001_1901_DIVORCED_M,BC002001_1901,P39_measured
MEAS_BC002001_1901_DIVORCED_F,BC002001_1901,P39_measured
MEAS_BC002002_1901_AREA_AC,BC002002_1901,P39_measured
MEAS_BC002002_1901_HOUSES,BC002002_1901,P39_measured
MEAS_BC002002_1901_FAMILIES,BC002002_1901,P39_measured
MEAS_BC002002_1901_POP_TOT,BC002002_1901,P39_measured
MEAS_BC002002_1901_POP_M,BC002002_1901,P39_measured
MEAS_BC002002_1901_POP_F,BC002002_1901,P39_measured
MEAS_BC002002_1901_SINGLE_M,BC002002_1901,P39_measured
MEAS_BC002002_1901_SINGLE_F,BC002002_1901,P39_measured
MEAS_BC002002_1901_MARRIED_M,BC002002_1901,P39_measured
MEAS_BC002002_1901_MARRIED_F,BC002002_1901,P39_measured
MEAS_BC002002_1901_WIDOWED_M,BC002002_1901,P39_measured
MEAS_BC002002_1901_WIDOWED_F,BC002002_1901,P39_measured
MEAS_BC002002_1901_DIVORCED_M,BC002002_1901,P39_measured
MEAS_BC002003_1901_AREA_AC,BC002003_1901,P39_measured
MEAS_BC002003_1901_HOUSES,BC002003_1901,P39_measured
MEAS_BC002003_1901_FAMILIES,BC002003_1901,P39_measured
MEAS_BC002003_1901_POP_TOT,BC002003_1901,P39_measured
MEAS_BC002003_1901_POP_M,BC002003_1901,P39_measured
MEAS_BC002003_1901_POP_F,BC002003_1901,P39_measured
MEAS_BC002003_1901_SINGLE_M,BC002003_1901,P39_measured
MEAS_BC002003_1901_SINGLE_F,BC002003_1901,P39_measured
MEAS_BC002003_1901_MARRIED_M,BC002003_1901,P39_measured
MEAS_BC002003_1901_MARRIED_F,BC002003_1901,P39_measured
MEAS_BC002003_1901_WIDOWED_M,BC002003_1901,P39_measured
MEAS_BC002003_1901_WIDOWED_F,BC002003_1901,P39_measured
MEAS_BC002003_1901_DIVORCED_F,BC002003_1901,P39_measured
MEAS_BC002004_1901_AREA_AC,BC002004_1901,P39_measured
MEAS_BC002004_1901_HOUSES,BC002004_1901,P39_measured
MEAS_BC002004_1901_FAMILIES,BC002004_1901,P39_measured
MEAS_BC002004_1901_POP_TOT,BC002004_1901,P39_measured
MEAS_BC002004_1901_POP_M,BC002004_1901,P39_measured
MEAS_BC002004_1901_POP_F,BC002004_1901,P39_measured
MEAS_BC002004_1901_SINGLE_M,BC002004_1901,P39_measured
MEAS_BC002004_1901_SINGLE_F,BC002004_1901,P39_measured
MEAS_BC002004_1901_MARRIED_M,BC002004_1901,P39_measured
MEAS_BC002004_1901_MARRIED_F,BC002004_1901,P39_measured
MEAS_BC002004_1901_WIDOWED_M,BC002004_1901,P39_measured
MEAS_BC002004_1901_WIDOWED_F,BC002004_1901,P39_measured
MEAS_BC002004_1901_DIVORCED_M,BC002004_1901,P39_measured
MEAS_BC002004_1901_DIVORCED_F,BC002004_1901,P39_measured
MEAS_BC002005_1901_AREA_AC,BC002005_1901,P39_measured
MEAS_BC002005_1901_HOUSES,BC002005_1901,P39_measured
MEAS_BC002005_1901_FAMILIES,BC002005_1901,P39_measured
MEAS_BC002005_1901_POP_TOT,BC002005_1901,P39_measured
MEAS_BC002005_1901_POP_M,BC002005_1901,P39_measured
MEAS_BC002005_1901_POP_F,BC002005_1901,P39_measured
MEAS_BC002005_1901_SINGLE_M,BC002005_1901,P39_measured
MEAS_BC002005_1901_SINGLE_F,BC002005_1901,P39_measured
MEAS_BC002005_1901_MARRIED_M,BC002005_1901,P39_measured
MEAS_BC002005_1901_MARRIED_F,BC002005_1901,P39_measured
MEAS_BC002005_1901_WIDOWED_M,BC002005_1901,P39_measured
MEAS_BC002005_1901_WIDOWED_F,BC002005_1901,P39_measured
MEAS_BC002005_1901_DIVORCED_M,BC002005_1901,P39_measured
MEAS_BC003001_1901_AREA_AC,BC003001_1901,P39_measured
MEAS_BC003001_1901_HOUSES,BC003001_1901,P39_measured
MEAS_BC003001_1901_FAMILIES,BC003001_1901,P39_measured
MEAS_BC003001_1901_POP_TOT,BC003001_1901,P39_measured
MEAS_BC003001_1901_POP_M,BC003001_1901,P39_measured
MEAS_BC003001_1901_POP_F,BC003001_1901,P39_measured
MEAS_BC003001_1901_SINGLE_M,BC003001_1901,P39_measured
MEAS_BC003001_1901_SINGLE_F,BC003001_1901,P39_measured
MEAS_BC003001_1901_MARRIED_M,BC003001_1901,P39_measured
MEAS_BC003001_1901_MARRIED_F,BC003001_1901,P39_measured
