:START_ID,:END_ID,:TYPE
MEAS_PE001001_1921_POP_TOT,DIM_PE001001_1921_POP_TOT,P40_observed_dimension
MEAS_PE001001_1921_BRIT_ENG,DIM_PE001001_1921_BRIT_ENG,P40_observed_dimension
MEAS_PE001001_1921_BRIT_IRISH,DIM_PE001001_1921_BRIT_IRISH,P40_observed_dimension
MEAS_PE001001_1921_BRIT_SCOTCH,DIM_PE001001_1921_BRIT_SCOTCH,P40_observed_dimension
MEAS_PE001002_1921_POP_TOT,DIM_PE001002_1921_POP_TOT,P40_observed_dimension
MEAS_PE001002_1921_BRIT_ENG,DIM_PE001002_1921_BRIT_ENG,P40_observed_dimension
MEAS_PE001002_1921_BRIT_IRISH,DIM_PE001002_1921_BRIT_IRISH,P40_observed_dimension
MEAS_PE001002_1921_BRIT_SCOTCH,DIM_PE001002_1921_BRIT_SCOTCH,P40_observed_dimension
MEAS_PE001002_1921_EUR_FRENCH,DIM_PE001002_1921_EUR_FRENCH,P40_observed_dimension
MEAS_PE001002_1921_EUR_DUTCH,DIM_PE001002_1921_EUR_DUTCH,P40_observed_dimension
MEAS_PE001003_1921_POP_TOT,DIM_PE001003_1921_POP_TOT,P40_observed_dimension
MEAS_PE001003_1921_BRIT_ENG,DIM_PE001003_1921_BRIT_ENG,P40_observed_dimension
MEAS_PE001003_1921_BRIT_IRISH,DIM_PE001003_1921_BRIT_IRISH,P40_observed_dimension
MEAS_PE001003_1921_BRIT_SCOTCH,DIM_PE001003_1921_BRIT_SCOTCH,P40_observed_dimension
MEAS_PE001003_1921_EUR_FRENCH,DIM_PE001003_1921_EUR_FRENCH,P40_observed_dimension
MEAS_PE001003_1921_EUR_DUTCH,DIM_PE001003_1921_EUR_DUTCH,P40_observed_dimension
MEAS_PE001003_1921_EUR_GERMAN,DIM_PE001003_1921_EUR_GERMAN,P40_observed_dimension
MEAS_PE001004_1921_POP_TOT,DIM_PE001004_1921_POP_TOT,P40_observed_dimension
MEAS_PE001004_1921_BRIT_ENG,DIM_PE001004_1921_BRIT_ENG,P40_observed_dimension
MEAS_PE001004_1921_BRIT_IRISH,DIM_PE001004_1921_BRIT_IRISH,P40_observed_dimension
MEAS_PE001004_1921_BRIT_SCOTCH,DIM_PE001004_1921_BRIT_SCOTCH,P40_observed_dimension
MEAS_PE001004_1921_EUR_FRENCH,DIM_PE001004_1921_EUR_FRENCH,P40_observed_dimension
MEAS_PE001004_1921_UNSPECIFIED,DIM_PE001004_1921_UNSPECIFIED,P40_observed_dimension
MEAS_PE001005_1921_POP_TOT,DIM_PE001005_1921_POP_TOT,P40_observed_dimension
MEAS_PE001005_1921_BRIT_ENG,DIM_PE001005_1921_BRIT_ENG,P40_observed_dimension
MEAS_PE001005_1921_BRIT_IRISH,DIM_PE001005_1921_BRIT_IRISH,P40_observed_dimension
MEAS_PE001005_1921_BRIT_SCOTCH,DIM_PE001005_1921_BRIT_SCOTCH,P40_observed_dimension
MEAS_PE001005_1921_EUR_FRENCH,DIM_PE001005_1921_EUR_FRENCH,P40_observed_dimension
MEAS_PE001006_1921_POP_TOT,DIM_PE001006_1921_POP_TOT,P40_observed_dimension
MEAS_PE001006_1921_BRIT_ENG,DIM_PE001006_1921_BRIT_ENG,P40_observed_dimension
MEAS_PE001006_1921_BRIT_IRISH,DIM_PE001006_1921_BRIT_IRISH,P40_observed_dimension
MEAS_PE001006_1921_BRIT_SCOTCH,DIM_PE001006_1921_BRIT_SCOTCH,P40_observed_dimension
MEAS_PE001006_1921_EUR_FRENCH,DIM_PE001006_1921_EUR_FRENCH,P40_observed_dimension
MEAS_PE001007_1921_POP_TOT,DIM_PE001007_1921_POP_TOT,P40_observed_dimension
MEAS_PE001007_1921_BRIT_ENG,DIM_PE001007_1921_BRIT_ENG,P40_observed_dimension
MEAS_PE001007_1921_BRIT_IRISH,DIM_PE001007_1921_BRIT_IRISH,P40_observed_dimension
MEAS_PE001007_1921_BRIT_SCOTCH,DIM_PE001007_1921_BRIT_SCOTCH,P40_observed_dimension
MEAS_PE001007_1921_EUR_FRENCH,DIM_PE001007_1921_EUR_FRENCH,P40_observed_dimension
MEAS_PE001007_1921_EUR_DUTCH,DIM_PE001007_1921_EUR_DUTCH,P40_observed_dimension
MEAS_PE001008_1921_POP_TOT,DIM_PE001008_1921_POP_TOT,P40_observed_dimension
MEAS_PE001008_1921_BRIT_ENG,DIM_PE001008_1921_BRIT_ENG,P40_observed_dimension
MEAS_PE001008_1921_BRIT_IRISH,DIM_PE001008_1921_BRIT_IRISH,P40_observed_dimension
MEAS_PE001008_1921_BRIT_SCOTCH,DIM_PE001008_1921_BRIT_SCOTCH,P40_observed_dimension
MEAS_PE001008_1921_EUR_FRENCH,DIM_PE001008_1921_EUR_FRENCH,P40_observed_dimension
MEAS_PE001008_1921_EUR_DUTCH,DIM_PE001008_1921_EUR_DUTCH,P40_observed_dimension
MEAS_PE001009_1921_POP_TOT,DIM_PE001009_1921_POP_TOT,P40_observed_dimension
MEAS_PE001009_1921_BRIT_ENG,DIM_PE001009_1921_BRIT_ENG,P40_observed_dimension
MEAS_PE001009_1921_BRIT_IRISH,DIM_PE001009_1921_BRIT_IRISH,P40_observed_dimension
MEAS_PE001009_1921_BRIT_SCOTCH,DIM_PE001009_1921_BRIT_SCOTCH,P40_observed_dimension
MEAS_PE001009_1921_EUR_FRENCH,DIM_PE001009_1921_EUR_FRENCH,P40_observed_dimension
MEAS_PE001009_1921_EUR_DUTCH,DIM_PE001009_1921_EUR_DUTCH,P40_observed_dimension
MEAS_PE001010_1921_POP_TOT,DIM_PE001010_1921_POP_TOT,P40_observed_dimension
MEAS_PE001010_1921_BRIT_ENG,DIM_PE001010_1921_BRIT_ENG,P40_observed_dimension
MEAS_PE001010_1921_BRIT_IRISH,DIM_PE001010_1921_BRIT_IRISH,P40_observed_dimension
MEAS_PE001010_1921_BRIT_SCOTCH,DIM_PE001010_1921_BRIT_SCOTCH,P40_observed_dimension
MEAS_PE001010_1921_EUR_FRENCH,DIM_PE001010_1921_EUR_FRENCH,P40_observed_dimension
MEAS_PE001011_1921_POP_TOT,DIM_PE001011_1921_POP_TOT,P40_observed_dimension
MEAS_PE001011_1921_BRIT_ENG,DIM_PE001011_1921_BRIT_ENG,P40_observed_dimension
MEAS_PE001011_1921_BRIT_IRISH,DIM_PE001011_1921_BRIT_IRISH,P40_observed_dimension
MEAS_PE001011_1921_BRIT_SCOTCH,DIM_PE001011_1921_BRIT_SCOTCH,P40_observed_dimension
MEAS_PE001011_1921_EUR_FRENCH,DIM_PE001011_1921_EUR_FRENCH,P40_observed_dimension
MEAS_PE001012_1921_POP_TOT,DIM_PE001012_1921_POP_TOT,P40_observed_dimension
MEAS_PE001012_1921_BRIT_ENG,DIM_PE001012_1921_BRIT_ENG,P40_observed_dimension
MEAS_PE001012_1921_BRIT_IRISH,DIM_PE001012_1921_BRIT_IRISH,P40_observed_dimension
MEAS_PE001012_1921_BRIT_SCOTCH,DIM_PE001012_1921_BRIT_SCOTCH,P40_observed_dimension
MEAS_PE001012_1921_EUR_FRENCH,DIM_PE001012_1921_EUR_FRENCH,P40_observed_dimension
MEAS_PE001013_1921_POP_TOT,DIM_PE001013_1921_POP_TOT,P40_observed_dimension
MEAS_PE001013_1921_BRIT_ENG,DIM_PE001013_1921_BRIT_ENG,P40_observed_dimension
MEAS_PE001013_1921_BRIT_IRISH,DIM_PE001013_1921_BRIT_IRISH,P40_observed_dimension
MEAS_PE001013_1921_BRIT_SCOTCH,DIM_PE001013_1921_BRIT_SCOTCH,P40_observed_dimension
MEAS_PE001013_1921_BRIT_OTHER,DIM_PE001013_1921_BRIT_OTHER,P40_observed_dimension
MEAS_PE001013_1921_EUR_FRENCH,DIM_PE001013_1921_EUR_FRENCH,P40_observed_dimension
MEAS_PE001014_1921_POP_TOT,DIM_PE001014_1921_POP_TOT,P40_observed_dimension
MEAS_PE001014_1921_BRIT_ENG,DIM_PE001014_1921_BRIT_ENG,P40_observed_dimension
MEAS_PE001014_1921_BRIT_IRISH,DIM_PE001014_1921_BRIT_IRISH,P40_observed_dimension
MEAS_PE001014_1921_BRIT_SCOTCH,DIM_PE001014_1921_BRIT_SCOTCH,P40_observed_dimension
MEAS_PE001014_1921_BRIT_OTHER,DIM_PE001014_1921_BRIT_OTHER,P40_observed_dimension
MEAS_PE001014_1921_EUR_FRENCH,DIM_PE001014_1921_EUR_FRENCH,P40_observed_dimension
MEAS_PE001015_1921_POP_TOT,DIM_PE001015_1921_POP_TOT,P40_observed_dimension
