:START_ID,:END_ID,:TYPE
SOURCE_1851_V2T6,MEAS_ON001001_1851_LINE_NO,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_CD_NAME,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_TOT_O,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_O_UNDR_10,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_O_20_TO_50,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_O_50_TO_100,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_O_100_TO_200,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_O_OVR_200,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_HELD,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_CULT,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_CROP,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_PASTURE,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_GARDEN,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_WOOD,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_WHT_AC,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_WHT_BU,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_BAR_AC,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_BAR_BU,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_RYE_AC,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_RYE_BU,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_PEA_AC,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_PEA_BU,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_OAT_AC,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_OAT_BU,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_BWT_AC,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_BWT_BU,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_CRN_AC,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_CRN_BU,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_POT_AC,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_POT_BU,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_TUR_AC,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_TUR_BU,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_GRA_BU,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_CAR_BU,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_MW_BU,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_BEN_BU,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_HAY_TONS,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_FLX_LBS,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_WOOL_LBS,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_MPLS_LBS,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_FC_YRDS,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_FLAN_YRDS,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_BOV,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_M_COWS,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_C_H,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_HORSE,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_SHEEP,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_SWINE,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_B_LBS,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_C_LBS,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_BEEF_BAR,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_PORK_BAR,P70_documents
SOURCE_1851_V2T6,MEAS_ON001001_1851_C_F_BAR,P70_documents
