place_id:ID,place_type,:LABEL
NS199006,CSD,E53_Place
ON131026,CSD,E53_Place
ON148129,CSD,E53_Place
ON079001,CSD,E53_Place
ON131012,CSD,E53_Place
QC156014,CSD,E53_Place
QC153030,CSD,E53_Place
QC182019,CSD,E53_Place
QC176018,CSD,E53_Place
QC096013,CSD,E53_Place
ON135040,CSD,E53_Place
PE139001,CSD,E53_Place
QC076017,CSD,E53_Place
QC195014,CSD,E53_Place
MB012001,CSD,E53_Place
QC118010,CSD,E53_Place
NL001999,CSD,E53_Place
QC080012,CSD,E53_Place
ON114016,CSD,E53_Place
NB033015,CSD,E53_Place
NS011004,CSD,E53_Place
SK177008,CSD,E53_Place
QC037012,CSD,E53_Place
SK184033,CSD,E53_Place
QC085005,CSD,E53_Place
ON175004,CSD,E53_Place
NS009004,CSD,E53_Place
SK214029,CSD,E53_Place
NS013007,CSD,E53_Place
NS043002,CSD,E53_Place
QC051001,CSD,E53_Place
NS203013,CSD,E53_Place
ON146999,CSD,E53_Place
NT202008,CSD,E53_Place
ON122017,CSD,E53_Place
QC168013,CSD,E53_Place
NS036999,CSD,E53_Place
AB194010,CSD,E53_Place
SK181052,CSD,E53_Place
ON106006,CSD,E53_Place
ON098024,CSD,E53_Place
ON029009,CSD,E53_Place
QC113002,CSD,E53_Place
NS014005,CSD,E53_Place
NS028027,CSD,E53_Place
QC038010,CSD,E53_Place
MB158004,CSD,E53_Place
ON130027,CSD,E53_Place
QC059004,CSD,E53_Place
NS034003,CSD,E53_Place
NS019001,CSD,E53_Place
ON089007,CSD,E53_Place
SK175009,CSD,E53_Place
QC008001,CSD,E53_Place
QC131003,CSD,E53_Place
QC204010,CSD,E53_Place
ON092015,CSD,E53_Place
AB195030,CSD,E53_Place
QC205009,CSD,E53_Place
AB201006,CSD,E53_Place
AB195035,CSD,E53_Place
QC064003,CSD,E53_Place
ON136001,CSD,E53_Place
MB165003,CSD,E53_Place
ON016002,CSD,E53_Place
QC154065,CSD,E53_Place
QC155013,CSD,E53_Place
ON182032,CSD,E53_Place
QC096016,CSD,E53_Place
ON138009,CSD,E53_Place
AB196036,CSD,E53_Place
ON179014,CSD,E53_Place
QC086092,CSD,E53_Place
QC160999,CSD,E53_Place
ON091007,CSD,E53_Place
ON152009,CSD,E53_Place
ON179004,CSD,E53_Place
ON099121,CSD,E53_Place
SK208027,CSD,E53_Place
QC002012,CSD,E53_Place
ON034005,CSD,E53_Place
ON148007,CSD,E53_Place
QC164003,CSD,E53_Place
QC086032,CSD,E53_Place
NB179015,CSD,E53_Place
NB036013,CSD,E53_Place
QC192999,CSD,E53_Place
ON130042,CSD,E53_Place
QC047027,CSD,E53_Place
MB168013,CSD,E53_Place
ON103014,CSD,E53_Place
BC001002,CSD,E53_Place
QC165026,CSD,E53_Place
NS010012,CSD,E53_Place
NS016025,CSD,E53_Place
NT202119,CSD,E53_Place
QC144002,CSD,E53_Place
AB197005,CSD,E53_Place
SK186013,CSD,E53_Place
QC200009,CSD,E53_Place
ON101016,CSD,E53_Place
QC059011,CSD,E53_Place
ON104007,CSD,E53_Place
ON118007,CSD,E53_Place
AB190023,CSD,E53_Place
QC074019,CSD,E53_Place
NB024010,CSD,E53_Place
NB020007,CSD,E53_Place
AB190019,CSD,E53_Place
NS045028,CSD,E53_Place
QC154006,CSD,E53_Place
AB190030,CSD,E53_Place
MB168001,CSD,E53_Place
NS006026,CSD,E53_Place
ON123088,CSD,E53_Place
NS030018,CSD,E53_Place
NS200009,CSD,E53_Place
MB184001,CSD,E53_Place
QC071002,CSD,E53_Place
NS014001,CSD,E53_Place
PE003015,CSD,E53_Place
NT202037,CSD,E53_Place
QC148005,CSD,E53_Place
MB157008,CSD,E53_Place
ON064003,CSD,E53_Place
QC191014,CSD,E53_Place
QC172004,CSD,E53_Place
ON110025,CSD,E53_Place
QC142007,CSD,E53_Place
QC125011,CSD,E53_Place
QC042012,CSD,E53_Place
ON138020,CSD,E53_Place
QC197011,CSD,E53_Place
ON052003,CSD,E53_Place
ON142006,CSD,E53_Place
QC037004,CSD,E53_Place
QC086067,CSD,E53_Place
QC206012,CSD,E53_Place
QC198002,CSD,E53_Place
NB033006,CSD,E53_Place
QC090018,CSD,E53_Place
NS195009,CSD,E53_Place
NB179016,CSD,E53_Place
AB006020,CSD,E53_Place
QC185023,CSD,E53_Place
SK187005,CSD,E53_Place
NB012011,CSD,E53_Place
NS008016,CSD,E53_Place
ON111010,CSD,E53_Place
NS042029,CSD,E53_Place
ON098025,CSD,E53_Place
QC171006,CSD,E53_Place
SK212022,CSD,E53_Place
ON099050,CSD,E53_Place
QC180003,CSD,E53_Place
SK212010,CSD,E53_Place
ON052001,CSD,E53_Place
NS039025,CSD,E53_Place
ON130016,CSD,E53_Place
QC184026,CSD,E53_Place
PE139017,CSD,E53_Place
ON096008,CSD,E53_Place
QC149011,CSD,E53_Place
NS206011,CSD,E53_Place
ON152008,CSD,E53_Place
ON061013,CSD,E53_Place
ON099002,CSD,E53_Place
ON146097,CSD,E53_Place
QC083008,CSD,E53_Place
ON170002,CSD,E53_Place
ON158006,CSD,E53_Place
SK175036,CSD,E53_Place
QC155022,CSD,E53_Place
QC097041,CSD,E53_Place
NT202013,CSD,E53_Place
NT193002,CSD,E53_Place
MB018003,CSD,E53_Place
MB015001,CSD,E53_Place
QC166011,CSD,E53_Place
PE003020,CSD,E53_Place
SK177040,CSD,E53_Place
NB021009,CSD,E53_Place
QC192032,CSD,E53_Place
NT202028,CSD,E53_Place
QC050004,CSD,E53_Place
ON086003,CSD,E53_Place
ON148147,CSD,E53_Place
QC079005,CSD,E53_Place
ON139009,CSD,E53_Place
QC138003,CSD,E53_Place
ON138008,CSD,E53_Place
NS043007,CSD,E53_Place
NS028026,CSD,E53_Place
ON120022,CSD,E53_Place
SK175012,CSD,E53_Place
SK183008,CSD,E53_Place
QC076019,CSD,E53_Place
NS016039,CSD,E53_Place
NT203102,CSD,E53_Place
NT203008,CSD,E53_Place
NT205011,CSD,E53_Place
QC154005,CSD,E53_Place
ON105001,CSD,E53_Place
QC196020,CSD,E53_Place
ON123111,CSD,E53_Place
ON182010,CSD,E53_Place
ON028004,CSD,E53_Place
QC196016,CSD,E53_Place
ON148088,CSD,E53_Place
NS030010,CSD,E53_Place
QC137007,CSD,E53_Place
QC034007,CSD,E53_Place
NS032007,CSD,E53_Place
QC143013,CSD,E53_Place
QC138002,CSD,E53_Place
QC192011,CSD,E53_Place
QC187013,CSD,E53_Place
ON112010,CSD,E53_Place
QC150011,CSD,E53_Place
QC201007,CSD,E53_Place
NT204063,CSD,E53_Place
QC074010,CSD,E53_Place
ON100015,CSD,E53_Place
QC154056,CSD,E53_Place
NS205003,CSD,E53_Place
NT204077,CSD,E53_Place
AB002010,CSD,E53_Place
QC164016,CSD,E53_Place
AB195013,CSD,E53_Place
ON175009,CSD,E53_Place
ON062010,CSD,E53_Place
ON122018,CSD,E53_Place
AB196016,CSD,E53_Place
NS049004,CSD,E53_Place
NS045006,CSD,E53_Place
QC138001,CSD,E53_Place
QC040007,CSD,E53_Place
ON152022,CSD,E53_Place
QC091010,CSD,E53_Place
QC148016,CSD,E53_Place
NS031012,CSD,E53_Place
QC196019,CSD,E53_Place
QC148021,CSD,E53_Place
SK208025,CSD,E53_Place
NS038028,CSD,E53_Place
NB019001,CSD,E53_Place
ON027008,CSD,E53_Place
ON029004,CSD,E53_Place
QC158028,CSD,E53_Place
QC194008,CSD,E53_Place
ON099031,CSD,E53_Place
QC091008,CSD,E53_Place
QC109002,CSD,E53_Place
ON004005,CSD,E53_Place
MB165014,CSD,E53_Place
AB204008,CSD,E53_Place
QC132002,CSD,E53_Place
QC055016,CSD,E53_Place
NT202111,CSD,E53_Place
ON182033,CSD,E53_Place
NS035022,CSD,E53_Place
NS014008,CSD,E53_Place
QC015004,CSD,E53_Place
MB009022,CSD,E53_Place
QC044016,CSD,E53_Place
NS005999,CSD,E53_Place
QC099012,CSD,E53_Place
QC062040,CSD,E53_Place
SK207004,CSD,E53_Place
PE997999,CSD,E53_Place
MB021001,CSD,E53_Place
ON123078,CSD,E53_Place
QC023006,CSD,E53_Place
QC183002,CSD,E53_Place
QC062045,CSD,E53_Place
QC052008,CSD,E53_Place
AB197013,CSD,E53_Place
QC169010,CSD,E53_Place
NT203070,CSD,E53_Place
QC149039,CSD,E53_Place
NS045024,CSD,E53_Place
ON034001,CSD,E53_Place
ON135036,CSD,E53_Place
QC075003,CSD,E53_Place
QC045004,CSD,E53_Place
NT203021,CSD,E53_Place
ON099028,CSD,E53_Place
ON142036,CSD,E53_Place
ON108027,CSD,E53_Place
AB198018,CSD,E53_Place
