presence_id:ID,csd_tcpuid,census_year:int,area_sqm:float,:LABEL
NT999999_1871,NT999999,1871,7290524246771.82,E93_Presence
BC999999_1871,BC999999,1871,920400356791.25,E93_Presence
MB999999_1871,MB999999,1871,134814075429.05,E93_Presence
ON087002_1871,ON087002,1871,2067405814.62,E93_Presence
ON087003_1871,ON087003,1871,868469690.09,E93_Presence
ON088003_1871,ON088003,1871,9972341521.43,E93_Presence
ON090002_1871,ON090002,1871,18266610140.99,E93_Presence
ON016002_1871,ON016002,1871,121345185.46,E93_Presence
ON015001_1871,ON015001,1871,293840443.06,E93_Presence
ON016001_1871,ON016001,1871,250595237.51,E93_Presence
ON015005_1871,ON015005,1871,180074350.78,E93_Presence
ON015002_1871,ON015002,1871,48438869.1,E93_Presence
ON015003_1871,ON015003,1871,161794223.81,E93_Presence
ON015004_1871,ON015004,1871,6529295.12,E93_Presence
ON068004_1871,ON068004,1871,368744075.03,E93_Presence
ON068003_1871,ON068003,1871,1112988.12,E93_Presence
ON028007_1871,ON028007,1871,505330294.79,E93_Presence
ON028006_1871,ON028006,1871,357336707.16,E93_Presence
ON028005_1871,ON028005,1871,246768351.76,E93_Presence
ON028001_1871,ON028001,1871,301384094.6,E93_Presence
ON027005_1871,ON027005,1871,264301949.49,E93_Presence
ON028002_1871,ON028002,1871,169793467.26,E93_Presence
ON027006_1871,ON027006,1871,2597995.9,E93_Presence
ON028003_1871,ON028003,1871,13411373.4,E93_Presence
ON027008_1871,ON027008,1871,311562128.68,E93_Presence
ON027004_1871,ON027004,1871,261388218.5,E93_Presence
ON027003_1871,ON027003,1871,249202481.65,E93_Presence
ON028004_1871,ON028004,1871,242203671.06,E93_Presence
ON027007_1871,ON027007,1871,285251885.09,E93_Presence
ON027001_1871,ON027001,1871,256747075.13,E93_Presence
ON027002_1871,ON027002,1871,205846341.34,E93_Presence
ON078009_1871,ON078009,1871,269923915.73,E93_Presence
ON078004_1871,ON078004,1871,291866579.85,E93_Presence
ON078002_1871,ON078002,1871,155288450.79,E93_Presence
ON078007_1871,ON078007,1871,269530544.33,E93_Presence
ON078006_1871,ON078006,1871,124383085.43,E93_Presence
ON078003_1871,ON078003,1871,275185755.84,E93_Presence
ON078001_1871,ON078001,1871,281403409.77,E93_Presence
ON078008_1871,ON078008,1871,115830468.94,E93_Presence
ON078005_1871,ON078005,1871,1720891.79,E93_Presence
ON035007_1871,ON035007,1871,275452950.64,E93_Presence
ON034008_1871,ON034008,1871,178788272.93,E93_Presence
ON035006_1871,ON035006,1871,389417686.11,E93_Presence
