presence_id:ID,cd_id,census_year:int,area_sqm:float,num_csds:int,:LABEL
CD_ON_Addington_1871,CD_ON_Addington,1871,5660581328.0,15,E93_Presence
CD_NB_Albert_1871,CD_NB_Albert,1871,1875784373.85,6,E93_Presence
"CD_ON_Algoma,_Centre_1871","CD_ON_Algoma,_Centre",1871,6165134119.12,2,E93_Presence
"CD_ON_Algoma,_East—Est_1871","CD_ON_Algoma,_East—Est",1871,31623138370.51,3,E93_Presence
"CD_ON_Algoma,_West—Ouest_1871","CD_ON_Algoma,_West—Ouest",1871,68281916458.18,6,E93_Presence
CD_NS_Annapolis_1871,CD_NS_Annapolis,1871,3516171729.92,16,E93_Presence
CD_NS_Antigonish_1871,CD_NS_Antigonish,1871,1561894002.12,9,E93_Presence
CD_QC_Argenteuil_1871,CD_QC_Argenteuil,1871,2525113990.66,9,E93_Presence
CD_QC_Arthabaska_1871,CD_QC_Arthabaska,1871,1917615751.92,18,E93_Presence
CD_QC_Bagot_1871,CD_QC_Bagot,1871,888754510.19,11,E93_Presence
CD_QC_Beauce_Est_1871,CD_QC_Beauce_Est,1871,2382673355.68,8,E93_Presence
CD_QC_Beauce_Ouest_1871,CD_QC_Beauce_Ouest,1871,2764984290.56,8,E93_Presence
CD_QC_Beauharnois_1871,CD_QC_Beauharnois,1871,393990597.35,7,E93_Presence
CD_QC_Bellechasse_Nord_1871,CD_QC_Bellechasse_Nord,1871,509279982.88,6,E93_Presence
CD_QC_Bellechasse_Sud_1871,CD_QC_Bellechasse_Sud,1871,1246507493.76,4,E93_Presence
CD_QC_Berthier_1871,CD_QC_Berthier,1871,1387431650.13,9,E93_Presence
CD_QC_Bonaventure_1871,CD_QC_Bonaventure,1871,9014472416.9,14,E93_Presence
CD_ON_Bothwell_1871,CD_ON_Bothwell,1871,1613671069.2,8,E93_Presence
"CD_ON_Brant,_North_or_East—Nord_ou_Est_1871","CD_ON_Brant,_North_or_East—Nord_ou_Est",1871,656291062.29,5,E93_Presence
"CD_ON_Brant,_South_or_West—Sud_ou_Ouest_1871","CD_ON_Brant,_South_or_West—Sud_ou_Ouest",1871,510602831.08,4,E93_Presence
CD_BC_British_Colombia_1871,CD_BC_British_Colombia,1871,920400356791.26,1,E93_Presence
CD_ON_Brockville_1871,CD_ON_Brockville,1871,371180445.25,4,E93_Presence
CD_QC_Brome_1871,CD_QC_Brome,1871,1323044135.99,5,E93_Presence
"CD_ON_Bruce,_North—Nord_1871","CD_ON_Bruce,_North—Nord",1871,2506892602.87,9,E93_Presence
"CD_ON_Bruce,_South—Sud_1871","CD_ON_Bruce,_South—Sud",1871,1836898075.78,8,E93_Presence
CD_NS_Cape_Breton_1871,CD_NS_Cape_Breton,1871,2736852654.64,14,E93_Presence
CD_ON_Cardwell_1871,CD_ON_Cardwell,1871,1046316934.2,4,E93_Presence
CD_NB_Carleton_1871,CD_NB_Carleton,1871,3427847680.77,11,E93_Presence
CD_ON_Carleton_1871,CD_ON_Carleton,1871,1785133102.47,9,E93_Presence
CD_QC_Chambly_1871,CD_QC_Chambly,1871,372076542.19,10,E93_Presence
CD_QC_Champlain_Nord_1871,CD_QC_Champlain_Nord,1871,4896820925.88,10,E93_Presence
CD_QC_Champlain_Sud_1871,CD_QC_Champlain_Sud,1871,771527886.48,8,E93_Presence
CD_QC_Charlevoix_1871,CD_QC_Charlevoix,1871,5886124590.53,12,E93_Presence
CD_NB_Charlotte_1871,CD_NB_Charlotte,1871,3676128982.85,13,E93_Presence
CD_QC_Chateauguay_1871,CD_QC_Chateauguay,1871,693171105.07,7,E93_Presence
CD_QC_Chicoutimi_1871,CD_QC_Chicoutimi,1871,103200247532.71,12,E93_Presence
CD_NS_Colchester_1871,CD_NS_Colchester,1871,3786859186.89,14,E93_Presence
CD_QC_Compton_1871,CD_QC_Compton,1871,3815927221.93,12,E93_Presence
CD_ON_Cornwall_1871,CD_ON_Cornwall,1871,291061772.15,4,E93_Presence
CD_NS_Cumberland_1871,CD_NS_Cumberland,1871,4521900424.99,12,E93_Presence
CD_QC_Deux-Montagnes_1871,CD_QC_Deux-Montagnes,1871,716136607.26,12,E93_Presence
CD_NS_Digby_1871,CD_NS_Digby,1871,2801570126.74,15,E93_Presence
CD_QC_Dorchester_Est_1871,CD_QC_Dorchester_Est,1871,1172231646.72,7,E93_Presence
CD_QC_Dorchester_Ouest_1871,CD_QC_Dorchester_Ouest,1871,1355815418.99,7,E93_Presence
CD_ON_Dover_1871,CD_ON_Dover,1871,1988396178.46,8,E93_Presence
CD_QC_Drummond_1871,CD_QC_Drummond,1871,1672305482.72,12,E93_Presence
CD_ON_Dundas_1871,CD_ON_Dundas,1871,1062423486.58,6,E93_Presence
"CD_ON_Durham,_East—Est_1871","CD_ON_Durham,_East—Est",1871,885913445.98,4,E93_Presence
"CD_ON_Durham,_West—Ouest_1871","CD_ON_Durham,_West—Ouest",1871,823788577.65,5,E93_Presence
"CD_ON_Elgin,_East—Est_1871","CD_ON_Elgin,_East—Est",1871,1007192455.71,6,E93_Presence
"CD_ON_Elgin,_West—Ouest_1871","CD_ON_Elgin,_West—Ouest",1871,986399491.75,3,E93_Presence
CD_ON_Essex_1871,CD_ON_Essex,1871,1994187140.82,14,E93_Presence
CD_ON_Frontenac_1871,CD_ON_Frontenac,1871,965396815.68,6,E93_Presence
CD_QC_Gaspé_Centre_1871,CD_QC_Gaspé_Centre,1871,3103008843.37,9,E93_Presence
CD_QC_Gaspé_Ouest_1871,CD_QC_Gaspé_Ouest,1871,5929195512.44,5,E93_Presence
CD_QC_Gaspé_Sud_1871,CD_QC_Gaspé_Sud,1871,2857673649.31,6,E93_Presence
CD_ON_Glengarry_1871,CD_ON_Glengarry,1871,1300967157.42,4,E93_Presence
CD_NB_Gloucester_1871,CD_NB_Gloucester,1871,4649288068.04,7,E93_Presence
"CD_ON_Grenville,_South—Sud_1871","CD_ON_Grenville,_South—Sud",1871,657967742.46,3,E93_Presence
"CD_ON_Grey,_North—Nord_1871","CD_ON_Grey,_North—Nord",1871,2521955976.9,10,E93_Presence
"CD_ON_Grey,_South—Sud_1871","CD_ON_Grey,_South—Sud",1871,2553702456.64,8,E93_Presence
CD_NS_Guysborough_1871,CD_NS_Guysborough,1871,4385253580.94,16,E93_Presence
CD_ON_Haldimand_1871,CD_ON_Haldimand,1871,1091269171.17,9,E93_Presence
"CD_NS_Halifax,_East_1871","CD_NS_Halifax,_East",1871,4910996019.06,19,E93_Presence
"CD_NS_Halifax,_West_1871","CD_NS_Halifax,_West",1871,1304489284.15,21,E93_Presence
CD_ON_Halton_1871,CD_ON_Halton,1871,1022520353.3,7,E93_Presence
