:START_ID,:END_ID,during_period,:TYPE
AB001001_1911,CD_AB_Calgary_1911,CENSUS_1911,P10_falls_within
AB001002_1911,CD_AB_Calgary_1911,CENSUS_1911,P10_falls_within
AB001003_1911,CD_AB_Calgary_1911,CENSUS_1911,P10_falls_within
AB001004_1911,CD_AB_Calgary_1911,CENSUS_1911,P10_falls_within
AB001005_1911,CD_AB_Calgary_1911,CENSUS_1911,P10_falls_within
AB001006_1911,CD_AB_Calgary_1911,CENSUS_1911,P10_falls_within
AB001007_1911,CD_AB_Calgary_1911,CENSUS_1911,P10_falls_within
AB001008_1911,CD_AB_Calgary_1911,CENSUS_1911,P10_falls_within
AB001009_1911,CD_AB_Calgary_1911,CENSUS_1911,P10_falls_within
AB001010_1911,CD_AB_Calgary_1911,CENSUS_1911,P10_falls_within
AB001011_1911,CD_AB_Calgary_1911,CENSUS_1911,P10_falls_within
AB001012_1911,CD_AB_Calgary_1911,CENSUS_1911,P10_falls_within
AB001013_1911,CD_AB_Calgary_1911,CENSUS_1911,P10_falls_within
AB001014_1911,CD_AB_Calgary_1911,CENSUS_1911,P10_falls_within
AB001015_1911,CD_AB_Calgary_1911,CENSUS_1911,P10_falls_within
AB001016_1911,CD_AB_Calgary_1911,CENSUS_1911,P10_falls_within
AB001017_1911,CD_AB_Calgary_1911,CENSUS_1911,P10_falls_within
AB001018_1911,CD_AB_Calgary_1911,CENSUS_1911,P10_falls_within
AB001999_1911,CD_AB_Calgary_1911,CENSUS_1911,P10_falls_within
AB002001_1911,CD_AB_Edmonton_1911,CENSUS_1911,P10_falls_within
AB002002_1911,CD_AB_Edmonton_1911,CENSUS_1911,P10_falls_within
AB002003_1911,CD_AB_Edmonton_1911,CENSUS_1911,P10_falls_within
AB002004_1911,CD_AB_Edmonton_1911,CENSUS_1911,P10_falls_within
AB002005_1911,CD_AB_Edmonton_1911,CENSUS_1911,P10_falls_within
AB002006_1911,CD_AB_Edmonton_1911,CENSUS_1911,P10_falls_within
AB002007_1911,CD_AB_Edmonton_1911,CENSUS_1911,P10_falls_within
AB002008_1911,CD_AB_Edmonton_1911,CENSUS_1911,P10_falls_within
AB002009_1911,CD_AB_Edmonton_1911,CENSUS_1911,P10_falls_within
AB002010_1911,CD_AB_Edmonton_1911,CENSUS_1911,P10_falls_within
AB002011_1911,CD_AB_Edmonton_1911,CENSUS_1911,P10_falls_within
AB002012_1911,CD_AB_Edmonton_1911,CENSUS_1911,P10_falls_within
AB002013_1911,CD_AB_Edmonton_1911,CENSUS_1911,P10_falls_within
AB002014_1911,CD_AB_Edmonton_1911,CENSUS_1911,P10_falls_within
AB002015_1911,CD_AB_Edmonton_1911,CENSUS_1911,P10_falls_within
AB002016_1911,CD_AB_Edmonton_1911,CENSUS_1911,P10_falls_within
AB002017_1911,CD_AB_Edmonton_1911,CENSUS_1911,P10_falls_within
AB002018_1911,CD_AB_Edmonton_1911,CENSUS_1911,P10_falls_within
AB002999_1911,CD_AB_Edmonton_1911,CENSUS_1911,P10_falls_within
AB003001_1911,CD_AB_Macleod_1911,CENSUS_1911,P10_falls_within
AB003002_1911,CD_AB_Macleod_1911,CENSUS_1911,P10_falls_within
AB003003_1911,CD_AB_Macleod_1911,CENSUS_1911,P10_falls_within
AB003004_1911,CD_AB_Macleod_1911,CENSUS_1911,P10_falls_within
AB003005_1911,CD_AB_Macleod_1911,CENSUS_1911,P10_falls_within
AB003006_1911,CD_AB_Macleod_1911,CENSUS_1911,P10_falls_within
AB003007_1911,CD_AB_Macleod_1911,CENSUS_1911,P10_falls_within
AB003008_1911,CD_AB_Macleod_1911,CENSUS_1911,P10_falls_within
AB003009_1911,CD_AB_Macleod_1911,CENSUS_1911,P10_falls_within
AB003010_1911,CD_AB_Macleod_1911,CENSUS_1911,P10_falls_within
AB003011_1911,CD_AB_Macleod_1911,CENSUS_1911,P10_falls_within
AB003012_1911,CD_AB_Macleod_1911,CENSUS_1911,P10_falls_within
AB003013_1911,CD_AB_Macleod_1911,CENSUS_1911,P10_falls_within
AB003014_1911,CD_AB_Macleod_1911,CENSUS_1911,P10_falls_within
AB003015_1911,CD_AB_Macleod_1911,CENSUS_1911,P10_falls_within
AB003016_1911,CD_AB_Macleod_1911,CENSUS_1911,P10_falls_within
AB003017_1911,CD_AB_Macleod_1911,CENSUS_1911,P10_falls_within
AB003018_1911,CD_AB_Macleod_1911,CENSUS_1911,P10_falls_within
AB003019_1911,CD_AB_Macleod_1911,CENSUS_1911,P10_falls_within
AB003020_1911,CD_AB_Macleod_1911,CENSUS_1911,P10_falls_within
AB003021_1911,CD_AB_Macleod_1911,CENSUS_1911,P10_falls_within
AB003022_1911,CD_AB_Macleod_1911,CENSUS_1911,P10_falls_within
AB003023_1911,CD_AB_Macleod_1911,CENSUS_1911,P10_falls_within
AB003999_1911,CD_AB_Macleod_1911,CENSUS_1911,P10_falls_within
AB004001_1911,CD_AB_Medicine_Hat_1911,CENSUS_1911,P10_falls_within
AB004002_1911,CD_AB_Medicine_Hat_1911,CENSUS_1911,P10_falls_within
AB004003_1911,CD_AB_Medicine_Hat_1911,CENSUS_1911,P10_falls_within
AB004004_1911,CD_AB_Medicine_Hat_1911,CENSUS_1911,P10_falls_within
AB004005_1911,CD_AB_Medicine_Hat_1911,CENSUS_1911,P10_falls_within
AB004006_1911,CD_AB_Medicine_Hat_1911,CENSUS_1911,P10_falls_within
AB004007_1911,CD_AB_Medicine_Hat_1911,CENSUS_1911,P10_falls_within
AB004008_1911,CD_AB_Medicine_Hat_1911,CENSUS_1911,P10_falls_within
AB004009_1911,CD_AB_Medicine_Hat_1911,CENSUS_1911,P10_falls_within
AB004010_1911,CD_AB_Medicine_Hat_1911,CENSUS_1911,P10_falls_within
AB004011_1911,CD_AB_Medicine_Hat_1911,CENSUS_1911,P10_falls_within
AB004012_1911,CD_AB_Medicine_Hat_1911,CENSUS_1911,P10_falls_within
AB004013_1911,CD_AB_Medicine_Hat_1911,CENSUS_1911,P10_falls_within
AB004014_1911,CD_AB_Medicine_Hat_1911,CENSUS_1911,P10_falls_within
AB004015_1911,CD_AB_Medicine_Hat_1911,CENSUS_1911,P10_falls_within
AB004016_1911,CD_AB_Medicine_Hat_1911,CENSUS_1911,P10_falls_within
AB004017_1911,CD_AB_Medicine_Hat_1911,CENSUS_1911,P10_falls_within
AB004018_1911,CD_AB_Medicine_Hat_1911,CENSUS_1911,P10_falls_within
AB004019_1911,CD_AB_Medicine_Hat_1911,CENSUS_1911,P10_falls_within
AB004020_1911,CD_AB_Medicine_Hat_1911,CENSUS_1911,P10_falls_within
AB004021_1911,CD_AB_Medicine_Hat_1911,CENSUS_1911,P10_falls_within
AB004022_1911,CD_AB_Medicine_Hat_1911,CENSUS_1911,P10_falls_within
AB004023_1911,CD_AB_Medicine_Hat_1911,CENSUS_1911,P10_falls_within
AB004999_1911,CD_AB_Medicine_Hat_1911,CENSUS_1911,P10_falls_within
AB005001_1911,CD_AB_Red_Deer_1911,CENSUS_1911,P10_falls_within
AB005002_1911,CD_AB_Red_Deer_1911,CENSUS_1911,P10_falls_within
AB005003_1911,CD_AB_Red_Deer_1911,CENSUS_1911,P10_falls_within
AB005004_1911,CD_AB_Red_Deer_1911,CENSUS_1911,P10_falls_within
AB005005_1911,CD_AB_Red_Deer_1911,CENSUS_1911,P10_falls_within
AB005006_1911,CD_AB_Red_Deer_1911,CENSUS_1911,P10_falls_within
AB005007_1911,CD_AB_Red_Deer_1911,CENSUS_1911,P10_falls_within
AB005008_1911,CD_AB_Red_Deer_1911,CENSUS_1911,P10_falls_within
AB005009_1911,CD_AB_Red_Deer_1911,CENSUS_1911,P10_falls_within
AB005010_1911,CD_AB_Red_Deer_1911,CENSUS_1911,P10_falls_within
AB005011_1911,CD_AB_Red_Deer_1911,CENSUS_1911,P10_falls_within
AB005012_1911,CD_AB_Red_Deer_1911,CENSUS_1911,P10_falls_within
AB005013_1911,CD_AB_Red_Deer_1911,CENSUS_1911,P10_falls_within
AB005014_1911,CD_AB_Red_Deer_1911,CENSUS_1911,P10_falls_within
AB005015_1911,CD_AB_Red_Deer_1911,CENSUS_1911,P10_falls_within
AB005016_1911,CD_AB_Red_Deer_1911,CENSUS_1911,P10_falls_within
AB005017_1911,CD_AB_Red_Deer_1911,CENSUS_1911,P10_falls_within
AB005018_1911,CD_AB_Red_Deer_1911,CENSUS_1911,P10_falls_within
AB005019_1911,CD_AB_Red_Deer_1911,CENSUS_1911,P10_falls_within
AB005020_1911,CD_AB_Red_Deer_1911,CENSUS_1911,P10_falls_within
AB005021_1911,CD_AB_Red_Deer_1911,CENSUS_1911,P10_falls_within
AB006001_1911,CD_AB_Strathcona_1911,CENSUS_1911,P10_falls_within
AB006002_1911,CD_AB_Strathcona_1911,CENSUS_1911,P10_falls_within
AB006004_1911,CD_AB_Strathcona_1911,CENSUS_1911,P10_falls_within
AB006005_1911,CD_AB_Strathcona_1911,CENSUS_1911,P10_falls_within
AB006006_1911,CD_AB_Strathcona_1911,CENSUS_1911,P10_falls_within
AB006007_1911,CD_AB_Strathcona_1911,CENSUS_1911,P10_falls_within
AB006008_1911,CD_AB_Strathcona_1911,CENSUS_1911,P10_falls_within
AB006009_1911,CD_AB_Strathcona_1911,CENSUS_1911,P10_falls_within
AB006010_1911,CD_AB_Strathcona_1911,CENSUS_1911,P10_falls_within
AB006011_1911,CD_AB_Strathcona_1911,CENSUS_1911,P10_falls_within
AB006012_1911,CD_AB_Strathcona_1911,CENSUS_1911,P10_falls_within
AB006013_1911,CD_AB_Strathcona_1911,CENSUS_1911,P10_falls_within
AB006014_1911,CD_AB_Strathcona_1911,CENSUS_1911,P10_falls_within
AB006015_1911,CD_AB_Strathcona_1911,CENSUS_1911,P10_falls_within
AB006016_1911,CD_AB_Strathcona_1911,CENSUS_1911,P10_falls_within
AB006017_1911,CD_AB_Strathcona_1911,CENSUS_1911,P10_falls_within
AB006018_1911,CD_AB_Strathcona_1911,CENSUS_1911,P10_falls_within
AB006019_1911,CD_AB_Strathcona_1911,CENSUS_1911,P10_falls_within
