:START_ID,:END_ID,during_period,shared_border_length_m:float,:TYPE
NL001999,QC086024,CENSUS_1921,19401.75,P122_borders_with
NL001999,QC086999,CENSUS_1921,1345969.42,P122_borders_with
NB022001,NB032003,CENSUS_1921,10501.13,P122_borders_with
NB022001,NB027003,CENSUS_1921,3606.42,P122_borders_with
NB022001,NB027014,CENSUS_1921,409.02,P122_borders_with
NB022001,NB022004,CENSUS_1921,15256.79,P122_borders_with
NB022001,NB022003,CENSUS_1921,19089.46,P122_borders_with
NB022002,NB022003,CENSUS_1921,6891.99,P122_borders_with
NB022002,NB022005,CENSUS_1921,20684.8,P122_borders_with
NB022002,NB035005,CENSUS_1921,10617.88,P122_borders_with
NB022003,NB027014,CENSUS_1921,7257.77,P122_borders_with
NB022003,NB027001,CENSUS_1921,15815.4,P122_borders_with
NB022003,NB022004,CENSUS_1921,12047.93,P122_borders_with
NB022003,NB022005,CENSUS_1921,17871.05,P122_borders_with
NB022003,NB035005,CENSUS_1921,19741.04,P122_borders_with
NB022004,NB022006,CENSUS_1921,23801.83,P122_borders_with
NB022005,NB022006,CENSUS_1921,19142.86,P122_borders_with
NB023001,NB023002,CENSUS_1921,22221.49,P122_borders_with
NB023001,NB023005,CENSUS_1921,5278.2,P122_borders_with
NB023001,NB036003,CENSUS_1921,17433.8,P122_borders_with
NB023001,NB023003,CENSUS_1921,48365.06,P122_borders_with
NB023002,NB023004,CENSUS_1921,16662.87,P122_borders_with
NB023002,NB036013,CENSUS_1921,4015.01,P122_borders_with
NB023002,NB023008,CENSUS_1921,13131.61,P122_borders_with
NB023002,NB036001,CENSUS_1921,6791.93,P122_borders_with
NB023002,NB023013,CENSUS_1921,12753.52,P122_borders_with
NB023002,NB023007,CENSUS_1921,4039.9,P122_borders_with
NB023002,NB023005,CENSUS_1921,18938.21,P122_borders_with
NB023002,NB036003,CENSUS_1921,18214.24,P122_borders_with
NB023003,NB023007,CENSUS_1921,560.16,P122_borders_with
NB023003,NB023005,CENSUS_1921,10423.91,P122_borders_with
NB023003,NB023009,CENSUS_1921,22324.27,P122_borders_with
NB023003,NB036003,CENSUS_1921,10609.3,P122_borders_with
NB023003,NB034001,CENSUS_1921,703.03,P122_borders_with
NB023003,NB034006,CENSUS_1921,21098.67,P122_borders_with
NB023003,NB036014,CENSUS_1921,15218.3,P122_borders_with
NB023003,NB034003,CENSUS_1921,47734.98,P122_borders_with
NB023004,NB023011,CENSUS_1921,24908.83,P122_borders_with
NB023004,NB036013,CENSUS_1921,27528.36,P122_borders_with
NB023004,NB023008,CENSUS_1921,1028.97,P122_borders_with
NB023005,NB023007,CENSUS_1921,14829.26,P122_borders_with
NB023006,NB036009,CENSUS_1921,5107.5,P122_borders_with
NB023006,NB036002,CENSUS_1921,11829.13,P122_borders_with
NB023006,NB023011,CENSUS_1921,26025.73,P122_borders_with
NB023006,NB023008,CENSUS_1921,14096.41,P122_borders_with
NB023007,NB023008,CENSUS_1921,5711.97,P122_borders_with
NB023007,NB023010,CENSUS_1921,17737.01,P122_borders_with
NB023007,NB023009,CENSUS_1921,5494.11,P122_borders_with
NB023008,NB023011,CENSUS_1921,9499.53,P122_borders_with
NB023008,NB023010,CENSUS_1921,14127.92,P122_borders_with
NB023009,NB023010,CENSUS_1921,9182.67,P122_borders_with
NB023009,NB034001,CENSUS_1921,6702.55,P122_borders_with
NB023011,NB036002,CENSUS_1921,21892.1,P122_borders_with
NB023011,NB023012,CENSUS_1921,12457.58,P122_borders_with
NB023011,NB023014,CENSUS_1921,5999.91,P122_borders_with
NB023011,NB036013,CENSUS_1921,256.57,P122_borders_with
NB024002,NB024007,CENSUS_1921,14667.13,P122_borders_with
NB024002,NB024011,CENSUS_1921,21271.36,P122_borders_with
NB024002,NB024006,CENSUS_1921,10619.9,P122_borders_with
NB024002,NB030008,CENSUS_1921,29047.04,P122_borders_with
NB024002,NB033003,CENSUS_1921,4062.92,P122_borders_with
NB024002,NB033001,CENSUS_1921,13620.48,P122_borders_with
NB024003,NB024014,CENSUS_1921,2456.55,P122_borders_with
NB024003,NB024010,CENSUS_1921,4381.96,P122_borders_with
NB024004,NB024009,CENSUS_1921,3321.29,P122_borders_with
NB024004,NB024010,CENSUS_1921,12783.99,P122_borders_with
NB024004,NB024013,CENSUS_1921,14992.54,P122_borders_with
NB024004,NB024012,CENSUS_1921,12958.71,P122_borders_with
NB024004,NB024011,CENSUS_1921,18395.91,P122_borders_with
NB024004,NB036007,CENSUS_1921,10598.45,P122_borders_with
NB024004,NB033003,CENSUS_1921,93.91,P122_borders_with
NB024004,NB036008,CENSUS_1921,9567.03,P122_borders_with
NB024006,NB024007,CENSUS_1921,21958.62,P122_borders_with
NB024006,NB032002,CENSUS_1921,17723.18,P122_borders_with
NB024006,NB027015,CENSUS_1921,10234.47,P122_borders_with
NB024006,NB030008,CENSUS_1921,13.94,P122_borders_with
NB024007,NB024011,CENSUS_1921,19441.13,P122_borders_with
NB024008,NB024017,CENSUS_1921,5999.91,P122_borders_with
NB024008,NB024009,CENSUS_1921,11646.05,P122_borders_with
NB024008,NB024013,CENSUS_1921,2485.14,P122_borders_with
NB024009,NB024010,CENSUS_1921,10334.36,P122_borders_with
NB024009,NB024013,CENSUS_1921,18221.19,P122_borders_with
NB024010,NB024014,CENSUS_1921,10459.33,P122_borders_with
NB024010,NB024012,CENSUS_1921,24171.81,P122_borders_with
NB024011,NB024018,CENSUS_1921,5999.91,P122_borders_with
NB024011,NB024013,CENSUS_1921,23570.3,P122_borders_with
NB024011,NB033003,CENSUS_1921,11815.44,P122_borders_with
NB024012,NB024014,CENSUS_1921,23291.14,P122_borders_with
NB024012,NB036006,CENSUS_1921,9697.01,P122_borders_with
NB024012,NB036007,CENSUS_1921,8390.01,P122_borders_with
NB024014,NB024016,CENSUS_1921,5999.91,P122_borders_with
NB024014,NB024019,CENSUS_1921,5999.88,P122_borders_with
NB025001,NB029011,CENSUS_1921,51269.41,P122_borders_with
NB025001,NB029010,CENSUS_1921,23597.24,P122_borders_with
NB025001,NB029001,CENSUS_1921,13989.85,P122_borders_with
NB025001,NB025010,CENSUS_1921,10928.4,P122_borders_with
NB025001,NB031003,CENSUS_1921,4298.25,P122_borders_with
NB025001,NB025008,CENSUS_1921,15016.59,P122_borders_with
NB025001,NB025011,CENSUS_1921,5999.88,P122_borders_with
NB025001,NB031005,CENSUS_1921,4520.22,P122_borders_with
NB025001,NB025002,CENSUS_1921,35542.63,P122_borders_with
NB025001,NB025005,CENSUS_1921,24800.85,P122_borders_with
NB025002,NB031005,CENSUS_1921,41659.0,P122_borders_with
NB025003,NB025006,CENSUS_1921,11808.11,P122_borders_with
NB025003,NB025005,CENSUS_1921,2095.22,P122_borders_with
NB025003,NB025004,CENSUS_1921,19951.24,P122_borders_with
NB025004,NB025007,CENSUS_1921,14737.11,P122_borders_with
NB025004,NB025006,CENSUS_1921,8189.76,P122_borders_with
NB025005,NB025008,CENSUS_1921,1149.84,P122_borders_with
NB025005,NB025006,CENSUS_1921,39976.85,P122_borders_with
NB025006,NB025008,CENSUS_1921,13247.25,P122_borders_with
NB025006,NB025007,CENSUS_1921,21776.39,P122_borders_with
NB025007,NB025008,CENSUS_1921,38677.61,P122_borders_with
NB025008,NB029001,CENSUS_1921,32871.47,P122_borders_with
NB026001,NB026999,CENSUS_1921,9992.39,P122_borders_with
NB026001,NB029012,CENSUS_1921,27227.69,P122_borders_with
NB026001,NB026007,CENSUS_1921,22981.3,P122_borders_with
NB026001,NB029006,CENSUS_1921,3486.43,P122_borders_with
NB026001,NB026010,CENSUS_1921,2905.87,P122_borders_with
NB026001,NB026002,CENSUS_1921,13696.82,P122_borders_with
NB026002,NB026007,CENSUS_1921,24055.01,P122_borders_with
NB026002,NB029006,CENSUS_1921,16626.69,P122_borders_with
NB026002,NB029007,CENSUS_1921,21562.41,P122_borders_with
NB026003,NB035003,CENSUS_1921,7118.21,P122_borders_with
NB026003,NB026009,CENSUS_1921,1997.76,P122_borders_with
NB026003,NB035006,CENSUS_1921,15307.73,P122_borders_with
NB026003,NB026008,CENSUS_1921,19492.13,P122_borders_with
NB026003,NB026011,CENSUS_1921,6800.88,P122_borders_with
NB026004,NB035005,CENSUS_1921,23026.02,P122_borders_with
NB026004,NB030009,CENSUS_1921,6328.92,P122_borders_with
NB026004,NB030001,CENSUS_1921,6040.82,P122_borders_with
NB026004,NB030004,CENSUS_1921,22734.91,P122_borders_with
NB026004,NB029003,CENSUS_1921,8045.76,P122_borders_with
NB026004,NB035003,CENSUS_1921,3735.19,P122_borders_with
NB026004,NB026009,CENSUS_1921,15378.94,P122_borders_with
NB026004,NB029002,CENSUS_1921,12471.98,P122_borders_with
NB026004,NB026999,CENSUS_1921,35171.56,P122_borders_with
NB026004,NB026010,CENSUS_1921,18304.02,P122_borders_with
NB026005,NB026008,CENSUS_1921,457.88,P122_borders_with
NB026005,NB026010,CENSUS_1921,24087.61,P122_borders_with
NB026005,NB026011,CENSUS_1921,13863.39,P122_borders_with
NB026005,NB026012,CENSUS_1921,3230.86,P122_borders_with
NB026005,NB026006,CENSUS_1921,20122.72,P122_borders_with
NB026005,NB026013,CENSUS_1921,5999.94,P122_borders_with
NB026006,NB026007,CENSUS_1921,44504.84,P122_borders_with
NB026006,NB026010,CENSUS_1921,14912.49,P122_borders_with
NB026007,NB026010,CENSUS_1921,10933.55,P122_borders_with
NB026008,NB026009,CENSUS_1921,19303.45,P122_borders_with
NB026008,NB026010,CENSUS_1921,13910.75,P122_borders_with
NB026008,NB026011,CENSUS_1921,28312.47,P122_borders_with
NB026009,NB035003,CENSUS_1921,16749.67,P122_borders_with
NB026009,NB026010,CENSUS_1921,10225.26,P122_borders_with
NB026010,NB026999,CENSUS_1921,18256.07,P122_borders_with
NB026010,NB026012,CENSUS_1921,24244.38,P122_borders_with
NB026011,NB026012,CENSUS_1921,3255.84,P122_borders_with
NB026999,NB029002,CENSUS_1921,20192.46,P122_borders_with
NB026999,NB029012,CENSUS_1921,5581.21,P122_borders_with
NB027001,NB027012,CENSUS_1921,7433.83,P122_borders_with
NB027001,NB027014,CENSUS_1921,21828.15,P122_borders_with
NB027001,NB027011,CENSUS_1921,12129.94,P122_borders_with
NB027001,NB027005,CENSUS_1921,14190.42,P122_borders_with
NB027001,NB035005,CENSUS_1921,8907.01,P122_borders_with
NB027002,NB027015,CENSUS_1921,6887.28,P122_borders_with
NB027002,NB030008,CENSUS_1921,9206.84,P122_borders_with
NB027002,NB030006,CENSUS_1921,12452.13,P122_borders_with
NB027003,NB027013,CENSUS_1921,12217.0,P122_borders_with
NB027003,NB032003,CENSUS_1921,37249.56,P122_borders_with
NB027003,NB027012,CENSUS_1921,15845.53,P122_borders_with
NB027003,NB027014,CENSUS_1921,21321.79,P122_borders_with
NB027004,NB027009,CENSUS_1921,3505.29,P122_borders_with
NB027004,NB027007,CENSUS_1921,10835.47,P122_borders_with
NB027004,NB027017,CENSUS_1921,5999.91,P122_borders_with
NB027004,NB027013,CENSUS_1921,11431.34,P122_borders_with
NB027004,NB027008,CENSUS_1921,8607.55,P122_borders_with
NB027005,NB027011,CENSUS_1921,21761.82,P122_borders_with
NB027005,NB035005,CENSUS_1921,21289.9,P122_borders_with
NB027005,NB030001,CENSUS_1921,19911.22,P122_borders_with
NB027006,NB030010,CENSUS_1921,11737.72,P122_borders_with
NB027006,NB027010,CENSUS_1921,7188.32,P122_borders_with
NB027007,NB027015,CENSUS_1921,13310.16,P122_borders_with
NB027007,NB027008,CENSUS_1921,1690.35,P122_borders_with
NB027007,NB027010,CENSUS_1921,4870.09,P122_borders_with
NB027008,NB027013,CENSUS_1921,12380.61,P122_borders_with
NB027008,NB027012,CENSUS_1921,8158.59,P122_borders_with
NB027008,NB027011,CENSUS_1921,4034.1,P122_borders_with
NB027008,NB027010,CENSUS_1921,20771.42,P122_borders_with
NB027009,NB032004,CENSUS_1921,22944.23,P122_borders_with
NB027009,NB027018,CENSUS_1921,5990.62,P122_borders_with
NB027009,NB027013,CENSUS_1921,2955.69,P122_borders_with
NB027010,NB027011,CENSUS_1921,19735.45,P122_borders_with
NB027010,NB030010,CENSUS_1921,10736.47,P122_borders_with
NB027010,NB030007,CENSUS_1921,10017.06,P122_borders_with
NB027011,NB027012,CENSUS_1921,27702.4,P122_borders_with
NB027011,NB030007,CENSUS_1921,9928.96,P122_borders_with
NB027011,NB030001,CENSUS_1921,16341.09,P122_borders_with
NB027012,NB027013,CENSUS_1921,3658.71,P122_borders_with
NB027012,NB027016,CENSUS_1921,5999.9,P122_borders_with
NB027012,NB027014,CENSUS_1921,13186.98,P122_borders_with
NB027013,NB032004,CENSUS_1921,1130.18,P122_borders_with
NB027013,NB032003,CENSUS_1921,17143.19,P122_borders_with
NB027015,NB032002,CENSUS_1921,19020.28,P122_borders_with
NB027015,NB032001,CENSUS_1921,4977.52,P122_borders_with
NB027015,NB030008,CENSUS_1921,24014.49,P122_borders_with
NB028001,NB028008,CENSUS_1921,10011.81,P122_borders_with
NB028001,NB028003,CENSUS_1921,11297.07,P122_borders_with
NB028001,NB028009,CENSUS_1921,2745.75,P122_borders_with
NB028002,NB028007,CENSUS_1921,3418.68,P122_borders_with
NB028003,NB028008,CENSUS_1921,6769.18,P122_borders_with
NB028003,QC095020,CENSUS_1921,6294.65,P122_borders_with
NB028003,NB028009,CENSUS_1921,12177.85,P122_borders_with
NB028004,NB028009,CENSUS_1921,9093.99,P122_borders_with
NB028004,NB028012,CENSUS_1921,2553.48,P122_borders_with
NB028004,NB028013,CENSUS_1921,5999.91,P122_borders_with
NB028004,NB028010,CENSUS_1921,17196.21,P122_borders_with
NB028004,NB028007,CENSUS_1921,33494.9,P122_borders_with
NB028004,NB031007,CENSUS_1921,11295.47,P122_borders_with
NB028005,NB034004,CENSUS_1921,4887.12,P122_borders_with
NB028005,NB034002,CENSUS_1921,24319.95,P122_borders_with
NB028005,NB028011,CENSUS_1921,23731.26,P122_borders_with
NB028006,NB034002,CENSUS_1921,13331.89,P122_borders_with
NB028006,NB028011,CENSUS_1921,37997.25,P122_borders_with
NB028006,NB028007,CENSUS_1921,46190.17,P122_borders_with
NB028006,NB031007,CENSUS_1921,6401.52,P122_borders_with
NB028007,NB028012,CENSUS_1921,3311.58,P122_borders_with
NB028007,NB031007,CENSUS_1921,23707.45,P122_borders_with
NB028008,QC095020,CENSUS_1921,22301.15,P122_borders_with
NB028009,QC095026,CENSUS_1921,66.16,P122_borders_with
NB028009,NB028010,CENSUS_1921,15985.93,P122_borders_with
NB028010,QC095026,CENSUS_1921,13262.1,P122_borders_with
NB028010,QC095999,CENSUS_1921,25230.47,P122_borders_with
NB028010,NB031007,CENSUS_1921,16585.17,P122_borders_with
NB028010,QC084999,CENSUS_1921,11256.18,P122_borders_with
NB028011,NB028014,CENSUS_1921,7584.27,P122_borders_with
NB028011,NB034002,CENSUS_1921,24362.26,P122_borders_with
NB029001,NB029010,CENSUS_1921,28795.12,P122_borders_with
NB029001,NB029014,CENSUS_1921,36023.24,P122_borders_with
NB029002,NB029003,CENSUS_1921,55759.4,P122_borders_with
NB029002,NB029013,CENSUS_1921,19666.92,P122_borders_with
NB029002,NB029012,CENSUS_1921,11396.5,P122_borders_with
NB029002,NB029009,CENSUS_1921,15319.38,P122_borders_with
NB029002,NB029005,CENSUS_1921,2074.31,P122_borders_with
NB029003,NB033005,CENSUS_1921,10529.88,P122_borders_with
NB029003,NB033006,CENSUS_1921,9935.58,P122_borders_with
NB029003,NB030004,CENSUS_1921,193.69,P122_borders_with
NB029003,NB029008,CENSUS_1921,49737.63,P122_borders_with
NB029003,NB029013,CENSUS_1921,22966.58,P122_borders_with
NB029004,NB029009,CENSUS_1921,5139.27,P122_borders_with
NB029004,NB029006,CENSUS_1921,14264.12,P122_borders_with
NB029004,NB029015,CENSUS_1921,5999.86,P122_borders_with
NB029005,NB029013,CENSUS_1921,22365.46,P122_borders_with
