:START_ID,:END_ID,:TYPE
ON002001_1851,ON002001_1851_centroid,P161_has_spatial_projection
ON002003_1851,ON002003_1851_centroid,P161_has_spatial_projection
ON002005_1851,ON002005_1851_centroid,P161_has_spatial_projection
ON002002_1851,ON002002_1851_centroid,P161_has_spatial_projection
ON020005_1851,ON020005_1851_centroid,P161_has_spatial_projection
ON003001_1851,ON003001_1851_centroid,P161_has_spatial_projection
ON003003_1851,ON003003_1851_centroid,P161_has_spatial_projection
ON003009_1851,ON003009_1851_centroid,P161_has_spatial_projection
ON003011_1851,ON003011_1851_centroid,P161_has_spatial_projection
ON003002_1851,ON003002_1851_centroid,P161_has_spatial_projection
ON003004_1851,ON003004_1851_centroid,P161_has_spatial_projection
ON003005_1851,ON003005_1851_centroid,P161_has_spatial_projection
ON003006_1851,ON003006_1851_centroid,P161_has_spatial_projection
ON003007_1851,ON003007_1851_centroid,P161_has_spatial_projection
ON003008_1851,ON003008_1851_centroid,P161_has_spatial_projection
ON003010_1851,ON003010_1851_centroid,P161_has_spatial_projection
ON004001_1851,ON004001_1851_centroid,P161_has_spatial_projection
ON004003_1851,ON004003_1851_centroid,P161_has_spatial_projection
ON004005_1851,ON004005_1851_centroid,P161_has_spatial_projection
ON004006_1851,ON004006_1851_centroid,P161_has_spatial_projection
ON004007_1851,ON004007_1851_centroid,P161_has_spatial_projection
ON004008_1851,ON004008_1851_centroid,P161_has_spatial_projection
ON004011_1851,ON004011_1851_centroid,P161_has_spatial_projection
ON004010_1851,ON004010_1851_centroid,P161_has_spatial_projection
ON039011_1851,ON039011_1851_centroid,P161_has_spatial_projection
ON039006_1851,ON039006_1851_centroid,P161_has_spatial_projection
ON039010_1851,ON039010_1851_centroid,P161_has_spatial_projection
ON035016_1851,ON035016_1851_centroid,P161_has_spatial_projection
ON035015_1851,ON035015_1851_centroid,P161_has_spatial_projection
ON005001_1851,ON005001_1851_centroid,P161_has_spatial_projection
ON005002_1851,ON005002_1851_centroid,P161_has_spatial_projection
ON005003_1851,ON005003_1851_centroid,P161_has_spatial_projection
ON005004_1851,ON005004_1851_centroid,P161_has_spatial_projection
ON006001_1851,ON006001_1851_centroid,P161_has_spatial_projection
ON006002_1851,ON006002_1851_centroid,P161_has_spatial_projection
ON006003_1851,ON006003_1851_centroid,P161_has_spatial_projection
ON006004_1851,ON006004_1851_centroid,P161_has_spatial_projection
ON006005_1851,ON006005_1851_centroid,P161_has_spatial_projection
ON006006_1851,ON006006_1851_centroid,P161_has_spatial_projection
ON007002_1851,ON007002_1851_centroid,P161_has_spatial_projection
ON007005_1851,ON007005_1851_centroid,P161_has_spatial_projection
ON007007_1851,ON007007_1851_centroid,P161_has_spatial_projection
ON007001_1851,ON007001_1851_centroid,P161_has_spatial_projection
ON007003_1851,ON007003_1851_centroid,P161_has_spatial_projection
ON007006_1851,ON007006_1851_centroid,P161_has_spatial_projection
ON008009_1851,ON008009_1851_centroid,P161_has_spatial_projection
ON008002_1851,ON008002_1851_centroid,P161_has_spatial_projection
ON008004_1851,ON008004_1851_centroid,P161_has_spatial_projection
ON008006_1851,ON008006_1851_centroid,P161_has_spatial_projection
ON008007_1851,ON008007_1851_centroid,P161_has_spatial_projection
ON009005_1851,ON009005_1851_centroid,P161_has_spatial_projection
ON009006_1851,ON009006_1851_centroid,P161_has_spatial_projection
ON009008_1851,ON009008_1851_centroid,P161_has_spatial_projection
ON009007_1851,ON009007_1851_centroid,P161_has_spatial_projection
ON009002_1851,ON009002_1851_centroid,P161_has_spatial_projection
ON010004_1851,ON010004_1851_centroid,P161_has_spatial_projection
ON010001_1851,ON010001_1851_centroid,P161_has_spatial_projection
ON010003_1851,ON010003_1851_centroid,P161_has_spatial_projection
ON012002_1851,ON012002_1851_centroid,P161_has_spatial_projection
ON012004_1851,ON012004_1851_centroid,P161_has_spatial_projection
ON011001_1851,ON011001_1851_centroid,P161_has_spatial_projection
ON011003_1851,ON011003_1851_centroid,P161_has_spatial_projection
ON011006_1851,ON011006_1851_centroid,P161_has_spatial_projection
ON011008_1851,ON011008_1851_centroid,P161_has_spatial_projection
ON011011_1851,ON011011_1851_centroid,P161_has_spatial_projection
ON011014_1851,ON011014_1851_centroid,P161_has_spatial_projection
ON011012_1851,ON011012_1851_centroid,P161_has_spatial_projection
ON011005_1851,ON011005_1851_centroid,P161_has_spatial_projection
ON011007_1851,ON011007_1851_centroid,P161_has_spatial_projection
ON011010_1851,ON011010_1851_centroid,P161_has_spatial_projection
