:START_ID,:END_ID,:TYPE
CD_ON_Addington_1921,CD_ON_Addington,P166_was_a_presence_of
CD_NB_Albert_1921,CD_NB_Albert,P166_was_a_presence_of
CD_ON_Algoma_1921,CD_ON_Algoma,P166_was_a_presence_of
CD_NS_Annapolis_1921,CD_NS_Annapolis,P166_was_a_presence_of
CD_NS_Antigonish_1921,CD_NS_Antigonish,P166_was_a_presence_of
CD_QC_Argenteuil_1921,CD_QC_Argenteuil,P166_was_a_presence_of
CD_QC_Arthabaska_1921,CD_QC_Arthabaska,P166_was_a_presence_of
CD_QC_Bagot_1921,CD_QC_Bagot,P166_was_a_presence_of
CD_QC_Beauce_1921,CD_QC_Beauce,P166_was_a_presence_of
CD_QC_Beauharnois_1921,CD_QC_Beauharnois,P166_was_a_presence_of
CD_QC_Bellechasse_1921,CD_QC_Bellechasse,P166_was_a_presence_of
CD_QC_Berthier_1921,CD_QC_Berthier,P166_was_a_presence_of
CD_QC_Bonaventure_1921,CD_QC_Bonaventure,P166_was_a_presence_of
CD_ON_Brant_1921,CD_ON_Brant,P166_was_a_presence_of
CD_QC_Brome_1921,CD_QC_Brome,P166_was_a_presence_of
CD_ON_Bruce_1921,CD_ON_Bruce,P166_was_a_presence_of
CD_BC_Burrard_1921,CD_BC_Burrard,P166_was_a_presence_of
CD_NS_Cape_Breton_1921,CD_NS_Cape_Breton,P166_was_a_presence_of
CD_BC_Cariboo_1921,CD_BC_Cariboo,P166_was_a_presence_of
CD_NB_Carleton_1921,CD_NB_Carleton,P166_was_a_presence_of
CD_ON_Carleton_1921,CD_ON_Carleton,P166_was_a_presence_of
CD_QC_Chambly_1921,CD_QC_Chambly,P166_was_a_presence_of
CD_QC_Champlain_1921,CD_QC_Champlain,P166_was_a_presence_of
CD_QC_Charlevoix_1921,CD_QC_Charlevoix,P166_was_a_presence_of
CD_NB_Charlotte_1921,CD_NB_Charlotte,P166_was_a_presence_of
CD_QC_Chicoutimi_1921,CD_QC_Chicoutimi,P166_was_a_presence_of
CD_QC_Châteauguay_1921,CD_QC_Châteauguay,P166_was_a_presence_of
CD_NS_Colchester_1921,CD_NS_Colchester,P166_was_a_presence_of
CD_BC_Comox-Alberni_1921,CD_BC_Comox-Alberni,P166_was_a_presence_of
CD_QC_Compton_1921,CD_QC_Compton,P166_was_a_presence_of
CD_NS_Cumberland_1921,CD_NS_Cumberland,P166_was_a_presence_of
CD_QC_Deux_Montagnes_1921,CD_QC_Deux_Montagnes,P166_was_a_presence_of
CD_NS_Digby_1921,CD_NS_Digby,P166_was_a_presence_of
CD_AB_Division_No._1_1921,CD_AB_Division_No._1,P166_was_a_presence_of
CD_MB_Division_No._1_1921,CD_MB_Division_No._1,P166_was_a_presence_of
CD_SK_Division_No._1_1921,CD_SK_Division_No._1,P166_was_a_presence_of
CD_AB_Division_No._10_1921,CD_AB_Division_No._10,P166_was_a_presence_of
CD_MB_Division_No._10_1921,CD_MB_Division_No._10,P166_was_a_presence_of
CD_SK_Division_No._10_1921,CD_SK_Division_No._10,P166_was_a_presence_of
CD_AB_Division_No._11_1921,CD_AB_Division_No._11,P166_was_a_presence_of
CD_MB_Division_No._11_1921,CD_MB_Division_No._11,P166_was_a_presence_of
CD_SK_Division_No._11_1921,CD_SK_Division_No._11,P166_was_a_presence_of
CD_AB_Division_No._12_1921,CD_AB_Division_No._12,P166_was_a_presence_of
CD_MB_Division_No._12_1921,CD_MB_Division_No._12,P166_was_a_presence_of
CD_SK_Division_No._12_1921,CD_SK_Division_No._12,P166_was_a_presence_of
CD_AB_Division_No._13_1921,CD_AB_Division_No._13,P166_was_a_presence_of
CD_MB_Division_No._13_1921,CD_MB_Division_No._13,P166_was_a_presence_of
CD_SK_Division_No._13_1921,CD_SK_Division_No._13,P166_was_a_presence_of
CD_AB_Division_No._14_1921,CD_AB_Division_No._14,P166_was_a_presence_of
CD_MB_Division_No._14_1921,CD_MB_Division_No._14,P166_was_a_presence_of
CD_SK_Division_No._14_1921,CD_SK_Division_No._14,P166_was_a_presence_of
CD_AB_Division_No._15_1921,CD_AB_Division_No._15,P166_was_a_presence_of
CD_MB_Division_No._15_1921,CD_MB_Division_No._15,P166_was_a_presence_of
CD_SK_Division_No._15_1921,CD_SK_Division_No._15,P166_was_a_presence_of
CD_AB_Division_No._16_1921,CD_AB_Division_No._16,P166_was_a_presence_of
CD_MB_Division_No._16_1921,CD_MB_Division_No._16,P166_was_a_presence_of
