:START_ID,:END_ID,:TYPE
MB008010_1901,MB008010,P7_took_place_at
MB006011_1901,MB006011,P7_took_place_at
MB006005_1901,MB006005,P7_took_place_at
MB006007_1901,MB006007,P7_took_place_at
MB006008_1901,MB006008,P7_took_place_at
MB006016_1901,MB006016,P7_took_place_at
MB006006_1901,MB006006,P7_took_place_at
MB006013_1901,MB006013,P7_took_place_at
MB006019_1901,MB006019,P7_took_place_at
MB006012_1901,MB006012,P7_took_place_at
MB006014_1901,MB006014,P7_took_place_at
MB006002_1901,MB006002,P7_took_place_at
MB006015_1901,MB006015,P7_took_place_at
MB011016_1901,MB011016,P7_took_place_at
MB008014_1901,MB008014,P7_took_place_at
MB008015_1901,MB008015,P7_took_place_at
MB008006_1901,MB008006,P7_took_place_at
MB008013_1901,MB008013,P7_took_place_at
MB009018_1901,MB009018,P7_took_place_at
MB009028_1901,MB009028,P7_took_place_at
MB009010_1901,MB009010,P7_took_place_at
MB009027_1901,MB009027,P7_took_place_at
MB009011_1901,MB009011,P7_took_place_at
MB009012_1901,MB009012,P7_took_place_at
MB007008_1901,MB007008,P7_took_place_at
MB007012_1901,MB007012,P7_took_place_at
MB007006_1901,MB007006,P7_took_place_at
MB007005_1901,MB007005,P7_took_place_at
MB007013_1901,MB007013,P7_took_place_at
MB007010_1901,MB007010,P7_took_place_at
MB007007_1901,MB007007,P7_took_place_at
MB007009_1901,MB007009,P7_took_place_at
MB011007_1901,MB011007,P7_took_place_at
MB011001_1901,MB011001,P7_took_place_at
MB011017_1901,MB011017,P7_took_place_at
MB007002_1901,MB007002,P7_took_place_at
MB008011_1901,MB008011,P7_took_place_at
MB007004_1901,MB007004,P7_took_place_at
MB008009_1901,MB008009,P7_took_place_at
MB007003_1901,MB007003,P7_took_place_at
MB009019_1901,MB009019,P7_took_place_at
MB009009_1901,MB009009,P7_took_place_at
MB009006_1901,MB009006,P7_took_place_at
MB009015_1901,MB009015,P7_took_place_at
MB009005_1901,MB009005,P7_took_place_at
MB009025_1901,MB009025,P7_took_place_at
MB009024_1901,MB009024,P7_took_place_at
MB009021_1901,MB009021,P7_took_place_at
MB009016_1901,MB009016,P7_took_place_at
MB009003_1901,MB009003,P7_took_place_at
MB009023_1901,MB009023,P7_took_place_at
MB009007_1901,MB009007,P7_took_place_at
MB009001_1901,MB009001,P7_took_place_at
MB009002_1901,MB009002,P7_took_place_at
MB009008_1901,MB009008,P7_took_place_at
MB009004_1901,MB009004,P7_took_place_at
MB009017_1901,MB009017,P7_took_place_at
MB009020_1901,MB009020,P7_took_place_at
MB009014_1901,MB009014,P7_took_place_at
MB009022_1901,MB009022,P7_took_place_at
MB008008_1901,MB008008,P7_took_place_at
MB008002_1901,MB008002,P7_took_place_at
MB008003_1901,MB008003,P7_took_place_at
MB008005_1901,MB008005,P7_took_place_at
MB008001_1901,MB008001,P7_took_place_at
MB008004_1901,MB008004,P7_took_place_at
MB008007_1901,MB008007,P7_took_place_at
MB008012_1901,MB008012,P7_took_place_at
MB010007_1901,MB010007,P7_took_place_at
MB010003_1901,MB010003,P7_took_place_at
MB010001_1901,MB010001,P7_took_place_at
MB010004_1901,MB010004,P7_took_place_at
MB010013_1901,MB010013,P7_took_place_at
MB010005_1901,MB010005,P7_took_place_at
MB010014_1901,MB010014,P7_took_place_at
MB010010_1901,MB010010,P7_took_place_at
MB010009_1901,MB010009,P7_took_place_at
MB010011_1901,MB010011,P7_took_place_at
MB010002_1901,MB010002,P7_took_place_at
MB010008_1901,MB010008,P7_took_place_at
MB011009_1901,MB011009,P7_took_place_at
MB011012_1901,MB011012,P7_took_place_at
MB011018_1901,MB011018,P7_took_place_at
MB011005_1901,MB011005,P7_took_place_at
MB011013_1901,MB011013,P7_took_place_at
MB011014_1901,MB011014,P7_took_place_at
MB011006_1901,MB011006,P7_took_place_at
MB011003_1901,MB011003,P7_took_place_at
MB011011_1901,MB011011,P7_took_place_at
MB011004_1901,MB011004,P7_took_place_at
MB007001_1901,MB007001,P7_took_place_at
MB007014_1901,MB007014,P7_took_place_at
MB006017_1901,MB006017,P7_took_place_at
MB006009_1901,MB006009,P7_took_place_at
MB006003_1901,MB006003,P7_took_place_at
MB006018_1901,MB006018,P7_took_place_at
MB006004_1901,MB006004,P7_took_place_at
