:START_ID,:END_ID,during_period,:TYPE
NL001999,CD_NL_Labrador,CENSUS_1921,P89_falls_within
NB022001,CD_NB_Albert,CENSUS_1921,P89_falls_within
NB022002,CD_NB_Albert,CENSUS_1921,P89_falls_within
NB022003,CD_NB_Albert,CENSUS_1921,P89_falls_within
NB022004,CD_NB_Albert,CENSUS_1921,P89_falls_within
NB022005,CD_NB_Albert,CENSUS_1921,P89_falls_within
NB022006,CD_NB_Albert,CENSUS_1921,P89_falls_within
NB023001,CD_NB_Carleton,CENSUS_1921,P89_falls_within
NB023002,CD_NB_Carleton,CENSUS_1921,P89_falls_within
NB023003,CD_NB_Carleton,CENSUS_1921,P89_falls_within
NB023004,CD_NB_Carleton,CENSUS_1921,P89_falls_within
NB023005,CD_NB_Carleton,CENSUS_1921,P89_falls_within
NB023006,CD_NB_Carleton,CENSUS_1921,P89_falls_within
NB023007,CD_NB_Carleton,CENSUS_1921,P89_falls_within
NB023008,CD_NB_Carleton,CENSUS_1921,P89_falls_within
NB023009,CD_NB_Carleton,CENSUS_1921,P89_falls_within
NB023010,CD_NB_Carleton,CENSUS_1921,P89_falls_within
NB023011,CD_NB_Carleton,CENSUS_1921,P89_falls_within
NB023012,CD_NB_Carleton,CENSUS_1921,P89_falls_within
NB023013,CD_NB_Carleton,CENSUS_1921,P89_falls_within
NB023014,CD_NB_Carleton,CENSUS_1921,P89_falls_within
NB024001,CD_NB_Charlotte,CENSUS_1921,P89_falls_within
NB024002,CD_NB_Charlotte,CENSUS_1921,P89_falls_within
NB024003,CD_NB_Charlotte,CENSUS_1921,P89_falls_within
NB024004,CD_NB_Charlotte,CENSUS_1921,P89_falls_within
NB024005,CD_NB_Charlotte,CENSUS_1921,P89_falls_within
NB024006,CD_NB_Charlotte,CENSUS_1921,P89_falls_within
NB024007,CD_NB_Charlotte,CENSUS_1921,P89_falls_within
NB024008,CD_NB_Charlotte,CENSUS_1921,P89_falls_within
NB024009,CD_NB_Charlotte,CENSUS_1921,P89_falls_within
NB024010,CD_NB_Charlotte,CENSUS_1921,P89_falls_within
NB024011,CD_NB_Charlotte,CENSUS_1921,P89_falls_within
NB024012,CD_NB_Charlotte,CENSUS_1921,P89_falls_within
NB024013,CD_NB_Charlotte,CENSUS_1921,P89_falls_within
NB024014,CD_NB_Charlotte,CENSUS_1921,P89_falls_within
NB024015,CD_NB_Charlotte,CENSUS_1921,P89_falls_within
NB024016,CD_NB_Charlotte,CENSUS_1921,P89_falls_within
NB024017,CD_NB_Charlotte,CENSUS_1921,P89_falls_within
NB024018,CD_NB_Charlotte,CENSUS_1921,P89_falls_within
