identifier_id:ID,:LABEL,value,identifier_type,year:int
TCPUID_ON002001_1851,E42_Identifier,ON002001,TCP_UID,1851
TCPUID_ON065002_1861,E42_Identifier,ON065002,TCP_UID,1861
TCPUID_ON002003_1851,E42_Identifier,ON002003,TCP_UID,1851
TCPUID_ON065003_1861,E42_Identifier,ON065003,TCP_UID,1861
TCPUID_ON002005_1851,E42_Identifier,ON002005,TCP_UID,1851
TCPUID_ON065005_1861,E42_Identifier,ON065005,TCP_UID,1861
TCPUID_ON002002_1851,E42_Identifier,ON002002,TCP_UID,1851
TCPUID_ON065001_1861,E42_Identifier,ON065001,TCP_UID,1861
TCPUID_ON020005_1851,E42_Identifier,ON020005,TCP_UID,1851
TCPUID_ON083007_1861,E42_Identifier,ON083007,TCP_UID,1861
TCPUID_ON003001_1851,E42_Identifier,ON003001,TCP_UID,1851
TCPUID_ON066003_1861,E42_Identifier,ON066003,TCP_UID,1861
TCPUID_ON028005_1871,E42_Identifier,ON028005,TCP_UID,1871
TCPUID_ON003009_1851,E42_Identifier,ON003009,TCP_UID,1851
TCPUID_ON066012_1861,E42_Identifier,ON066012,TCP_UID,1861
TCPUID_ON027006_1871,E42_Identifier,ON027006,TCP_UID,1871
TCPUID_ON176006_1881,E42_Identifier,ON176006,TCP_UID,1881
TCPUID_ON053004_1891,E42_Identifier,ON053004,TCP_UID,1891
TCPUID_ON050004_1901,E42_Identifier,ON050004,TCP_UID,1901
TCPUID_ON066011_1861,E42_Identifier,ON066011,TCP_UID,1861
TCPUID_ON003011_1851,E42_Identifier,ON003011,TCP_UID,1851
TCPUID_ON066014_1861,E42_Identifier,ON066014,TCP_UID,1861
TCPUID_ON028002_1871,E42_Identifier,ON028002,TCP_UID,1871
TCPUID_ON066015_1861,E42_Identifier,ON066015,TCP_UID,1861
TCPUID_ON028003_1871,E42_Identifier,ON028003,TCP_UID,1871
TCPUID_ON177004_1881,E42_Identifier,ON177004,TCP_UID,1881
TCPUID_ON003002_1851,E42_Identifier,ON003002,TCP_UID,1851
TCPUID_ON066004_1861,E42_Identifier,ON066004,TCP_UID,1861
TCPUID_ON027008_1871,E42_Identifier,ON027008,TCP_UID,1871
TCPUID_ON003004_1851,E42_Identifier,ON003004,TCP_UID,1851
TCPUID_ON066006_1861,E42_Identifier,ON066006,TCP_UID,1861
TCPUID_ON027004_1871,E42_Identifier,ON027004,TCP_UID,1871
TCPUID_ON176004_1881,E42_Identifier,ON176004,TCP_UID,1881
TCPUID_ON051002_1891,E42_Identifier,ON051002,TCP_UID,1891
TCPUID_ON048002_1901,E42_Identifier,ON048002,TCP_UID,1901
TCPUID_ON060002_1911,E42_Identifier,ON060002,TCP_UID,1911
TCPUID_ON003005_1851,E42_Identifier,ON003005,TCP_UID,1851
TCPUID_ON066007_1861,E42_Identifier,ON066007,TCP_UID,1861
TCPUID_ON027003_1871,E42_Identifier,ON027003,TCP_UID,1871
TCPUID_ON003006_1851,E42_Identifier,ON003006,TCP_UID,1851
TCPUID_ON066008_1861,E42_Identifier,ON066008,TCP_UID,1861
TCPUID_ON028004_1871,E42_Identifier,ON028004,TCP_UID,1871
TCPUID_ON003007_1851,E42_Identifier,ON003007,TCP_UID,1851
TCPUID_ON066009_1861,E42_Identifier,ON066009,TCP_UID,1861
TCPUID_ON003008_1851,E42_Identifier,ON003008,TCP_UID,1851
TCPUID_ON066010_1861,E42_Identifier,ON066010,TCP_UID,1861
TCPUID_ON027001_1871,E42_Identifier,ON027001,TCP_UID,1871
TCPUID_ON176001_1881,E42_Identifier,ON176001,TCP_UID,1881
TCPUID_ON053002_1891,E42_Identifier,ON053002,TCP_UID,1891
TCPUID_ON050002_1901,E42_Identifier,ON050002,TCP_UID,1901
TCPUID_ON060006_1911,E42_Identifier,ON060006,TCP_UID,1911
TCPUID_ON104011_1921,E42_Identifier,ON104011,TCP_UID,1921
TCPUID_ON003010_1851,E42_Identifier,ON003010,TCP_UID,1851
TCPUID_ON066013_1861,E42_Identifier,ON066013,TCP_UID,1861
TCPUID_ON004001_1851,E42_Identifier,ON004001,TCP_UID,1851
TCPUID_ON067001_1861,E42_Identifier,ON067001,TCP_UID,1861
TCPUID_ON078009_1871,E42_Identifier,ON078009,TCP_UID,1871
TCPUID_ON108009_1881,E42_Identifier,ON108009,TCP_UID,1881
TCPUID_ON004003_1851,E42_Identifier,ON004003,TCP_UID,1851
TCPUID_ON067003_1861,E42_Identifier,ON067003,TCP_UID,1861
TCPUID_ON078004_1871,E42_Identifier,ON078004,TCP_UID,1871
TCPUID_ON108004_1881,E42_Identifier,ON108004,TCP_UID,1881
TCPUID_ON055001_1891,E42_Identifier,ON055001,TCP_UID,1891
TCPUID_ON052001_1901,E42_Identifier,ON052001,TCP_UID,1901
TCPUID_ON061002_1911,E42_Identifier,ON061002,TCP_UID,1911
TCPUID_ON105003_1921,E42_Identifier,ON105003,TCP_UID,1921
TCPUID_ON004005_1851,E42_Identifier,ON004005,TCP_UID,1851
TCPUID_ON067005_1861,E42_Identifier,ON067005,TCP_UID,1861
TCPUID_ON078007_1871,E42_Identifier,ON078007,TCP_UID,1871
TCPUID_ON108007_1881,E42_Identifier,ON108007,TCP_UID,1881
TCPUID_ON004006_1851,E42_Identifier,ON004006,TCP_UID,1851
TCPUID_ON067007_1861,E42_Identifier,ON067007,TCP_UID,1861
TCPUID_ON078006_1871,E42_Identifier,ON078006,TCP_UID,1871
TCPUID_ON108006_1881,E42_Identifier,ON108006,TCP_UID,1881
TCPUID_ON055002_1891,E42_Identifier,ON055002,TCP_UID,1891
TCPUID_ON052003_1901,E42_Identifier,ON052003,TCP_UID,1901
TCPUID_ON061005_1911,E42_Identifier,ON061005,TCP_UID,1911
TCPUID_ON105006_1921,E42_Identifier,ON105006,TCP_UID,1921
TCPUID_ON004007_1851,E42_Identifier,ON004007,TCP_UID,1851
TCPUID_ON067006_1861,E42_Identifier,ON067006,TCP_UID,1861
TCPUID_ON078003_1871,E42_Identifier,ON078003,TCP_UID,1871
TCPUID_ON108003_1881,E42_Identifier,ON108003,TCP_UID,1881
TCPUID_ON055003_1891,E42_Identifier,ON055003,TCP_UID,1891
TCPUID_ON052004_1901,E42_Identifier,ON052004,TCP_UID,1901
TCPUID_ON061006_1911,E42_Identifier,ON061006,TCP_UID,1911
TCPUID_ON105007_1921,E42_Identifier,ON105007,TCP_UID,1921
TCPUID_ON004008_1851,E42_Identifier,ON004008,TCP_UID,1851
TCPUID_ON067008_1861,E42_Identifier,ON067008,TCP_UID,1861
TCPUID_ON111006_1861,E42_Identifier,ON111006,TCP_UID,1861
TCPUID_ON004011_1851,E42_Identifier,ON004011,TCP_UID,1851
TCPUID_ON067011_1861,E42_Identifier,ON067011,TCP_UID,1861
TCPUID_ON078008_1871,E42_Identifier,ON078008,TCP_UID,1871
TCPUID_ON108008_1881,E42_Identifier,ON108008,TCP_UID,1881
TCPUID_ON055008_1891,E42_Identifier,ON055008,TCP_UID,1891
TCPUID_ON052009_1901,E42_Identifier,ON052009,TCP_UID,1901
TCPUID_ON061008_1911,E42_Identifier,ON061008,TCP_UID,1911
TCPUID_ON105010_1921,E42_Identifier,ON105010,TCP_UID,1921
TCPUID_ON004010_1851,E42_Identifier,ON004010,TCP_UID,1851
TCPUID_ON067010_1861,E42_Identifier,ON067010,TCP_UID,1861
TCPUID_ON078005_1871,E42_Identifier,ON078005,TCP_UID,1871
TCPUID_ON108005_1881,E42_Identifier,ON108005,TCP_UID,1881
TCPUID_ON055007_1891,E42_Identifier,ON055007,TCP_UID,1891
TCPUID_ON052008_1901,E42_Identifier,ON052008,TCP_UID,1901
TCPUID_ON061014_1911,E42_Identifier,ON061014,TCP_UID,1911
TCPUID_ON105013_1921,E42_Identifier,ON105013,TCP_UID,1921
TCPUID_ON039011_1851,E42_Identifier,ON039011,TCP_UID,1851
TCPUID_ON103001_1861,E42_Identifier,ON103001,TCP_UID,1861
TCPUID_ON035007_1871,E42_Identifier,ON035007,TCP_UID,1871
TCPUID_ON039006_1851,E42_Identifier,ON039006,TCP_UID,1851
TCPUID_ON103007_1861,E42_Identifier,ON103007,TCP_UID,1861
TCPUID_ON039010_1851,E42_Identifier,ON039010,TCP_UID,1851
TCPUID_ON103012_1861,E42_Identifier,ON103012,TCP_UID,1861
TCPUID_ON035003_1871,E42_Identifier,ON035003,TCP_UID,1871
TCPUID_ON103002_1861,E42_Identifier,ON103002,TCP_UID,1861
TCPUID_ON103010_1861,E42_Identifier,ON103010,TCP_UID,1861
TCPUID_ON035006_1871,E42_Identifier,ON035006,TCP_UID,1871
TCPUID_ON035016_1851,E42_Identifier,ON035016,TCP_UID,1851
TCPUID_ON098010_1861,E42_Identifier,ON098010,TCP_UID,1861
TCPUID_ON035015_1851,E42_Identifier,ON035015,TCP_UID,1851
TCPUID_ON098012_1861,E42_Identifier,ON098012,TCP_UID,1861
TCPUID_ON005001_1851,E42_Identifier,ON005001,TCP_UID,1851
TCPUID_ON068001_1861,E42_Identifier,ON068001,TCP_UID,1861
TCPUID_ON071002_1871,E42_Identifier,ON071002,TCP_UID,1871
