place_id:ID,place_type,name,province,years_active,:LABEL
CD_AB_Calgary,CD,Calgary,AB,1911,E53_Place
CD_AB_Division_No._1,CD,Division No. 1,AB,1921,E53_Place
CD_AB_Division_No._10,CD,Division No. 10,AB,1921,E53_Place
CD_AB_Division_No._11,CD,Division No. 11,AB,1921,E53_Place
CD_AB_Division_No._12,CD,Division No. 12,AB,1921,E53_Place
CD_AB_Division_No._13,CD,Division No. 13,AB,1921,E53_Place
CD_AB_Division_No._14,CD,Division No. 14,AB,1921,E53_Place
CD_AB_Division_No._15,CD,Division No. 15,AB,1921,E53_Place
CD_AB_Division_No._16,CD,Division No. 16,AB,1921,E53_Place
CD_AB_Division_No._17,CD,Division No. 17,AB,1921,E53_Place
CD_AB_Division_No._2,CD,Division No. 2,AB,1921,E53_Place
CD_AB_Division_No._3,CD,Division No. 3,AB,1921,E53_Place
CD_AB_Division_No._4,CD,Division No. 4,AB,1921,E53_Place
CD_AB_Division_No._5,CD,Division No. 5,AB,1921,E53_Place
CD_AB_Division_No._6,CD,Division No. 6,AB,1921,E53_Place
CD_AB_Division_No._7,CD,Division No. 7,AB,1921,E53_Place
CD_AB_Division_No._8,CD,Division No. 8,AB,1921,E53_Place
CD_AB_Division_No._9,CD,Division No. 9,AB,1921,E53_Place
CD_AB_Edmonton,CD,Edmonton,AB,1911,E53_Place
CD_AB_Macleod,CD,Macleod,AB,1911,E53_Place
CD_AB_Medicine_Hat,CD,Medicine Hat,AB,1911,E53_Place
CD_AB_Red_Deer,CD,Red Deer,AB,1911,E53_Place
CD_AB_Strathcona,CD,Strathcona,AB,1911,E53_Place
CD_AB_Victoria,CD,Victoria,AB,1911,E53_Place
CD_BC_British_Colombia,CD,British Colombia,BC,1871,E53_Place
CD_BC_Burrard,CD,Burrard,BC,1901,E53_Place
CD_BC_Burrard_1921,CD,Burrard,BC,1921,E53_Place
CD_BC_Cariboo,CD,Cariboo,BC,1881;1891,E53_Place
CD_BC_Cariboo_1921,CD,Cariboo,BC,1921,E53_Place
CD_BC_Comox-Alberni,CD,Comox-Alberni,BC,1921,E53_Place
CD_BC_Comox-Atlin,CD,Comox-Atlin,BC,1911,E53_Place
CD_BC_Fraser_Valley,CD,Fraser Valley,BC,1921,E53_Place
CD_BC_Kootenay,CD,Kootenay,BC,1911,E53_Place
CD_BC_Kootenay_East,CD,Kootenay East,BC,1921,E53_Place
CD_BC_Kootenay_West,CD,Kootenay West,BC,1921,E53_Place
CD_BC_Nanaimo,CD,Nanaimo,BC,1911;1921,E53_Place
CD_BC_New_Westminster,CD,New Westminster,BC,1881;1891;1901;1911;1921,E53_Place
CD_BC_Skeena,CD,Skeena,BC,1921,E53_Place
