place_id:ID,uri,uri_source,wikidata_qid,wikidata_label,grounding_status,mint_reason
PLACE_ON065002,http://temp.lincsproject.ca/census/place/ON065002,temp_lincs,,,ungrounded,
PLACE_ON065003,http://temp.lincsproject.ca/census/place/ON065003,temp_lincs,,,ungrounded,
PLACE_ON065005,http://temp.lincsproject.ca/census/place/ON065005,temp_lincs,,,ungrounded,
PLACE_ON065001,http://temp.lincsproject.ca/census/place/ON065001,temp_lincs,,,ungrounded,
PLACE_ON083007,http://temp.lincsproject.ca/census/place/ON083007,temp_lincs,,,ungrounded,
PLACE_ON028005,http://temp.lincsproject.ca/census/place/ON028005,temp_lincs,,,ungrounded,
PLACE_ON003009,http://temp.lincsproject.ca/census/place/ON003009,temp_lincs,,,ungrounded,
PLACE_ON050004,http://temp.lincsproject.ca/census/place/ON050004,temp_lincs,,,ungrounded,
PLACE_ON066011,http://temp.lincsproject.ca/census/place/ON066011,temp_lincs,,,ungrounded,
PLACE_ON003011,http://temp.lincsproject.ca/census/place/ON003011,temp_lincs,,,ungrounded,
PLACE_ON028002,http://temp.lincsproject.ca/census/place/ON028002,temp_lincs,,,ungrounded,
PLACE_ON177004,http://temp.lincsproject.ca/census/place/ON177004,temp_lincs,,,ungrounded,
PLACE_ON027008,http://temp.lincsproject.ca/census/place/ON027008,temp_lincs,,,ungrounded,
PLACE_ON060002,http://temp.lincsproject.ca/census/place/ON060002,temp_lincs,,,ungrounded,
PLACE_ON027003,http://temp.lincsproject.ca/census/place/ON027003,temp_lincs,,,ungrounded,
PLACE_ON028004,http://temp.lincsproject.ca/census/place/ON028004,temp_lincs,,,ungrounded,
PLACE_ON066009,http://temp.lincsproject.ca/census/place/ON066009,temp_lincs,,,ungrounded,
PLACE_ON104011,http://www.wikidata.org/entity/Q115261817,wikidata,Q115261817,Huron,matched,
PLACE_ON066013,http://temp.lincsproject.ca/census/place/ON066013,temp_lincs,,,ungrounded,
PLACE_ON108009,http://temp.lincsproject.ca/census/place/ON108009,temp_lincs,,,ungrounded,
PLACE_ON105003,http://www.wikidata.org/entity/Q4141332,wikidata,Q4141332,Goulbourn,matched,
PLACE_ON108007,http://temp.lincsproject.ca/census/place/ON108007,temp_lincs,,,ungrounded,
PLACE_ON105006,http://temp.lincsproject.ca/census/place/ON105006,temp_lincs,,,mint_uri,"Carleton geographic township (see Q6756867 modern subward), 1921 township no WD entity"
PLACE_ON105007,http://temp.lincsproject.ca/census/place/ON105007,temp_lincs,,,mint_uri,"Carleton geographic township, no WD entity"
PLACE_ON004008,http://temp.lincsproject.ca/census/place/ON004008,temp_lincs,,,ungrounded,
PLACE_ON067008,http://temp.lincsproject.ca/census/place/ON067008,temp_lincs,,,ungrounded,
PLACE_ON111006,http://temp.lincsproject.ca/census/place/ON111006,temp_lincs,,,ungrounded,
PLACE_ON105010,http://www.wikidata.org/entity/Q14875451,wikidata,Q14875451,Torbolton,matched,
