csd_id,status,csd_name,wikidata_qid,wikidata_label
NS004017,mint_uri,Milford,,
ON121001,mint_uri,Camden,,
ON128014,mint_uri,Williams E,,
QC040018,matched,St. Séverin,Q112912786,Saint-Séverin
QC040026,mint_uri,"St. Georges E., VL",,
QC041002,matched,St. Clément,Q112912016,Saint-Clément
QC046004,matched,St. Basile le Grand,Q112911926,Saint-Basile-le-Grand
QC052005,matched,St. Colomban,Q112912026,Saint-Colomban
QC062037,matched,Notre Dame de Bonsecours,Q3344580,Notre-Dame-de-Bonsecours
QC068025,matched,"Ste. Agathe, VL",Q112912885,Sainte-Agathe
QC076014,mint_uri,"Outremont, C",,
QC078011,matched,St. Grégoire le Grand,Q112912263,Saint-Grégoire-le-Grand
