wikidata_qid,wikidata_label,place_id,place_type,name,province,year_min,year_max,num_years,num_chains_for_qid
Q1000316,Springhill,PLACE_NS030014,CSD,"Springhill, Town—Ville",NS,1891,1891,1,3
Q1000316,Springhill,PLACE_NS030015,CSD,Springhill,NS,1891,1891,1,3
Q1000316,Springhill,PLACE_NS008034,CSD,"Springhill, T-V",NS,1911,1921,2,3
Q1001461,Raymond,PLACE_AB004007,CSD,Raymond t-v,AB,1911,1911,1,2
Q1001461,Raymond,PLACE_AB190028_1921,CSD,"Raymond, T-V",AB,1921,1921,1,2
Q1001626,North Vancouver,PLACE_BC206001,CSD,North Vancouver,BC,1921,1921,1,2
Q1001626,North Vancouver,PLACE_BC206004,CSD,"North Vancouver, C",BC,1921,1921,1,2
Q1001672,Senneville,PLACE_QC162028,CSD,Senneville vl,QC,1901,1911,2,2
Q1001672,Senneville,PLACE_QC076040_1921,CSD,"Senneville, VL",QC,1921,1921,1,2
Q1004121,Killam,PLACE_AB006015,CSD,Killam vl (T44 R13 MW4),AB,1911,1911,1,2
Q1004121,Killam,PLACE_AB195036_1921,CSD,"Killam, VL",AB,1921,1921,1,2
Q1004125,Daysland,PLACE_AB006007,CSD,Daysland t-v,AB,1911,1911,1,2
Q1004125,Daysland,PLACE_AB196026_1921,CSD,"Daysland, T-V",AB,1921,1921,1,2
Q1004192,Saint Boniface,PLACE_MB183004,CSD,St. Boniface,MB,1881,1881,1,5
Q1004192,Saint Boniface,PLACE_MB008012,CSD,St. Boniface,MB,1891,1891,1,5
Q1004192,Saint Boniface,PLACE_MB010011,CSD,"St. Boniface, Town—Ville",MB,1891,1901,2,5
Q1004192,Saint Boniface,PLACE_MB010010,CSD,St. Boniface,MB,1901,1901,1,5
Q1004192,Saint Boniface,PLACE_MB160012,CSD,"St. Boniface, C",MB,1921,1921,1,5
Q1007407,Fort Saskatchewan,PLACE_NT202043,CSD,Fort Saskatchewan,NT,1901,1901,1,3
Q1007407,Fort Saskatchewan,PLACE_AB007004,CSD,Fort Saskatchewan t-v,AB,1911,1911,1,3
Q1007407,Fort Saskatchewan,PLACE_AB199018_1921,CSD,"Fort Saskatchewan, T-V",AB,1921,1921,1,3
Q1009832,Innisfail,PLACE_NT202051,CSD,Innisfail,NT,1901,1901,1,3
Q1009832,Innisfail,PLACE_AB005005,CSD,Innisfail t-v,AB,1911,1911,1,3
Q1009832,Innisfail,PLACE_AB196027_1921,CSD,"Innisfail, T-V",AB,1921,1921,1,3
Q1013015,Redcliff,PLACE_AB004020,CSD,Redcliffe vl (T13 R6 MW4),AB,1911,1911,1,2
Q1013015,Redcliff,PLACE_AB191023_1921,CSD,"Redcliffe, T-V",AB,1921,1921,1,2
Q1013150,Mattawa,PLACE_ON130090,CSD,"Mattawa, T-V",ON,1891,1921,4,2
Q1013150,Mattawa,PLACE_ON099167_1911,CSD,Mattawa t-v,ON,1911,1911,1,2
Q1013456,Spruce Grove,PLACE_NT202114,CSD,Spruce Grove,NT,1901,1901,1,2
Q1013456,Spruce Grove,PLACE_AB199008,CSD,519. Spruce Grove,AB,1921,1921,1,2
Q1015639,Prince Rupert,PLACE_BC008007_1911,CSD,Prince Rupert c,BC,1911,1911,1,2
Q1015639,Prince Rupert,PLACE_BC214004_1921,CSD,"Prince Rupert, C",BC,1921,1921,1,2
Q1017624,Portage la Prairie,PLACE_MB007023,CSD,"Portage la Prairie, Town—Ville",MB,1891,1891,1,4
Q1017624,Portage la Prairie,PLACE_MB008012_1901,CSD,"Portage la Prairie, Town—Ville",MB,1901,1901,1,4
Q1017624,Portage la Prairie,PLACE_MB020007,CSD,Portage la Prairie t-v,MB,1911,1911,1,4
Q1017624,Portage la Prairie,PLACE_MB160011_1921,CSD,"Portage la Prairie, C",MB,1921,1921,1,4
