dimension_id:ID,:LABEL,value:float,dimension_type
BORDER_DIM_NL001999_QC086024_1921,E54_Dimension,19401.75,length
BORDER_DIM_NL001999_QC086999_1921,E54_Dimension,1345969.42,length
BORDER_DIM_NB022001_NB032003_1921,E54_Dimension,10501.13,length
BORDER_DIM_NB022001_NB027003_1921,E54_Dimension,3606.42,length
BORDER_DIM_NB022001_NB027014_1921,E54_Dimension,409.02,length
BORDER_DIM_NB022001_NB022004_1921,E54_Dimension,15256.79,length
BORDER_DIM_NB022001_NB022003_1921,E54_Dimension,19089.46,length
BORDER_DIM_NB022002_NB022003_1921,E54_Dimension,6891.99,length
BORDER_DIM_NB022002_NB022005_1921,E54_Dimension,20684.8,length
BORDER_DIM_NB022002_NB035005_1921,E54_Dimension,10617.88,length
BORDER_DIM_NB022003_NB027014_1921,E54_Dimension,7257.77,length
BORDER_DIM_NB022003_NB027001_1921,E54_Dimension,15815.4,length
BORDER_DIM_NB022003_NB022004_1921,E54_Dimension,12047.93,length
BORDER_DIM_NB022003_NB022005_1921,E54_Dimension,17871.05,length
BORDER_DIM_NB022003_NB035005_1921,E54_Dimension,19741.04,length
BORDER_DIM_NB022004_NB022006_1921,E54_Dimension,23801.83,length
BORDER_DIM_NB022005_NB022006_1921,E54_Dimension,19142.86,length
BORDER_DIM_NB023001_NB023002_1921,E54_Dimension,22221.49,length
BORDER_DIM_NB023001_NB023005_1921,E54_Dimension,5278.2,length
BORDER_DIM_NB023001_NB036003_1921,E54_Dimension,17433.8,length
BORDER_DIM_NB023001_NB023003_1921,E54_Dimension,48365.06,length
BORDER_DIM_NB023002_NB023004_1921,E54_Dimension,16662.87,length
BORDER_DIM_NB023002_NB036013_1921,E54_Dimension,4015.01,length
BORDER_DIM_NB023002_NB023008_1921,E54_Dimension,13131.61,length
BORDER_DIM_NB023002_NB036001_1921,E54_Dimension,6791.93,length
BORDER_DIM_NB023002_NB023013_1921,E54_Dimension,12753.52,length
BORDER_DIM_NB023002_NB023007_1921,E54_Dimension,4039.9,length
BORDER_DIM_NB023002_NB023005_1921,E54_Dimension,18938.21,length
BORDER_DIM_NB023002_NB036003_1921,E54_Dimension,18214.24,length
BORDER_DIM_NB023003_NB023007_1921,E54_Dimension,560.16,length
BORDER_DIM_NB023003_NB023005_1921,E54_Dimension,10423.91,length
BORDER_DIM_NB023003_NB023009_1921,E54_Dimension,22324.27,length
BORDER_DIM_NB023003_NB036003_1921,E54_Dimension,10609.3,length
BORDER_DIM_NB023003_NB034001_1921,E54_Dimension,703.03,length
BORDER_DIM_NB023003_NB034006_1921,E54_Dimension,21098.67,length
BORDER_DIM_NB023003_NB036014_1921,E54_Dimension,15218.3,length
BORDER_DIM_NB023003_NB034003_1921,E54_Dimension,47734.98,length
BORDER_DIM_NB023004_NB023011_1921,E54_Dimension,24908.83,length
BORDER_DIM_NB023004_NB036013_1921,E54_Dimension,27528.36,length
BORDER_DIM_NB023004_NB023008_1921,E54_Dimension,1028.97,length
BORDER_DIM_NB023005_NB023007_1921,E54_Dimension,14829.26,length
BORDER_DIM_NB023006_NB036009_1921,E54_Dimension,5107.5,length
BORDER_DIM_NB023006_NB036002_1921,E54_Dimension,11829.13,length
BORDER_DIM_NB023006_NB023011_1921,E54_Dimension,26025.73,length
BORDER_DIM_NB023006_NB023008_1921,E54_Dimension,14096.41,length
BORDER_DIM_NB023007_NB023008_1921,E54_Dimension,5711.97,length
BORDER_DIM_NB023007_NB023010_1921,E54_Dimension,17737.01,length
BORDER_DIM_NB023007_NB023009_1921,E54_Dimension,5494.11,length
BORDER_DIM_NB023008_NB023011_1921,E54_Dimension,9499.53,length
BORDER_DIM_NB023008_NB023010_1921,E54_Dimension,14127.92,length
BORDER_DIM_NB023009_NB023010_1921,E54_Dimension,9182.67,length
BORDER_DIM_NB023009_NB034001_1921,E54_Dimension,6702.55,length
BORDER_DIM_NB023011_NB036002_1921,E54_Dimension,21892.1,length
BORDER_DIM_NB023011_NB023012_1921,E54_Dimension,12457.58,length
BORDER_DIM_NB023011_NB023014_1921,E54_Dimension,5999.91,length
BORDER_DIM_NB023011_NB036013_1921,E54_Dimension,256.57,length
BORDER_DIM_NB024002_NB024007_1921,E54_Dimension,14667.13,length
BORDER_DIM_NB024002_NB024011_1921,E54_Dimension,21271.36,length
BORDER_DIM_NB024002_NB024006_1921,E54_Dimension,10619.9,length
BORDER_DIM_NB024002_NB030008_1921,E54_Dimension,29047.04,length
BORDER_DIM_NB024002_NB033003_1921,E54_Dimension,4062.92,length
BORDER_DIM_NB024002_NB033001_1921,E54_Dimension,13620.48,length
BORDER_DIM_NB024003_NB024014_1921,E54_Dimension,2456.55,length
BORDER_DIM_NB024003_NB024010_1921,E54_Dimension,4381.96,length
BORDER_DIM_NB024004_NB024009_1921,E54_Dimension,3321.29,length
BORDER_DIM_NB024004_NB024010_1921,E54_Dimension,12783.99,length
BORDER_DIM_NB024004_NB024013_1921,E54_Dimension,14992.54,length
BORDER_DIM_NB024004_NB024012_1921,E54_Dimension,12958.71,length
BORDER_DIM_NB024004_NB024011_1921,E54_Dimension,18395.91,length
BORDER_DIM_NB024004_NB036007_1921,E54_Dimension,10598.45,length
BORDER_DIM_NB024004_NB033003_1921,E54_Dimension,93.91,length
BORDER_DIM_NB024004_NB036008_1921,E54_Dimension,9567.03,length
BORDER_DIM_NB024006_NB024007_1921,E54_Dimension,21958.62,length
BORDER_DIM_NB024006_NB032002_1921,E54_Dimension,17723.18,length
BORDER_DIM_NB024006_NB027015_1921,E54_Dimension,10234.47,length
BORDER_DIM_NB024006_NB030008_1921,E54_Dimension,13.94,length
BORDER_DIM_NB024007_NB024011_1921,E54_Dimension,19441.13,length
BORDER_DIM_NB024008_NB024017_1921,E54_Dimension,5999.91,length
BORDER_DIM_NB024008_NB024009_1921,E54_Dimension,11646.05,length
