presence_id:ID,csd_tcpuid,census_year:int,area_sqm:float,:LABEL
ON046045_1891,ON046045,1891,175411049.49,E93_Presence
ON046046_1891,ON046046,1891,80976285.13,E93_Presence
ON046048_1891,ON046048,1891,205448710.21,E93_Presence
ON046049_1891,ON046049,1891,132725931.62,E93_Presence
ON046050_1891,ON046050,1891,189281929.43,E93_Presence
ON046051_1891,ON046051,1891,205519565.11,E93_Presence
ON046027_1891,ON046027,1891,1190091991.98,E93_Presence
ON046052_1891,ON046052,1891,177163148.03,E93_Presence
ON046003_1891,ON046003,1891,82459260.18,E93_Presence
ON046055_1891,ON046055,1891,114360430.59,E93_Presence
ON046008_1891,ON046008,1891,837418816.05,E93_Presence
ON046057_1891,ON046057,1891,141461620.09,E93_Presence
ON046011_1891,ON046011,1891,50602985.67,E93_Presence
ON046058_1891,ON046058,1891,106649701.17,E93_Presence
ON046059_1891,ON046059,1891,280077853.55,E93_Presence
ON046060_1891,ON046060,1891,132848233.58,E93_Presence
ON046062_1891,ON046062,1891,150358092.73,E93_Presence
ON046024_1891,ON046024,1891,105540416.28,E93_Presence
ON046014_1891,ON046014,1891,391110300.73,E93_Presence
ON046056_1891,ON046056,1891,2597989.46,E93_Presence
ON046006_1891,ON046006,1891,596809731.68,E93_Presence
ON046013_1891,ON046013,1891,72739544.64,E93_Presence
ON046017_1891,ON046017,1891,305630375.73,E93_Presence
ON046022_1891,ON046022,1891,412587547.78,E93_Presence
ON046016_1891,ON046016,1891,162293029.39,E93_Presence
ON046018_1891,ON046018,1891,16901089.32,E93_Presence
ON048003_1891,ON048003,1891,150317218.05,E93_Presence
ON106001_1891,ON106001,1891,293840439.66,E93_Presence
ON048004_1891,ON048004,1891,205404285.94,E93_Presence
ON049003_1891,ON049003,1891,259736423.22,E93_Presence
ON049005_1891,ON049005,1891,21205992.4,E93_Presence
ON049004_1891,ON049004,1891,2597989.62,E93_Presence
ON106006_1891,ON106006,1891,48438869.1,E93_Presence
ON049001_1891,ON049001,1891,182754689.2,E93_Presence
ON049002_1891,ON049002,1891,2597986.2,E93_Presence
ON050006_1891,ON050006,1891,366925299.38,E93_Presence
ON086009_1891,ON086009,1891,258693703.3,E93_Presence
ON086010_1891,ON086010,1891,143085312.98,E93_Presence
ON050002_1891,ON050002,1891,1112989.68,E93_Presence
ON086001_1891,ON086001,1891,2598418.47,E93_Presence
ON052001_1891,ON052001,1891,330431709.29,E93_Presence
ON052002_1891,ON052002,1891,357537321.49,E93_Presence
ON052003_1891,ON052003,1891,244170341.41,E93_Presence
ON053001_1891,ON053001,1891,301384094.6,E93_Presence
ON052005_1891,ON052005,1891,243552739.34,E93_Presence
ON053003_1891,ON053003,1891,261703943.1,E93_Presence
ON052007_1891,ON052007,1891,308247953.1,E93_Presence
ON052010_1891,ON052010,1891,293762535.9,E93_Presence
ON053007_1891,ON053007,1891,175210238.6,E93_Presence
ON053004_1891,ON053004,1891,2597995.9,E93_Presence
ON052013_1891,ON052013,1891,2597995.76,E93_Presence
ON052009_1891,ON052009,1891,2597995.94,E93_Presence
ON052011_1891,ON052011,1891,2597996.01,E93_Presence
ON052012_1891,ON052012,1891,2598010.34,E93_Presence
ON053008_1891,ON053008,1891,2598006.39,E93_Presence
ON051001_1891,ON051001,1891,308964108.05,E93_Presence
ON051002_1891,ON051002,1891,261388218.5,E93_Presence
ON051003_1891,ON051003,1891,246604461.12,E93_Presence
ON052006_1891,ON052006,1891,237007679.09,E93_Presence
ON051004_1891,ON051004,1891,285251885.09,E93_Presence
ON053002_1891,ON053002,1891,256747075.13,E93_Presence
ON053005_1891,ON053005,1891,203248345.32,E93_Presence
ON052004_1891,ON052004,1891,2597996.01,E93_Presence
ON051006_1891,ON051006,1891,2598020.63,E93_Presence
ON053006_1891,ON053006,1891,2597996.02,E93_Presence
ON052008_1891,ON052008,1891,2597995.96,E93_Presence
ON051005_1891,ON051005,1891,2598020.52,E93_Presence
ON083004_1891,ON083004,1891,269923915.74,E93_Presence
ON055001_1891,ON055001,1891,291866579.85,E93_Presence
ON055005_1891,ON055005,1891,155288450.79,E93_Presence
ON083005_1891,ON083005,1891,269530544.33,E93_Presence
ON055002_1891,ON055002,1891,124383085.43,E93_Presence
ON055003_1891,ON055003,1891,275185755.84,E93_Presence
ON055004_1891,ON055004,1891,274878848.88,E93_Presence
ON055008_1891,ON055008,1891,115830468.94,E93_Presence
ON055006_1891,ON055006,1891,2069458.31,E93_Presence
ON055007_1891,ON055007,1891,1720891.79,E93_Presence
ON127001_1891,ON127001,1891,275453023.16,E93_Presence
ON126004_1891,ON126004,1891,180088806.07,E93_Presence
ON127006_1891,ON127006,1891,389417686.11,E93_Presence
ON067005_1891,ON067005,1891,330947007.53,E93_Presence
ON054005_1891,ON054005,1891,299921014.6,E93_Presence
ON119005_1891,ON119005,1891,300695831.7,E93_Presence
ON126008_1891,ON126008,1891,2597996.22,E93_Presence
ON067009_1891,ON067009,1891,2598006.67,E93_Presence
ON057003_1891,ON057003,1891,274490362.6,E93_Presence
ON057005_1891,ON057005,1891,260569643.04,E93_Presence
ON057006_1891,ON057006,1891,260554407.95,E93_Presence
ON057007_1891,ON057007,1891,256416487.08,E93_Presence
ON057001_1891,ON057001,1891,2597065.86,E93_Presence
ON057002_1891,ON057002,1891,2598988.7,E93_Presence
ON057004_1891,ON057004,1891,2598083.75,E93_Presence
ON057008_1891,ON057008,1891,2598645.68,E93_Presence
ON059002_1891,ON059002,1891,182855371.37,E93_Presence
ON058001_1891,ON058001,1891,277306684.69,E93_Presence
ON059003_1891,ON059003,1891,316853066.93,E93_Presence
ON059004_1891,ON059004,1891,318884135.83,E93_Presence
ON058002_1891,ON058002,1891,289947935.39,E93_Presence
ON058003_1891,ON058003,1891,313462855.7,E93_Presence
ON059001_1891,ON059001,1891,2598006.61,E93_Presence
ON058005_1891,ON058005,1891,2597971.36,E93_Presence
ON058004_1891,ON058004,1891,2597998.84,E93_Presence
ON059005_1891,ON059005,1891,2597996.91,E93_Presence
ON060002_1891,ON060002,1891,257865687.53,E93_Presence
ON090002_1891,ON090002,1891,141760355.15,E93_Presence
ON060003_1891,ON060003,1891,279211446.52,E93_Presence
ON060007_1891,ON060007,1891,315596348.45,E93_Presence
ON060001_1891,ON060001,1891,2597973.38,E93_Presence
ON060004_1891,ON060004,1891,2598003.57,E93_Presence
ON090007_1891,ON090007,1891,2627293.12,E93_Presence
ON060006_1891,ON060006,1891,2598005.37,E93_Presence
ON061001_1891,ON061001,1891,343227130.27,E93_Presence
ON061002_1891,ON061002,1891,310709432.17,E93_Presence
ON061007_1891,ON061007,1891,329604295.78,E93_Presence
ON060005_1891,ON060005,1891,2597960.32,E93_Presence
ON061003_1891,ON061003,1891,2598015.82,E93_Presence
ON062002_1891,ON062002,1891,200546493.13,E93_Presence
ON062003_1891,ON062003,1891,147414409.16,E93_Presence
ON062004_1891,ON062004,1891,193588502.83,E93_Presence
ON062005_1891,ON062005,1891,122065691.42,E93_Presence
ON062010_1891,ON062010,1891,2598003.21,E93_Presence
ON062006_1891,ON062006,1891,2597995.01,E93_Presence
ON062009_1891,ON062009,1891,2597997.87,E93_Presence
ON062001_1891,ON062001,1891,2597981.58,E93_Presence
ON063002_1891,ON063002,1891,107103615.72,E93_Presence
ON063003_1891,ON063003,1891,137202878.56,E93_Presence
ON063004_1891,ON063004,1891,155816968.18,E93_Presence
ON063006_1891,ON063006,1891,262628081.4,E93_Presence
ON063009_1891,ON063009,1891,95836500.85,E93_Presence
ON063010_1891,ON063010,1891,284126236.95,E93_Presence
ON063011_1891,ON063011,1891,44184502.59,E93_Presence
ON062007_1891,ON062007,1891,220446568.87,E93_Presence
ON063001_1891,ON063001,1891,2597993.77,E93_Presence
ON063005_1891,ON063005,1891,2597999.33,E93_Presence
ON063007_1891,ON063007,1891,2597991.53,E93_Presence
ON063008_1891,ON063008,1891,2598035.1,E93_Presence
