presence_id:ID,cd_id,census_year:int,area_sqm:float,num_csds:int,:LABEL
CD_ON_Addington_1851,CD_ON_Addington,1851,1131156230.42,4,E93_Presence
CD_QC_Beauharnois_1851,CD_QC_Beauharnois,1851,1982667273.85,17,E93_Presence
CD_QC_Bellechasse_1851,CD_QC_Bellechasse,1851,2555054696.48,13,E93_Presence
CD_QC_Berthier_1851,CD_QC_Berthier,1851,3250301107.92,17,E93_Presence
CD_QC_Bonaventure_1851,CD_QC_Bonaventure,1851,9014472416.9,12,E93_Presence
CD_ON_Brant_1851,CD_ON_Brant,1851,1166893893.37,8,E93_Presence
CD_ON_Bruce_1851,CD_ON_Bruce,1851,2810459033.86,11,E93_Presence
CD_ON_Bytown_1851,CD_ON_Bytown,1851,8199758.93,3,E93_Presence
CD_ON_Carleton_1851,CD_ON_Carleton,1851,2568340864.39,11,E93_Presence
CD_QC_Chambly_1851,CD_QC_Chambly,1851,545705748.87,14,E93_Presence
CD_QC_Champlain_1851,CD_QC_Champlain,1851,6024083430.38,11,E93_Presence
CD_QC_Dorchester_1851,CD_QC_Dorchester,1851,5432775799.31,24,E93_Presence
CD_QC_Drummond_1851,CD_QC_Drummond,1851,4643642385.54,18,E93_Presence
CD_ON_Dundas_1851,CD_ON_Dundas,1851,1062423486.58,4,E93_Presence
CD_ON_Durham_1851,CD_ON_Durham,1851,1822075607.33,7,E93_Presence
CD_ON_Elgin_1851,CD_ON_Elgin,1851,1993591947.46,8,E93_Presence
CD_ON_Essex_1851,CD_ON_Essex,1851,1994187140.82,11,E93_Presence
CD_ON_Frontenac_1851,CD_ON_Frontenac,1851,3298265093.96,9,E93_Presence
CD_QC_Gaspé_1851,CD_QC_Gaspé,1851,12136459436.51,12,E93_Presence
CD_ON_Glengary_1851,CD_ON_Glengary,1851,1300967157.42,4,E93_Presence
CD_ON_Grenville_1851,CD_ON_Grenville,1851,1266470775.91,6,E93_Presence
CD_ON_Grey_1851,CD_ON_Grey,1851,6608990078.33,15,E93_Presence
CD_ON_Haldimand_1851,CD_ON_Haldimand,1851,1346964345.98,10,E93_Presence
CD_ON_Halton_1851,CD_ON_Halton,1851,1022520353.3,4,E93_Presence
CD_ON_Hamilton_1851,CD_ON_Hamilton,1851,12852054.23,6,E93_Presence
CD_ON_Hastings_1851,CD_ON_Hastings,1851,3679913006.93,11,E93_Presence
CD_QC_Huntingdon_1851,CD_QC_Huntingdon,1851,1263592159.51,18,E93_Presence
CD_ON_Huron_1851,CD_ON_Huron,1851,4077577093.87,16,E93_Presence
CD_QC_Kamouraska_1851,CD_QC_Kamouraska,1851,2920164137.35,12,E93_Presence
CD_ON_Kent_1851,CD_ON_Kent,1851,2629398311.91,8,E93_Presence
"CD_ON_Kingston,_City_1851","CD_ON_Kingston,_City",1851,7939880.65,13,E93_Presence
CD_ON_Lambton_1851,CD_ON_Lambton,1851,3218913249.29,11,E93_Presence
CD_ON_Lanark_1851,CD_ON_Lanark,1851,3300465107.05,13,E93_Presence
CD_ON_Leeds_1851,CD_ON_Leeds,1851,2486758154.81,12,E93_Presence
CD_QC_Leinster_1851,CD_QC_Leinster,1851,3791888652.39,17,E93_Presence
CD_ON_Lennox_1851,CD_ON_Lennox,1851,488515507.52,3,E93_Presence
CD_ON_Lincoln_1851,CD_ON_Lincoln,1851,905572142.02,9,E93_Presence
CD_ON_London_1851,CD_ON_London,1851,5815873.24,4,E93_Presence
CD_QC_Lotbinière_1851,CD_QC_Lotbinière,1851,1974109884.03,9,E93_Presence
CD_QC_L’Islet_1851,CD_QC_L’Islet,1851,3808012750.07,15,E93_Presence
CD_QC_Megantic_1851,CD_QC_Megantic,1851,4371247839.17,15,E93_Presence
CD_ON_Middlesex_1851,CD_ON_Middlesex,1851,3045672582.85,12,E93_Presence
CD_QC_Missisquoi_1851,CD_QC_Missisquoi,1851,1005906419.11,6,E93_Presence
CD_QC_Montmorenci_1851,CD_QC_Montmorenci,1851,5776776371.43,12,E93_Presence
CD_QC_Montréal_1851,CD_QC_Montréal,1851,469683724.29,13,E93_Presence
"CD_QC_Montréal,_cité_1851","CD_QC_Montréal,_cité",1851,16962702.04,2,E93_Presence
CD_NB_New_Brunswick_1851,CD_NB_New_Brunswick,1851,74118400927.67,1,E93_Presence
CD_NL_Newfoundland_1851,CD_NL_Newfoundland,1851,111661003634.19,1,E93_Presence
CD_QC_Nicolet_1851,CD_QC_Nicolet,1851,1448559918.92,9,E93_Presence
CD_ON_Norfolk_1851,CD_ON_Norfolk,1851,1749626133.73,9,E93_Presence
CD_ON_Northumberland_1851,CD_ON_Northumberland,1851,2107588677.31,10,E93_Presence
CD_NS_Nova_Scotia_1851,CD_NS_Nova_Scotia,1851,58128852440.01,1,E93_Presence
CD_ON_Ontario_1851,CD_ON_Ontario,1851,2866575445.52,11,E93_Presence
CD_QC_Outaouais_1851,CD_QC_Outaouais,1851,91938688304.86,25,E93_Presence
CD_ON_Oxford_1851,CD_ON_Oxford,1851,2154757456.87,12,E93_Presence
CD_ON_Peel_1851,CD_ON_Peel,1851,1289853294.05,5,E93_Presence
CD_ON_Perth_1851,CD_ON_Perth,1851,2340196166.55,11,E93_Presence
CD_ON_Peterboro_1851,CD_ON_Peterboro,1851,2955375802.99,9,E93_Presence
CD_QC_Portneuf_1851,CD_QC_Portneuf,1851,4030518651.92,14,E93_Presence
CD_ON_Prescott_1851,CD_ON_Prescott,1851,1289524739.62,7,E93_Presence
CD_ON_Prince_Edward_1851,CD_ON_Prince_Edward,1851,1177762862.99,7,E93_Presence
CD_PE_Prince_Edward_Island_1851,CD_PE_Prince_Edward_Island,1851,6024954067.65,1,E93_Presence
CD_QC_Québec_1851,CD_QC_Québec,1851,7016928013.07,14,E93_Presence
"CD_QC_Québec,_cité_1851","CD_QC_Québec,_cité",1851,4648489.09,1,E93_Presence
CD_ON_Renfrew_1851,CD_ON_Renfrew,1851,3074850070.35,13,E93_Presence
CD_QC_Richelieu_1851,CD_QC_Richelieu,1851,911974712.01,10,E93_Presence
CD_QC_Rimouski_1851,CD_QC_Rimouski,1851,19459084043.52,22,E93_Presence
CD_QC_Rouville_1851,CD_QC_Rouville,1851,989341012.48,12,E93_Presence
CD_ON_Russell_1851,CD_ON_Russell,1851,1119024025.45,4,E93_Presence
CD_QC_Saguenay_1851,CD_QC_Saguenay,1851,358956627648.7,29,E93_Presence
CD_QC_Shefford_1851,CD_QC_Shefford,1851,2034333731.58,8,E93_Presence
CD_QC_Sherbrooke_1851,CD_QC_Sherbrooke,1851,6927760407.21,22,E93_Presence
CD_ON_Simcoe_1851,CD_ON_Simcoe,1851,5541805629.18,18,E93_Presence
CD_QC_St._Hyacinthe_1851,CD_QC_St._Hyacinthe,1851,1192980437.94,12,E93_Presence
CD_QC_St._Maurice_1851,CD_QC_St._Maurice,1851,36397559104.61,16,E93_Presence
CD_QC_Stanstead_1851,CD_QC_Stanstead,1851,1780052213.56,7,E93_Presence
CD_ON_Stormont_1851,CD_ON_Stormont,1851,1073175841.05,5,E93_Presence
CD_QC_Terrebonne_1851,CD_QC_Terrebonne,1851,1328019676.21,13,E93_Presence
CD_NT_The_Territories_1851,CD_NT_The_Territories,1851,8528809667079.14,1,E93_Presence
"CD_ON_Toronto,_City_1851","CD_ON_Toronto,_City",1851,20695975.24,10,E93_Presence
CD_QC_Two_Mountains_1851,CD_QC_Two_Mountains,1851,3280774091.09,18,E93_Presence
CD_QC_Vaudreuil_1851,CD_QC_Vaudreuil,1851,883384793.17,11,E93_Presence
CD_QC_Verchères_1851,CD_QC_Verchères,1851,549811754.57,7,E93_Presence
CD_ON_Victoria_1851,CD_ON_Victoria,1851,2116951711.0,7,E93_Presence
CD_ON_Waterloo_1851,CD_ON_Waterloo,1851,1422292459.63,7,E93_Presence
CD_ON_Welland_1851,CD_ON_Welland,1851,1082096274.53,10,E93_Presence
CD_ON_Wellington_1851,CD_ON_Wellington,1851,3451838411.92,12,E93_Presence
CD_ON_Wentworth_1851,CD_ON_Wentworth,1851,1228115457.72,9,E93_Presence
CD_QC_Yamaska_1851,CD_QC_Yamaska,1851,753642005.77,6,E93_Presence
CD_ON_York_1851,CD_ON_York,1851,2465173780.54,9,E93_Presence
