space_id:ID,latitude:float,longitude:float,crs,:LABEL
ON046045_1891_centroid,45.70071,-81.890421,EPSG:4326,E94_Space_Primitive
ON046046_1891_centroid,45.927415,-82.646602,EPSG:4326,E94_Space_Primitive
ON046048_1891_centroid,45.866301,-82.20378,EPSG:4326,E94_Space_Primitive
ON046049_1891_centroid,45.804644,-82.649526,EPSG:4326,E94_Space_Primitive
ON046050_1891_centroid,45.754225,-82.345399,EPSG:4326,E94_Space_Primitive
ON046051_1891_centroid,45.691238,-82.189819,EPSG:4326,E94_Space_Primitive
ON046027_1891_centroid,46.574897,-81.308431,EPSG:4326,E94_Space_Primitive
ON046052_1891_centroid,45.92227,-83.369109,EPSG:4326,E94_Space_Primitive
ON046003_1891_centroid,46.314977,-83.379793,EPSG:4326,E94_Space_Primitive
ON046055_1891_centroid,45.880941,-82.491802,EPSG:4326,E94_Space_Primitive
ON046008_1891_centroid,46.323232,-81.552068,EPSG:4326,E94_Space_Primitive
ON046057_1891_centroid,45.934292,-81.988642,EPSG:4326,E94_Space_Primitive
ON046011_1891_centroid,46.330233,-83.511645,EPSG:4326,E94_Space_Primitive
ON046058_1891_centroid,45.768023,-82.481472,EPSG:4326,E94_Space_Primitive
ON046059_1891_centroid,45.876788,-82.874845,EPSG:4326,E94_Space_Primitive
ON046060_1891_centroid,45.720768,-82.040404,EPSG:4326,E94_Space_Primitive
ON046062_1891_centroid,45.619307,-82.040583,EPSG:4326,E94_Space_Primitive
ON046024_1891_centroid,46.275732,-83.492718,EPSG:4326,E94_Space_Primitive
ON046014_1891_centroid,46.264631,-83.065983,EPSG:4326,E94_Space_Primitive
ON046056_1891_centroid,45.917074,-82.474967,EPSG:4326,E94_Space_Primitive
ON046006_1891_centroid,46.736266,-84.372742,EPSG:4326,E94_Space_Primitive
ON046013_1891_centroid,47.959465,-84.853646,EPSG:4326,E94_Space_Primitive
ON046017_1891_centroid,46.568411,-84.383664,EPSG:4326,E94_Space_Primitive
ON046022_1891_centroid,46.208784,-83.94682,EPSG:4326,E94_Space_Primitive
ON046016_1891_centroid,46.379708,-84.036345,EPSG:4326,E94_Space_Primitive
ON046018_1891_centroid,46.520352,-84.33382,EPSG:4326,E94_Space_Primitive
ON048003_1891_centroid,43.17003,-80.222581,EPSG:4326,E94_Space_Primitive
ON106001_1891_centroid,43.081704,-80.489497,EPSG:4326,E94_Space_Primitive
ON048004_1891_centroid,43.243284,-80.336726,EPSG:4326,E94_Space_Primitive
ON049003_1891_centroid,43.079426,-80.114711,EPSG:4326,E94_Space_Primitive
ON049005_1891_centroid,42.999114,-80.096745,EPSG:4326,E94_Space_Primitive
ON049004_1891_centroid,43.195351,-80.395888,EPSG:4326,E94_Space_Primitive
ON106006_1891_centroid,43.044769,-80.337971,EPSG:4326,E94_Space_Primitive
ON049001_1891_centroid,43.112114,-80.319296,EPSG:4326,E94_Space_Primitive
ON049002_1891_centroid,43.141935,-80.258648,EPSG:4326,E94_Space_Primitive
ON050006_1891_centroid,44.656367,-75.788467,EPSG:4326,E94_Space_Primitive
ON086009_1891_centroid,44.488895,-75.90583,EPSG:4326,E94_Space_Primitive
ON086010_1891_centroid,44.613951,-75.951251,EPSG:4326,E94_Space_Primitive
ON050002_1891_centroid,44.595692,-75.680971,EPSG:4326,E94_Space_Primitive
ON086001_1891_centroid,44.629742,-75.950961,EPSG:4326,E94_Space_Primitive
ON052001_1891_centroid,44.850476,-81.158825,EPSG:4326,E94_Space_Primitive
ON052002_1891_centroid,44.637863,-81.220177,EPSG:4326,E94_Space_Primitive
ON052003_1891_centroid,44.462728,-81.213543,EPSG:4326,E94_Space_Primitive
ON053001_1891_centroid,44.304558,-81.453814,EPSG:4326,E94_Space_Primitive
ON052005_1891_centroid,44.946531,-81.274453,EPSG:4326,E94_Space_Primitive
ON053003_1891_centroid,44.186278,-81.524848,EPSG:4326,E94_Space_Primitive
ON052007_1891_centroid,45.097973,-81.373676,EPSG:4326,E94_Space_Primitive
ON052010_1891_centroid,45.191507,-81.539366,EPSG:4326,E94_Space_Primitive
ON053007_1891_centroid,44.406614,-81.370876,EPSG:4326,E94_Space_Primitive
ON053004_1891_centroid,44.169704,-81.630115,EPSG:4326,E94_Space_Primitive
ON052013_1891_centroid,44.725874,-81.152697,EPSG:4326,E94_Space_Primitive
ON052009_1891_centroid,44.451026,-81.393433,EPSG:4326,E94_Space_Primitive
ON052011_1891_centroid,44.491178,-81.369643,EPSG:4326,E94_Space_Primitive
ON052012_1891_centroid,44.474586,-81.153464,EPSG:4326,E94_Space_Primitive
ON053008_1891_centroid,44.261816,-81.556648,EPSG:4326,E94_Space_Primitive
ON051001_1891_centroid,44.192418,-81.144737,EPSG:4326,E94_Space_Primitive
ON051002_1891_centroid,44.041549,-81.104964,EPSG:4326,E94_Space_Primitive
ON051003_1891_centroid,44.012876,-81.296045,EPSG:4326,E94_Space_Primitive
ON052006_1891_centroid,44.337759,-81.184161,EPSG:4326,E94_Space_Primitive
ON051004_1891_centroid,44.169222,-81.323658,EPSG:4326,E94_Space_Primitive
ON053002_1891_centroid,44.072036,-81.617247,EPSG:4326,E94_Space_Primitive
ON053005_1891_centroid,44.011154,-81.451019,EPSG:4326,E94_Space_Primitive
ON052004_1891_centroid,44.303442,-81.100245,EPSG:4326,E94_Space_Primitive
ON051006_1891_centroid,44.131628,-81.149142,EPSG:4326,E94_Space_Primitive
ON053006_1891_centroid,43.966519,-81.503372,EPSG:4326,E94_Space_Primitive
ON052008_1891_centroid,44.304971,-81.266552,EPSG:4326,E94_Space_Primitive
ON051005_1891_centroid,43.996137,-81.292656,EPSG:4326,E94_Space_Primitive
ON083004_1891_centroid,45.402996,-76.206736,EPSG:4326,E94_Space_Primitive
ON055001_1891_centroid,45.1914,-75.928093,EPSG:4326,E94_Space_Primitive
ON055005_1891_centroid,45.152767,-75.696406,EPSG:4326,E94_Space_Primitive
ON083005_1891_centroid,45.2944,-76.065787,EPSG:4326,E94_Space_Primitive
ON055002_1891_centroid,45.375132,-75.962147,EPSG:4326,E94_Space_Primitive
ON055003_1891_centroid,45.066285,-75.807426,EPSG:4326,E94_Space_Primitive
ON055004_1891_centroid,45.300079,-75.780168,EPSG:4326,E94_Space_Primitive
ON055008_1891_centroid,45.463016,-76.079573,EPSG:4326,E94_Space_Primitive
ON055006_1891_centroid,45.412591,-75.674598,EPSG:4326,E94_Space_Primitive
