:START_ID,:END_ID,during_period,:TYPE
MB008010_1901,CD_MB_Macdonald_1901,CENSUS_1901,P10_falls_within
MB006011_1901,CD_MB_Brandon_1901,CENSUS_1901,P10_falls_within
MB006005_1901,CD_MB_Brandon_1901,CENSUS_1901,P10_falls_within
MB006007_1901,CD_MB_Brandon_1901,CENSUS_1901,P10_falls_within
MB006008_1901,CD_MB_Brandon_1901,CENSUS_1901,P10_falls_within
MB006016_1901,CD_MB_Brandon_1901,CENSUS_1901,P10_falls_within
MB006006_1901,CD_MB_Brandon_1901,CENSUS_1901,P10_falls_within
MB006013_1901,CD_MB_Brandon_1901,CENSUS_1901,P10_falls_within
MB006019_1901,CD_MB_Brandon_1901,CENSUS_1901,P10_falls_within
MB006012_1901,CD_MB_Brandon_1901,CENSUS_1901,P10_falls_within
MB006014_1901,CD_MB_Brandon_1901,CENSUS_1901,P10_falls_within
MB006002_1901,CD_MB_Brandon_1901,CENSUS_1901,P10_falls_within
MB006015_1901,CD_MB_Brandon_1901,CENSUS_1901,P10_falls_within
MB011016_1901,CD_MB_Selkirk_1901,CENSUS_1901,P10_falls_within
MB008014_1901,CD_MB_Macdonald_1901,CENSUS_1901,P10_falls_within
MB008015_1901,CD_MB_Macdonald_1901,CENSUS_1901,P10_falls_within
MB008006_1901,CD_MB_Macdonald_1901,CENSUS_1901,P10_falls_within
MB008013_1901,CD_MB_Macdonald_1901,CENSUS_1901,P10_falls_within
MB009018_1901,CD_MB_Marquette_1901,CENSUS_1901,P10_falls_within
MB009028_1901,CD_MB_Marquette_1901,CENSUS_1901,P10_falls_within
MB009010_1901,CD_MB_Marquette_1901,CENSUS_1901,P10_falls_within
MB009027_1901,CD_MB_Marquette_1901,CENSUS_1901,P10_falls_within
MB009011_1901,CD_MB_Marquette_1901,CENSUS_1901,P10_falls_within
MB009012_1901,CD_MB_Marquette_1901,CENSUS_1901,P10_falls_within
MB007008_1901,CD_MB_Lisgar_1901,CENSUS_1901,P10_falls_within
MB007012_1901,CD_MB_Lisgar_1901,CENSUS_1901,P10_falls_within
MB007006_1901,CD_MB_Lisgar_1901,CENSUS_1901,P10_falls_within
MB007005_1901,CD_MB_Lisgar_1901,CENSUS_1901,P10_falls_within
MB007013_1901,CD_MB_Lisgar_1901,CENSUS_1901,P10_falls_within
MB007010_1901,CD_MB_Lisgar_1901,CENSUS_1901,P10_falls_within
MB007007_1901,CD_MB_Lisgar_1901,CENSUS_1901,P10_falls_within
MB007009_1901,CD_MB_Lisgar_1901,CENSUS_1901,P10_falls_within
MB011007_1901,CD_MB_Selkirk_1901,CENSUS_1901,P10_falls_within
MB011001_1901,CD_MB_Selkirk_1901,CENSUS_1901,P10_falls_within
MB011017_1901,CD_MB_Selkirk_1901,CENSUS_1901,P10_falls_within
MB007002_1901,CD_MB_Lisgar_1901,CENSUS_1901,P10_falls_within
MB008011_1901,CD_MB_Macdonald_1901,CENSUS_1901,P10_falls_within
MB007004_1901,CD_MB_Lisgar_1901,CENSUS_1901,P10_falls_within
MB008009_1901,CD_MB_Macdonald_1901,CENSUS_1901,P10_falls_within
MB007003_1901,CD_MB_Lisgar_1901,CENSUS_1901,P10_falls_within
MB009019_1901,CD_MB_Marquette_1901,CENSUS_1901,P10_falls_within
MB009009_1901,CD_MB_Marquette_1901,CENSUS_1901,P10_falls_within
MB009006_1901,CD_MB_Marquette_1901,CENSUS_1901,P10_falls_within
MB009015_1901,CD_MB_Marquette_1901,CENSUS_1901,P10_falls_within
MB009005_1901,CD_MB_Marquette_1901,CENSUS_1901,P10_falls_within
MB009025_1901,CD_MB_Marquette_1901,CENSUS_1901,P10_falls_within
MB009024_1901,CD_MB_Marquette_1901,CENSUS_1901,P10_falls_within
MB009021_1901,CD_MB_Marquette_1901,CENSUS_1901,P10_falls_within
MB009016_1901,CD_MB_Marquette_1901,CENSUS_1901,P10_falls_within
MB009003_1901,CD_MB_Marquette_1901,CENSUS_1901,P10_falls_within
MB009023_1901,CD_MB_Marquette_1901,CENSUS_1901,P10_falls_within
MB009007_1901,CD_MB_Marquette_1901,CENSUS_1901,P10_falls_within
MB009001_1901,CD_MB_Marquette_1901,CENSUS_1901,P10_falls_within
MB009002_1901,CD_MB_Marquette_1901,CENSUS_1901,P10_falls_within
MB009008_1901,CD_MB_Marquette_1901,CENSUS_1901,P10_falls_within
MB009004_1901,CD_MB_Marquette_1901,CENSUS_1901,P10_falls_within
MB009017_1901,CD_MB_Marquette_1901,CENSUS_1901,P10_falls_within
MB009020_1901,CD_MB_Marquette_1901,CENSUS_1901,P10_falls_within
MB009014_1901,CD_MB_Marquette_1901,CENSUS_1901,P10_falls_within
MB009022_1901,CD_MB_Marquette_1901,CENSUS_1901,P10_falls_within
MB008008_1901,CD_MB_Macdonald_1901,CENSUS_1901,P10_falls_within
MB008002_1901,CD_MB_Macdonald_1901,CENSUS_1901,P10_falls_within
MB008003_1901,CD_MB_Macdonald_1901,CENSUS_1901,P10_falls_within
MB008005_1901,CD_MB_Macdonald_1901,CENSUS_1901,P10_falls_within
MB008001_1901,CD_MB_Macdonald_1901,CENSUS_1901,P10_falls_within
MB008004_1901,CD_MB_Macdonald_1901,CENSUS_1901,P10_falls_within
MB008007_1901,CD_MB_Macdonald_1901,CENSUS_1901,P10_falls_within
MB008012_1901,CD_MB_Macdonald_1901,CENSUS_1901,P10_falls_within
MB010007_1901,CD_MB_Provencher_1901,CENSUS_1901,P10_falls_within
MB010003_1901,CD_MB_Provencher_1901,CENSUS_1901,P10_falls_within
MB010001_1901,CD_MB_Provencher_1901,CENSUS_1901,P10_falls_within
MB010004_1901,CD_MB_Provencher_1901,CENSUS_1901,P10_falls_within
MB010013_1901,CD_MB_Provencher_1901,CENSUS_1901,P10_falls_within
MB010005_1901,CD_MB_Provencher_1901,CENSUS_1901,P10_falls_within
MB010014_1901,CD_MB_Provencher_1901,CENSUS_1901,P10_falls_within
MB010010_1901,CD_MB_Provencher_1901,CENSUS_1901,P10_falls_within
MB010009_1901,CD_MB_Provencher_1901,CENSUS_1901,P10_falls_within
MB010011_1901,CD_MB_Provencher_1901,CENSUS_1901,P10_falls_within
MB010002_1901,CD_MB_Provencher_1901,CENSUS_1901,P10_falls_within
MB010008_1901,CD_MB_Provencher_1901,CENSUS_1901,P10_falls_within
MB011009_1901,CD_MB_Selkirk_1901,CENSUS_1901,P10_falls_within
MB011012_1901,CD_MB_Selkirk_1901,CENSUS_1901,P10_falls_within
MB011018_1901,CD_MB_Selkirk_1901,CENSUS_1901,P10_falls_within
MB011005_1901,CD_MB_Selkirk_1901,CENSUS_1901,P10_falls_within
MB011013_1901,CD_MB_Selkirk_1901,CENSUS_1901,P10_falls_within
MB011014_1901,CD_MB_Selkirk_1901,CENSUS_1901,P10_falls_within
MB011006_1901,CD_MB_Selkirk_1901,CENSUS_1901,P10_falls_within
MB011003_1901,CD_MB_Selkirk_1901,CENSUS_1901,P10_falls_within
MB011011_1901,CD_MB_Selkirk_1901,CENSUS_1901,P10_falls_within
MB011004_1901,CD_MB_Selkirk_1901,CENSUS_1901,P10_falls_within
MB007001_1901,CD_MB_Lisgar_1901,CENSUS_1901,P10_falls_within
MB007014_1901,CD_MB_Lisgar_1901,CENSUS_1901,P10_falls_within
MB006017_1901,CD_MB_Brandon_1901,CENSUS_1901,P10_falls_within
MB006009_1901,CD_MB_Brandon_1901,CENSUS_1901,P10_falls_within
MB006003_1901,CD_MB_Brandon_1901,CENSUS_1901,P10_falls_within
MB006018_1901,CD_MB_Brandon_1901,CENSUS_1901,P10_falls_within
MB006004_1901,CD_MB_Brandon_1901,CENSUS_1901,P10_falls_within
MB006001_1901,CD_MB_Brandon_1901,CENSUS_1901,P10_falls_within
MB006010_1901,CD_MB_Brandon_1901,CENSUS_1901,P10_falls_within
MB012006_1901,"CD_MB_Winnipeg,_City—Cité_1901",CENSUS_1901,P10_falls_within
MB007011_1901,CD_MB_Lisgar_1901,CENSUS_1901,P10_falls_within
MB009013_1901,CD_MB_Marquette_1901,CENSUS_1901,P10_falls_within
MB010006_1901,CD_MB_Provencher_1901,CENSUS_1901,P10_falls_within
MB010012_1901,CD_MB_Provencher_1901,CENSUS_1901,P10_falls_within
