:START_ID,:END_ID,:TYPE
ON002001_1851,ON025005_1851,P122_borders_with
ON002001_1851,ON002005_1851,P122_borders_with
ON002001_1851,ON002003_1851,P122_borders_with
ON002001_1851,ON002008_1851,P122_borders_with
ON002001_1851,ON002006_1851,P122_borders_with
ON002001_1851,ON002002_1851,P122_borders_with
ON002001_1851,ON002004_1851,P122_borders_with
ON002001_1851,ON041004_1851,P122_borders_with
ON002003_1851,ON025004_1851,P122_borders_with
ON002003_1851,ON027007_1851,P122_borders_with
ON002003_1851,ON025005_1851,P122_borders_with
ON002003_1851,ON002005_1851,P122_borders_with
ON002003_1851,ON027004_1851,P122_borders_with
ON002003_1851,ON027008_1851,P122_borders_with
ON002003_1851,ON002004_1851,P122_borders_with
ON002005_1851,ON025005_1851,P122_borders_with
ON020005_1851,ON020011_1851,P122_borders_with
ON020005_1851,ON020012_1851,P122_borders_with
ON020005_1851,ON020008_1851,P122_borders_with
ON003001_1851,ON003006_1851,P122_borders_with
ON003001_1851,ON011013_1851,P122_borders_with
ON003001_1851,ON003011_1851,P122_borders_with
ON003001_1851,ON011004_1851,P122_borders_with
ON003001_1851,ON011015_1851,P122_borders_with
ON003003_1851,ON003009_1851,P122_borders_with
ON003003_1851,ON003007_1851,P122_borders_with
ON003003_1851,ON003011_1851,P122_borders_with
ON003009_1851,ON003010_1851,P122_borders_with
ON003011_1851,ON011015_1851,P122_borders_with
ON003002_1851,ON003004_1851,P122_borders_with
ON003002_1851,ON011010_1851,P122_borders_with
ON003002_1851,ON003007_1851,P122_borders_with
ON003002_1851,ON011002_1851,P122_borders_with
ON003002_1851,ON003006_1851,P122_borders_with
ON003004_1851,ON016006_1851,P122_borders_with
ON003004_1851,ON003005_1851,P122_borders_with
ON003004_1851,ON011010_1851,P122_borders_with
ON003004_1851,ON039010_1851,P122_borders_with
ON003005_1851,ON016008_1851,P122_borders_with
ON003005_1851,ON016006_1851,P122_borders_with
ON003005_1851,ON003010_1851,P122_borders_with
ON003005_1851,ON003007_1851,P122_borders_with
ON003006_1851,ON003007_1851,P122_borders_with
ON003006_1851,ON011013_1851,P122_borders_with
ON003006_1851,ON003011_1851,P122_borders_with
ON003007_1851,ON003010_1851,P122_borders_with
ON003007_1851,ON003009_1851,P122_borders_with
ON003007_1851,ON003011_1851,P122_borders_with
ON003008_1851,ON016009_1851,P122_borders_with
ON003008_1851,ON003010_1851,P122_borders_with
ON003008_1851,ON003009_1851,P122_borders_with
ON003010_1851,ON016008_1851,P122_borders_with
ON003010_1851,ON016010_1851,P122_borders_with
ON003010_1851,ON016009_1851,P122_borders_with
ON004001_1851,ON019012_1851,P122_borders_with
ON004001_1851,ON019011_1851,P122_borders_with
