:START_ID,:END_ID,during_period,shared_border_length_m:float,:TYPE
PLACE_NT999999_1871,PLACE_QC152999,CENSUS_1871,2287155.58,P122_borders_with
PLACE_NT999999_1871,PLACE_QC152008,CENSUS_1871,19401.75,P122_borders_with
PLACE_NT999999_1871,PLACE_QC092999,CENSUS_1871,458987.5,P122_borders_with
PLACE_NT999999_1871,PLACE_QC093999_1871,CENSUS_1871,106719.87,P122_borders_with
PLACE_NT999999_1871,PLACE_QC094999,CENSUS_1871,29070.92,P122_borders_with
PLACE_NT999999_1871,PLACE_QC130999,CENSUS_1871,210739.07,P122_borders_with
PLACE_NT999999_1871,PLACE_QC150999,CENSUS_1871,831218.56,P122_borders_with
PLACE_NT999999_1871,PLACE_QC151999,CENSUS_1871,171499.72,P122_borders_with
PLACE_NT999999_1871,PLACE_ON088003_1871,CENSUS_1871,99192.67,P122_borders_with
PLACE_NT999999_1871,PLACE_ON088002_1871,CENSUS_1871,245654.69,P122_borders_with
PLACE_NT999999_1871,PLACE_ON084007_1871,CENSUS_1871,72201.23,P122_borders_with
PLACE_NT999999_1871,PLACE_ON090002,CENSUS_1871,482784.54,P122_borders_with
PLACE_NT999999_1871,PLACE_ON090006_1871,CENSUS_1871,379946.36,P122_borders_with
PLACE_NT999999_1871,PLACE_ON090003,CENSUS_1871,214969.34,P122_borders_with
PLACE_NT999999_1871,PLACE_ON090005_1871,CENSUS_1871,428696.85,P122_borders_with
PLACE_BC999999,PLACE_NT999999_1871,CENSUS_1871,2491736.28,P122_borders_with
PLACE_MB999999,PLACE_NT999999_1871,CENSUS_1871,1069121.73,P122_borders_with
PLACE_ON087002,PLACE_ON087003_1871,CENSUS_1871,8169.17,P122_borders_with
PLACE_ON088003_1871,PLACE_ON089001,CENSUS_1871,112691.65,P122_borders_with
PLACE_ON088003_1871,PLACE_ON090001,CENSUS_1871,39347.47,P122_borders_with
PLACE_ON088003_1871,PLACE_ON090002,CENSUS_1871,27082.19,P122_borders_with
PLACE_ON090002,PLACE_ON090003,CENSUS_1871,142999.69,P122_borders_with
PLACE_ON016002,PLACE_ON160002,CENSUS_1871,13279.25,P122_borders_with
PLACE_ON016002,PLACE_ON147005,CENSUS_1871,13501.88,P122_borders_with
PLACE_ON102001_1871,PLACE_ON158003,CENSUS_1871,14851.13,P122_borders_with
PLACE_ON102001_1871,PLACE_ON102006_1871,CENSUS_1871,8894.14,P122_borders_with
PLACE_ON102001_1871,PLACE_ON165006,CENSUS_1871,11506.81,P122_borders_with
PLACE_ON102001_1871,PLACE_ON127003,CENSUS_1871,14725.71,P122_borders_with
PLACE_ON016001,PLACE_ON102001_1871,CENSUS_1871,2301.55,P122_borders_with
PLACE_ON016001,PLACE_ON016002,CENSUS_1871,14896.83,P122_borders_with
PLACE_ON016001,PLACE_ON160004,CENSUS_1871,11620.8,P122_borders_with
PLACE_ON016001,PLACE_ON127003,CENSUS_1871,10393.68,P122_borders_with
PLACE_ON016001,PLACE_ON147005,CENSUS_1871,912.65,P122_borders_with
PLACE_ON016001,PLACE_ON031003,CENSUS_1871,19941.1,P122_borders_with
PLACE_ON016001,PLACE_ON153003,CENSUS_1871,10462.91,P122_borders_with
PLACE_ON159005,PLACE_ON160002,CENSUS_1871,21098.77,P122_borders_with
PLACE_ON015003_1871,PLACE_ON102006_1871,CENSUS_1871,14542.51,P122_borders_with
PLACE_ON015003_1871,PLACE_ON102001_1871,CENSUS_1871,8554.9,P122_borders_with
PLACE_ON015003_1871,PLACE_ON159005,CENSUS_1871,7970.17,P122_borders_with
PLACE_ON015003_1871,PLACE_ON160002,CENSUS_1871,11157.4,P122_borders_with
PLACE_ON015003_1871,PLACE_ON015004,CENSUS_1871,3509.12,P122_borders_with
PLACE_ON015003_1871,PLACE_ON016002,CENSUS_1871,29016.1,P122_borders_with
PLACE_ON015003_1871,PLACE_ON016001,CENSUS_1871,6504.66,P122_borders_with
PLACE_ON015004,PLACE_ON016002,CENSUS_1871,7964.34,P122_borders_with
PLACE_ON068004,PLACE_ON110008,CENSUS_1871,11126.92,P122_borders_with
PLACE_ON068004,PLACE_ON110010_1871,CENSUS_1871,13116.98,P122_borders_with
PLACE_ON068004,PLACE_ON107001_1871,CENSUS_1871,9935.94,P122_borders_with
PLACE_ON068004,PLACE_ON069001_1851,CENSUS_1871,23236.85,P122_borders_with
PLACE_ON068004,PLACE_ON107003_1861,CENSUS_1871,6028.75,P122_borders_with
PLACE_ON047002_1871,PLACE_ON068004,CENSUS_1871,2166.11,P122_borders_with
PLACE_ON028007,PLACE_ON177999,CENSUS_1871,11437.23,P122_borders_with
PLACE_ON028007,PLACE_ON028008,CENSUS_1871,11157.63,P122_borders_with
PLACE_ON028006,PLACE_ON177004,CENSUS_1871,4691.32,P122_borders_with
PLACE_ON028006,PLACE_ON065003_1871,CENSUS_1871,24575.59,P122_borders_with
PLACE_ON028006,PLACE_ON028007,CENSUS_1871,12496.39,P122_borders_with
PLACE_ON028005,PLACE_ON065006_1851,CENSUS_1871,4433.99,P122_borders_with
PLACE_ON028005,PLACE_ON177004,CENSUS_1871,3022.27,P122_borders_with
PLACE_ON028005,PLACE_ON114004,CENSUS_1871,10559.45,P122_borders_with
PLACE_ON028005,PLACE_ON028006,CENSUS_1871,17652.98,P122_borders_with
PLACE_ON104005_1871,PLACE_ON104010,CENSUS_1871,14590.94,P122_borders_with
PLACE_ON027005,PLACE_ON104011,CENSUS_1871,16816.68,P122_borders_with
PLACE_ON027005,PLACE_ON050004,CENSUS_1871,5999.91,P122_borders_with
PLACE_ON027005,PLACE_ON104010,CENSUS_1871,7251.23,P122_borders_with
PLACE_ON027005,PLACE_ON104005_1871,CENSUS_1871,19536.09,P122_borders_with
PLACE_ON028002,PLACE_ON104010,CENSUS_1871,2095.89,P122_borders_with
PLACE_ON028002,PLACE_ON104005_1871,CENSUS_1871,20057.55,P122_borders_with
PLACE_ON028002,PLACE_ON028004,CENSUS_1871,7796.06,P122_borders_with
PLACE_ON028002,PLACE_ON028005,CENSUS_1871,13690.88,P122_borders_with
PLACE_ON028002,PLACE_ON177004,CENSUS_1871,7387.94,P122_borders_with
PLACE_ON027008,PLACE_ON060002,CENSUS_1871,16513.84,P122_borders_with
PLACE_ON027008,PLACE_ON104010,CENSUS_1871,18801.46,P122_borders_with
PLACE_ON027008,PLACE_ON036005,CENSUS_1871,19047.97,P122_borders_with
PLACE_ON027008,PLACE_ON028004,CENSUS_1871,16404.97,P122_borders_with
PLACE_ON027008,PLACE_ON066008,CENSUS_1871,26.06,P122_borders_with
PLACE_ON060002,PLACE_ON066008,CENSUS_1871,15824.03,P122_borders_with
PLACE_ON027003,PLACE_ON060002,CENSUS_1871,15930.98,P122_borders_with
PLACE_ON027003,PLACE_ON104010,CENSUS_1871,15564.32,P122_borders_with
PLACE_ON028004,PLACE_ON104010,CENSUS_1871,6882.0,P122_borders_with
PLACE_ON028004,PLACE_ON065006_1851,CENSUS_1871,14465.76,P122_borders_with
PLACE_ON028004,PLACE_ON028005,CENSUS_1871,17067.56,P122_borders_with
PLACE_ON104011,PLACE_ON119001,CENSUS_1871,17541.63,P122_borders_with
PLACE_ON027002_1871,PLACE_ON175004,CENSUS_1871,3207.22,P122_borders_with
PLACE_ON027002_1871,PLACE_ON119001,CENSUS_1871,4130.8,P122_borders_with
PLACE_ON027002_1871,PLACE_ON027003,CENSUS_1871,16305.88,P122_borders_with
PLACE_ON027002_1871,PLACE_ON104011,CENSUS_1871,14198.96,P122_borders_with
PLACE_ON027002_1871,PLACE_ON027005,CENSUS_1871,7837.91,P122_borders_with
PLACE_ON027002_1871,PLACE_ON104010,CENSUS_1871,9462.47,P122_borders_with
PLACE_ON108009,PLACE_ON112001_1871,CENSUS_1871,345.23,P122_borders_with
PLACE_ON108009,PLACE_ON123011,CENSUS_1871,16658.5,P122_borders_with
PLACE_ON108009,PLACE_QC091001_1871,CENSUS_1871,40.51,P122_borders_with
PLACE_ON105003,PLACE_ON123002,CENSUS_1871,16568.04,P122_borders_with
PLACE_ON105003,PLACE_ON105007,CENSUS_1871,15364.51,P122_borders_with
PLACE_ON105003,PLACE_ON108002,CENSUS_1871,1425.16,P122_borders_with
PLACE_ON105003,PLACE_ON105013,CENSUS_1871,5257.22,P122_borders_with
PLACE_ON105003,PLACE_ON108007,CENSUS_1871,16536.58,P122_borders_with
PLACE_ON105003,PLACE_ON105006,CENSUS_1871,4133.18,P122_borders_with
PLACE_ON108002,PLACE_ON113004,CENSUS_1871,392.41,P122_borders_with
PLACE_ON108002,PLACE_ON118005,CENSUS_1871,16738.16,P122_borders_with
PLACE_ON108007,PLACE_ON112001_1871,CENSUS_1871,16594.65,P122_borders_with
PLACE_ON108007,PLACE_ON108009,CENSUS_1871,16007.2,P122_borders_with
PLACE_ON105006,PLACE_ON108007,CENSUS_1871,16439.06,P122_borders_with
PLACE_ON105006,PLACE_ON105010,CENSUS_1871,10323.34,P122_borders_with
PLACE_ON105007,PLACE_ON107003_1861,CENSUS_1871,948.99,P122_borders_with
PLACE_ON105007,PLACE_ON113004,CENSUS_1871,17563.73,P122_borders_with
PLACE_ON105007,PLACE_ON123002,CENSUS_1871,1287.43,P122_borders_with
PLACE_ON105007,PLACE_ON108002,CENSUS_1871,16804.57,P122_borders_with
PLACE_ON078001_1871,PLACE_ON108002,CENSUS_1871,12173.36,P122_borders_with
PLACE_ON078001_1871,PLACE_ON105003,CENSUS_1871,16063.66,P122_borders_with
PLACE_ON078001_1871,PLACE_ON105006,CENSUS_1871,8175.7,P122_borders_with
PLACE_ON078001_1871,PLACE_ON104005_1871_1881,CENSUS_1871,25988.75,P122_borders_with
PLACE_ON078001_1871,PLACE_ON104004_1871,CENSUS_1871,801.31,P122_borders_with
PLACE_ON078001_1871,PLACE_ON105006_1871,CENSUS_1871,1150.13,P122_borders_with
PLACE_ON105010,PLACE_ON108009,CENSUS_1871,18016.6,P122_borders_with
PLACE_ON035007,PLACE_ON152009,CENSUS_1871,14159.59,P122_borders_with
PLACE_ON035007,PLACE_ON141005,CENSUS_1871,19764.72,P122_borders_with
PLACE_ON035007,PLACE_ON036004,CENSUS_1871,14085.0,P122_borders_with
PLACE_ON035006,PLACE_ON126005,CENSUS_1871,12234.08,P122_borders_with
PLACE_ON035006,PLACE_ON152009,CENSUS_1871,7902.19,P122_borders_with
PLACE_ON035006,PLACE_ON035007,CENSUS_1871,19609.29,P122_borders_with
PLACE_ON035006,PLACE_ON155007,CENSUS_1871,16601.1,P122_borders_with
PLACE_ON035006,PLACE_ON036004,CENSUS_1871,3318.11,P122_borders_with
PLACE_ON036004,PLACE_ON155007,CENSUS_1871,22133.83,P122_borders_with
PLACE_ON036004,PLACE_ON115006,CENSUS_1871,19991.29,P122_borders_with
PLACE_ON036004,PLACE_ON072001_1871,CENSUS_1871,2172.37,P122_borders_with
PLACE_ON036004,PLACE_ON114011,CENSUS_1871,15532.78,P122_borders_with
PLACE_ON036004,PLACE_ON042001,CENSUS_1871,1401.38,P122_borders_with
PLACE_ON141005,PLACE_ON152009,CENSUS_1871,323.98,P122_borders_with
PLACE_ON141005,PLACE_ON152001,CENSUS_1871,5916.29,P122_borders_with
PLACE_ON115006,PLACE_ON141005,CENSUS_1871,15223.32,P122_borders_with
PLACE_ON115006,PLACE_ON144015,CENSUS_1871,19732.35,P122_borders_with
PLACE_ON152001,PLACE_ON152009,CENSUS_1871,2281.23,P122_borders_with
PLACE_ON107001,PLACE_ON107003,CENSUS_1871,17922.74,P122_borders_with
PLACE_ON107001,PLACE_ON107002,CENSUS_1871,14975.1,P122_borders_with
PLACE_ON107002,PLACE_ON118005,CENSUS_1871,15411.3,P122_borders_with
PLACE_ON107003,PLACE_ON107007,CENSUS_1871,5998.81,P122_borders_with
PLACE_ON102006,PLACE_ON107003,CENSUS_1871,15307.9,P122_borders_with
PLACE_ON102006,PLACE_ON107002,CENSUS_1871,16982.53,P122_borders_with
PLACE_ON102006,PLACE_ON118005,CENSUS_1871,6908.55,P122_borders_with
PLACE_ON102006,PLACE_ON143004,CENSUS_1871,8655.45,P122_borders_with
PLACE_ON071002,PLACE_ON107001,CENSUS_1871,6001.41,P122_borders_with
PLACE_ON108001_1871,PLACE_ON132004_1871,CENSUS_1871,871.74,P122_borders_with
PLACE_ON108001_1871,PLACE_ON108006,CENSUS_1871,17555.46,P122_borders_with
PLACE_ON108001_1871,PLACE_ON133007,CENSUS_1871,10031.97,P122_borders_with
PLACE_ON108001_1871,PLACE_ON122004_1871,CENSUS_1871,8891.82,P122_borders_with
PLACE_ON051003,PLACE_ON128003,CENSUS_1871,1818.19,P122_borders_with
PLACE_ON051003,PLACE_ON127001,CENSUS_1871,13942.24,P122_borders_with
PLACE_ON051003,PLACE_ON108006,CENSUS_1871,18349.34,P122_borders_with
PLACE_ON051003,PLACE_ON111003_1871,CENSUS_1871,10147.96,P122_borders_with
PLACE_ON051003,PLACE_ON056002,CENSUS_1871,10260.41,P122_borders_with
PLACE_ON051003,PLACE_ON052004,CENSUS_1871,13673.42,P122_borders_with
PLACE_ON050001,PLACE_ON050002,CENSUS_1871,16235.21,P122_borders_with
PLACE_ON050001,PLACE_ON128003,CENSUS_1871,19415.41,P122_borders_with
PLACE_ON050001,PLACE_ON132004_1871,CENSUS_1871,20630.52,P122_borders_with
PLACE_ON050001,PLACE_ON108006,CENSUS_1871,2657.32,P122_borders_with
PLACE_ON050001,PLACE_ON108001_1871,CENSUS_1871,14561.51,P122_borders_with
PLACE_ON127001,PLACE_ON127002,CENSUS_1871,8169.23,P122_borders_with
PLACE_ON127001,PLACE_ON128003,CENSUS_1871,20379.84,P122_borders_with
PLACE_ON108006,PLACE_ON128003,CENSUS_1871,15150.69,P122_borders_with
PLACE_ON108006,PLACE_ON122004_1871,CENSUS_1871,437.29,P122_borders_with
PLACE_ON108006,PLACE_ON129001,CENSUS_1871,15216.97,P122_borders_with
PLACE_ON128002,PLACE_ON128003,CENSUS_1871,9127.77,P122_borders_with
PLACE_ON109002,PLACE_ON131002,CENSUS_1871,19269.63,P122_borders_with
PLACE_ON090002_1871,PLACE_ON167001,CENSUS_1871,762.54,P122_borders_with
PLACE_ON006003_1851,PLACE_ON109002,CENSUS_1871,20380.82,P122_borders_with
PLACE_ON006003_1851,PLACE_ON090002_1871,CENSUS_1871,13213.32,P122_borders_with
PLACE_ON006003_1851,PLACE_ON013001,CENSUS_1871,2774.07,P122_borders_with
PLACE_ON006001,PLACE_ON006003_1851,CENSUS_1871,17849.31,P122_borders_with
PLACE_ON006001,PLACE_ON006002_1871,CENSUS_1871,10091.56,P122_borders_with
PLACE_ON006001,PLACE_ON090002_1871,CENSUS_1871,11189.01,P122_borders_with
PLACE_ON006001,PLACE_ON167001,CENSUS_1871,10946.08,P122_borders_with
PLACE_ON057006,PLACE_ON109002,CENSUS_1871,5999.91,P122_borders_with
PLACE_ON058001,PLACE_ON178002,CENSUS_1871,20928.71,P122_borders_with
PLACE_ON058001,PLACE_ON164002,CENSUS_1871,20051.21,P122_borders_with
PLACE_ON005003_1851,PLACE_ON164002,CENSUS_1871,17293.66,P122_borders_with
PLACE_ON005003_1851,PLACE_ON006001,CENSUS_1871,21458.54,P122_borders_with
PLACE_ON005003_1851,PLACE_ON007005,CENSUS_1871,15345.16,P122_borders_with
PLACE_ON005003_1851,PLACE_ON128004,CENSUS_1871,11062.21,P122_borders_with
PLACE_ON005003_1851,PLACE_ON167001,CENSUS_1871,8103.62,P122_borders_with
PLACE_ON110006,PLACE_ON181012,CENSUS_1871,16971.4,P122_borders_with
PLACE_ON001013,PLACE_ON110006,CENSUS_1871,19345.68,P122_borders_with
PLACE_ON001013,PLACE_ON181017,CENSUS_1871,15910.12,P122_borders_with
PLACE_ON181012,PLACE_ON181013,CENSUS_1871,4369.74,P122_borders_with
PLACE_ON181010,PLACE_ON181012,CENSUS_1871,13478.21,P122_borders_with
PLACE_ON181010,PLACE_ON181011,CENSUS_1871,9436.64,P122_borders_with
PLACE_ON181010,PLACE_ON181013,CENSUS_1871,4128.92,P122_borders_with
PLACE_ON110001,PLACE_ON181010,CENSUS_1871,8720.21,P122_borders_with
PLACE_ON110001,PLACE_ON181012,CENSUS_1871,2830.56,P122_borders_with
PLACE_ON001004,PLACE_ON001005,CENSUS_1871,20740.66,P122_borders_with
PLACE_ON001004,PLACE_ON110001,CENSUS_1871,8782.11,P122_borders_with
PLACE_ON001004,PLACE_ON110006,CENSUS_1871,5496.47,P122_borders_with
