:START_ID,:END_ID,:TYPE
AB001001_1911,AB001001_1911_centroid,P161_has_spatial_projection
AB001002_1911,AB001002_1911_centroid,P161_has_spatial_projection
AB001003_1911,AB001003_1911_centroid,P161_has_spatial_projection
AB001004_1911,AB001004_1911_centroid,P161_has_spatial_projection
AB001005_1911,AB001005_1911_centroid,P161_has_spatial_projection
AB001006_1911,AB001006_1911_centroid,P161_has_spatial_projection
AB001007_1911,AB001007_1911_centroid,P161_has_spatial_projection
AB001008_1911,AB001008_1911_centroid,P161_has_spatial_projection
AB001009_1911,AB001009_1911_centroid,P161_has_spatial_projection
AB001010_1911,AB001010_1911_centroid,P161_has_spatial_projection
AB001011_1911,AB001011_1911_centroid,P161_has_spatial_projection
AB001012_1911,AB001012_1911_centroid,P161_has_spatial_projection
AB001013_1911,AB001013_1911_centroid,P161_has_spatial_projection
AB001014_1911,AB001014_1911_centroid,P161_has_spatial_projection
AB001015_1911,AB001015_1911_centroid,P161_has_spatial_projection
AB001016_1911,AB001016_1911_centroid,P161_has_spatial_projection
AB001017_1911,AB001017_1911_centroid,P161_has_spatial_projection
AB001018_1911,AB001018_1911_centroid,P161_has_spatial_projection
AB001999_1911,AB001999_1911_centroid,P161_has_spatial_projection
AB002001_1911,AB002001_1911_centroid,P161_has_spatial_projection
AB002002_1911,AB002002_1911_centroid,P161_has_spatial_projection
AB002003_1911,AB002003_1911_centroid,P161_has_spatial_projection
AB002004_1911,AB002004_1911_centroid,P161_has_spatial_projection
AB002005_1911,AB002005_1911_centroid,P161_has_spatial_projection
AB002006_1911,AB002006_1911_centroid,P161_has_spatial_projection
AB002007_1911,AB002007_1911_centroid,P161_has_spatial_projection
AB002008_1911,AB002008_1911_centroid,P161_has_spatial_projection
AB002009_1911,AB002009_1911_centroid,P161_has_spatial_projection
AB002010_1911,AB002010_1911_centroid,P161_has_spatial_projection
AB002011_1911,AB002011_1911_centroid,P161_has_spatial_projection
AB002012_1911,AB002012_1911_centroid,P161_has_spatial_projection
AB002013_1911,AB002013_1911_centroid,P161_has_spatial_projection
AB002014_1911,AB002014_1911_centroid,P161_has_spatial_projection
AB002015_1911,AB002015_1911_centroid,P161_has_spatial_projection
AB002016_1911,AB002016_1911_centroid,P161_has_spatial_projection
AB002017_1911,AB002017_1911_centroid,P161_has_spatial_projection
AB002018_1911,AB002018_1911_centroid,P161_has_spatial_projection
AB002999_1911,AB002999_1911_centroid,P161_has_spatial_projection
AB003001_1911,AB003001_1911_centroid,P161_has_spatial_projection
AB003002_1911,AB003002_1911_centroid,P161_has_spatial_projection
AB003003_1911,AB003003_1911_centroid,P161_has_spatial_projection
AB003004_1911,AB003004_1911_centroid,P161_has_spatial_projection
AB003005_1911,AB003005_1911_centroid,P161_has_spatial_projection
AB003006_1911,AB003006_1911_centroid,P161_has_spatial_projection
AB003007_1911,AB003007_1911_centroid,P161_has_spatial_projection
AB003008_1911,AB003008_1911_centroid,P161_has_spatial_projection
AB003009_1911,AB003009_1911_centroid,P161_has_spatial_projection
AB003010_1911,AB003010_1911_centroid,P161_has_spatial_projection
AB003011_1911,AB003011_1911_centroid,P161_has_spatial_projection
AB003012_1911,AB003012_1911_centroid,P161_has_spatial_projection
AB003013_1911,AB003013_1911_centroid,P161_has_spatial_projection
AB003014_1911,AB003014_1911_centroid,P161_has_spatial_projection
AB003015_1911,AB003015_1911_centroid,P161_has_spatial_projection
AB003016_1911,AB003016_1911_centroid,P161_has_spatial_projection
AB003017_1911,AB003017_1911_centroid,P161_has_spatial_projection
AB003018_1911,AB003018_1911_centroid,P161_has_spatial_projection
AB003019_1911,AB003019_1911_centroid,P161_has_spatial_projection
AB003020_1911,AB003020_1911_centroid,P161_has_spatial_projection
AB003021_1911,AB003021_1911_centroid,P161_has_spatial_projection
AB003022_1911,AB003022_1911_centroid,P161_has_spatial_projection
AB003023_1911,AB003023_1911_centroid,P161_has_spatial_projection
AB003999_1911,AB003999_1911_centroid,P161_has_spatial_projection
AB004001_1911,AB004001_1911_centroid,P161_has_spatial_projection
AB004002_1911,AB004002_1911_centroid,P161_has_spatial_projection
AB004003_1911,AB004003_1911_centroid,P161_has_spatial_projection
AB004004_1911,AB004004_1911_centroid,P161_has_spatial_projection
AB004005_1911,AB004005_1911_centroid,P161_has_spatial_projection
AB004006_1911,AB004006_1911_centroid,P161_has_spatial_projection
AB004007_1911,AB004007_1911_centroid,P161_has_spatial_projection
AB004008_1911,AB004008_1911_centroid,P161_has_spatial_projection
AB004009_1911,AB004009_1911_centroid,P161_has_spatial_projection
AB004010_1911,AB004010_1911_centroid,P161_has_spatial_projection
AB004011_1911,AB004011_1911_centroid,P161_has_spatial_projection
AB004012_1911,AB004012_1911_centroid,P161_has_spatial_projection
AB004013_1911,AB004013_1911_centroid,P161_has_spatial_projection
AB004014_1911,AB004014_1911_centroid,P161_has_spatial_projection
AB004015_1911,AB004015_1911_centroid,P161_has_spatial_projection
AB004016_1911,AB004016_1911_centroid,P161_has_spatial_projection
AB004017_1911,AB004017_1911_centroid,P161_has_spatial_projection
AB004018_1911,AB004018_1911_centroid,P161_has_spatial_projection
AB004019_1911,AB004019_1911_centroid,P161_has_spatial_projection
AB004020_1911,AB004020_1911_centroid,P161_has_spatial_projection
AB004021_1911,AB004021_1911_centroid,P161_has_spatial_projection
