:START_ID,:END_ID,:TYPE
CD_ON_Addington_1871_1871,CD_ON_Addington_1871_1871_SPACE,P161_has_spatial_projection
CD_NB_Albert_1871,CD_NB_Albert_1871_SPACE,P161_has_spatial_projection
CD_ON_Algoma_Centre_1871,CD_ON_Algoma_Centre_1871_SPACE,P161_has_spatial_projection
CD_ON_Algoma_East_1871,CD_ON_Algoma_East_1871_SPACE,P161_has_spatial_projection
CD_ON_Algoma_West_1871,CD_ON_Algoma_West_1871_SPACE,P161_has_spatial_projection
CD_NS_Annapolis_1871,CD_NS_Annapolis_1871_SPACE,P161_has_spatial_projection
CD_NS_Antigonish_1871,CD_NS_Antigonish_1871_SPACE,P161_has_spatial_projection
CD_QC_Argenteuil_1871,CD_QC_Argenteuil_1871_SPACE,P161_has_spatial_projection
CD_QC_Arthabaska_1871,CD_QC_Arthabaska_1871_SPACE,P161_has_spatial_projection
CD_QC_Bagot_1871,CD_QC_Bagot_1871_SPACE,P161_has_spatial_projection
CD_QC_Beauce_East_1871,CD_QC_Beauce_East_1871_SPACE,P161_has_spatial_projection
CD_QC_Beauce_West_1871,CD_QC_Beauce_West_1871_SPACE,P161_has_spatial_projection
CD_QC_Beauharnois_1871,CD_QC_Beauharnois_1871_SPACE,P161_has_spatial_projection
CD_QC_Bellechasse_North_1871,CD_QC_Bellechasse_North_1871_SPACE,P161_has_spatial_projection
CD_QC_Bellechasse_South_1871,CD_QC_Bellechasse_South_1871_SPACE,P161_has_spatial_projection
CD_QC_Berthier_1871,CD_QC_Berthier_1871_SPACE,P161_has_spatial_projection
CD_QC_Bonaventure_1871,CD_QC_Bonaventure_1871_SPACE,P161_has_spatial_projection
CD_ON_Bothwell_1871,CD_ON_Bothwell_1871_SPACE,P161_has_spatial_projection
"CD_ON_Brant,_North_or_East—Nord_ou_East_1871","CD_ON_Brant,_North_or_East—Nord_ou_East_1871_SPACE",P161_has_spatial_projection
"CD_ON_Brant,_South_or_West—Sud_ou_West_1871","CD_ON_Brant,_South_or_West—Sud_ou_West_1871_SPACE",P161_has_spatial_projection
CD_BC_British_Colombia_1871,CD_BC_British_Colombia_1871_SPACE,P161_has_spatial_projection
CD_ON_Brockville_1871,CD_ON_Brockville_1871_SPACE,P161_has_spatial_projection
CD_QC_Brome_1871,CD_QC_Brome_1871_SPACE,P161_has_spatial_projection
CD_ON_Bruce_North_1871,CD_ON_Bruce_North_1871_SPACE,P161_has_spatial_projection
CD_ON_Bruce_South_1871,CD_ON_Bruce_South_1871_SPACE,P161_has_spatial_projection
CD_NS_Cape_Breton_1871,CD_NS_Cape_Breton_1871_SPACE,P161_has_spatial_projection
CD_ON_Cardwell_1871,CD_ON_Cardwell_1871_SPACE,P161_has_spatial_projection
