:START_ID,:END_ID,:TYPE
AB001001_1911,CENSUS_1911,P164_is_temporally_specified_by
AB001002_1911,CENSUS_1911,P164_is_temporally_specified_by
AB001003_1911,CENSUS_1911,P164_is_temporally_specified_by
AB001004_1911,CENSUS_1911,P164_is_temporally_specified_by
AB001005_1911,CENSUS_1911,P164_is_temporally_specified_by
AB001006_1911,CENSUS_1911,P164_is_temporally_specified_by
AB001007_1911,CENSUS_1911,P164_is_temporally_specified_by
AB001008_1911,CENSUS_1911,P164_is_temporally_specified_by
AB001009_1911,CENSUS_1911,P164_is_temporally_specified_by
AB001010_1911,CENSUS_1911,P164_is_temporally_specified_by
AB001011_1911,CENSUS_1911,P164_is_temporally_specified_by
AB001012_1911,CENSUS_1911,P164_is_temporally_specified_by
AB001013_1911,CENSUS_1911,P164_is_temporally_specified_by
AB001014_1911,CENSUS_1911,P164_is_temporally_specified_by
AB001015_1911,CENSUS_1911,P164_is_temporally_specified_by
AB001016_1911,CENSUS_1911,P164_is_temporally_specified_by
AB001017_1911,CENSUS_1911,P164_is_temporally_specified_by
AB001018_1911,CENSUS_1911,P164_is_temporally_specified_by
AB001999_1911,CENSUS_1911,P164_is_temporally_specified_by
AB002001_1911,CENSUS_1911,P164_is_temporally_specified_by
AB002002_1911,CENSUS_1911,P164_is_temporally_specified_by
AB002003_1911,CENSUS_1911,P164_is_temporally_specified_by
AB002004_1911,CENSUS_1911,P164_is_temporally_specified_by
AB002005_1911,CENSUS_1911,P164_is_temporally_specified_by
AB002006_1911,CENSUS_1911,P164_is_temporally_specified_by
AB002007_1911,CENSUS_1911,P164_is_temporally_specified_by
AB002008_1911,CENSUS_1911,P164_is_temporally_specified_by
AB002009_1911,CENSUS_1911,P164_is_temporally_specified_by
AB002010_1911,CENSUS_1911,P164_is_temporally_specified_by
AB002011_1911,CENSUS_1911,P164_is_temporally_specified_by
AB002012_1911,CENSUS_1911,P164_is_temporally_specified_by
AB002013_1911,CENSUS_1911,P164_is_temporally_specified_by
AB002014_1911,CENSUS_1911,P164_is_temporally_specified_by
AB002015_1911,CENSUS_1911,P164_is_temporally_specified_by
AB002016_1911,CENSUS_1911,P164_is_temporally_specified_by
AB002017_1911,CENSUS_1911,P164_is_temporally_specified_by
AB002018_1911,CENSUS_1911,P164_is_temporally_specified_by
AB002999_1911,CENSUS_1911,P164_is_temporally_specified_by
AB003001_1911,CENSUS_1911,P164_is_temporally_specified_by
AB003002_1911,CENSUS_1911,P164_is_temporally_specified_by
AB003003_1911,CENSUS_1911,P164_is_temporally_specified_by
AB003004_1911,CENSUS_1911,P164_is_temporally_specified_by
AB003005_1911,CENSUS_1911,P164_is_temporally_specified_by
AB003006_1911,CENSUS_1911,P164_is_temporally_specified_by
AB003007_1911,CENSUS_1911,P164_is_temporally_specified_by
AB003008_1911,CENSUS_1911,P164_is_temporally_specified_by
AB003009_1911,CENSUS_1911,P164_is_temporally_specified_by
AB003010_1911,CENSUS_1911,P164_is_temporally_specified_by
AB003011_1911,CENSUS_1911,P164_is_temporally_specified_by
AB003012_1911,CENSUS_1911,P164_is_temporally_specified_by
AB003013_1911,CENSUS_1911,P164_is_temporally_specified_by
AB003014_1911,CENSUS_1911,P164_is_temporally_specified_by
AB003015_1911,CENSUS_1911,P164_is_temporally_specified_by
AB003016_1911,CENSUS_1911,P164_is_temporally_specified_by
AB003017_1911,CENSUS_1911,P164_is_temporally_specified_by
AB003018_1911,CENSUS_1911,P164_is_temporally_specified_by
AB003019_1911,CENSUS_1911,P164_is_temporally_specified_by
AB003020_1911,CENSUS_1911,P164_is_temporally_specified_by
AB003021_1911,CENSUS_1911,P164_is_temporally_specified_by
AB003022_1911,CENSUS_1911,P164_is_temporally_specified_by
AB003023_1911,CENSUS_1911,P164_is_temporally_specified_by
AB003999_1911,CENSUS_1911,P164_is_temporally_specified_by
AB004001_1911,CENSUS_1911,P164_is_temporally_specified_by
AB004002_1911,CENSUS_1911,P164_is_temporally_specified_by
AB004003_1911,CENSUS_1911,P164_is_temporally_specified_by
AB004004_1911,CENSUS_1911,P164_is_temporally_specified_by
AB004005_1911,CENSUS_1911,P164_is_temporally_specified_by
AB004006_1911,CENSUS_1911,P164_is_temporally_specified_by
AB004007_1911,CENSUS_1911,P164_is_temporally_specified_by
AB004008_1911,CENSUS_1911,P164_is_temporally_specified_by
AB004009_1911,CENSUS_1911,P164_is_temporally_specified_by
AB004010_1911,CENSUS_1911,P164_is_temporally_specified_by
AB004011_1911,CENSUS_1911,P164_is_temporally_specified_by
AB004012_1911,CENSUS_1911,P164_is_temporally_specified_by
AB004013_1911,CENSUS_1911,P164_is_temporally_specified_by
AB004014_1911,CENSUS_1911,P164_is_temporally_specified_by
AB004015_1911,CENSUS_1911,P164_is_temporally_specified_by
AB004016_1911,CENSUS_1911,P164_is_temporally_specified_by
AB004017_1911,CENSUS_1911,P164_is_temporally_specified_by
AB004018_1911,CENSUS_1911,P164_is_temporally_specified_by
AB004019_1911,CENSUS_1911,P164_is_temporally_specified_by
AB004020_1911,CENSUS_1911,P164_is_temporally_specified_by
AB004021_1911,CENSUS_1911,P164_is_temporally_specified_by
AB004022_1911,CENSUS_1911,P164_is_temporally_specified_by
AB004023_1911,CENSUS_1911,P164_is_temporally_specified_by
AB004999_1911,CENSUS_1911,P164_is_temporally_specified_by
AB005001_1911,CENSUS_1911,P164_is_temporally_specified_by
AB005002_1911,CENSUS_1911,P164_is_temporally_specified_by
AB005003_1911,CENSUS_1911,P164_is_temporally_specified_by
AB005004_1911,CENSUS_1911,P164_is_temporally_specified_by
AB005005_1911,CENSUS_1911,P164_is_temporally_specified_by
AB005006_1911,CENSUS_1911,P164_is_temporally_specified_by
AB005007_1911,CENSUS_1911,P164_is_temporally_specified_by
AB005008_1911,CENSUS_1911,P164_is_temporally_specified_by
AB005009_1911,CENSUS_1911,P164_is_temporally_specified_by
