:START_ID,:END_ID,:TYPE
CD_ON_Addington_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_NB_Albert_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_ON_Algoma_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_NS_Annapolis_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_NS_Antigonish_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_QC_Argenteuil_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_QC_Bagot_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_QC_Beauce_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_QC_Beauharnois_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_QC_Bellechasse_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_QC_Berthier_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_QC_Bonaventure_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_ON_Bothwell_1881,CENSUS_1881,P164_is_temporally_specified_by
"CD_ON_Brant,_North—Nord_1881",CENSUS_1881,P164_is_temporally_specified_by
"CD_ON_Brant,_South—Sud_1881",CENSUS_1881,P164_is_temporally_specified_by
CD_ON_Brockville_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_QC_Brome_1881,CENSUS_1881,P164_is_temporally_specified_by
"CD_ON_Bruce,_North—Nord_1881",CENSUS_1881,P164_is_temporally_specified_by
"CD_ON_Bruce,_South—Sud_1881",CENSUS_1881,P164_is_temporally_specified_by
CD_NS_Cape_Breton_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_ON_Cardwell_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_BC_Cariboo_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_NB_Carleton_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_ON_Carleton_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_QC_Chambly_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_QC_Champlain_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_QC_Charlevoix_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_NB_Charlotte_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_QC_Chateauguay_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_QC_Chicoutimi_&_Saguenay_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_NS_Colchester_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_QC_Compton_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_ON_Cornwall_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_NS_Cumberland_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_QC_Deux-Montagnes_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_NS_Digby_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_QC_Dorchester_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_QC_Drummond_&_Arthabaska_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_ON_Dundas_1881,CENSUS_1881,P164_is_temporally_specified_by
"CD_ON_Durham,_East—Est_1881",CENSUS_1881,P164_is_temporally_specified_by
"CD_ON_Durham,_West—Ouest_1881",CENSUS_1881,P164_is_temporally_specified_by
"CD_ON_Elgin,_East—Est_1881",CENSUS_1881,P164_is_temporally_specified_by
"CD_ON_Elgin,_West—Ouest_1881",CENSUS_1881,P164_is_temporally_specified_by
CD_ON_Essex_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_MB_Extension_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_ON_Frontenac_1881,CENSUS_1881,P164_is_temporally_specified_by
CD_QC_Gaspé_1881,CENSUS_1881,P164_is_temporally_specified_by
