:START_ID,:END_ID,:TYPE
AB001001_1911,PLACE_AB001001,P166_was_a_presence_of
AB001002_1911,PLACE_AB001002,P166_was_a_presence_of
AB001003_1911,PLACE_AB001003,P166_was_a_presence_of
AB001004_1911,PLACE_AB001004,P166_was_a_presence_of
AB001005_1911,PLACE_AB001005,P166_was_a_presence_of
AB001006_1911,PLACE_AB001006,P166_was_a_presence_of
AB001007_1911,PLACE_AB001007,P166_was_a_presence_of
AB001008_1911,PLACE_AB001008,P166_was_a_presence_of
AB001009_1911,PLACE_AB001009,P166_was_a_presence_of
AB001010_1911,PLACE_AB001010,P166_was_a_presence_of
AB001011_1911,PLACE_AB001011,P166_was_a_presence_of
AB001012_1911,PLACE_AB001012,P166_was_a_presence_of
AB001013_1911,PLACE_AB001013,P166_was_a_presence_of
AB001014_1911,PLACE_AB001014,P166_was_a_presence_of
AB001015_1911,PLACE_AB001015,P166_was_a_presence_of
AB001016_1911,PLACE_AB001016,P166_was_a_presence_of
AB001017_1911,PLACE_AB001017,P166_was_a_presence_of
AB001018_1911,PLACE_AB001018,P166_was_a_presence_of
AB001999_1911,PLACE_AB001999_1911,P166_was_a_presence_of
AB002001_1911,PLACE_AB002001,P166_was_a_presence_of
AB002002_1911,PLACE_AB002002,P166_was_a_presence_of
AB002003_1911,PLACE_AB002003,P166_was_a_presence_of
AB002004_1911,PLACE_AB002004,P166_was_a_presence_of
AB002005_1911,PLACE_AB002005_1911,P166_was_a_presence_of
AB002006_1911,PLACE_AB002006,P166_was_a_presence_of
AB002007_1911,PLACE_AB002007,P166_was_a_presence_of
AB002008_1911,PLACE_AB002008,P166_was_a_presence_of
AB002009_1911,PLACE_AB002009,P166_was_a_presence_of
AB002010_1911,PLACE_AB002010,P166_was_a_presence_of
AB002011_1911,PLACE_AB002011,P166_was_a_presence_of
AB002012_1911,PLACE_AB002012,P166_was_a_presence_of
AB002013_1911,PLACE_AB002013,P166_was_a_presence_of
AB002014_1911,PLACE_AB002014,P166_was_a_presence_of
AB002015_1911,PLACE_AB002015,P166_was_a_presence_of
AB002016_1911,PLACE_AB002016,P166_was_a_presence_of
AB002017_1911,PLACE_AB002017,P166_was_a_presence_of
AB002018_1911,PLACE_AB002018,P166_was_a_presence_of
AB002999_1911,PLACE_AB002999,P166_was_a_presence_of
AB003001_1911,PLACE_AB003001,P166_was_a_presence_of
AB003002_1911,PLACE_AB003002,P166_was_a_presence_of
AB003003_1911,PLACE_AB003003,P166_was_a_presence_of
AB003004_1911,PLACE_AB003004,P166_was_a_presence_of
AB003005_1911,PLACE_AB003005,P166_was_a_presence_of
AB003006_1911,PLACE_AB003006,P166_was_a_presence_of
AB003007_1911,PLACE_AB003007,P166_was_a_presence_of
AB003008_1911,PLACE_AB003008,P166_was_a_presence_of
AB003009_1911,PLACE_AB003009,P166_was_a_presence_of
AB003010_1911,PLACE_AB003010,P166_was_a_presence_of
AB003011_1911,PLACE_AB003011,P166_was_a_presence_of
AB003012_1911,PLACE_AB003012,P166_was_a_presence_of
AB003013_1911,PLACE_AB003013,P166_was_a_presence_of
AB003014_1911,PLACE_AB003014,P166_was_a_presence_of
AB003015_1911,PLACE_AB003015,P166_was_a_presence_of
AB003016_1911,PLACE_AB003016,P166_was_a_presence_of
AB003017_1911,PLACE_AB003017,P166_was_a_presence_of
AB003018_1911,PLACE_AB003018,P166_was_a_presence_of
AB003019_1911,PLACE_AB003019,P166_was_a_presence_of
AB003020_1911,PLACE_AB003020,P166_was_a_presence_of
AB003021_1911,PLACE_AB003021,P166_was_a_presence_of
AB003022_1911,PLACE_AB003022,P166_was_a_presence_of
AB003023_1911,PLACE_AB003023,P166_was_a_presence_of
AB003999_1911,PLACE_AB003999_1911,P166_was_a_presence_of
AB004001_1911,PLACE_AB004001,P166_was_a_presence_of
AB004002_1911,PLACE_AB004002_1911,P166_was_a_presence_of
AB004003_1911,PLACE_AB004003,P166_was_a_presence_of
AB004004_1911,PLACE_AB004004_1911,P166_was_a_presence_of
AB004005_1911,PLACE_AB004005,P166_was_a_presence_of
AB004006_1911,PLACE_AB004006,P166_was_a_presence_of
AB004007_1911,PLACE_AB004007,P166_was_a_presence_of
AB004008_1911,PLACE_AB004008,P166_was_a_presence_of
AB004009_1911,PLACE_AB004009,P166_was_a_presence_of
AB004010_1911,PLACE_AB004010,P166_was_a_presence_of
AB004011_1911,PLACE_AB004011,P166_was_a_presence_of
AB004012_1911,PLACE_AB004012,P166_was_a_presence_of
AB004013_1911,PLACE_AB004013,P166_was_a_presence_of
AB004014_1911,PLACE_AB004014,P166_was_a_presence_of
AB004015_1911,PLACE_AB004015,P166_was_a_presence_of
AB004016_1911,PLACE_AB004016,P166_was_a_presence_of
AB004017_1911,PLACE_AB004017,P166_was_a_presence_of
AB004018_1911,PLACE_AB004018,P166_was_a_presence_of
AB004019_1911,PLACE_AB004019,P166_was_a_presence_of
AB004020_1911,PLACE_AB004020,P166_was_a_presence_of
AB004021_1911,PLACE_AB004021,P166_was_a_presence_of
AB004022_1911,PLACE_AB004022,P166_was_a_presence_of
AB004023_1911,PLACE_AB004023,P166_was_a_presence_of
AB004999_1911,PLACE_AB004999,P166_was_a_presence_of
AB005001_1911,PLACE_AB005001,P166_was_a_presence_of
AB005002_1911,PLACE_AB005002,P166_was_a_presence_of
AB005003_1911,PLACE_AB005003,P166_was_a_presence_of
AB005004_1911,PLACE_AB005004,P166_was_a_presence_of
AB005005_1911,PLACE_AB005005,P166_was_a_presence_of
AB005006_1911,PLACE_AB005006,P166_was_a_presence_of
AB005007_1911,PLACE_AB005007,P166_was_a_presence_of
AB005008_1911,PLACE_AB005008,P166_was_a_presence_of
AB005009_1911,PLACE_AB005009,P166_was_a_presence_of
AB005010_1911,PLACE_AB005010,P166_was_a_presence_of
AB005011_1911,PLACE_AB005011,P166_was_a_presence_of
AB005012_1911,PLACE_AB005012,P166_was_a_presence_of
AB005013_1911,PLACE_AB005013,P166_was_a_presence_of
AB005014_1911,PLACE_AB005014,P166_was_a_presence_of
AB005015_1911,PLACE_AB005015,P166_was_a_presence_of
AB005016_1911,PLACE_AB005016,P166_was_a_presence_of
AB005017_1911,PLACE_AB005017,P166_was_a_presence_of
AB005018_1911,PLACE_AB005018,P166_was_a_presence_of
AB005019_1911,PLACE_AB005019,P166_was_a_presence_of
AB005020_1911,PLACE_AB005020,P166_was_a_presence_of
AB005021_1911,PLACE_AB005021,P166_was_a_presence_of
AB006001_1911,PLACE_AB006001,P166_was_a_presence_of
AB006002_1911,PLACE_AB006002,P166_was_a_presence_of
AB006004_1911,PLACE_AB006004,P166_was_a_presence_of
AB006005_1911,PLACE_AB006005,P166_was_a_presence_of
AB006006_1911,PLACE_AB006006,P166_was_a_presence_of
AB006007_1911,PLACE_AB006007,P166_was_a_presence_of
AB006008_1911,PLACE_AB006008,P166_was_a_presence_of
AB006009_1911,PLACE_AB006009,P166_was_a_presence_of
AB006010_1911,PLACE_AB006010,P166_was_a_presence_of
AB006011_1911,PLACE_AB006011,P166_was_a_presence_of
AB006012_1911,PLACE_AB006012,P166_was_a_presence_of
AB006013_1911,PLACE_AB006013,P166_was_a_presence_of
AB006014_1911,PLACE_AB006014,P166_was_a_presence_of
AB006015_1911,PLACE_AB006015,P166_was_a_presence_of
AB006016_1911,PLACE_AB006016,P166_was_a_presence_of
AB006017_1911,PLACE_AB006017,P166_was_a_presence_of
AB006018_1911,PLACE_AB006018,P166_was_a_presence_of
AB006019_1911,PLACE_AB006019,P166_was_a_presence_of
AB006020_1911,PLACE_AB006020,P166_was_a_presence_of
AB006021_1911,PLACE_AB006021,P166_was_a_presence_of
AB006022_1911,PLACE_AB006022,P166_was_a_presence_of
AB006999_1911,PLACE_AB006999_1911,P166_was_a_presence_of
AB007001_1911,PLACE_AB007001,P166_was_a_presence_of
AB007002_1911,PLACE_AB007002,P166_was_a_presence_of
AB007003_1911,PLACE_AB007003,P166_was_a_presence_of
AB007004_1911,PLACE_AB007004,P166_was_a_presence_of
AB007005_1911,PLACE_AB007005,P166_was_a_presence_of
AB007006_1911,PLACE_AB007006,P166_was_a_presence_of
AB007007_1911,PLACE_AB007007_1911,P166_was_a_presence_of
AB007008_1911,PLACE_AB007008,P166_was_a_presence_of
AB007009_1911,PLACE_AB007009,P166_was_a_presence_of
AB007010_1911,PLACE_AB007010,P166_was_a_presence_of
AB007011_1911,PLACE_AB007011,P166_was_a_presence_of
AB007012_1911,PLACE_AB007012,P166_was_a_presence_of
AB007013_1911,PLACE_AB007013,P166_was_a_presence_of
AB007014_1911,PLACE_AB007014,P166_was_a_presence_of
BC008001_1911,PLACE_BC008001,P166_was_a_presence_of
BC008002_1911,PLACE_BC008002,P166_was_a_presence_of
BC008003_1911,PLACE_BC008003,P166_was_a_presence_of
BC008004_1911,PLACE_BC008004,P166_was_a_presence_of
BC008005_1911,PLACE_BC008005,P166_was_a_presence_of
BC008006_1911,PLACE_BC208006,P166_was_a_presence_of
BC008007_1911,PLACE_BC008007_1911,P166_was_a_presence_of
BC009001_1911,PLACE_BC009001,P166_was_a_presence_of
BC009002_1911,PLACE_BC009002,P166_was_a_presence_of
BC009003_1911,PLACE_BC009003,P166_was_a_presence_of
BC009004_1911,PLACE_BC009004,P166_was_a_presence_of
BC009005_1911,PLACE_BC211002,P166_was_a_presence_of
BC009006_1911,PLACE_BC009006,P166_was_a_presence_of
BC009007_1911,PLACE_BC009007,P166_was_a_presence_of
BC009008_1911,PLACE_BC210005,P166_was_a_presence_of
BC009009_1911,PLACE_BC210006,P166_was_a_presence_of
BC009010_1911,PLACE_BC211006,P166_was_a_presence_of
BC009011_1911,PLACE_BC211007,P166_was_a_presence_of
BC009012_1911,PLACE_BC211008,P166_was_a_presence_of
BC009013_1911,PLACE_BC211009,P166_was_a_presence_of
BC009014_1911,PLACE_BC009014,P166_was_a_presence_of
BC009015_1911,PLACE_BC211010,P166_was_a_presence_of
BC010001_1911,PLACE_BC010001,P166_was_a_presence_of
BC010002_1911,PLACE_BC010002,P166_was_a_presence_of
BC010003_1911,PLACE_BC010003,P166_was_a_presence_of
BC010004_1911,PLACE_BC010004,P166_was_a_presence_of
BC010005_1911,PLACE_BC010005,P166_was_a_presence_of
BC010006_1911,PLACE_BC010006,P166_was_a_presence_of
BC010007_1911,PLACE_BC010007,P166_was_a_presence_of
BC010008_1911,PLACE_BC212008,P166_was_a_presence_of
BC011001_1911,PLACE_BC011001,P166_was_a_presence_of
BC011002_1911,PLACE_BC011002,P166_was_a_presence_of
BC011003_1911,PLACE_BC011003,P166_was_a_presence_of
BC011004_1911,PLACE_BC213002,P166_was_a_presence_of
BC011005_1911,PLACE_BC011005_1911,P166_was_a_presence_of
BC011006_1911,PLACE_BC011006,P166_was_a_presence_of
BC011007_1911,PLACE_BC213004,P166_was_a_presence_of
BC011008_1911,PLACE_BC011008,P166_was_a_presence_of
BC011009_1911,PLACE_BC011009,P166_was_a_presence_of
BC012001_1911,PLACE_BC012001,P166_was_a_presence_of
BC012002_1911,PLACE_BC012002,P166_was_a_presence_of
BC012003_1911,PLACE_BC012003,P166_was_a_presence_of
BC012004_1911,PLACE_BC012004,P166_was_a_presence_of
BC013001_1911,PLACE_BC217001,P166_was_a_presence_of
BC014001_1911,PLACE_BC014001,P166_was_a_presence_of
BC014002_1911,PLACE_BC014002,P166_was_a_presence_of
BC014003_1911,PLACE_BC014003,P166_was_a_presence_of
BC014004_1911,PLACE_BC014004,P166_was_a_presence_of
BC014005_1911,PLACE_BC014005,P166_was_a_presence_of
BC014006_1911,PLACE_BC014006,P166_was_a_presence_of
BC014007_1911,PLACE_BC014007,P166_was_a_presence_of
BC014008_1911,PLACE_BC014008_1911,P166_was_a_presence_of
BC014009_1911,PLACE_BC014009,P166_was_a_presence_of
BC014010_1911,PLACE_BC218008,P166_was_a_presence_of
BC014011_1911,PLACE_BC218009,P166_was_a_presence_of
BC014012_1911,PLACE_BC207007,P166_was_a_presence_of
BC014013_1911,PLACE_BC014013,P166_was_a_presence_of
BC014014_1911,PLACE_BC207008,P166_was_a_presence_of
BC014015_1911,PLACE_BC014015,P166_was_a_presence_of
BC014016_1911,PLACE_BC014016,P166_was_a_presence_of
MB015001_1911,PLACE_MB015001,P166_was_a_presence_of
MB015002_1911,PLACE_MB015002,P166_was_a_presence_of
MB015003_1911,PLACE_MB015003,P166_was_a_presence_of
MB015004_1911,PLACE_MB015004,P166_was_a_presence_of
MB015005_1911,PLACE_MB015005,P166_was_a_presence_of
MB015006_1911,PLACE_MB015006,P166_was_a_presence_of
MB015007_1911,PLACE_MB015007,P166_was_a_presence_of
MB015008_1911,PLACE_MB015008_1911,P166_was_a_presence_of
MB015009_1911,PLACE_MB015009,P166_was_a_presence_of
MB015010_1911,PLACE_MB015010,P166_was_a_presence_of
MB015011_1911,PLACE_MB015011,P166_was_a_presence_of
MB016001_1911,PLACE_MB016001,P166_was_a_presence_of
MB016002_1911,PLACE_MB016002,P166_was_a_presence_of
