:START_ID,:END_ID,:TYPE
ON002001_1851,TCPUID_ON002001_1851,P1_is_identified_by
ON065002_1861,TCPUID_ON065002_1861,P1_is_identified_by
ON002003_1851,TCPUID_ON002003_1851,P1_is_identified_by
ON065003_1861,TCPUID_ON065003_1861,P1_is_identified_by
ON015001_1871,TCPUID_ON015001_1871,P1_is_identified_by
ON159002_1881,TCPUID_ON159002_1881,P1_is_identified_by
ON106001_1891,TCPUID_ON106001_1891,P1_is_identified_by
ON102001_1901,TCPUID_ON102001_1901,P1_is_identified_by
ON056002_1911,TCPUID_ON056002_1911,P1_is_identified_by
ON103002_1921,TCPUID_ON103002_1921,P1_is_identified_by
ON002005_1851,TCPUID_ON002005_1851,P1_is_identified_by
ON065005_1861,TCPUID_ON065005_1861,P1_is_identified_by
ON015002_1871,TCPUID_ON015002_1871,P1_is_identified_by
ON159003_1881,TCPUID_ON159003_1881,P1_is_identified_by
ON106006_1891,TCPUID_ON106006_1891,P1_is_identified_by
ON102006_1901,TCPUID_ON102006_1901,P1_is_identified_by
ON057001_1911,TCPUID_ON057001_1911,P1_is_identified_by
ON103004_1921,TCPUID_ON103004_1921,P1_is_identified_by
ON002002_1851,TCPUID_ON002002_1851,P1_is_identified_by
ON065001_1861,TCPUID_ON065001_1861,P1_is_identified_by
ON015004_1871,TCPUID_ON015004_1871,P1_is_identified_by
ON020005_1851,TCPUID_ON020005_1851,P1_is_identified_by
ON083007_1861,TCPUID_ON083007_1861,P1_is_identified_by
ON068004_1871,TCPUID_ON068004_1871,P1_is_identified_by
ON109006_1881,TCPUID_ON109006_1881,P1_is_identified_by
ON050006_1891,TCPUID_ON050006_1891,P1_is_identified_by
ON047006_1901,TCPUID_ON047006_1901,P1_is_identified_by
ON058001_1911,TCPUID_ON058001_1911,P1_is_identified_by
ON124004_1921,TCPUID_ON124004_1921,P1_is_identified_by
ON003001_1851,TCPUID_ON003001_1851,P1_is_identified_by
ON066003_1861,TCPUID_ON066003_1861,P1_is_identified_by
ON028005_1871,TCPUID_ON028005_1871,P1_is_identified_by
ON177002_1881,TCPUID_ON177002_1881,P1_is_identified_by
ON052003_1891,TCPUID_ON052003_1891,P1_is_identified_by
ON049003_1901,TCPUID_ON049003_1901,P1_is_identified_by
ON059003_1911,TCPUID_ON059003_1911,P1_is_identified_by
ON104003_1921,TCPUID_ON104003_1921,P1_is_identified_by
ON003009_1851,TCPUID_ON003009_1851,P1_is_identified_by
ON066011_1861,TCPUID_ON066011_1861,P1_is_identified_by
ON027005_1871,TCPUID_ON027005_1871,P1_is_identified_by
ON176005_1881,TCPUID_ON176005_1881,P1_is_identified_by
ON053003_1891,TCPUID_ON053003_1891,P1_is_identified_by
ON050003_1901,TCPUID_ON050003_1901,P1_is_identified_by
ON059006_1911,TCPUID_ON059006_1911,P1_is_identified_by
ON104012_1921,TCPUID_ON104012_1921,P1_is_identified_by
ON066012_1861,TCPUID_ON066012_1861,P1_is_identified_by
ON027006_1871,TCPUID_ON027006_1871,P1_is_identified_by
ON176006_1881,TCPUID_ON176006_1881,P1_is_identified_by
ON053004_1891,TCPUID_ON053004_1891,P1_is_identified_by
ON050004_1901,TCPUID_ON050004_1901,P1_is_identified_by
ON059010_1911,TCPUID_ON059010_1911,P1_is_identified_by
ON104019_1921,TCPUID_ON104019_1921,P1_is_identified_by
ON003011_1851,TCPUID_ON003011_1851,P1_is_identified_by
ON066014_1861,TCPUID_ON066014_1861,P1_is_identified_by
ON028002_1871,TCPUID_ON028002_1871,P1_is_identified_by
ON177003_1881,TCPUID_ON177003_1881,P1_is_identified_by
ON066015_1861,TCPUID_ON066015_1861,P1_is_identified_by
ON028003_1871,TCPUID_ON028003_1871,P1_is_identified_by
ON177004_1881,TCPUID_ON177004_1881,P1_is_identified_by
ON003002_1851,TCPUID_ON003002_1851,P1_is_identified_by
ON066004_1861,TCPUID_ON066004_1861,P1_is_identified_by
ON027008_1871,TCPUID_ON027008_1871,P1_is_identified_by
ON176008_1881,TCPUID_ON176008_1881,P1_is_identified_by
ON051001_1891,TCPUID_ON051001_1891,P1_is_identified_by
ON048001_1901,TCPUID_ON048001_1901,P1_is_identified_by
ON060001_1911,TCPUID_ON060001_1911,P1_is_identified_by
ON104004_1921,TCPUID_ON104004_1921,P1_is_identified_by
ON003004_1851,TCPUID_ON003004_1851,P1_is_identified_by
