:START_ID,:END_ID,:TYPE
PLACE_NB024002,APP_NB015002_CANONICAL,P1_is_identified_by
PLACE_NB033005,APP_NB022005_CANONICAL,P1_is_identified_by
PLACE_NB033007,APP_NB022007_CANONICAL,P1_is_identified_by
PLACE_NB028009_1881,APP_NB023011_CANONICAL,P1_is_identified_by
PLACE_NB028010_1891,APP_NB023012_CANONICAL,P1_is_identified_by
PLACE_NB023013,APP_NB023013_CANONICAL,P1_is_identified_by
PLACE_NB026999,APP_NB028999_CANONICAL,P1_is_identified_by
PLACE_NB032003,APP_NB032003_CANONICAL,P1_is_identified_by
PLACE_NB032004,APP_NB032004_CANONICAL,P1_is_identified_by
PLACE_NB036008,APP_NB036008_CANONICAL,P1_is_identified_by
PLACE_NB036009,APP_NB036009_CANONICAL,P1_is_identified_by
PLACE_NB036010,APP_NB036010_CANONICAL,P1_is_identified_by
PLACE_NB036011,APP_NB036011_CANONICAL,P1_is_identified_by
PLACE_NB036013,APP_NB036013_CANONICAL,P1_is_identified_by
PLACE_NB036014,APP_NB036014_CANONICAL,P1_is_identified_by
PLACE_NB995999,APP_NB995999_CANONICAL,P1_is_identified_by
PLACE_NL998999,APP_NL998999_CANONICAL,P1_is_identified_by
PLACE_NL001999,APP_NL999999_CANONICAL,P1_is_identified_by
PLACE_NS004999,APP_NS004999_CANONICAL,P1_is_identified_by
PLACE_NS010999,APP_NS010999_CANONICAL,P1_is_identified_by
PLACE_NS052999,APP_NS013999_CANONICAL,P1_is_identified_by
PLACE_NS004999,APP_NS016999_CANONICAL,P1_is_identified_by
PLACE_NS038022,APP_NS020013_CANONICAL,P1_is_identified_by
PLACE_NS016999,APP_NS020999_CANONICAL,P1_is_identified_by
PLACE_NS004029,APP_NS026001_CANONICAL,P1_is_identified_by
PLACE_NS037001_1891,APP_NS026002_CANONICAL,P1_is_identified_by
PLACE_NS004002,APP_NS026003_CANONICAL,P1_is_identified_by
PLACE_NS004030,APP_NS026004_CANONICAL,P1_is_identified_by
PLACE_NS004004,APP_NS026005_CANONICAL,P1_is_identified_by
PLACE_NS004005,APP_NS026006_CANONICAL,P1_is_identified_by
PLACE_NS004007,APP_NS026007_CANONICAL,P1_is_identified_by
PLACE_NS004008_1891,APP_NS026008_CANONICAL,P1_is_identified_by
PLACE_NS037008_1891,APP_NS026010_CANONICAL,P1_is_identified_by
PLACE_NS004010,APP_NS026011_CANONICAL,P1_is_identified_by
PLACE_NS037010_1891,APP_NS026012_CANONICAL,P1_is_identified_by
PLACE_NS004011,APP_NS026013_CANONICAL,P1_is_identified_by
PLACE_NS037012_1891,APP_NS026014_CANONICAL,P1_is_identified_by
PLACE_NS037013_1891,APP_NS026015_CANONICAL,P1_is_identified_by
PLACE_NS004014,APP_NS026016_CANONICAL,P1_is_identified_by
PLACE_NS004015,APP_NS026017_CANONICAL,P1_is_identified_by
PLACE_NS037016,APP_NS026018_CANONICAL,P1_is_identified_by
PLACE_NS004016,APP_NS026019_CANONICAL,P1_is_identified_by
PLACE_NS026020,APP_NS026020_CANONICAL,P1_is_identified_by
PLACE_NS004017_1891,APP_NS026021_CANONICAL,P1_is_identified_by
PLACE_NS004019,APP_NS026022_CANONICAL,P1_is_identified_by
PLACE_NS004020,APP_NS026023_CANONICAL,P1_is_identified_by
PLACE_NS004021,APP_NS026024_CANONICAL,P1_is_identified_by
PLACE_NS004022,APP_NS026025_CANONICAL,P1_is_identified_by
PLACE_NS004023,APP_NS026026_CANONICAL,P1_is_identified_by
PLACE_NS004025,APP_NS026028_CANONICAL,P1_is_identified_by
PLACE_NS029012,APP_NS029012_CANONICAL,P1_is_identified_by
PLACE_NS007019,APP_NS029018_CANONICAL,P1_is_identified_by
PLACE_NS007022,APP_NS029021_CANONICAL,P1_is_identified_by
PLACE_NS007022,APP_NS029022_CANONICAL,P1_is_identified_by
PLACE_NS030001,APP_NS030001_CANONICAL,P1_is_identified_by
PLACE_NS010002_1871,APP_NS032001_CANONICAL,P1_is_identified_by
PLACE_NS032002,APP_NS032002_CANONICAL,P1_is_identified_by
PLACE_NS010004_1881,APP_NS032003_CANONICAL,P1_is_identified_by
