:START_ID,:END_ID,:TYPE
BORDER_MEAS_NT999999_QC152999_1871,NT999999_1871,P39_measured
BORDER_MEAS_NT999999_QC152008_1871,NT999999_1871,P39_measured
BORDER_MEAS_NT999999_QC092999_1871,NT999999_1871,P39_measured
BORDER_MEAS_NT999999_QC093999_1871,NT999999_1871,P39_measured
BORDER_MEAS_NT999999_QC094999_1871,NT999999_1871,P39_measured
BORDER_MEAS_NT999999_QC130999_1871,NT999999_1871,P39_measured
BORDER_MEAS_NT999999_QC150999_1871,NT999999_1871,P39_measured
BORDER_MEAS_NT999999_QC151999_1871,NT999999_1871,P39_measured
BORDER_MEAS_NT999999_ON088003_1871,NT999999_1871,P39_measured
BORDER_MEAS_NT999999_ON088002_1871,NT999999_1871,P39_measured
BORDER_MEAS_NT999999_ON084007_1871,NT999999_1871,P39_measured
BORDER_MEAS_NT999999_ON090002_1871,NT999999_1871,P39_measured
BORDER_MEAS_NT999999_ON090006_1871,NT999999_1871,P39_measured
BORDER_MEAS_NT999999_ON090003_1871,NT999999_1871,P39_measured
BORDER_MEAS_NT999999_ON090005_1871,NT999999_1871,P39_measured
BORDER_MEAS_BC999999_NT999999_1871,BC999999_1871,P39_measured
BORDER_MEAS_MB999999_NT999999_1871,MB999999_1871,P39_measured
BORDER_MEAS_ON087002_ON087003_1871,ON087002_1871,P39_measured
BORDER_MEAS_ON088003_ON089001_1871,ON088003_1871,P39_measured
BORDER_MEAS_ON088003_ON090001_1871,ON088003_1871,P39_measured
BORDER_MEAS_ON088003_ON090002_1871,ON088003_1871,P39_measured
BORDER_MEAS_ON090002_ON090003_1871,ON090002_1871,P39_measured
BORDER_MEAS_ON016002_ON016004_1871,ON016002_1871,P39_measured
BORDER_MEAS_ON016002_ON022005_1871,ON016002_1871,P39_measured
BORDER_MEAS_ON015001_ON015002_1871,ON015001_1871,P39_measured
BORDER_MEAS_ON015001_ON015003_1871,ON015001_1871,P39_measured
BORDER_MEAS_ON015001_ON016001_1871,ON015001_1871,P39_measured
BORDER_MEAS_ON016001_ON016002_1871,ON016001_1871,P39_measured
BORDER_MEAS_ON016001_ON016003_1871,ON016001_1871,P39_measured
BORDER_MEAS_ON016001_ON022005_1871,ON016001_1871,P39_measured
BORDER_MEAS_ON016001_ON031003_1871,ON016001_1871,P39_measured
BORDER_MEAS_ON016001_ON023001_1871,ON016001_1871,P39_measured
BORDER_MEAS_ON015005_ON017001_1871,ON015005_1871,P39_measured
BORDER_MEAS_ON015005_ON017006_1871,ON015005_1871,P39_measured
BORDER_MEAS_ON015005_ON016004_1871,ON015005_1871,P39_measured
BORDER_MEAS_ON015002_ON015003_1871,ON015002_1871,P39_measured
BORDER_MEAS_ON015003_ON015005_1871,ON015003_1871,P39_measured
BORDER_MEAS_ON015003_ON016004_1871,ON015003_1871,P39_measured
BORDER_MEAS_ON015003_ON015004_1871,ON015003_1871,P39_measured
BORDER_MEAS_ON015003_ON016002_1871,ON015003_1871,P39_measured
BORDER_MEAS_ON015003_ON016001_1871,ON015003_1871,P39_measured
BORDER_MEAS_ON015004_ON016002_1871,ON015004_1871,P39_measured
BORDER_MEAS_ON068004_ON070001_1871,ON068004_1871,P39_measured
BORDER_MEAS_ON068004_ON069001_1871,ON068004_1871,P39_measured
BORDER_MEAS_ON068004_ON070003_1871,ON068004_1871,P39_measured
BORDER_MEAS_ON068003_ON068004_1871,ON068003_1871,P39_measured
BORDER_MEAS_ON028007_ON028999_1871,ON028007_1871,P39_measured
BORDER_MEAS_ON028007_ON028008_1871,ON028007_1871,P39_measured
BORDER_MEAS_ON028006_ON037009_1871,ON028006_1871,P39_measured
BORDER_MEAS_ON028006_ON028007_1871,ON028006_1871,P39_measured
BORDER_MEAS_ON028005_ON037001_1871,ON028005_1871,P39_measured
BORDER_MEAS_ON028005_ON037005_1871,ON028005_1871,P39_measured
BORDER_MEAS_ON028005_ON028006_1871,ON028005_1871,P39_measured
BORDER_MEAS_ON028001_ON028002_1871,ON028001_1871,P39_measured
BORDER_MEAS_ON027005_ON027006_1871,ON027005_1871,P39_measured
BORDER_MEAS_ON027005_ON027007_1871,ON027005_1871,P39_measured
BORDER_MEAS_ON027005_ON028001_1871,ON027005_1871,P39_measured
BORDER_MEAS_ON028002_ON028004_1871,ON028002_1871,P39_measured
BORDER_MEAS_ON028002_ON028005_1871,ON028002_1871,P39_measured
BORDER_MEAS_ON028002_ON028003_1871,ON028002_1871,P39_measured
BORDER_MEAS_ON028003_ON028005_1871,ON028003_1871,P39_measured
BORDER_MEAS_ON028003_ON028006_1871,ON028003_1871,P39_measured
BORDER_MEAS_ON027008_ON036005_1871,ON027008_1871,P39_measured
BORDER_MEAS_ON027008_ON028004_1871,ON027008_1871,P39_measured
BORDER_MEAS_ON027008_ON036001_1871,ON027008_1871,P39_measured
BORDER_MEAS_ON027004_ON035003_1871,ON027004_1871,P39_measured
BORDER_MEAS_ON027004_ON027008_1871,ON027004_1871,P39_measured
BORDER_MEAS_ON027004_ON036001_1871,ON027004_1871,P39_measured
BORDER_MEAS_ON027003_ON027004_1871,ON027003_1871,P39_measured
BORDER_MEAS_ON027003_ON027007_1871,ON027003_1871,P39_measured
BORDER_MEAS_ON028004_ON037001_1871,ON028004_1871,P39_measured
BORDER_MEAS_ON028004_ON028005_1871,ON028004_1871,P39_measured
BORDER_MEAS_ON027007_ON027008_1871,ON027007_1871,P39_measured
BORDER_MEAS_ON027007_ON028001_1871,ON027007_1871,P39_measured
BORDER_MEAS_ON027007_ON028004_1871,ON027007_1871,P39_measured
BORDER_MEAS_ON027007_ON028002_1871,ON027007_1871,P39_measured
BORDER_MEAS_ON027001_ON027002_1871,ON027001_1871,P39_measured
BORDER_MEAS_ON027001_ON027005_1871,ON027001_1871,P39_measured
