:START_ID,:END_ID,:TYPE
BORDER_MEAS_ON182003_ON182005_1881,BORDER_DIM_ON182003_ON182005_1881,P40_observed_dimension
BORDER_MEAS_ON182003_ON182012_1881,BORDER_DIM_ON182003_ON182012_1881,P40_observed_dimension
BORDER_MEAS_ON182003_ON182004_1881,BORDER_DIM_ON182003_ON182004_1881,P40_observed_dimension
BORDER_MEAS_ON182010_ON182011_1881,BORDER_DIM_ON182010_ON182011_1881,P40_observed_dimension
BORDER_MEAS_ON182007_ON182009_1881,BORDER_DIM_ON182007_ON182009_1881,P40_observed_dimension
BORDER_MEAS_ON182007_ON182008_1881,BORDER_DIM_ON182007_ON182008_1881,P40_observed_dimension
BORDER_MEAS_ON182006_ON182007_1881,BORDER_DIM_ON182006_ON182007_1881,P40_observed_dimension
BORDER_MEAS_ON182999_QC098999_1881,BORDER_DIM_ON182999_QC098999_1881,P40_observed_dimension
BORDER_MEAS_ON182009_ON182010_1881,BORDER_DIM_ON182009_ON182010_1881,P40_observed_dimension
BORDER_MEAS_ON182001_ON182002_1881,BORDER_DIM_ON182001_ON182002_1881,P40_observed_dimension
BORDER_MEAS_ON182001_ON182013_1881,BORDER_DIM_ON182001_ON182013_1881,P40_observed_dimension
BORDER_MEAS_ON182001_ON182999_1881,BORDER_DIM_ON182001_ON182999_1881,P40_observed_dimension
BORDER_MEAS_ON182004_ON182005_1881,BORDER_DIM_ON182004_ON182005_1881,P40_observed_dimension
BORDER_MEAS_ON182004_ON182006_1881,BORDER_DIM_ON182004_ON182006_1881,P40_observed_dimension
BORDER_MEAS_ON182004_ON182007_1881,BORDER_DIM_ON182004_ON182007_1881,P40_observed_dimension
BORDER_MEAS_ON182005_ON182006_1881,BORDER_DIM_ON182005_ON182006_1881,P40_observed_dimension
BORDER_MEAS_ON182016_ON182999_1881,BORDER_DIM_ON182016_ON182999_1881,P40_observed_dimension
BORDER_MEAS_ON182015_ON182999_1881,BORDER_DIM_ON182015_ON182999_1881,P40_observed_dimension
BORDER_MEAS_ON182026_ON182999_1881,BORDER_DIM_ON182026_ON182999_1881,P40_observed_dimension
BORDER_MEAS_ON182022_ON182023_1881,BORDER_DIM_ON182022_ON182023_1881,P40_observed_dimension
BORDER_MEAS_ON182022_ON182999_1881,BORDER_DIM_ON182022_ON182999_1881,P40_observed_dimension
BORDER_MEAS_ON160001_ON160002_1881,BORDER_DIM_ON160001_ON160002_1881,P40_observed_dimension
BORDER_MEAS_ON160001_ON160004_1881,BORDER_DIM_ON160001_ON160004_1881,P40_observed_dimension
BORDER_MEAS_ON160001_ON160003_1881,BORDER_DIM_ON160001_ON160003_1881,P40_observed_dimension
BORDER_MEAS_ON159002_ON165004_1881,BORDER_DIM_ON159002_ON165004_1881,P40_observed_dimension
BORDER_MEAS_ON159002_ON159003_1881,BORDER_DIM_ON159002_ON159003_1881,P40_observed_dimension
BORDER_MEAS_ON159002_ON165006_1881,BORDER_DIM_ON159002_ON165006_1881,P40_observed_dimension
BORDER_MEAS_ON159002_ON159004_1881,BORDER_DIM_ON159002_ON159004_1881,P40_observed_dimension
BORDER_MEAS_ON159002_ON166007_1881,BORDER_DIM_ON159002_ON166007_1881,P40_observed_dimension
BORDER_MEAS_ON160003_ON160004_1881,BORDER_DIM_ON160003_ON160004_1881,P40_observed_dimension
BORDER_MEAS_ON160003_ON166007_1881,BORDER_DIM_ON160003_ON166007_1881,P40_observed_dimension
BORDER_MEAS_ON160003_ON161002_1881,BORDER_DIM_ON160003_ON161002_1881,P40_observed_dimension
BORDER_MEAS_ON159005_ON160002_1881,BORDER_DIM_ON159005_ON160002_1881,P40_observed_dimension
