:START_ID,:END_ID,:TYPE
ON046045_1891,TIMESPAN_1891,P4_has_time-span
ON046046_1891,TIMESPAN_1891,P4_has_time-span
ON046048_1891,TIMESPAN_1891,P4_has_time-span
ON046049_1891,TIMESPAN_1891,P4_has_time-span
ON046050_1891,TIMESPAN_1891,P4_has_time-span
ON046051_1891,TIMESPAN_1891,P4_has_time-span
ON046027_1891,TIMESPAN_1891,P4_has_time-span
ON046052_1891,TIMESPAN_1891,P4_has_time-span
ON046003_1891,TIMESPAN_1891,P4_has_time-span
ON046055_1891,TIMESPAN_1891,P4_has_time-span
ON046008_1891,TIMESPAN_1891,P4_has_time-span
ON046057_1891,TIMESPAN_1891,P4_has_time-span
ON046011_1891,TIMESPAN_1891,P4_has_time-span
ON046058_1891,TIMESPAN_1891,P4_has_time-span
ON046059_1891,TIMESPAN_1891,P4_has_time-span
ON046060_1891,TIMESPAN_1891,P4_has_time-span
ON046062_1891,TIMESPAN_1891,P4_has_time-span
ON046024_1891,TIMESPAN_1891,P4_has_time-span
ON046014_1891,TIMESPAN_1891,P4_has_time-span
ON046056_1891,TIMESPAN_1891,P4_has_time-span
ON046006_1891,TIMESPAN_1891,P4_has_time-span
ON046013_1891,TIMESPAN_1891,P4_has_time-span
ON046017_1891,TIMESPAN_1891,P4_has_time-span
ON046022_1891,TIMESPAN_1891,P4_has_time-span
ON046016_1891,TIMESPAN_1891,P4_has_time-span
ON046018_1891,TIMESPAN_1891,P4_has_time-span
ON048003_1891,TIMESPAN_1891,P4_has_time-span
ON106001_1891,TIMESPAN_1891,P4_has_time-span
ON048004_1891,TIMESPAN_1891,P4_has_time-span
ON049003_1891,TIMESPAN_1891,P4_has_time-span
ON049005_1891,TIMESPAN_1891,P4_has_time-span
ON049004_1891,TIMESPAN_1891,P4_has_time-span
ON106006_1891,TIMESPAN_1891,P4_has_time-span
ON049001_1891,TIMESPAN_1891,P4_has_time-span
ON049002_1891,TIMESPAN_1891,P4_has_time-span
ON050006_1891,TIMESPAN_1891,P4_has_time-span
ON086009_1891,TIMESPAN_1891,P4_has_time-span
ON086010_1891,TIMESPAN_1891,P4_has_time-span
ON050002_1891,TIMESPAN_1891,P4_has_time-span
ON086001_1891,TIMESPAN_1891,P4_has_time-span
ON052001_1891,TIMESPAN_1891,P4_has_time-span
ON052002_1891,TIMESPAN_1891,P4_has_time-span
ON052003_1891,TIMESPAN_1891,P4_has_time-span
ON053001_1891,TIMESPAN_1891,P4_has_time-span
ON052005_1891,TIMESPAN_1891,P4_has_time-span
ON053003_1891,TIMESPAN_1891,P4_has_time-span
ON052007_1891,TIMESPAN_1891,P4_has_time-span
ON052010_1891,TIMESPAN_1891,P4_has_time-span
ON053007_1891,TIMESPAN_1891,P4_has_time-span
ON053004_1891,TIMESPAN_1891,P4_has_time-span
ON052013_1891,TIMESPAN_1891,P4_has_time-span
ON052009_1891,TIMESPAN_1891,P4_has_time-span
ON052011_1891,TIMESPAN_1891,P4_has_time-span
ON052012_1891,TIMESPAN_1891,P4_has_time-span
ON053008_1891,TIMESPAN_1891,P4_has_time-span
ON051001_1891,TIMESPAN_1891,P4_has_time-span
ON051002_1891,TIMESPAN_1891,P4_has_time-span
ON051003_1891,TIMESPAN_1891,P4_has_time-span
ON052006_1891,TIMESPAN_1891,P4_has_time-span
ON051004_1891,TIMESPAN_1891,P4_has_time-span
ON053002_1891,TIMESPAN_1891,P4_has_time-span
ON053005_1891,TIMESPAN_1891,P4_has_time-span
ON052004_1891,TIMESPAN_1891,P4_has_time-span
ON051006_1891,TIMESPAN_1891,P4_has_time-span
ON053006_1891,TIMESPAN_1891,P4_has_time-span
ON052008_1891,TIMESPAN_1891,P4_has_time-span
ON051005_1891,TIMESPAN_1891,P4_has_time-span
ON083004_1891,TIMESPAN_1891,P4_has_time-span
ON055001_1891,TIMESPAN_1891,P4_has_time-span
ON055005_1891,TIMESPAN_1891,P4_has_time-span
ON083005_1891,TIMESPAN_1891,P4_has_time-span
ON055002_1891,TIMESPAN_1891,P4_has_time-span
ON055003_1891,TIMESPAN_1891,P4_has_time-span
ON055004_1891,TIMESPAN_1891,P4_has_time-span
ON055008_1891,TIMESPAN_1891,P4_has_time-span
ON055006_1891,TIMESPAN_1891,P4_has_time-span
ON055007_1891,TIMESPAN_1891,P4_has_time-span
ON127001_1891,TIMESPAN_1891,P4_has_time-span
ON126004_1891,TIMESPAN_1891,P4_has_time-span
ON127006_1891,TIMESPAN_1891,P4_has_time-span
ON067005_1891,TIMESPAN_1891,P4_has_time-span
ON054005_1891,TIMESPAN_1891,P4_has_time-span
