:START_ID,:END_ID,during_period,:TYPE
PLACE_MB008010_1901,CD_MB_Macdonald,CENSUS_1901,P89_falls_within
PLACE_MB006011_1901,CD_MB_Brandon,CENSUS_1901,P89_falls_within
PLACE_MB006005_1901,CD_MB_Brandon,CENSUS_1901,P89_falls_within
PLACE_MB006007_1901,CD_MB_Brandon,CENSUS_1901,P89_falls_within
PLACE_MB006008_1901,CD_MB_Brandon,CENSUS_1901,P89_falls_within
PLACE_MB006016_1901,CD_MB_Brandon,CENSUS_1901,P89_falls_within
PLACE_MB006006_1901,CD_MB_Brandon,CENSUS_1901,P89_falls_within
PLACE_MB006013_1901,CD_MB_Brandon,CENSUS_1901,P89_falls_within
PLACE_MB006019,CD_MB_Brandon,CENSUS_1901,P89_falls_within
PLACE_MB006012_1901,CD_MB_Brandon,CENSUS_1901,P89_falls_within
PLACE_MB006014,CD_MB_Brandon,CENSUS_1901,P89_falls_within
PLACE_MB006002,CD_MB_Brandon,CENSUS_1901,P89_falls_within
PLACE_MB006015_1901,CD_MB_Brandon,CENSUS_1901,P89_falls_within
PLACE_MB011016,CD_MB_Selkirk,CENSUS_1901,P89_falls_within
PLACE_MB008014,CD_MB_Macdonald,CENSUS_1901,P89_falls_within
PLACE_MB008015_1901,CD_MB_Macdonald,CENSUS_1901,P89_falls_within
PLACE_MB008006_1901,CD_MB_Macdonald,CENSUS_1901,P89_falls_within
PLACE_MB008013,CD_MB_Macdonald,CENSUS_1901,P89_falls_within
PLACE_MB009018_1901,CD_MB_Marquette,CENSUS_1901,P89_falls_within
PLACE_MB009028_1901,CD_MB_Marquette,CENSUS_1901,P89_falls_within
PLACE_MB009010_1901,CD_MB_Marquette,CENSUS_1901,P89_falls_within
PLACE_MB009027_1901,CD_MB_Marquette,CENSUS_1901,P89_falls_within
PLACE_MB009011_1901,CD_MB_Marquette,CENSUS_1901,P89_falls_within
PLACE_MB009012_1901,CD_MB_Marquette,CENSUS_1901,P89_falls_within
PLACE_MB007008_1901,CD_MB_Lisgar,CENSUS_1901,P89_falls_within
PLACE_MB007012,CD_MB_Lisgar,CENSUS_1901,P89_falls_within
PLACE_MB007006,CD_MB_Lisgar,CENSUS_1901,P89_falls_within
PLACE_MB007005_1901,CD_MB_Lisgar,CENSUS_1901,P89_falls_within
PLACE_MB007013_1901,CD_MB_Lisgar,CENSUS_1901,P89_falls_within
PLACE_MB007010,CD_MB_Lisgar,CENSUS_1901,P89_falls_within
PLACE_MB007007_1901,CD_MB_Lisgar,CENSUS_1901,P89_falls_within
