place_id:ID,:LABEL,name,place_type,community_type,wikidata_id,wikidata_uri,geonames_id,inception_date,province,latitude:float,longitude:float
COMMUNITY_Q34184,E53_Place,Westport,COMMUNITY,village,Q34184,http://www.wikidata.org/entity/Q34184,6179363,,United Counties of Leeds and Grenville,44.677777777,-76.4
COMMUNITY_Q1018271,E53_Place,Estevan,COMMUNITY,city,Q1018271,http://www.wikidata.org/entity/Q1018271,5949568,1892-01-01T00:00:00Z,Saskatchewan,49.1392,-102.986
COMMUNITY_Q775610,E53_Place,Camrose,COMMUNITY,city,Q775610,http://www.wikidata.org/entity/Q775610,5914653,,Alberta,53.024722222,-112.824166666
COMMUNITY_Q2364972,E53_Place,Clarence-Rockland,COMMUNITY,city,Q2364972,http://www.wikidata.org/entity/Q2364972,5923101,,United Counties of Prescott and Russell,45.488055555,-75.215
COMMUNITY_Q240832,E53_Place,Ninstints,COMMUNITY,village,Q240832,http://www.wikidata.org/entity/Q240832,6088455,,North Coast Regional District,52.098888888,-131.2175
COMMUNITY_Q274120,E53_Place,Niagara Falls,COMMUNITY,city,Q274120,http://www.wikidata.org/entity/Q274120,6087892,1903-06-12T00:00:00Z,Regional Municipality of Niagara,43.116666666,-79.066666666
COMMUNITY_Q1904521,E53_Place,Warman,COMMUNITY,city,Q1904521,http://www.wikidata.org/entity/Q1904521,6176226,1904-01-01T00:00:00Z,Saskatchewan,52.321944444,-106.584166666
COMMUNITY_Q2096,E53_Place,Edmonton,COMMUNITY,city,Q2096,http://www.wikidata.org/entity/Q2096,5946768,1795-01-01T00:00:00Z,Alberta,53.533333333,-113.5
COMMUNITY_Q676910,E53_Place,Waskada,COMMUNITY,village,Q676910,http://www.wikidata.org/entity/Q676910,6176561,1948-12-31T00:00:00Z,Manitoba,49.0967,-100.802
COMMUNITY_Q814861,E53_Place,Beiseker,COMMUNITY,village,Q814861,http://www.wikidata.org/entity/Q814861,5897594,1908-01-01T00:00:00Z,Alberta,51.387,-113.533
COMMUNITY_Q34106,E53_Place,Sarnia,COMMUNITY,city,Q34106,http://www.wikidata.org/entity/Q34106,6141190,,Lambton County,42.9745,-82.4066
COMMUNITY_Q126805,E53_Place,St. Catharines,COMMUNITY,city,Q126805,http://www.wikidata.org/entity/Q126805,6155721,1783-01-01T00:00:00Z,Regional Municipality of Niagara,43.183333333,-79.233333333
COMMUNITY_Q3040214,E53_Place,Dryden,COMMUNITY,city,Q3040214,http://www.wikidata.org/entity/Q3040214,5942911,1895-01-01T00:00:00Z,Kenora District,49.78,-92.833888888
COMMUNITY_Q138976,E53_Place,Ste. Rose du Lac,COMMUNITY,village,Q138976,http://www.wikidata.org/entity/Q138976,6156291,1889-01-01T00:00:00Z,Ste. Rose,51.059444444,-99.523333333
COMMUNITY_Q1017735,E53_Place,Owen Sound,COMMUNITY,city,Q1017735,http://www.wikidata.org/entity/Q1017735,6095645,1857-01-01T00:00:00Z,Grey County,44.567777777,-80.943055555
COMMUNITY_Q1348913,E53_Place,Miramichi,COMMUNITY,city,Q1348913,http://www.wikidata.org/entity/Q1348913,6075081,1995-01-01T00:00:00Z,Northumberland County,47.0225,-65.508888888
COMMUNITY_Q3554592,E53_Place,Vanier,COMMUNITY,city,Q3554592,http://www.wikidata.org/entity/Q3554592,6173404,1908-01-01T00:00:00Z,Ottawa,45.44,-75.665
COMMUNITY_Q810807,E53_Place,Bathurst,COMMUNITY,city,Q810807,http://www.wikidata.org/entity/Q810807,6696259,,Gloucester County,47.62,-65.65
COMMUNITY_Q385697,E53_Place,Clinton,COMMUNITY,village,Q385697,http://www.wikidata.org/entity/Q385697,5924041,,Thompson-Nicola Regional District,51.0914,-121.587
COMMUNITY_Q2866069,E53_Place,Arvida,COMMUNITY,city,Q2866069,http://www.wikidata.org/entity/Q2866069,6544162,,Jonquière,48.4333,-71.1833
COMMUNITY_Q113464,E53_Place,Chatham-Kent,COMMUNITY,city,Q113464,http://www.wikidata.org/entity/Q113464,5920450,1998-01-01T00:00:00Z,Ontario,42.4,-82.183333333
COMMUNITY_Q113303708,E53_Place,Oka-sur-le-Lac,COMMUNITY,city,Q113303708,http://www.wikidata.org/entity/Q113303708,,1942-05-29T00:00:00Z,comté de Deux-Montagnes,45.46811,-74.05086
COMMUNITY_Q1017624,E53_Place,Portage la Prairie,COMMUNITY,city,Q1017624,http://www.wikidata.org/entity/Q1017624,6111529,1738-01-01T00:00:00Z,Manitoba,49.972777777,-98.291944444
COMMUNITY_Q999303,E53_Place,Chestermere,COMMUNITY,city,Q999303,http://www.wikidata.org/entity/Q999303,5921060,1884-01-01T00:00:00Z,Rocky View County,51.05,-113.823
COMMUNITY_Q798842,E53_Place,Baddeck,COMMUNITY,village,Q798842,http://www.wikidata.org/entity/Q798842,5889156,,Victoria County,46.1,-60.7542
COMMUNITY_Q1173008,E53_Place,Dauphin,COMMUNITY,city,Q1173008,http://www.wikidata.org/entity/Q1173008,5935341,1898-01-01T00:00:00Z,Manitoba,51.149444444,-100.049444444
COMMUNITY_Q639408,E53_Place,Waterloo,COMMUNITY,city,Q639408,http://www.wikidata.org/entity/Q639408,6176823,1857-05-27T00:00:00Z,Regional Municipality of Waterloo,43.466666666,-80.516666666
COMMUNITY_Q579689,E53_Place,Morden,COMMUNITY,city,Q579689,http://www.wikidata.org/entity/Q579689,6078447,1882-01-01T00:00:00Z,Manitoba,49.191944444,-98.100555555
COMMUNITY_Q384755,E53_Place,Kawartha Lakes,COMMUNITY,city,Q384755,http://www.wikidata.org/entity/Q384755,5989818,2001-01-01T00:00:00Z,Ontario,44.35,-78.75
COMMUNITY_Q863058,E53_Place,Summerside,COMMUNITY,city,Q863058,http://www.wikidata.org/entity/Q863058,6159244,,Prince County,46.4,-63.783333333
COMMUNITY_Q1904137,E53_Place,Martensville,COMMUNITY,city,Q1904137,http://www.wikidata.org/entity/Q1904137,6067033,1939-01-01T00:00:00Z,Saskatchewan,52.291944444,-106.6525
COMMUNITY_Q34116,E53_Place,Thunder Bay,COMMUNITY,city,Q34116,http://www.wikidata.org/entity/Q34116,6166142,1683-01-01T00:00:00Z,Thunder Bay District,48.3822,-89.2461
COMMUNITY_Q172,E53_Place,Toronto,COMMUNITY,city,Q172,http://www.wikidata.org/entity/Q172,6167865,1750-01-01T00:00:00Z,Ontario,43.670277777,-79.386666666
COMMUNITY_Q1028279,E53_Place,Cambridge,COMMUNITY,city,Q1028279,http://www.wikidata.org/entity/Q1028279,5913695,1973-01-01T00:00:00Z,Regional Municipality of Waterloo,43.358333333,-80.313888888
COMMUNITY_Q985674,E53_Place,Lloydminster,COMMUNITY,city,Q985674,http://www.wikidata.org/entity/Q985674,6058024,1903-01-01T00:00:00Z,West Central Saskatchewan,53.278333333,-110.005
COMMUNITY_Q2061,E53_Place,Yellowknife,COMMUNITY,city,Q2061,http://www.wikidata.org/entity/Q2061,6185377,1970-01-01T00:00:00Z,Northwest Territories,62.442222222,-114.3975
COMMUNITY_Q1642364,E53_Place,Woodstock,COMMUNITY,city,Q1642364,http://www.wikidata.org/entity/Q1642364,6184365,1851-01-01T00:00:00Z,Oxford County,43.130555555,-80.746666666
COMMUNITY_Q1010790,E53_Place,Qualicum Beach,COMMUNITY,city,Q1010790,http://www.wikidata.org/entity/Q1010790,6114862,,British Columbia,49.35,-124.433
COMMUNITY_Q985674,E53_Place,Lloydminster,COMMUNITY,city,Q985674,http://www.wikidata.org/entity/Q985674,6058024,1903-01-01T00:00:00Z,Central Alberta,53.278333333,-110.005
COMMUNITY_Q504114,E53_Place,Guelph,COMMUNITY,city,Q504114,http://www.wikidata.org/entity/Q504114,5967629,1827-04-23T00:00:00Z,Ontario,43.55,-80.25
COMMUNITY_Q385085,E53_Place,Prince Edward County,COMMUNITY,city,Q385085,http://www.wikidata.org/entity/Q385085,6113355,1792-01-01T00:00:00Z,Ontario,44.0,-77.25
COMMUNITY_Q169348,E53_Place,Zeballos,COMMUNITY,village,Q169348,http://www.wikidata.org/entity/Q169348,6185911,,Strathcona Regional District,49.9833,-126.845
COMMUNITY_Q34183,E53_Place,Barrie,COMMUNITY,city,Q34183,http://www.wikidata.org/entity/Q34183,5894171,1812-01-01T00:00:00Z,Ontario,44.39,-79.686
COMMUNITY_Q341968,E53_Place,Acme,COMMUNITY,village,Q341968,http://www.wikidata.org/entity/Q341968,5882100,1910-01-01T00:00:00Z,Alberta,51.4997,-113.498
COMMUNITY_Q1075086,E53_Place,Pembroke,COMMUNITY,city,Q1075086,http://www.wikidata.org/entity/Q1075086,6100832,1828-01-01T00:00:00Z,Renfrew County,45.8167,-77.1167
COMMUNITY_Q1018239,E53_Place,Selkirk,COMMUNITY,city,Q1018239,http://www.wikidata.org/entity/Q1018239,6144054,1882-06-05T00:00:00Z,Manitoba,50.143611111,-96.883888888
COMMUNITY_Q493879,E53_Place,Mayo,COMMUNITY,village,Q493879,http://www.wikidata.org/entity/Q493879,6068416,,Yukon,63.5931,-135.896
COMMUNITY_Q2138,E53_Place,Fredericton,COMMUNITY,city,Q2138,http://www.wikidata.org/entity/Q2138,5957776,1785-01-01T00:00:00Z,New Brunswick,45.95,-66.666666666
COMMUNITY_Q61432,E53_Place,Brandon,COMMUNITY,city,Q61432,http://www.wikidata.org/entity/Q61432,5907896,1882-01-01T00:00:00Z,Manitoba,49.833333333,-99.95
COMMUNITY_Q557643,E53_Place,Mission,COMMUNITY,city,Q557643,http://www.wikidata.org/entity/Q557643,6075292,1868-01-01T00:00:00Z,British Columbia,49.133694444,-122.311166666
COMMUNITY_Q424704,E53_Place,Port Colborne,COMMUNITY,city,Q424704,http://www.wikidata.org/entity/Q424704,6111704,,Regional Municipality of Niagara,42.883333333,-79.25
COMMUNITY_Q1017624,E53_Place,Portage la Prairie,COMMUNITY,city,Q1017624,http://www.wikidata.org/entity/Q1017624,6111529,1738-01-01T00:00:00Z,Central Plains Region,49.972777777,-98.291944444
COMMUNITY_Q211867,E53_Place,Oshawa,COMMUNITY,city,Q211867,http://www.wikidata.org/entity/Q211867,6094578,1850-01-01T00:00:00Z,Regional Municipality of Durham,43.9,-78.85
COMMUNITY_Q202973,E53_Place,Kingston,COMMUNITY,city,Q202973,http://www.wikidata.org/entity/Q202973,5992500,1673-01-01T00:00:00Z,Frontenac County,44.230555555,-76.481111111
COMMUNITY_Q681272,E53_Place,Casselman,COMMUNITY,village,Q681272,http://www.wikidata.org/entity/Q681272,5918021,1844-01-01T00:00:00Z,United Counties of Prescott and Russell,45.311388888,-75.085833333
COMMUNITY_Q557967,E53_Place,Anmore,COMMUNITY,village,Q557967,http://www.wikidata.org/entity/Q557967,5885383,,Metro Vancouver Regional District,49.3144,-122.856
COMMUNITY_Q34180,E53_Place,Brantford,COMMUNITY,city,Q34180,http://www.wikidata.org/entity/Q34180,5907990,1877-05-31T00:00:00Z,Ontario,43.140833333,-80.263055555
COMMUNITY_Q34183,E53_Place,Barrie,COMMUNITY,city,Q34183,http://www.wikidata.org/entity/Q34183,5894171,1812-01-01T00:00:00Z,Golden Horseshoe,44.39,-79.686
COMMUNITY_Q457334,E53_Place,Moncton,COMMUNITY,city,Q457334,http://www.wikidata.org/entity/Q457334,6076211,1766-01-01T00:00:00Z,Westmorland County,46.093333,-64.775
COMMUNITY_Q2360927,E53_Place,Pierrefonds,COMMUNITY,city,Q2360927,http://www.wikidata.org/entity/Q2360927,6104319,,Pierrefonds-Roxboro,45.4667,-73.8833
COMMUNITY_Q1438830,E53_Place,Fort William,COMMUNITY,city,Q1438830,http://www.wikidata.org/entity/Q1438830,,,Thunder Bay,48.38,-89.28
COMMUNITY_Q44016,E53_Place,Markham,COMMUNITY,city,Q44016,http://www.wikidata.org/entity/Q44016,6066513,1794-01-01T00:00:00Z,Regional Municipality of York,43.8833,-79.25
COMMUNITY_Q141760,E53_Place,Joliette,COMMUNITY,city,Q141760,http://www.wikidata.org/entity/Q141760,5987650,1966-11-12T00:00:00Z,Joliette,46.016666666,-73.45
COMMUNITY_Q2096,E53_Place,Edmonton,COMMUNITY,city,Q2096,http://www.wikidata.org/entity/Q2096,5946768,1892-01-09T00:00:00Z,Alberta,53.533333333,-113.5
COMMUNITY_Q1017691,E53_Place,Cold Lake,COMMUNITY,city,Q1017691,http://www.wikidata.org/entity/Q1017691,5925024,1955-07-02T00:00:00Z,Alberta,54.4642,-110.183
COMMUNITY_Q3476268,E53_Place,Lambton Shores,COMMUNITY,city,Q3476268,http://www.wikidata.org/entity/Q3476268,6049024,,Lambton County,43.16678,-81.93309
COMMUNITY_Q44013,E53_Place,Vaughan,COMMUNITY,city,Q44013,http://www.wikidata.org/entity/Q44013,6173577,1792-01-01T00:00:00Z,Regional Municipality of York,43.833333333,-79.5
COMMUNITY_Q1015639,E53_Place,Prince Rupert,COMMUNITY,city,Q1015639,http://www.wikidata.org/entity/Q1015639,6113406,1910-03-10T00:00:00Z,British Columbia,54.312194444,-130.327083333
COMMUNITY_Q52998,E53_Place,Richmond Hill,COMMUNITY,city,Q52998,http://www.wikidata.org/entity/Q52998,6122091,1873-01-01T00:00:00Z,Regional Municipality of York,43.871388888,-79.437222222
COMMUNITY_Q1019402,E53_Place,Winkler,COMMUNITY,city,Q1019402,http://www.wikidata.org/entity/Q1019402,6183204,1906-05-09T00:00:00Z,Manitoba,49.1817,-97.9397
COMMUNITY_Q1904554,E53_Place,Weyburn,COMMUNITY,city,Q1904554,http://www.wikidata.org/entity/Q1904554,6179652,1894-01-01T00:00:00Z,Saskatchewan,49.661111111,-103.8525
COMMUNITY_Q1010790,E53_Place,Qualicum Beach,COMMUNITY,city,Q1010790,http://www.wikidata.org/entity/Q1010790,6114862,,Regional District of Nanaimo,49.35,-124.433
COMMUNITY_Q3476268,E53_Place,Lambton Shores,COMMUNITY,city,Q3476268,http://www.wikidata.org/entity/Q3476268,6049024,,Lambton County,43.1833,-81.9
