year_from,year_to,tcpuid_from,tcpuid_to,name_from,name_to,iou,name_similarity,len_diff,cd_name_from,cd_name_to,pr_from
1851,1861,QC048008,QC014007,St. Urbain,St. Urbain Premier,1.0,60.91,8,Beauharnois,Chateauguay,QC
1851,1861,QC060008,QC035010,Cap St. Ignace,St. Ignace,1.0,62.08,4,L’Islet,Montmagny,QC
1851,1861,ON030003,ON093005,Dummer & Burleigh,Dummer,1.0,62.24,11,Peterboro,Peterborough,ON
1851,1861,ON038006,ON101003,Galt,"Galt, Town of",1.0,62.94,9,Waterloo,Waterloo,ON
1851,1861,QC053002,QC012001,"St. François X., Batiscan",Batiscan,1.0,63.94,17,Champlain,Champlain,QC
1851,1861,QC051001,QC009003,Port Daniel,Daniel (Port),1.0,65.0,2,Bonaventure,Bonaventure,QC
1851,1861,QC056003,QC019013,"Percé, Township",Percé,1.0,65.0,10,Gaspé,Gaspé,QC
1851,1861,QC052014,QC051003,"St. John, Parish","St. Jean, Parish",1.0,65.0,0,Chambly,St. Johns,QC
1851,1861,QC072001,QC022001,Christieville,Iberville,1.0,65.72,4,Rouville,Iberville,QC
1851,1861,QC074004,QC013005,Isles aux Coudres,Isle-aux-Coudres,1.0,66.06,1,Saguenay,Charlevoix,QC
1851,1861,QC051008,QC009010,Nouvelle,Nouvelle and Shoolbreds,1.0,66.13,15,Bonaventure,Bonaventure,QC
1851,1861,ON016014,ON079014,Stanley,Stanley and Bayfield,1.0,66.3,13,Huron,Huron,ON
1851,1861,QC066008,QC038004,Nicolet,Nicolet and Seminary,1.0,66.3,13,Nicolet,Nicolet,QC
1851,1861,QC056004,QC019009,"Malbay, Township",Malbaie,1.0,66.52,9,Gaspé,Gaspé,QC
1851,1861,ON001004,ON084011,Shefford,Sheffield,1.0,68.03,1,Addington,Lennox and Addington ,ON
1851,1861,QC055004,QC018001,"Durham, Township",Durham,1.0,68.18,10,Drummond,Drummond,QC
1851,1861,ON040009,ON102002,Chippewa,"Chippawa, Village",1.0,69.2,9,Welland,Welland,ON
1851,1861,QC056005,QC019003,"Douglass, Township",Douglas,1.0,69.2,11,Gaspé,Gaspé,QC
1851,1861,ON045002,ON109004,"Kingston, Rideau Ward",Rideau Ward,0.9993,69.94,10,"Kingston, City",Kingston,ON
1851,1861,ON008004,ON071004,Gosfield,Golded,1.0,70.0,2,Essex,Essex,ON
1851,1861,ON026011,ON089003,Oshawa,"Oshawa, Village",1.0,70.0,9,Ontario,Ontario,ON
1851,1861,QC079010,QC028001,St. François de Sales,St. François de Sales,1.0,70.0,0,Terrebonne,Laval,QC
1851,1861,QC079011,QC028004,St. Vincent de Paul,St. Vincent de Paul,0.9981,70.0,0,Terrebonne,Laval,QC
1851,1861,QC079013,QC028002,St. Martin,St. Martin,1.0,70.0,0,Terrebonne,Laval,QC
1851,1861,QC060014,QC035002,Grosse Ile,Grosse Isle,1.0,70.42,1,L’Islet,Montmagny,QC
1851,1861,QC061006,QC030005,Ste. Croix,Ste. Croix and Convent,1.0,70.75,12,Lotbinière,Lotbiniere,QC
1851,1861,QC055008,QC018004,"Simpson, Township",Simpson,1.0,70.83,10,Drummond,Drummond,QC
1851,1861,QC055010,QC018007,"Wickham, Township",Wickham,1.0,70.83,10,Drummond,Drummond,QC
1851,1861,QC055018,QC018003,"Kingsey, Township",Kingsey,1.0,70.83,10,Drummond,Drummond,QC
1851,1861,QC058002,QC026001,"Ixworth, Township",Ixworth,1.0,70.83,10,Kamouraska,Kamouraska,QC
1851,1861,QC062006,QC059009,Wolfstown,Wolfestown,1.0,70.93,1,Megantic,Wolfe,QC
1851,1861,QC060012,QC035004,Ile aux Oies,Isle aux Oies,1.0,70.95,1,L’Islet,Montmagny,QC
