fused_into,removed_chain,canonical_name,province,years_active
CD_ON_Algoma,CD_ON_Algoma_1881,Algoma,ON,1861;1881;1891;1901
CD_ON_Durham,CD_ON_Durham_1911,Durham,ON,1851;1861;1911;1921
CD_ON_Elgin,CD_ON_Elgin_1921,Elgin,ON,1851;1861;1921
CD_ON_Essex,CD_ON_Essex_1921,Essex,ON,1851;1861;1871;1881;1921
CD_ON_Grenville,CD_ON_Grenville_1911,Grenville,ON,1851;1861;1911;1921
CD_ON_Grey,CD_ON_Grey_1921,Grey,ON,1851;1861;1921
CD_ON_Kent,CD_ON_Kent_1921,Kent,ON,1851;1861;1921
CD_ON_Kingston,CD_ON_Kingston_1911,Kingston,ON,1861;1871;1911
CD_ON_Lambton,CD_ON_Lambton_1921,Lambton,ON,1851;1861;1871;1881;1921
CD_ON_Lanark,CD_ON_Lanark_1921,Lanark,ON,1851;1861;1921
CD_ON_Lincoln,CD_ON_Lincoln_1911,Lincoln,ON,1851;1861;1871;1881;1911;1921
CD_ON_Middlesex,CD_ON_Middlesex_1921,Middlesex,ON,1851;1861;1921
CD_ON_Norfolk,CD_ON_Norfolk_1911,Norfolk,ON,1851;1861;1911;1921
CD_ON_Northumberland,CD_ON_Northumberland_1921,Northumberland,ON,1851;1861;1921
CD_ON_Ontario,CD_ON_Ontario_1921,Ontario,ON,1851;1861;1921
CD_ON_Oxford,CD_ON_Oxford_1921,Oxford,ON,1851;1861;1921
CD_ON_Perth,CD_ON_Perth_1921,Perth,ON,1851;1861;1921
CD_ON_Peterborough,CD_ON_Peterborough_1921,Peterborough,ON,1861;1921
CD_ON_Renfrew,CD_ON_Renfrew_1921,Renfrew,ON,1851;1861;1921
CD_ON_Simcoe,CD_ON_Simcoe_1921,Simcoe,ON,1851;1861;1921
CD_ON_Victoria,CD_ON_Victoria_1911,Victoria,ON,1851;1861;1911;1921
CD_ON_Waterloo,CD_ON_Waterloo_1921,Waterloo,ON,1851;1861;1921
CD_QC_Huntingdon,CD_QC_Huntingdon_1881,Huntingdon,QC,1851;1861;1881;1891;1901;1911;1921
CD_QC_Bellechasse,CD_QC_Bellechasse_1881,Bellechasse,QC,1851;1861;1881;1891;1901;1911;1921
CD_QC_Champlain,CD_QC_Champlain_1881,Champlain,QC,1851;1861;1881;1891;1901;1911;1921
CD_QC_Dorchester,CD_QC_Dorchester_1881,Dorchester,QC,1851;1861;1881;1891;1901;1911;1921
CD_QC_Lévis,CD_QC_Lévis_1881,Lévis,QC,1861;1881;1891;1901;1911;1921
CD_QC_Gaspé,CD_QC_Gaspé_1881,Gaspé,QC,1851;1861;1881;1891;1901;1911;1921
CD_QC_Pontiac,CD_QC_Pontiac_1881,Pontiac,QC,1861;1881;1891;1901;1911;1921
CD_QC_Rimouski,CD_QC_Rimouski_1881,Rimouski,QC,1851;1861;1881;1891;1901;1911;1921
CD_QC_Beauce,CD_QC_Beauce_1881,Beauce,QC,1861;1881;1891;1901;1911;1921
CD_NS_Cape_Breton,CD_NS_Cape_Breton_1921,Cape Breton,NS,1871;1881;1891;1901;1921
CD_PE_Prince,CD_PE_Prince_1911,Prince,PE,1871;1881;1891;1911;1921
CD_ON_Algoma,CD_ON_Algoma_1921,Algoma,ON,1861;1881;1891;1901;1921
