lineage_type,:START_ID,:END_ID,change_year:int,:TYPE
BRIDGE_NAME_MATCH,PLACE_ON065002,PLACE_ON103001,1921,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON015004,PLACE_ON103007_1891,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON159001,PLACE_ON103007_1891,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON003011,PLACE_ON104016,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON177003,PLACE_ON104016,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON177004,PLACE_ON104020,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON028004,PLACE_ON104009,1881,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON021003,PLACE_ON125006_1891,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON117008,PLACE_ON125006_1891,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON035003,PLACE_ON152008,1881,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON035004,PLACE_ON152017,1881,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON069003,PLACE_ON108001,1871,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON006003,PLACE_ON108003,1861,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON128002,PLACE_ON108010,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON006004,PLACE_ON108004,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON128001,PLACE_ON108004,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON050002,PLACE_ON108007,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON128005_1881,PLACE_ON108007,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON127001,PLACE_ON108005,1891,BRIDGE_NAME_MATCH
BRIDGE_NAME_MATCH,PLACE_ON006001,PLACE_ON109007,1881,BRIDGE_NAME_MATCH
