norm_name,province,n_members,winner,members,reason
iroquois,ON,2,PLACE_ON107006_1891,PLACE_ON071002;PLACE_ON107006_1891,medium_confidence_gap
kemptville,ON,2,PLACE_ON113008_1911,PLACE_ON107006;PLACE_ON113008_1911,medium_confidence_gap
raleigh,ON,2,PLACE_ON121007,PLACE_ON080008;PLACE_ON121007,medium_confidence_gap
dalhousie,ON,2,PLACE_ON123004_1911,PLACE_ON082004;PLACE_ON123004_1911,medium_confidence_gap
mornington,ON,3,PLACE_ON137010,PLACE_ON030006;PLACE_ON108006_1881;PLACE_ON137010,medium_confidence_gap
blanchard,ON,2,PLACE_ON137001_1891,PLACE_ON029001;PLACE_ON137001_1891,medium_confidence_gap
fullarton,ON,4,PLACE_ON137007_1891,PLACE_ON029003;PLACE_ON029004;PLACE_ON171006;PLACE_ON137007_1891,medium_confidence_gap
ameliasburg,ON,4,PLACE_ON140001_1921,PLACE_ON119004;PLACE_ON109001;PLACE_ON115001_1911;PLACE_ON140001_1921,medium_confidence_gap
hallowell,ON,5,PLACE_ON140003_1921,PLACE_ON059004;PLACE_ON113003_1891;PLACE_ON109003_1901;PLACE_ON115003_1911_1911;PLACE_ON140003_1921,medium_confidence_gap
wilberforce,ON,2,PLACE_ON142033,PLACE_ON082007;PLACE_ON142033,medium_confidence_gap
pelham,ON,5,PLACE_ON151004,PLACE_ON102007;PLACE_ON144007;PLACE_ON094007;PLACE_ON132004_1911;PLACE_ON151004,medium_confidence_gap
stamford,ON,4,PLACE_ON151005_1911,PLACE_ON040003;PLACE_ON142010;PLACE_ON125009_1891;PLACE_ON151005_1911,medium_confidence_gap
roxborough,ON,2,PLACE_ON145004,PLACE_ON072003;PLACE_ON145004,medium_confidence_gap
georgina,ON,2,PLACE_ON154002,PLACE_ON137009;PLACE_ON154002,medium_confidence_gap
sandwich w o,ON,3,PLACE_ON067005_1911,PLACE_ON181010;PLACE_ON062005_1891;PLACE_ON067005_1911,medium_confidence_gap
sandwich e,ON,4,PLACE_ON110011,PLACE_ON181012;PLACE_ON062004;PLACE_ON067003_1911;PLACE_ON110011,medium_confidence_gap
kaladar,ON,2,PLACE_ON101007_1921,PLACE_ON084008;PLACE_ON101007_1921,medium_confidence_gap
amabel,ON,3,PLACE_ON104002_1921,PLACE_ON028006;PLACE_ON177005;PLACE_ON104002_1921,medium_confidence_gap
albermarle,ON,2,PLACE_ON177006,PLACE_ON066001;PLACE_ON177006,medium_confidence_gap
canboro,ON,2,PLACE_ON115001_1901,PLACE_ON076001;PLACE_ON115001_1901,medium_confidence_gap
cayuga s,ON,2,PLACE_ON115003_1911,PLACE_ON146003;PLACE_ON115003_1911,medium_confidence_gap
moulton,ON,2,PLACE_ON115005,PLACE_ON013005;PLACE_ON115005,medium_confidence_gap
tyendinaga,ON,5,PLACE_ON118021,PLACE_ON061002;PLACE_ON120002;PLACE_ON073004_1891;PLACE_ON079013;PLACE_ON118021,medium_confidence_gap
sidney,ON,2,PLACE_ON121001,PLACE_ON015006;PLACE_ON121001,medium_confidence_gap
sydney,ON,3,PLACE_ON080007_1911,PLACE_ON078010;PLACE_ON072002_1901;PLACE_ON080007_1911,medium_confidence_gap
belleville,ON,5,PLACE_ON118025,PLACE_ON078001;PLACE_ON121003;PLACE_ON075001_1891;PLACE_ON072001_1901;PLACE_ON118025,medium_confidence_gap
romney,ON,2,PLACE_ON085004_1881,PLACE_ON080009;PLACE_ON085004_1881,medium_confidence_gap
zorra w o,ON,2,PLACE_ON105008,PLACE_ON027002;PLACE_ON105008,medium_confidence_gap
woodstock,ON,3,PLACE_ON134012,PLACE_ON090012;PLACE_ON166005;PLACE_ON134012,medium_confidence_gap
norwich,ON,3,PLACE_ON134016,PLACE_ON027007;PLACE_ON102005;PLACE_ON134016,medium_confidence_gap
easthope n,ON,5,PLACE_ON137003_1921,PLACE_ON029007;PLACE_ON172004;PLACE_ON105002;PLACE_ON110001_1911;PLACE_ON137003_1921,medium_confidence_gap
brougham,ON,2,PLACE_ON142008_1871,PLACE_ON033011;PLACE_ON142008_1871,medium_confidence_gap
tiny,ON,4,PLACE_ON144014,PLACE_ON035007_1851;PLACE_ON042007_1871;PLACE_ON113014;PLACE_ON144014,medium_confidence_gap
osnabruck,ON,2,PLACE_ON145003,PLACE_ON101001_1851;PLACE_ON145003,medium_confidence_gap
york,ON,3,PLACE_ON138001_1911,PLACE_ON042005;PLACE_ON105011;PLACE_ON138001_1911,medium_confidence_gap
gwillimbury n,ON,3,PLACE_ON154004_1911,PLACE_ON042007;PLACE_ON137008_1871;PLACE_ON154004_1911,medium_confidence_gap
peterborough,ON,4,PLACE_ON138017,PLACE_ON093012;PLACE_ON056003;PLACE_ON126001;PLACE_ON138017,medium_confidence_gap
lavant,ON,2,PLACE_ON123009_1891,PLACE_ON082009;PLACE_ON123009_1891,medium_confidence_gap
sombra,ON,4,PLACE_ON122009_1921,PLACE_ON018009;PLACE_ON178006;PLACE_ON047006_1891;PLACE_ON122009_1921,medium_confidence_gap
sherbrooke,ON,2,PLACE_ON115009,PLACE_ON013008;PLACE_ON115009,medium_confidence_gap
elzevir,ON,2,PLACE_ON118005_1911,PLACE_ON078002;PLACE_ON118005_1911,medium_confidence_gap
tay,ON,5,PLACE_ON144012,PLACE_ON035002_1851;PLACE_ON042008_1871;PLACE_ON113013;PLACE_ON119004_1911;PLACE_ON144012,medium_confidence_gap
gwillimbury e,ON,3,PLACE_ON154003,PLACE_ON042008;PLACE_ON137006_1871;PLACE_ON154003,medium_confidence_gap
bagot,ON,2,PLACE_ON142005_1921,PLACE_ON033002;PLACE_ON142005_1921,medium_confidence_gap
galway,ON,2,PLACE_ON138010,PLACE_ON093007;PLACE_ON138010,medium_confidence_gap
anglesea,ON,2,PLACE_ON101002_1921,PLACE_ON084003;PLACE_ON101002_1921,medium_confidence_gap
carden,ON,2,PLACE_ON149002,PLACE_ON100003;PLACE_ON149002,medium_confidence_gap
laxton,ON,3,PLACE_ON149008,PLACE_ON100010;PLACE_ON119010_1901;PLACE_ON149008,medium_confidence_gap
nipissing,ON,2,PLACE_ON135035,PLACE_ON107000;PLACE_ON135035,medium_confidence_gap
dalton,ON,2,PLACE_ON149003,PLACE_ON100004;PLACE_ON149003,medium_confidence_gap
digby,ON,2,PLACE_ON149004,PLACE_ON100005;PLACE_ON149004,medium_confidence_gap
snowden,ON,2,PLACE_ON119013,PLACE_ON093014;PLACE_ON119013,medium_confidence_gap
anson,ON,2,PLACE_ON116001_1921,PLACE_ON100001;PLACE_ON116001_1921,medium_confidence_gap
hindon,ON,2,PLACE_ON116011,PLACE_ON100009;PLACE_ON116011,medium_confidence_gap
no data,NB,2,PLACE_NB026999,PLACE_NB995999;PLACE_NB026999,medium_confidence_gap
montcalm,QC,2,PLACE_QC037009,PLACE_QC002008;PLACE_QC037009,medium_confidence_gap
arundel,QC,2,PLACE_QC037001,PLACE_QC002001;PLACE_QC037001,medium_confidence_gap
adstock,QC,2,PLACE_QC139001,PLACE_QC005001;PLACE_QC139001,medium_confidence_gap
dorset,QC,3,PLACE_QC139003_1891,PLACE_QC005003;PLACE_QC048017_1881;PLACE_QC139003_1891,medium_confidence_gap
lambton,QC,3,PLACE_QC055023,PLACE_QC005007;PLACE_QC048018;PLACE_QC055023,medium_confidence_gap
lavaltrie,QC,2,PLACE_QC043004_1911,PLACE_QC142005;PLACE_QC043004_1911,medium_confidence_gap
carleton,QC,4,PLACE_QC044001_1911,PLACE_QC009001;PLACE_QC169007;PLACE_QC143001;PLACE_QC044001_1911,medium_confidence_gap
hamilton,QC,2,PLACE_QC148004_1901,PLACE_QC169004;PLACE_QC148004_1901,medium_confidence_gap
hope,QC,5,PLACE_QC044006_1921,PLACE_QC169002;PLACE_QC038002_1881;PLACE_QC143003_1901;PLACE_QC148005_1911;PLACE_QC044006_1921,medium_confidence_gap
maria,QC,4,PLACE_QC044008_1911,PLACE_QC169006;PLACE_QC038008_1881;PLACE_QC143005_1901;PLACE_QC044008_1911,medium_confidence_gap
new richmond,QC,3,PLACE_QC044012,PLACE_QC169005;PLACE_QC038007_1881;PLACE_QC044012,medium_confidence_gap
restigouche,QC,3,PLACE_QC148015,PLACE_QC169010;PLACE_QC143012_1891_1901;PLACE_QC148015,medium_confidence_gap
beloeil,QC,2,PLACE_QC098009_1921,PLACE_QC145012;PLACE_QC098009_1921,medium_confidence_gap
cap de la madeleine,QC,2,PLACE_QC047030,PLACE_QC053004;PLACE_QC047030,medium_confidence_gap
champlain,QC,2,PLACE_QC047034,PLACE_QC012003;PLACE_QC047034,medium_confidence_gap
cap rosier,QC,3,PLACE_QC159002_1911,PLACE_QC019002;PLACE_QC154002;PLACE_QC159002_1911,medium_confidence_gap
st. jean de matha,QC,2,PLACE_QC060011,PLACE_QC025011;PLACE_QC060011,medium_confidence_gap
cawood,QC,2,PLACE_QC079007,PLACE_QC040019;PLACE_QC079007,medium_confidence_gap
denholm,QC,3,PLACE_QC205006,PLACE_QC039014;PLACE_QC176013;PLACE_QC205006,medium_confidence_gap
leslie,QC,3,PLACE_QC079014,PLACE_QC091005;PLACE_QC098009;PLACE_QC079014,medium_confidence_gap
huddersfield,QC,2,PLACE_QC079013,PLACE_QC040020;PLACE_QC079013,medium_confidence_gap
clapham,QC,3,PLACE_QC079010,PLACE_QC040021;PLACE_QC098018;PLACE_QC079010,medium_confidence_gap
pontefract,QC,2,PLACE_QC079019,PLACE_QC040012;PLACE_QC079019,medium_confidence_gap
hartwell,QC,4,PLACE_QC062018,PLACE_QC039019;PLACE_QC176016;PLACE_QC160007;PLACE_QC062018,medium_confidence_gap
bowman,QC,3,PLACE_QC062006_1911,PLACE_QC039008;PLACE_QC200007;PLACE_QC062006_1911,medium_confidence_gap
bigelow,QC,2,PLACE_QC062003_1911,PLACE_QC039006;PLACE_QC062003_1911,medium_confidence_gap
blake,QC,3,PLACE_QC062004_1921,PLACE_QC039007;PLACE_QC165004_1911;PLACE_QC062004_1921,medium_confidence_gap
preston,QC,2,PLACE_QC062044,PLACE_QC039032;PLACE_QC062044,medium_confidence_gap
addington,QC,2,PLACE_QC062001_1911,PLACE_QC039001;PLACE_QC062001_1911,medium_confidence_gap
dudley,QC,2,PLACE_QC062016,PLACE_QC039016;PLACE_QC062016,medium_confidence_gap
bouthillier,QC,3,PLACE_QC062005_1911,PLACE_QC039010;PLACE_QC200006;PLACE_QC062005_1911,medium_confidence_gap
egan,QC,4,PLACE_QC057008,PLACE_QC039018;PLACE_QC176015;PLACE_QC205008;PLACE_QC057008,medium_confidence_gap
aumond,QC,3,PLACE_QC205001,PLACE_QC039002;PLACE_QC176002_1881;PLACE_QC205001,medium_confidence_gap
portland,QC,2,PLACE_QC165035,PLACE_QC094004;PLACE_QC165035,medium_confidence_gap
st. paul l'ermite,QC,3,PLACE_QC065008_1911,PLACE_QC001010;PLACE_QC162010;PLACE_QC065008_1911,medium_confidence_gap
st. vincent de paul,QC,4,PLACE_QC076046,PLACE_QC079011;PLACE_QC028004;PLACE_QC163006;PLACE_QC076046,medium_confidence_gap
