norm_name,province,n_members,reason,members
brantford,ON,5,partitioned_into_2_sequences,PLACE_ON065002;PLACE_ON103001 | PLACE_ON015004;PLACE_ON159001;PLACE_ON103007_1891
kincardine,ON,2,no_supported_pairs,PLACE_ON104012;PLACE_ON104019
richmond,ON,4,partitioned_into_2_sequences,PLACE_ON021003;PLACE_ON117008;PLACE_ON125006_1891 | PLACE_ON105013
arthur,ON,3,partitioned_into_2_sequences,PLACE_ON035004;PLACE_ON152017 | PLACE_ON152001_1881
winchester,ON,2,no_supported_pairs,PLACE_ON107004;PLACE_ON107008
lancaster,ON,2,no_supported_pairs,PLACE_ON112003;PLACE_ON112006
collingwood,ON,4,partitioned_into_2_sequences,PLACE_ON114003 | PLACE_ON042002;PLACE_ON139003_1881;PLACE_ON144020
madoc,ON,2,no_supported_pairs,PLACE_ON118012;PLACE_ON118031
stirling,ON,2,no_supported_pairs,PLACE_ON118033;PLACE_ON147023
colborne,ON,2,no_supported_pairs,PLACE_ON119002;PLACE_ON132014
sarnia,ON,6,partitioned_into_2_sequences,PLACE_ON018008;PLACE_ON179001;PLACE_ON122012 | PLACE_ON179002;PLACE_ON088004;PLACE_ON122008
lanark,ON,2,no_supported_pairs,PLACE_ON123008;PLACE_ON123019
ramsay,ON,4,partitioned_into_2_sequences,PLACE_ON082013;PLACE_ON112001_1871;PLACE_ON123012 | PLACE_ON054077
camden,ON,3,partitioned_into_2_sequences,PLACE_ON101004 | PLACE_ON003003;PLACE_ON121001_1881
clinton,ON,4,partitioned_into_3_sequences,PLACE_ON021005;PLACE_ON126002 | PLACE_ON173008 | PLACE_ON119017
grimsby,ON,2,no_supported_pairs,PLACE_ON145005;PLACE_ON126013
london,ON,2,no_supported_pairs,PLACE_ON128008;PLACE_ON128016
brighton,ON,6,partitioned_into_2_sequences,PLACE_ON088003;PLACE_ON123003_1871;PLACE_ON132002_1891 | PLACE_ON088002;PLACE_ON123004;PLACE_ON132013
hamilton,ON,3,partitioned_into_2_sequences,PLACE_ON054001;PLACE_ON132005_1891 | PLACE_ON153009
uxbridge,ON,2,no_supported_pairs,PLACE_ON133009;PLACE_ON133013
blenheim,ON,2,no_supported_pairs,PLACE_ON134002;PLACE_ON121013
toronto,ON,3,partitioned_into_2_sequences,PLACE_ON043001;PLACE_ON154011 | PLACE_ON136004
caledonia,ON,2,no_supported_pairs,PLACE_ON139002;PLACE_ON115013
erin,ON,2,no_supported_pairs,PLACE_ON152003;PLACE_ON152021
guelph,ON,4,partitioned_into_2_sequences,PLACE_ON151002;PLACE_ON152005 | PLACE_ON151003;PLACE_ON152013
bertie,ON,4,partitioned_into_2_sequences,PLACE_ON040008;PLACE_ON142003;PLACE_ON151001 | PLACE_ON151015
thorold,ON,4,partitioned_into_3_sequences,PLACE_ON142008;PLACE_ON151006 | PLACE_ON142009 | PLACE_ON151013
finch,ON,2,no_supported_pairs,PLACE_ON145002;PLACE_ON145006
lindsay,ON,3,partitioned_into_2_sequences,PLACE_ON129002;PLACE_ON149013 | PLACE_ON104014
markham,ON,2,no_supported_pairs,PLACE_ON154006;PLACE_ON154019
pembroke,ON,5,partitioned_into_2_sequences,PLACE_ON033009;PLACE_ON114006_1861;PLACE_ON142022 | PLACE_ON114007_1861;PLACE_ON142037
windsor,ON,2,no_supported_pairs,PLACE_ON181013;PLACE_ON110016
kingston,ON,2,no_supported_pairs,PLACE_ON111008;PLACE_ON111017
goderich,ON,4,partitioned_into_2_sequences,PLACE_ON173007;PLACE_ON119003 | PLACE_ON174002;PLACE_ON119018
chatham,ON,3,partitioned_into_2_sequences,PLACE_ON002007;PLACE_ON121012 | PLACE_ON121002
niagara,ON,1,tier_conflict_rural_member_excluded,PLACE_ON143001_1851
niagara,ON,3,partitioned_into_2_sequences,PLACE_ON085008;PLACE_ON126011 | PLACE_ON126008
whitby,ON,5,partitioned_into_2_sequences,PLACE_ON026001;PLACE_ON048003;PLACE_ON132003_1881;PLACE_ON133010 | PLACE_ON133014
norwich,ON,2,no_supported_pairs,PLACE_ON027007;PLACE_ON134016
waterloo,ON,5,partitioned_into_2_sequences,PLACE_ON038002;PLACE_ON162004;PLACE_ON123003_1891 | PLACE_ON130005;PLACE_ON150010
preston,ON,2,no_supported_pairs,PLACE_ON150009;PLACE_ON130070
humberstone,ON,3,partitioned_into_2_sequences,PLACE_ON142001_1851;PLACE_ON151003_1891 | PLACE_ON151017
barrie,ON,3,partitioned_into_2_sequences,PLACE_ON121008;PLACE_ON144019 | PLACE_ON111001
cornwall,ON,3,partitioned_into_2_sequences,PLACE_ON099001;PLACE_ON145005_1901 | PLACE_ON145001
peterborough,ON,3,partitioned_into_2_sequences,PLACE_ON056003;PLACE_ON126001_1881 | PLACE_ON138017
dundas,ON,2,no_supported_pairs,PLACE_ON148001;PLACE_ON153010_1891
paris,ON,3,no_supported_pairs,PLACE_ON065007;PLACE_ON160004;PLACE_ON103008
gaol,ON,3,no_supported_pairs,PLACE_ON045012;PLACE_ON044006;PLACE_ON043010
hungerford,ON,2,no_supported_pairs,PLACE_ON015010;PLACE_ON118009
palmerston,ON,5,partitioned_into_3_sequences,PLACE_ON072010;PLACE_ON111012 | PLACE_ON172009;PLACE_ON152016 | PLACE_ON153010
sault ste. marie,ON,6,partitioned_into_2_sequences,PLACE_ON106002;PLACE_ON089002;PLACE_ON182022;PLACE_ON044025;PLACE_ON102108 | PLACE_ON044026
