old_place_id,new_place_id,province,old_canonical_name,new_canonical_name,old_years_active,new_years_active,confidence,reason
PLACE_ON065002,PLACE_ON103001,ON,Brantford,Brantford,1851;1861,1921,medium,bridge_name_match
PLACE_ON015004,PLACE_ON103007_1891,ON,"Brantford, Town—Ville","Brantford, City—Cité",1851;1861;1871,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON159001,PLACE_ON103007_1891,ON,"Brantford, Town—Ville","Brantford, City—Cité",1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON003011,PLACE_ON104016,ON,Saugeen,Saugeen,1851,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON177003,PLACE_ON104016,ON,Saugeen,Saugeen,1861;1871;1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON177004,PLACE_ON104020,ON,"Southampton, Village","Southampton, Village",1861;1871;1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON028004,PLACE_ON104009,ON,Elderslie,Elderslie,1851;1861;1871,1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_ON021003,PLACE_ON125006_1891,ON,Richmond,Richmond,1851,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON117008,PLACE_ON125006_1891,ON,Richmond,Richmond,1861;1871;1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON035003,PLACE_ON152008,ON,Minto,Minto,1861;1871,1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_ON035004,PLACE_ON152017,ON,Arthur,"Arthur, Village",1861;1871,1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_ON069003,PLACE_ON108001,ON,Cartwright,Cartwright,1851;1861,1871;1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_ON006003,PLACE_ON108003,ON,Clarke,Clarke,1851,1861;1871;1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_ON128002,PLACE_ON108010,ON,"Newcastle, Village","Newcastle, Village",1861;1871;1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON006004,PLACE_ON108004,ON,Darlington,Darlington,1851,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON128001,PLACE_ON108004,ON,Darlington,Darlington,1861;1871;1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON050002,PLACE_ON108007,ON,"Bowmanville, Town—Ville","Bowmanville, Town—Ville",1861;1871,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON128005_1881,PLACE_ON108007,ON,"Bowmanville, Town—Ville","Bowmanville, Town—Ville",1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON127001,PLACE_ON108005,ON,Hope,Hope,1851;1861;1871;1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON006001,PLACE_ON109007,ON,Yarmouth,Yarmouth,1851;1861;1871,1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_ON001001,PLACE_ON110007,ON,Malden,Malden,1851;1861;1871,1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_ON075001,PLACE_ON114001,ON,Artemesia,Artemesia,1851;1861,1871;1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_ON042002,PLACE_ON144020,ON,"Collingwood, Town—Ville","Collingwood, Town—Ville",1861;1871,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON139003_1881,PLACE_ON144020,ON,"Collingwood, Town—Ville","Collingwood, Town—Ville",1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON075006,PLACE_ON115006,ON,Oneida,Oneida,1851;1861;1871;1881;1891;1901;1911,1921,high,bridge_name_match
PLACE_ON014002,PLACE_ON117004,ON,Trafalgar,Trafalgar,1851,1861;1871;1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_ON150004,PLACE_ON117008_1891,ON,"Oakville, Town—Ville","Oakville, Town—Ville",1861;1871;1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON015005,PLACE_ON118017,ON,Rawdon,Rawdon,1851,1871;1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_ON078008,PLACE_ON118017,ON,Rawdon,Rawdon,1861,1871;1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_ON084004,PLACE_ON121006,ON,Orford,Orford,1861;1871;1881;1891;1901;1911,1921,high,bridge_name_match
PLACE_ON087001,PLACE_ON122001,ON,Bosanquet,Bosanquet,1851;1861;1871;1881;1891;1901;1911,1921,high,bridge_name_match
PLACE_ON081005,PLACE_ON122005,ON,Euphemia,Euphemia,1851;1861,1871;1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_ON081003,PLACE_ON122003,ON,Dawn,Dawn,1851;1861,1871;1881;1891;1901;1911;1921,high,bridge_name_match
PLACE_ON018008,PLACE_ON122012,ON,Sarnia,"Sarnia, Town—Ville",1851,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON179001,PLACE_ON122012,ON,"Sarnia, Town—Ville","Sarnia, Town—Ville",1861;1871;1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON179002,PLACE_ON122008,ON,Sarnia,Sarnia,1861;1871;1881,1921,high,bridge_name_match
PLACE_ON088004,PLACE_ON122008,ON,Sarnia,Sarnia,1891;1901;1911,1921,high,bridge_name_match
PLACE_ON082004,PLACE_ON123004_1911,ON,Dalhousie,Dalhousie,1861,1911;1921,medium,bridge_name_match
PLACE_ON082013,PLACE_ON123012,ON,Ramsay,Ramsay,1851;1861,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON112001_1871,PLACE_ON123012,ON,Ramsay,Ramsay,1871;1881,1891;1901;1911;1921,high,bridge_name_match
PLACE_ON117002_1851,PLACE_ON125001_1921,ON,Adolphustown,Adolphustown,1851;1861;1871;1881,1921,high,bridge_name_match
PLACE_ON087001_1891,PLACE_ON125001_1921,ON,Adolphustown,Adolphustown,1891,1921,high,bridge_name_match
PLACE_ON084001_1901,PLACE_ON125001_1921,ON,Adolphustown,Adolphustown,1901,1921,high,bridge_name_match
PLACE_ON092004_1911,PLACE_ON125001_1921,ON,Adolphustown,Adolphustown,1911,1921,high,bridge_name_match
