from,to,length_m
ON002001_1851,ON025005_1851,56.72
ON002001_1851,ON002005_1851,14542.51
ON002001_1851,ON002003_1851,8554.9
ON002001_1851,ON002008_1851,7970.17
ON002001_1851,ON002006_1851,24436.66
ON002001_1851,ON002002_1851,11473.46
ON002001_1851,ON002004_1851,21401.49
ON002001_1851,ON041004_1851,13501.88
ON002003_1851,ON025004_1851,14851.13
ON002003_1851,ON027007_1851,8306.7
ON002003_1851,ON025005_1851,195.37
ON002003_1851,ON002005_1851,8894.14
ON002003_1851,ON027004_1851,11506.81
ON002003_1851,ON027008_1851,14725.71
ON002003_1851,ON002004_1851,2301.55
ON002005_1851,ON025005_1851,10858.59
ON020005_1851,ON020011_1851,24243.9
ON020005_1851,ON020012_1851,3347.97
ON020005_1851,ON020008_1851,9935.94
ON003001_1851,ON003006_1851,17067.56
ON003001_1851,ON011013_1851,4433.99
ON003001_1851,ON003011_1851,16713.15
ON003001_1851,ON011004_1851,10559.45
ON003001_1851,ON011015_1851,17652.98
ON003003_1851,ON003009_1851,19536.09
ON003003_1851,ON003007_1851,14590.94
ON003003_1851,ON003011_1851,20057.55
ON003009_1851,ON003010_1851,7837.91
ON003011_1851,ON011015_1851,4691.32
ON003002_1851,ON003004_1851,16513.84
ON003002_1851,ON011010_1851,26.06
ON003002_1851,ON003007_1851,18801.46
ON003002_1851,ON011002_1851,19047.97
ON003002_1851,ON003006_1851,16404.97
ON003004_1851,ON016006_1851,16181.25
ON003004_1851,ON003005_1851,15930.98
ON003004_1851,ON011010_1851,15824.03
ON003004_1851,ON039010_1851,221.57
ON003005_1851,ON016008_1851,15349.02
ON003005_1851,ON016006_1851,100.14
ON003005_1851,ON003010_1851,16305.88
ON003005_1851,ON003007_1851,15564.32
ON003006_1851,ON003007_1851,6882.0
ON003006_1851,ON011013_1851,14465.76
ON003006_1851,ON003011_1851,7796.06
ON003007_1851,ON003010_1851,9462.47
ON003007_1851,ON003009_1851,7251.23
ON003007_1851,ON003011_1851,2095.89
ON003008_1851,ON016009_1851,17541.63
ON003008_1851,ON003010_1851,14198.96
ON003008_1851,ON003009_1851,16816.68
ON003010_1851,ON016008_1851,2536.63
ON003010_1851,ON016010_1851,12591.41
ON003010_1851,ON016009_1851,4130.8
ON004001_1851,ON019012_1851,345.23
ON004001_1851,ON019011_1851,16658.5
ON004001_1851,ON033007_1851,4179.36
ON004001_1851,ON004005_1851,16007.2
ON004001_1851,ON004011_1851,18016.6
ON004001_1851,QC067016_1851,40.51
ON004003_1851,ON019002_1851,16568.04
ON004003_1851,ON004007_1851,15364.51
ON004003_1851,ON004004_1851,1425.16
ON004003_1851,ON004010_1851,5257.22
ON004003_1851,ON004005_1851,16536.58
ON004003_1851,ON004008_1851,16063.66
ON004003_1851,ON004006_1851,4133.18
ON004005_1851,ON019012_1851,16594.65
ON004005_1851,ON004006_1851,16439.06
ON004006_1851,ON004008_1851,8175.7
ON004006_1851,ON004011_1851,10323.34
ON004007_1851,ON012005_1851,948.99
ON004007_1851,ON019010_1851,16356.59
ON004007_1851,ON012004_1851,17563.73
ON004007_1851,ON019002_1851,1287.43
ON004008_1851,ON046002_1851,2351.3
ON004008_1851,ON046003_1851,1958.35
ON004008_1851,ON046001_1851,1150.13
ON039006_1851,ON039007_1851,9624.54
ON039006_1851,ON039008_1851,9479.43
ON039006_1851,ON039010_1851,20136.27
ON039006_1851,ON039011_1851,14159.59
ON039010_1851,ON039011_1851,19609.29
ON035016_1851,ON039006_1851,4240.16
ON035016_1851,ON039011_1851,19764.72
ON035015_1851,ON035016_1851,15223.32
ON005001_1851,ON012002_1851,20193.94
ON005001_1851,ON005003_1851,17922.74
ON005001_1851,ON005002_1851,14975.1
ON005002_1851,ON012002_1851,23.5
ON005002_1851,ON012003_1851,16948.0
ON005002_1851,ON005004_1851,16982.53
ON005003_1851,ON036002_1851,17828.16
ON005003_1851,ON005004_1851,15307.9
ON005004_1851,ON036003_1851,17011.84
ON005004_1851,ON034004_1851,8655.45
ON006001_1851,ON026001_1851,871.74
ON006001_1851,ON006004_1851,14561.51
ON006001_1851,ON026004_1851,13637.33
ON006001_1851,ON026008_1851,26056.18
ON006001_1851,ON006006_1851,17992.75
ON006001_1851,ON026005_1851,3007.1
ON006001_1851,ON037001_1851,14359.75
ON006001_1851,ON037002_1851,6082.62
ON006002_1851,ON006003_1851,1818.19
ON006002_1851,ON006005_1851,13942.24
ON006002_1851,ON006006_1851,18349.34
ON006002_1851,ON024008_1851,10147.96
ON006002_1851,ON030005_1851,10260.41
ON006002_1851,ON037003_1851,13673.42
ON006003_1851,ON006004_1851,19415.41
ON006003_1851,ON006005_1851,20379.84
ON006003_1851,ON006006_1851,15150.69
ON006004_1851,ON026001_1851,20630.52
ON006004_1851,ON006006_1851,2657.32
