from,to,iou
ON002001_1851,ON065002_1861,1.0
ON002003_1851,ON065003_1861,1.0
ON002005_1851,ON065005_1861,1.0
ON002002_1851,ON065001_1861,1.0
ON020005_1851,ON083007_1861,1.0
ON003001_1851,ON066003_1861,1.0
ON003009_1851,ON066011_1861,0.9903
ON003002_1851,ON066004_1861,1.0
ON003004_1851,ON066006_1861,1.0
ON003005_1851,ON066007_1861,1.0
ON003006_1851,ON066008_1861,1.0
ON003007_1851,ON066009_1861,1.0
ON003008_1851,ON066010_1861,1.0
ON003010_1851,ON066013_1861,1.0
ON004001_1851,ON067001_1861,1.0
ON004003_1851,ON067003_1861,1.0
ON004005_1851,ON067005_1861,1.0
ON004006_1851,ON067007_1861,1.0
ON004007_1851,ON067006_1861,1.0
ON004008_1851,ON067008_1861,0.9867
ON004011_1851,ON067011_1861,1.0
ON004010_1851,ON067010_1861,1.0
ON039011_1851,ON103001_1861,1.0
ON039006_1851,ON103007_1861,1.0
ON035016_1851,ON098010_1861,1.0
ON035015_1851,ON098012_1861,1.0
ON005001_1851,ON068002_1861,0.9906
ON005002_1851,ON068004_1861,1.0
ON005003_1851,ON068005_1861,0.9901
ON005004_1851,ON068006_1861,1.0
ON006001_1851,ON069003_1861,1.0
ON006002_1851,ON069002_1861,1.0
ON006005_1851,ON069006_1861,1.0
ON006006_1851,ON069007_1861,1.0
ON007002_1851,ON070002_1861,0.99
ON007005_1851,ON070005_1861,1.0
ON007007_1851,ON070009_1861,1.0
ON007001_1851,ON070001_1861,1.0
ON007003_1851,ON070004_1861,1.0
ON007006_1851,ON070006_1861,1.0
ON008009_1851,ON071011_1861,1.0
ON008002_1851,ON071002_1861,1.0
ON008006_1851,ON071006_1861,1.0
ON008007_1851,ON071007_1861,1.0
ON009005_1851,ON072002_1861,1.0
ON009006_1851,ON072006_1861,1.0
ON009008_1851,ON072011_1861,0.9902
ON009007_1851,ON072012_1861,1.0
ON009002_1851,ON072014_1861,1.0
ON010004_1851,ON073002_1861,1.0
ON010001_1851,ON073003_1861,1.0
ON010003_1851,ON073004_1861,1.0
ON012002_1851,ON074002_1861,1.0
ON012004_1851,ON074006_1861,0.9906
ON011001_1851,ON075001_1861,1.0
ON011003_1851,ON075003_1861,1.0
ON011006_1851,ON075006_1861,1.0
ON011008_1851,ON075008_1861,1.0
ON011011_1851,ON075012_1861,1.0
ON011012_1851,ON075017_1861,1.0
ON011005_1851,ON075005_1861,1.0
ON011007_1851,ON075007_1861,1.0
ON011010_1851,ON075011_1861,1.0
ON013004_1851,ON076004_1861,1.0
ON013006_1851,ON076007_1861,1.0
ON013007_1851,ON076008_1861,1.0
ON013010_1851,ON076009_1861,1.0
ON013009_1851,ON076010_1861,1.0
ON014003_1851,ON077004_1861,1.0
ON014004_1851,ON077005_1861,1.0
ON015002_1851,ON078005_1861,1.0
ON016006_1851,ON079009_1861,1.0
ON016010_1851,ON079019_1861,1.0
ON016001_1851,ON079008_1861,1.0
ON016007_1851,ON079012_1861,1.0
ON016002_1851,ON079015_1861,1.0
ON016011_1851,ON079004_1861,1.0
ON017004_1851,ON080005_1861,1.0
ON017006_1851,ON080008_1861,1.0
ON018001_1851,ON081001_1861,1.0
ON018004_1851,ON081004_1861,1.0
ON018005_1851,ON081005_1861,1.0
ON018010_1851,ON081011_1861,1.0
ON018003_1851,ON081003_1861,1.0
ON018006_1851,ON081006_1861,1.0
ON018007_1851,ON081007_1861,1.0
ON019009_1851,ON082005_1861,1.0
ON019008_1851,ON082008_1861,1.0
ON019011_1851,ON082011_1861,1.0
ON019012_1851,ON082013_1861,1.0
ON019002_1851,ON082002_1861,1.0
ON019006_1851,ON082006_1861,1.0
ON019010_1851,ON082010_1861,0.9984
ON020001_1851,ON083001_1861,1.0
ON020006_1851,ON083006_1861,1.0
ON021001_1851,ON084001_1861,1.0
ON001001_1851,ON084002_1861,1.0
ON001002_1851,ON084004_1861,1.0
ON022001_1851,ON085001_1861,1.0
ON022002_1851,ON085002_1861,1.0
ON022003_1851,ON085003_1861,1.0
ON022004_1851,ON085004_1861,1.0
ON022005_1851,ON085005_1861,1.0
ON022006_1851,ON085006_1861,1.0
ON023012_1851,ON086007_1861,0.993
ON023008_1851,ON086010_1861,1.0
ON023011_1851,ON086014_1861,1.0
ON016004_1851,ON079002_1861,1.0
ON023007_1851,ON086006_1861,1.0
ON016003_1851,ON079011_1861,1.0
ON023010_1851,ON086003_1861,1.0
ON023002_1851,ON086005_1861,1.0
ON023004_1851,ON086008_1861,1.0
ON023001_1851,ON086009_1861,1.0
ON025003_1851,ON087001_1861,1.0
ON025001_1851,ON087002_1861,1.0
ON025002_1851,ON087003_1861,1.0
ON025005_1851,ON087005_1861,1.0
ON025004_1851,ON087007_1861,1.0
ON024001_1851,ON088003_1861,0.989
ON024002_1851,ON088006_1861,0.9877
ON024009_1851,ON088010_1861,1.0
ON024006_1851,ON088011_1861,1.0
ON024005_1851,ON088012_1861,1.0
ON024003_1851,ON088007_1861,1.0
ON024007_1851,ON088008_1861,1.0
ON026005_1851,ON089001_1861,1.0
ON026009_1851,ON089007_1861,1.0
ON026006_1851,ON089009_1861,1.0
ON026003_1851,ON089010_1861,1.0
ON026002_1851,ON089004_1861,1.0
ON026004_1851,ON089006_1861,1.0
ON027009_1851,ON090001_1861,1.0
ON027008_1851,ON090002_1861,1.0
ON027006_1851,ON090003_1861,1.0
ON028001_1851,ON091001_1861,1.0
ON028002_1851,ON091003_1861,1.0
ON028004_1851,ON091006_1861,0.9911
ON029006_1851,ON092005_1861,0.9912
ON029009_1851,ON092006_1861,1.0
ON029011_1851,ON092011_1861,1.0
ON029010_1851,ON092014_1861,1.0
ON029003_1851,ON092007_1861,0.9851
ON029002_1851,ON092008_1861,1.0
ON029005_1851,ON092009_1861,0.9883
ON030006_1851,ON093002_1861,1.0
ON030002_1851,ON093004_1861,1.0
ON030008_1851,ON093011_1861,0.9923
ON030007_1851,ON093006_1861,1.0
ON031005_1851,ON094001_1861,1.0
ON031001_1851,ON094002_1861,1.0
ON032001_1851,ON095001_1861,1.0
ON032002_1851,ON095002_1861,1.0
ON032003_1851,ON095003_1861,1.0
ON032004_1851,ON095004_1861,1.0
ON032006_1851,ON095007_1861,1.0
ON033004_1851,ON096007_1861,1.0
ON033006_1851,ON096017_1861,1.0
ON033010_1851,ON096019_1861,1.0
ON033008_1851,ON096020_1861,1.0
ON033013_1851,ON096021_1861,1.0
ON033001_1851,ON096001_1861,1.0
ON033012_1851,ON096009_1861,1.0
ON033005_1851,ON096010_1861,0.9805
ON034003_1851,ON097001_1861,1.0
ON034002_1851,ON097002_1861,1.0
ON034001_1851,ON097003_1861,1.0
ON004002_1851,ON067002_1861,1.0
ON034004_1851,ON097004_1861,1.0
ON035003_1851,ON098009_1861,1.0
ON035006_1851,ON098006_1861,1.0
ON035009_1851,ON098013_1861,0.9817
ON035004_1851,ON098015_1861,1.0
ON035008_1851,ON098016_1861,1.0
ON035005_1851,ON098021_1861,1.0
ON038005_1851,ON101010_1861,1.0
ON038004_1851,ON101012_1861,1.0
ON039009_1851,ON103011_1861,1.0
ON039008_1851,ON103014_1861,1.0
ON039007_1851,ON103004_1861,1.0
ON039001_1851,ON103005_1861,1.0
ON039003_1851,ON103008_1861,1.0
ON039012_1851,ON103015_1861,1.0
ON039002_1851,ON103016_1861,1.0
ON041004_1851,ON104001_1861,1.0
ON041008_1851,ON104002_1861,1.0
ON041001_1851,ON104004_1861,1.0
ON041007_1851,ON104009_1861,1.0
ON040001_1851,ON102007_1861,1.0
ON040002_1851,ON102009_1861,0.9839
ON040006_1851,ON102011_1861,1.0
ON040005_1851,ON102013_1861,1.0
ON002006_1851,ON065006_1861,1.0
ON035011_1851,ON098005_1861,1.0
ON035017_1851,ON098008_1861,1.0
ON035012_1851,ON098018_1861,1.0
ON036003_1851,ON099003_1861,1.0
ON036004_1851,ON099005_1861,1.0
ON037004_1851,ON100006_1861,1.0
ON037003_1851,ON100007_1861,1.0
ON037005_1851,ON100008_1861,1.0
ON037001_1851,ON100014_1861,1.0
ON042003_1851,ON105007_1861,1.0
ON042004_1851,ON105008_1861,1.0
ON020008_1851,ON083009_1861,1.0
ON026010_1851,ON105002_1861,1.0
ON020007_1851,ON083008_1861,1.0
ON020011_1851,ON083012_1861,1.0
ON035013_1851,ON098001_1861,1.0
ON040010_1851,ON102010_1861,1.0
ON020009_1851,ON083011_1861,1.0
ON020010_1851,ON083010_1861,1.0
ON002004_1851,ON065004_1861,1.0
ON002008_1851,ON065008_1861,1.0
ON004004_1851,ON067004_1861,1.0
ON007004_1851,ON070003_1861,1.0
ON008005_1851,ON071005_1861,1.0
ON008003_1851,ON071003_1861,1.0
ON008999_1851,ON071999_1861,1.0
ON008001_1851,ON071001_1861,1.0
ON009001_1851,ON072005_1861,0.9825
ON009004_1851,ON072015_1861,1.0
ON010002_1851,ON073001_1861,1.0
ON012001_1851,ON074001_1861,1.0
ON012003_1851,ON074003_1861,1.0
ON012005_1851,ON074008_1861,0.9891
ON012006_1851,ON074007_1861,1.0
ON011002_1851,ON075002_1861,1.0
ON011013_1851,ON075015_1861,1.0
ON013001_1851,ON076001_1861,1.0
ON013003_1851,ON076002_1861,1.0
ON013002_1851,ON076003_1861,1.0
ON014001_1851,ON077001_1861,0.9914
ON044005_1851,ON108002_1861,0.9898
ON015008_1851,ON078014_1861,1.0
ON015006_1851,ON078010_1861,0.9917
ON015001_1851,ON078001_1861,1.0
ON016013_1851,ON079016_1861,0.9974
ON016005_1851,ON079018_1861,1.0
ON016009_1851,ON079001_1861,1.0
ON016015_1851,ON079005_1861,0.9839
ON016012_1851,ON079010_1861,0.9958
ON016016_1851,ON079006_1861,1.0
ON017008_1851,ON080002_1861,1.0
ON018002_1851,ON081002_1861,1.0
ON019013_1851,ON082012_1861,1.0
ON020003_1851,ON083004_1861,1.0
ON020004_1851,ON083005_1861,1.0
ON001003_1851,ON084006_1861,1.0
ON022007_1851,ON085007_1861,1.0
ON022009_1851,ON085009_1861,1.0
ON022008_1851,ON085008_1861,1.0
ON023009_1851,ON086004_1861,1.0
ON023003_1851,ON086002_1861,0.9863
ON025009_1851,ON087004_1861,1.0
