from,to
PLACE_NB024002,APP_NB015002_CANONICAL
PLACE_NB033005,APP_NB022005_CANONICAL
PLACE_NB033007,APP_NB022007_CANONICAL
PLACE_NB023013,APP_NB023013_CANONICAL
PLACE_NB026999,APP_NB028999_CANONICAL
PLACE_NB032003,APP_NB032003_CANONICAL
PLACE_NB032004,APP_NB032004_CANONICAL
PLACE_NB036008,APP_NB036008_CANONICAL
PLACE_NB036009,APP_NB036009_CANONICAL
PLACE_NB036010,APP_NB036010_CANONICAL
PLACE_NB036011,APP_NB036011_CANONICAL
PLACE_NB036013,APP_NB036013_CANONICAL
PLACE_NB036014,APP_NB036014_CANONICAL
PLACE_NB995999,APP_NB995999_CANONICAL
PLACE_NL998999,APP_NL998999_CANONICAL
PLACE_NL001999,APP_NL999999_CANONICAL
PLACE_NS004999,APP_NS004999_CANONICAL
PLACE_NS010999,APP_NS010999_CANONICAL
PLACE_NS004999,APP_NS016999_CANONICAL
PLACE_NS016999,APP_NS020999_CANONICAL
PLACE_NS004029,APP_NS026001_CANONICAL
PLACE_NS004002,APP_NS026003_CANONICAL
PLACE_NS004030,APP_NS026004_CANONICAL
PLACE_NS004004,APP_NS026005_CANONICAL
PLACE_NS004005,APP_NS026006_CANONICAL
PLACE_NS004007,APP_NS026007_CANONICAL
PLACE_NS004008_1891,APP_NS026008_CANONICAL
PLACE_NS004010,APP_NS026011_CANONICAL
PLACE_NS004011,APP_NS026013_CANONICAL
PLACE_NS004014,APP_NS026016_CANONICAL
PLACE_NS004015,APP_NS026017_CANONICAL
PLACE_NS004016,APP_NS026019_CANONICAL
PLACE_NS026020,APP_NS026020_CANONICAL
PLACE_NS004019,APP_NS026022_CANONICAL
PLACE_NS004020,APP_NS026023_CANONICAL
PLACE_NS004021,APP_NS026024_CANONICAL
PLACE_NS004022,APP_NS026025_CANONICAL
PLACE_NS004023,APP_NS026026_CANONICAL
PLACE_NS004025,APP_NS026028_CANONICAL
PLACE_NS007019,APP_NS029018_CANONICAL
PLACE_NS007022,APP_NS029021_CANONICAL
PLACE_NS007022,APP_NS029022_CANONICAL
PLACE_NS010002_1871,APP_NS032001_CANONICAL
PLACE_NS032002,APP_NS032002_CANONICAL
PLACE_NS010004_1881,APP_NS032003_CANONICAL
PLACE_NS010005,APP_NS032004_CANONICAL
PLACE_NS010018_1891,APP_NS032012_CANONICAL
PLACE_NS044017,APP_NS032013_CANONICAL
PLACE_NS004999,APP_NS037999_CANONICAL
PLACE_NS016999,APP_NS039999_CANONICAL
PLACE_NS020017_1881,APP_NS041016_CANONICAL
PLACE_NS009999,APP_NS043999_CANONICAL
PLACE_NS011999,APP_NS045999_CANONICAL
PLACE_NS013999,APP_NS047999_CANONICAL
PLACE_NS016999,APP_NS050999_CANONICAL
PLACE_NS996999,APP_NS996999_CANONICAL
PLACE_ON117006,APP_ON038007_CANONICAL
PLACE_PE001001,APP_PE001001_CANONICAL
PLACE_PE001011,APP_PE001011_CANONICAL
PLACE_PE001012,APP_PE001012_CANONICAL
PLACE_PE001010,APP_PE003001_CANONICAL
PLACE_PE001007,APP_PE003002_CANONICAL
PLACE_PE001007,APP_PE003004_CANONICAL
PLACE_PE001010,APP_PE003005_CANONICAL
PLACE_PE001001,APP_PE003006_CANONICAL
PLACE_PE001001,APP_PE003010_CANONICAL
PLACE_PE001011,APP_PE003012_CANONICAL
PLACE_PE001012,APP_PE003013_CANONICAL
PLACE_PE001012,APP_PE003015_CANONICAL
PLACE_PE001011,APP_PE003016_CANONICAL
PLACE_PE001001,APP_PE134002_CANONICAL
PLACE_PE001003,APP_PE134004_CANONICAL
PLACE_PE001004,APP_PE134005_CANONICAL
PLACE_PE001005,APP_PE134006_CANONICAL
PLACE_PE001006,APP_PE134007_CANONICAL
PLACE_PE001007,APP_PE134008_CANONICAL
PLACE_PE001011,APP_PE134012_CANONICAL
PLACE_PE997999,APP_PE997999_CANONICAL
PLACE_QC037005,APP_QC037005_CANONICAL
PLACE_QC139999,APP_QC048999_CANONICAL
PLACE_QC080999,APP_QC080999_CANONICAL
PLACE_QC037002,APP_QC096003_CANONICAL
PLACE_QC137002,APP_QC137002_CANONICAL
PLACE_QC037002,APP_QC137003_CANONICAL
PLACE_QC137010,APP_QC137010_CANONICAL
PLACE_QC138002,APP_QC138002_CANONICAL
PLACE_QC140001,APP_QC140001_CANONICAL
PLACE_QC042013_1891,APP_QC141010_CANONICAL
PLACE_QC042017,APP_QC141013_CANONICAL
PLACE_QC043999,APP_QC142999_CANONICAL
PLACE_QC046006_1881,APP_QC145010_CANONICAL
PLACE_QC146999,APP_QC146999_CANONICAL
PLACE_QC043999,APP_QC147999_CANONICAL
PLACE_QC051003,APP_QC150002_CANONICAL
PLACE_QC150003,APP_QC150003_CANONICAL
PLACE_QC154010,APP_QC154010_CANONICAL
PLACE_QC154999,APP_QC154999_CANONICAL
PLACE_QC139999,APP_QC158999_CANONICAL
PLACE_QC075007_1851,APP_QC172007_CANONICAL
PLACE_QC075999,APP_QC172999_CANONICAL
PLACE_QC075999,APP_QC173999_CANONICAL
PLACE_QC075010,APP_QC178010_CANONICAL
PLACE_QC075999,APP_QC178999_CANONICAL
PLACE_QC091004,APP_QC190005_CANONICAL
PLACE_ON065002,APP_PLACE_ON065002_NAME
PLACE_ON065005,APP_PLACE_ON065005_NAME
PLACE_ON083007,APP_PLACE_ON083007_NAME
PLACE_ON104011,APP_PLACE_ON104011_NAME
PLACE_ON108009,APP_PLACE_ON108009_NAME
PLACE_ON105003,APP_PLACE_ON105003_NAME
PLACE_ON108007,APP_PLACE_ON108007_NAME
PLACE_ON105006,APP_PLACE_ON105006_NAME
PLACE_ON105007,APP_PLACE_ON105007_NAME
PLACE_ON111006,APP_PLACE_ON111006_NAME
PLACE_ON105010,APP_PLACE_ON105010_NAME
PLACE_ON105013,APP_PLACE_ON105013_NAME
PLACE_ON035007,APP_PLACE_ON035007_NAME
PLACE_ON103007,APP_PLACE_ON103007_NAME
PLACE_ON039010,APP_PLACE_ON039010_NAME
PLACE_ON103002,APP_PLACE_ON103002_NAME
PLACE_ON107001,APP_PLACE_ON107001_NAME
PLACE_ON107002,APP_PLACE_ON107002_NAME
PLACE_ON107007,APP_PLACE_ON107007_NAME
PLACE_ON107003,APP_PLACE_ON107003_NAME
PLACE_ON102006,APP_PLACE_ON102006_NAME
PLACE_ON069003,APP_PLACE_ON069003_NAME
PLACE_ON051003,APP_PLACE_ON051003_NAME
PLACE_ON069001,APP_PLACE_ON069001_NAME
PLACE_ON127001,APP_PLACE_ON127001_NAME
PLACE_ON108006,APP_PLACE_ON108006_NAME
PLACE_ON057006,APP_PLACE_ON057006_NAME
PLACE_ON109002,APP_PLACE_ON109002_NAME
PLACE_ON110001,APP_PLACE_ON110001_NAME
PLACE_ON111002,APP_PLACE_ON111002_NAME
PLACE_ON111009,APP_PLACE_ON111009_NAME
PLACE_ON072016,APP_PLACE_ON072016_NAME
PLACE_ON111014,APP_PLACE_ON111014_NAME
PLACE_ON099002,APP_PLACE_ON099002_NAME
PLACE_ON099004,APP_PLACE_ON099004_NAME
PLACE_ON106003,APP_PLACE_ON106003_NAME
PLACE_ON113004,APP_PLACE_ON113004_NAME
PLACE_ON107006,APP_PLACE_ON107006_NAME
PLACE_ON075001,APP_PLACE_ON075001_NAME
PLACE_ON114006,APP_PLACE_ON114006_NAME
PLACE_ON114008,APP_PLACE_ON114008_NAME
PLACE_ON114005,APP_PLACE_ON114005_NAME
PLACE_ON115007,APP_PLACE_ON115007_NAME
PLACE_ON146001,APP_PLACE_ON146001_NAME
PLACE_ON117002,APP_PLACE_ON117002_NAME
PLACE_ON150004,APP_PLACE_ON150004_NAME
PLACE_ON015003,APP_PLACE_ON015003_NAME
PLACE_ON016008,APP_PLACE_ON016008_NAME
PLACE_ON026007,APP_PLACE_ON026007_NAME
PLACE_ON079019,APP_PLACE_ON079019_NAME
PLACE_ON077002,APP_PLACE_ON077002_NAME
PLACE_ON017005,APP_PLACE_ON017005_NAME
PLACE_ON080007,APP_PLACE_ON080007_NAME
PLACE_ON179001,APP_PLACE_ON179001_NAME
PLACE_ON019004,APP_PLACE_ON019004_NAME
PLACE_ON082014,APP_PLACE_ON082014_NAME
PLACE_ON082004,APP_PLACE_ON082004_NAME
PLACE_ON123005,APP_PLACE_ON123005_NAME
PLACE_ON082008,APP_PLACE_ON082008_NAME
PLACE_ON123011,APP_PLACE_ON123011_NAME
PLACE_ON019001,APP_PLACE_ON019001_NAME
PLACE_ON123001,APP_PLACE_ON123001_NAME
PLACE_ON082002,APP_PLACE_ON082002_NAME
PLACE_ON084007,APP_PLACE_ON084007_NAME
PLACE_ON083001,APP_PLACE_ON083001_NAME
PLACE_ON083006,APP_PLACE_ON083006_NAME
PLACE_ON125002,APP_PLACE_ON125002_NAME
PLACE_ON084004,APP_PLACE_ON084004_NAME
PLACE_ON117007,APP_PLACE_ON117007_NAME
