from,to,change_year
PLACE_ON115005,PLACE_ON076006,1861
PLACE_ON142008_1871,PLACE_ON096005,1861
PLACE_ON144014,PLACE_ON098017,1861
PLACE_ON045007,PLACE_ON109007,1861
PLACE_ON045005,PLACE_ON109003,1861
PLACE_ON045009,PLACE_ON109007,1861
PLACE_ON045008,PLACE_ON109003,1861
PLACE_ON045010,PLACE_ON109007,1861
PLACE_ON045013,PLACE_ON109002_1861,1861
PLACE_ON045011,PLACE_ON109004,1861
PLACE_ON045012,PLACE_ON061005,1861
PLACE_ON018011,PLACE_ON081010,1861
PLACE_ON122009_1921,PLACE_ON081010,1861
PLACE_ON115009,PLACE_ON076006,1861
PLACE_ON044006,PLACE_ON108002_1861,1861
PLACE_ON015010,PLACE_ON118005_1911,1861
PLACE_ON144012,PLACE_ON098017,1861
PLACE_ON043002,PLACE_ON112007,1861
PLACE_ON043004,PLACE_ON112003,1861
PLACE_ON043007,PLACE_ON112004_1861,1861
PLACE_ON043009,PLACE_ON112004_1861,1861
PLACE_ON043008,PLACE_ON112004_1861,1861
PLACE_ON043006,PLACE_ON138001_1911,1861
PLACE_ON043003,PLACE_ON138001_1911,1861
PLACE_ON043005,PLACE_ON112005,1861
PLACE_ON043010,PLACE_ON112006,1861
PLACE_ON142005_1921,PLACE_ON096005,1861
PLACE_QC080011,PLACE_QC037011,1861
PLACE_QC078008,PLACE_QC004006,1861
PLACE_QC048011,PLACE_QC006003,1861
PLACE_QC052005,PLACE_QC118008,1861
PLACE_QC048014,PLACE_QC014002,1861
PLACE_QC057001,PLACE_QC027002,1861
PLACE_QC059011,PLACE_QC001009,1861
PLACE_QC069003,PLACE_QC042007,1861
PLACE_QC071013,PLACE_QC084020,1861
PLACE_QC072011,PLACE_QC123004,1861
PLACE_QC078002,PLACE_QC050006,1861
PLACE_QC052011,PLACE_QC051006,1861
PLACE_QC071001,PLACE_QC054011,1861
PLACE_QC071006,PLACE_QC054010_1861,1861
PLACE_QC083001,PLACE_QC044001,1861
PLACE_QC054023,PLACE_QC005009,1861
PLACE_QC058011,PLACE_QC026005,1861
PLACE_QC048002_1851,PLACE_QC021007,1861
PLACE_QC058001,PLACE_QC021007,1861
PLACE_QC058012,PLACE_QC021005,1861
PLACE_QC052009,PLACE_QC011004,1861
PLACE_QC052006_1851,PLACE_QC098004_1861,1861
PLACE_QC052003,PLACE_QC027002,1861
PLACE_QC057017,PLACE_QC011009,1861
PLACE_QC057016,PLACE_QC117006,1861
PLACE_QC057015,PLACE_QC051006,1861
PLACE_QC052012,PLACE_QC092008_1911,1861
PLACE_QC052010_1851,PLACE_QC117006,1861
PLACE_QC067013,PLACE_QC095001,1861
PLACE_QC068013,PLACE_QC144002,1861
PLACE_QC068004,PLACE_QC143004,1861
PLACE_QC069012,PLACE_QC042007,1861
PLACE_QC069011,PLACE_QC042013,1861
PLACE_QC091009_1911,PLACE_QC190011,1861
PLACE_QC071021,PLACE_QC045008,1861
PLACE_QC078007,PLACE_QC085010_1891,1861
PLACE_QC074015,PLACE_QC047001,1861
PLACE_QC074013,PLACE_QC047002,1861
PLACE_QC074012,PLACE_QC047001,1861
PLACE_QC074017,PLACE_QC015999,1861
PLACE_QC076007,PLACE_QC064001_1861,1861
PLACE_QC155001,PLACE_QC016009,1861
PLACE_QC076009,PLACE_QC016009,1861
PLACE_QC083006,PLACE_QC100017,1861
PLACE_QC074028,PLACE_QC015999,1861
PLACE_QC069010,PLACE_QC042013,1861
PLACE_QC073014,PLACE_QC052999,1861
PLACE_QC053009,PLACE_QC093008_1921,1861
PLACE_ON123004_1911,PLACE_ON112007_1871,1871
PLACE_ON083001,PLACE_ON083002_1871,1871
PLACE_ON101007_1921,PLACE_ON045007_1871,1871
PLACE_ON096016,PLACE_ON082011,1871
PLACE_ON096006,PLACE_ON117002_1871,1871
PLACE_ON100012,PLACE_ON053007,1871
PLACE_ON149002,PLACE_ON053003,1871
PLACE_ON149004,PLACE_ON121009,1871
PLACE_ON123009_1891,PLACE_ON112007_1871,1871
PLACE_ON082014,PLACE_ON112007_1871,1871
PLACE_ON083003,PLACE_ON083002_1871,1871
PLACE_ON072010,PLACE_ON043013,1871
PLACE_ON072016,PLACE_ON065005_1871,1871
PLACE_ON088002,PLACE_ON055004,1871
PLACE_ON112008,PLACE_ON044003,1871
PLACE_ON149003,PLACE_ON053003,1871
PLACE_ON116011,PLACE_ON053007,1871
PLACE_ON116001_1921,PLACE_ON053007,1871
PLACE_ON149008,PLACE_ON121009,1871
PLACE_ON109008,PLACE_ON111008,1871
PLACE_ON096999,PLACE_ON081005_1871,1871
PLACE_ON106001,PLACE_ON089002,1871
PLACE_ON111006,PLACE_ON105008_1921,1871
PLACE_ON078007_1861,PLACE_ON074010,1871
PLACE_QC002003,PLACE_QC096002_1871,1871
PLACE_QC139003_1891,PLACE_QC048015,1871
PLACE_QC005005,PLACE_QC048019,1871
PLACE_QC006005,PLACE_QC041005_1871,1871
PLACE_QC007006,PLACE_QC045007,1871
PLACE_QC011005,PLACE_QC118002,1871
PLACE_QC013003,PLACE_QC152006_1911,1871
PLACE_QC015003,PLACE_QC150008,1871
PLACE_QC015021,PLACE_QC149017,1871
PLACE_QC047003,PLACE_QC086003,1871
PLACE_QC055007,PLACE_QC142010,1871
PLACE_QC003008,PLACE_QC137001,1871
PLACE_QC003004,PLACE_QC137003,1871
PLACE_QC019004,PLACE_QC171002_1871,1871
PLACE_QC019015,PLACE_QC171005,1871
PLACE_QC025010,PLACE_QC060010_1911,1871
PLACE_QC062018,PLACE_QC095008_1871,1871
PLACE_QC001001,PLACE_QC162003_1871,1871
PLACE_QC061006,PLACE_QC173006,1871
PLACE_QC038003,PLACE_QC135007,1871
PLACE_QC040011,PLACE_QC091001_1871,1871
PLACE_QC079010,PLACE_QC093008,1871
PLACE_QC041007,PLACE_QC143012,1871
PLACE_QC041011,PLACE_QC143009,1871
PLACE_QC043009,PLACE_QC120004,1871
PLACE_QC099012_1891,PLACE_QC139006,1871
PLACE_QC059004_1861,PLACE_QC139002,1871
PLACE_QC044004,PLACE_QC138002_1871,1871
PLACE_QC045011,PLACE_QC167005,1871
PLACE_QC049006,PLACE_QC110002,1871
PLACE_QC054014,PLACE_QC166012_1871,1871
PLACE_QC054002,PLACE_QC166013,1871
PLACE_QC055001,PLACE_QC096007,1871
PLACE_QC094017,PLACE_QC099015,1871
PLACE_QC052004_1851,PLACE_QC129005,1871
PLACE_QC008999,PLACE_QC103009,1871
PLACE_QC054010_1861,PLACE_QC201019,1871
PLACE_QC063006,PLACE_QC198005,1871
PLACE_QC005009,PLACE_QC040023_1921,1871
PLACE_QC062044,PLACE_QC095009,1871
PLACE_QC062006_1911,PLACE_QC094006,1871
PLACE_QC142012_1911,PLACE_QC096004,1871
PLACE_QC002006,PLACE_QC096002_1871,1871
PLACE_QC037001,PLACE_QC096002_1871,1871
PLACE_QC037009,PLACE_QC096004,1871
PLACE_QC037010,PLACE_QC096009,1871
PLACE_QC038005_1911,PLACE_QC137003,1871
PLACE_QC005006,PLACE_QC040023_1921,1871
PLACE_QC193006,PLACE_QC055023,1871
PLACE_QC139001,PLACE_QC048015,1871
PLACE_QC005004,PLACE_QC048015,1871
PLACE_QC008003,PLACE_QC060010_1911,1871
PLACE_QC015007,PLACE_QC150011,1871
PLACE_QC015019,PLACE_QC150999,1871
PLACE_QC149034_1901,PLACE_QC150011,1871
PLACE_QC015009,PLACE_QC150008,1871
PLACE_QC015014,PLACE_QC150999,1871
PLACE_QC015002,PLACE_QC076029,1871
PLACE_QC149035,PLACE_QC076029,1871
PLACE_QC015006,PLACE_QC076029,1871
PLACE_QC015010,PLACE_QC150008,1871
PLACE_QC015017,PLACE_QC150008,1871
PLACE_QC015012,PLACE_QC150008,1871
PLACE_QC015013,PLACE_QC149017,1871
PLACE_QC015004,PLACE_QC149017,1871
PLACE_QC055017_1911,PLACE_QC142010,1871
PLACE_QC051009,PLACE_QC142010,1871
PLACE_QC019005,PLACE_QC171005,1871
PLACE_QC019011,PLACE_QC159021,1871
PLACE_QC023004,PLACE_QC043006,1871
PLACE_QC025005,PLACE_QC087012,1871
PLACE_QC025002,PLACE_QC102013,1871
PLACE_QC025004,PLACE_QC158001_1871,1871
PLACE_QC025003,PLACE_QC158001_1871,1871
PLACE_QC026005,PLACE_QC165014,1871
PLACE_QC026009,PLACE_QC042012_1871,1871
PLACE_QC026013,PLACE_QC165011,1871
PLACE_QC026001,PLACE_QC042002_1871,1871
PLACE_QC028006,PLACE_QC076046,1871
PLACE_QC028005,PLACE_QC076046,1871
PLACE_QC025009,PLACE_QC060008,1871
PLACE_QC001003,PLACE_QC162003_1871,1871
PLACE_QC034002,PLACE_QC089001,1871
PLACE_QC035002,PLACE_QC044006,1871
PLACE_QC035006,PLACE_QC044006,1871
PLACE_QC035005,PLACE_QC044006,1871
PLACE_QC035004,PLACE_QC044006,1871
PLACE_QC035003,PLACE_QC044006,1871
PLACE_QC035008,PLACE_QC163007,1871
PLACE_QC035010,PLACE_QC163004_1871,1871
PLACE_QC038002,PLACE_QC135007,1871
PLACE_QC062001_1911,PLACE_QC095009,1871
PLACE_QC062003_1911,PLACE_QC094006,1871
PLACE_QC039005,PLACE_QC095999,1871
PLACE_QC205006,PLACE_QC057025,1871
PLACE_QC205001,PLACE_QC205011,1871
PLACE_QC057008,PLACE_QC205011,1871
PLACE_QC062005_1911,PLACE_QC094008,1871
PLACE_QC062004_1921,PLACE_QC094008,1871
PLACE_QC062016,PLACE_QC094009,1871
PLACE_QC039023,PLACE_QC094009,1871
PLACE_QC040001,PLACE_QC092007,1871
PLACE_QC040018,PLACE_QC092999,1871
PLACE_QC079016,PLACE_QC098013,1871
PLACE_QC079007,PLACE_QC093008,1871
PLACE_QC040017,PLACE_QC093008,1871
PLACE_QC079013,PLACE_QC093008,1871
PLACE_QC042004,PLACE_QC147003,1871
PLACE_QC045003,PLACE_QC167005,1871
PLACE_QC049007_1861,PLACE_QC110002,1871
PLACE_QC051001,PLACE_QC092008_1911,1871
PLACE_QC054001,PLACE_QC166014,1871
PLACE_QC063001,PLACE_QC093015,1871
PLACE_QC056010_1861,PLACE_QC099009,1871
PLACE_QC099003_1901,PLACE_QC139006,1871
PLACE_QC064005,PLACE_QC088005,1871
PLACE_QC064003,PLACE_QC088005,1871
PLACE_QC064004,PLACE_QC088005,1871
PLACE_QC079002,PLACE_QC091001_1871,1871
PLACE_QC047001,PLACE_QC086010,1871
PLACE_ON088003_1871,PLACE_ON182999,1881
PLACE_ON046013,PLACE_ON182999,1881
PLACE_ON016002,PLACE_ON056001_1911,1881
PLACE_ON015003_1871,PLACE_ON057002,1881
PLACE_ON015004,PLACE_ON159001,1881
PLACE_ON021002,PLACE_ON126009,1881
PLACE_ON056002,PLACE_ON138013,1881
PLACE_ON142033,PLACE_ON114012,1881
PLACE_ON042002,PLACE_ON139003,1881
PLACE_ON073003,PLACE_ON100002,1881
PLACE_ON058006,PLACE_ON125010,1881
PLACE_ON041002,PLACE_ON121003_1911,1881
PLACE_ON135009_1921,PLACE_ON131007,1881
PLACE_ON028008,PLACE_ON177007,1881
PLACE_ON048003,PLACE_ON132003,1881
PLACE_ON077001_1871,PLACE_ON100007,1881
PLACE_ON082010,PLACE_ON110008_1881_1901,1881
PLACE_ON099049,PLACE_ON114004_1881,1881
PLACE_ON129022,PLACE_ON131004_1881,1881
PLACE_ON129019,PLACE_ON131010,1881
PLACE_ON090001,PLACE_ON182999,1881
PLACE_ON182027,PLACE_ON182999,1881
